Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,91.00,91.50,87.85,88.15,468300,85.9637
2015-07-16,91.00,92.85,89.70,90.35,360800,88.1092
2015-07-15,88.90,90.50,87.15,89.90,706300,87.6703
2015-07-14,91.00,91.65,87.00,87.75,512800,85.5736
2015-07-13,89.30,94.00,88.30,89.60,1058800,87.3778
2015-07-10,89.60,89.80,86.60,88.35,232400,86.1588
2015-07-09,92.30,93.70,86.50,87.60,415100,85.4274
2015-07-08,84.60,94.25,84.60,91.05,1547900,88.7918
2015-07-07,88.00,90.40,85.25,86.30,775500,84.1596
2015-07-06,75.10,88.45,75.10,87.00,1031600,84.8422
2015-07-03,78.60,80.35,77.10,77.60,225200,75.6754
2015-07-02,80.05,81.40,77.50,78.60,175500,76.6506
2015-07-01,80.00,82.40,79.85,80.20,296100,78.2109
2015-06-30,75.90,80.00,73.30,79.45,321500,77.4795
2015-06-29,75.10,76.50,73.80,75.40,197100,73.53
2015-06-26,79.10,79.90,76.55,78.70,225600,76.7481
2015-06-25,79.80,81.50,78.55,79.30,310000,77.3332
2015-06-24,82.40,84.25,79.35,80.40,674600,78.4059
2015-06-23,78.30,82.40,77.90,81.35,834700,79.3324
2015-06-22,77.70,80.90,77.05,78.90,469900,76.9431
2015-06-19,76.50,81.00,75.00,76.95,704900,75.0415
2015-06-18,75.45,76.50,73.60,76.50,720700,74.6027
2015-06-17,69.25,76.55,67.85,75.25,1093700,73.3837
2015-06-16,69.75,71.50,67.25,68.50,216100,66.8011
2015-06-15,65.35,70.45,64.90,70.00,367400,68.2639
2015-06-12,61.65,66.95,61.50,65.80,295900,64.168
2015-06-11,61.50,64.20,61.50,62.80,201800,61.2425
2015-06-10,58.95,62.50,58.90,61.50,131700,59.9747
2015-06-09,58.30,60.70,58.25,58.85,75300,57.3904
2015-06-08,62.50,62.50,59.10,59.90,75200,58.4144
2015-06-05,59.05,62.95,59.05,61.90,196400,60.3648
2015-06-04,61.00,61.85,59.35,60.45,118600,58.9507
2015-06-03,63.40,63.40,58.60,60.80,235800,59.2921
2015-06-02,66.30,66.30,62.90,63.65,140100,62.0714
2015-06-01,66.95,68.10,65.95,66.45,97700,64.8019
2015-05-29,67.50,68.50,66.10,66.65,70200,64.997
2015-05-28,66.75,67.45,65.50,66.25,76300,64.6069
2015-05-27,65.40,68.25,64.95,66.45,124800,64.8019
2015-05-26,67.40,67.40,65.50,65.75,93100,64.1193
2015-05-25,69.15,69.40,66.65,67.05,140500,65.387
2015-05-22,68.05,71.00,68.05,68.90,293500,67.1912
2015-05-21,68.95,68.95,67.20,67.65,113700,65.9722
2015-05-20,69.80,71.70,68.45,68.80,349000,67.0936
2015-05-19,65.70,70.75,65.30,69.45,615900,67.7275
2015-05-18,67.00,68.00,65.25,65.65,167800,64.0218
2015-05-15,67.10,68.45,66.30,67.60,175500,65.9234
2015-05-14,63.00,68.25,63.00,67.05,318700,65.387
2015-05-13,62.90,64.65,62.80,63.85,110300,62.2664
2015-05-12,66.80,66.80,62.50,62.75,179200,61.1937
2015-05-11,63.50,66.85,63.50,66.50,174300,64.8507
2015-05-08,63.25,64.60,63.10,63.35,160200,61.7788
2015-05-07,63.50,65.35,61.05,62.75,280800,61.1937
2015-05-06,68.00,68.00,62.30,63.30,217500,61.73
2015-05-05,70.00,70.40,67.00,67.35,271800,65.6796
2015-05-04,71.00,71.40,67.65,69.85,317200,68.1176
2015-05-01,68.20,68.20,68.20,68.20,000,66.5085
2015-04-30,65.00,69.20,65.00,68.20,333100,66.5085
2015-04-29,65.80,67.00,64.20,65.85,242600,64.2168
2015-04-28,61.80,65.30,61.15,64.85,238000,63.2416
2015-04-27,64.95,64.95,60.75,62.10,262500,60.5598
2015-04-24,68.90,68.90,63.50,64.35,314500,62.754
2015-04-23,70.30,71.10,67.65,68.15,431000,66.4598
2015-04-22,67.10,70.40,65.75,69.50,577000,67.7763
2015-04-21,67.00,68.25,65.35,66.85,348800,65.192
2015-04-20,71.30,72.45,65.65,67.30,446900,65.6308
2015-04-17,69.70,73.00,68.50,70.35,687900,68.6052
2015-04-16,70.55,71.20,67.35,69.10,339000,67.3862
2015-04-15,73.75,74.60,69.85,70.55,447200,68.8002
2015-04-14,73.75,73.75,73.75,73.75,000,71.9209
2015-04-13,74.80,76.80,73.60,73.75,480600,71.9209
2015-04-10,74.80,76.65,73.35,74.70,405700,72.8473
2015-04-09,77.25,77.60,73.90,74.40,419100,72.5548
2015-04-08,78.50,79.45,76.00,76.65,576600,74.7489
2015-04-07,74.00,80.20,74.00,78.40,1508200,76.4555
2015-04-06,74.60,76.00,72.55,73.70,578200,71.8721
2015-04-03,74.50,74.50,74.50,74.50,000,72.6523
2015-04-02,74.50,74.50,74.50,74.50,000,72.6523
2015-04-01,66.50,76.40,66.30,74.50,1874400,72.6523
2015-03-31,69.00,70.25,66.20,66.70,502500,65.0457
2015-03-30,61.80,69.40,61.80,68.65,752000,66.9474
2015-03-27,63.25,64.00,59.95,61.05,336100,59.5359
2015-03-26,63.45,63.45,61.55,62.30,128900,60.7549
2015-03-25,63.80,65.50,63.20,63.45,205500,61.8763
2015-03-24,64.80,66.30,62.80,63.35,284200,61.7788
2015-03-23,63.05,67.35,63.05,66.05,970600,64.4118
2015-03-20,66.90,69.00,62.20,62.85,681900,61.2912
