Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,4.10,4.10,4.10,4.10,000,4.10
2015-07-16,4.10,4.10,4.10,4.10,000,4.10
2015-07-15,4.10,4.10,4.10,4.10,000,4.10
2015-07-14,4.10,4.10,4.10,4.10,000,4.10
2015-07-13,4.10,4.10,3.78,4.10,13000,4.10
2015-07-10,3.95,3.95,3.95,3.95,000,3.95
2015-07-09,3.95,3.95,3.95,3.95,000,3.95
2015-07-08,3.95,3.95,3.95,3.95,000,3.95
2015-07-07,3.95,3.95,3.95,3.95,000,3.95
2015-07-06,3.90,4.30,3.90,3.95,2200,3.95
2015-07-03,4.10,4.10,4.10,4.10,000,4.10
2015-07-02,4.10,4.10,4.10,4.10,000,4.10
2015-07-01,4.10,4.10,4.10,4.10,000,4.10
2015-06-30,4.10,4.10,4.10,4.10,000,4.10
2015-06-29,4.10,4.10,4.10,4.10,000,4.10
2015-06-26,4.10,4.10,4.10,4.10,000,4.10
2015-06-25,4.10,4.10,4.10,4.10,000,4.10
2015-06-24,4.10,4.10,4.10,4.10,000,4.10
2015-06-23,4.10,4.10,4.10,4.10,000,4.10
2015-06-22,4.10,4.10,4.10,4.10,000,4.10
2015-06-19,4.10,4.10,4.10,4.10,000,4.10
2015-06-18,4.10,4.10,4.10,4.10,000,4.10
2015-06-17,4.10,4.10,4.10,4.10,000,4.10
2015-06-16,4.10,4.10,4.10,4.10,000,4.10
2015-06-15,4.10,4.10,4.10,4.10,000,4.10
2015-06-12,4.10,4.10,4.10,4.10,000,4.10
2015-06-11,4.10,4.10,4.10,4.10,000,4.10
2015-06-10,4.10,4.10,4.10,4.10,000,4.10
2015-06-09,4.10,4.10,4.10,4.10,000,4.10
2015-06-08,4.10,4.10,4.10,4.10,000,4.10
2015-06-05,4.10,4.10,4.10,4.10,000,4.10
2015-06-04,4.10,4.10,4.10,4.10,000,4.10
2015-06-03,4.10,4.10,4.10,4.10,000,4.10
2015-06-02,4.10,4.10,4.10,4.10,000,4.10
2015-06-01,4.10,4.10,4.10,4.10,000,4.10
2015-05-29,4.10,4.10,4.10,4.10,000,4.10
2015-05-28,4.10,4.10,4.10,4.10,000,4.10
2015-05-27,4.10,4.10,4.10,4.10,000,4.10
2015-05-26,4.10,4.10,4.10,4.10,000,4.10
2015-05-25,4.10,4.10,4.10,4.10,000,4.10
2015-05-22,4.10,4.10,4.10,4.10,000,4.10
2015-05-21,4.10,4.10,4.10,4.10,000,4.10
2015-05-20,4.10,4.10,4.10,4.10,000,4.10
2015-05-19,4.10,4.10,4.10,4.10,000,4.10
2015-05-18,4.10,4.10,4.10,4.10,000,4.10
2015-05-15,4.10,4.10,4.10,4.10,000,4.10
2015-05-14,4.10,4.10,4.10,4.10,700,4.10
2015-05-13,3.91,3.91,3.91,3.91,000,3.91
2015-05-12,3.91,3.91,3.91,3.91,000,3.91
2015-05-11,3.91,3.91,3.91,3.91,200,3.91
2015-05-08,4.11,4.11,4.11,4.11,000,4.11
2015-05-07,4.11,4.11,4.11,4.11,100,4.11
2015-05-06,4.30,4.31,4.30,4.30,5600,4.30
2015-05-05,4.50,4.50,4.50,4.50,000,4.50
2015-05-04,4.50,4.50,4.50,4.50,3400,4.50
2015-05-01,4.73,4.73,4.73,4.73,000,4.73
2015-04-30,4.29,4.73,4.29,4.73,3400,4.73
2015-04-29,4.96,4.96,4.51,4.51,900,4.51
2015-04-28,4.73,4.73,4.73,4.73,900,4.73
2015-04-27,5.45,5.45,4.97,4.97,1100,4.97
2015-04-24,5.23,5.23,5.23,5.23,000,5.23
2015-04-23,5.10,5.50,5.10,5.50,100,5.50
2015-04-22,5.35,5.90,5.35,5.36,1000,5.36
2015-04-21,6.19,6.19,5.63,5.63,200,5.63
2015-04-20,5.37,5.92,5.37,5.92,000,5.92
2015-04-17,5.65,5.65,5.25,5.65,1500,5.65
2015-04-16,5.46,5.46,5.10,5.42,2000,5.42
2015-04-15,4.75,5.20,4.72,5.20,4500,5.20
2015-04-14,4.96,4.96,4.96,4.96,000,4.96
2015-04-13,4.73,4.96,4.73,4.96,500,4.96
2015-04-10,5.04,5.04,4.60,4.73,2900,4.73
2015-04-09,5.10,5.10,4.65,4.80,1300,4.80
2015-04-08,5.36,5.36,4.86,4.86,200,4.86
2015-04-07,5.11,5.11,4.63,5.11,400,5.11
2015-04-06,4.42,4.87,4.42,4.87,1200,4.87
2015-04-03,4.64,4.64,4.64,4.64,000,4.64
2015-04-02,4.64,4.64,4.64,4.64,000,4.64
2015-04-01,4.25,4.64,4.20,4.64,4400,4.64
2015-03-31,4.85,4.85,4.41,4.42,300,4.42
2015-03-30,4.19,4.63,4.19,4.63,10500,4.63
2015-03-27,4.41,4.41,4.41,4.41,1400,4.41
2015-03-26,4.64,4.64,4.64,4.64,1500,4.64
2015-03-25,4.88,4.88,4.88,4.88,3100,4.88
2015-03-24,5.13,5.13,5.13,5.13,1200,5.13
2015-03-23,5.40,5.40,5.40,5.40,2100,5.40
2015-03-20,5.29,5.76,5.29,5.68,1300,5.68
2015-03-19,5.56,5.56,5.56,5.56,300,5.56
2015-03-18,5.61,5.85,5.61,5.85,900,5.85
2015-03-17,5.98,5.98,5.42,5.90,2200,5.90
2015-03-16,5.42,5.70,5.42,5.70,3500,5.70
2015-03-13,5.70,6.20,5.70,5.70,13600,5.70
2015-03-12,6.00,6.18,5.65,6.00,5700,6.00
2015-03-11,5.60,5.89,5.50,5.89,600,5.89
2015-03-10,5.60,5.61,5.50,5.61,2100,5.61
2015-03-09,5.35,5.35,5.35,5.35,300,5.35
2015-03-06,5.58,5.58,5.58,5.58,000,5.58
2015-03-05,5.58,5.58,5.58,5.58,1100,5.58
2015-03-04,5.58,5.58,5.07,5.58,4200,5.58
2015-03-03,5.32,5.32,5.32,5.32,800,5.32
2015-03-02,4.59,5.07,4.59,5.07,73500,5.07
2015-02-27,5.08,5.08,5.08,5.08,35900,5.08
2015-02-26,5.35,5.64,5.34,5.34,2200,5.34
2015-02-25,5.90,5.90,5.62,5.62,7200,5.62
2015-02-24,5.91,5.91,5.91,5.91,500,5.91
2015-02-23,6.22,6.22,6.22,6.22,000,6.22
2015-02-20,6.22,6.65,6.22,6.22,600,6.22
2015-02-19,6.54,6.54,6.54,6.54,000,6.54
2015-02-18,6.54,6.54,6.54,6.54,000,6.54
2015-02-17,6.54,6.54,6.54,6.54,000,6.54
2015-02-16,6.54,6.54,6.54,6.54,000,6.54
2015-02-13,6.54,6.54,6.54,6.54,000,6.54
2015-02-12,6.54,6.54,6.54,6.54,000,6.54
2015-02-11,6.54,6.54,6.54,6.54,000,6.54
2015-02-10,6.54,6.54,6.54,6.54,000,6.54
2015-02-09,6.24,6.24,6.24,6.24,000,6.24
2015-02-06,6.24,6.24,6.24,6.24,000,6.24
