Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,63.95,66.00,63.00,65.45,2900,65.45
2015-07-16,63.00,63.50,62.10,62.75,300,62.75
2015-07-15,62.00,64.00,62.00,64.00,1600,64.00
2015-07-14,60.40,64.90,60.40,62.10,800,62.10
2015-07-13,64.00,64.00,62.60,62.65,2500,62.65
2015-07-10,64.10,64.50,62.00,62.90,3300,62.90
2015-07-09,66.40,66.40,65.05,65.25,1100,65.25
2015-07-08,65.50,73.70,63.40,65.95,2200,65.95
2015-07-07,63.00,66.00,63.00,64.30,3800,64.30
2015-07-06,61.00,67.70,61.00,66.00,2900,66.00
2015-07-03,61.00,63.40,61.00,62.20,1300,62.20
2015-07-02,65.40,65.50,63.50,63.75,1200,63.75
2015-07-01,64.70,64.70,63.60,63.80,100,63.80
2015-06-30,63.50,64.00,62.00,63.65,1000,63.65
2015-06-29,61.00,65.80,60.00,62.30,6000,62.30
2015-06-26,64.80,64.90,61.25,63.05,3500,61.65
2015-06-25,63.20,64.00,62.60,62.60,200,61.21
2015-06-24,64.00,64.00,62.10,62.55,3500,61.16
2015-06-23,63.00,64.35,62.30,63.35,1200,61.94
2015-06-22,75.00,75.00,62.15,62.80,500,61.41
2015-06-19,63.00,64.35,62.15,64.00,2300,62.58
2015-06-18,63.05,64.45,60.60,64.00,1600,62.58
2015-06-17,64.70,64.70,63.15,64.40,100,62.97
2015-06-16,59.65,64.00,59.55,63.30,3200,61.89
2015-06-15,58.15,61.40,57.25,61.40,1600,60.04
2015-06-12,59.00,59.00,59.00,59.00,000,57.69
2015-06-11,61.00,61.00,59.95,60.00,1600,58.67
2015-06-10,61.15,61.15,61.10,61.10,000,59.74
2015-06-09,59.00,61.80,58.90,59.15,1700,57.84
2015-06-08,63.70,63.70,60.05,60.05,200,58.72
2015-06-05,61.60,64.20,61.60,62.05,800,60.67
2015-06-04,67.65,67.65,62.10,62.45,300,61.06
2015-06-03,62.00,63.90,62.00,63.90,900,62.48
2015-06-02,64.50,64.50,61.70,61.70,1500,60.33
2015-06-01,61.45,64.00,61.45,62.75,1200,61.36
2015-05-29,62.25,64.00,62.25,62.30,1400,60.92
2015-05-28,62.70,64.00,62.50,64.00,1300,62.58
2015-05-27,63.00,64.30,62.90,63.60,800,62.19
2015-05-26,65.50,65.50,63.10,63.65,1600,62.24
2015-05-25,68.00,68.00,65.20,66.30,4700,64.83
2015-05-22,68.50,71.10,68.50,70.05,1000,68.49
2015-05-21,70.35,70.35,68.25,68.55,100,67.03
2015-05-20,71.00,71.00,68.30,68.75,1000,67.22
2015-05-19,69.10,71.00,69.10,71.00,100,69.42
2015-05-18,71.00,71.00,69.35,70.00,500,68.45
2015-05-15,68.90,70.90,68.90,69.90,4000,68.35
2015-05-14,66.50,68.80,64.45,67.75,1200,66.25
2015-05-13,68.20,70.95,68.00,70.95,300,69.37
2015-05-12,67.70,72.35,67.00,67.55,2600,66.05
2015-05-11,70.00,71.00,68.20,71.00,200,69.42
2015-05-08,67.05,68.10,67.05,68.10,600,66.59
2015-05-07,69.00,69.00,68.00,68.20,200,66.69
2015-05-06,70.00,70.05,67.50,67.90,3200,66.39
2015-05-05,68.00,73.70,68.00,70.05,1600,68.49
2015-05-04,67.05,78.00,67.05,69.45,7700,67.91
2015-05-01,68.05,68.05,68.05,68.05,000,66.54
2015-04-30,68.00,68.95,64.45,68.05,13100,66.54
2015-04-29,65.15,69.00,65.15,69.00,1200,67.47
2015-04-28,68.00,70.80,64.00,69.95,500,68.40
2015-04-27,64.75,67.00,63.70,67.00,1300,65.51
2015-04-24,71.25,72.00,67.15,67.15,600,65.66
2015-04-23,72.05,76.50,71.50,71.95,200,70.35
2015-04-22,84.00,84.00,70.50,74.50,5700,72.85
2015-04-21,70.00,70.80,70.00,70.45,1400,68.89
2015-04-20,74.00,75.90,69.65,70.00,1700,68.45
2015-04-17,71.80,73.50,71.50,71.60,900,70.01
2015-04-16,75.00,75.40,72.05,73.50,400,71.87
2015-04-15,81.00,81.00,74.15,75.10,7700,73.43
