Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,59.00,60.00,59.00,59.20,200,59.20
2015-07-16,59.55,63.00,59.00,61.00,1200,61.00
2015-07-15,63.90,63.90,58.55,61.00,100,61.00
2015-07-14,61.00,62.95,58.75,59.60,100,59.60
2015-07-13,58.05,59.05,57.00,59.05,400,59.05
2015-07-10,57.30,62.00,57.30,62.00,000,62.00
2015-07-09,64.90,64.90,57.45,57.80,200,57.80
2015-07-08,60.00,60.05,60.00,60.05,600,60.05
2015-07-07,59.05,61.25,59.05,61.25,200,61.25
2015-07-06,59.00,61.85,59.00,61.85,000,61.85
2015-07-03,60.00,60.00,60.00,60.00,000,60.00
2015-07-02,63.90,63.90,60.00,61.00,100,61.00
2015-07-01,60.00,61.50,60.00,60.00,2000,60.00
2015-06-30,59.85,62.00,58.65,59.00,600,59.00
2015-06-29,57.00,60.50,57.00,60.50,000,60.50
2015-06-26,58.75,61.95,58.00,58.10,2000,58.10
2015-06-25,60.00,60.00,58.50,59.95,000,59.95
2015-06-24,58.50,60.95,57.90,60.95,600,60.95
2015-06-23,59.50,62.00,59.05,59.55,3800,59.55
2015-06-22,63.50,64.00,60.00,60.75,3800,60.75
2015-06-19,62.05,63.40,62.05,63.40,100,63.40
2015-06-18,64.00,64.00,64.00,64.00,000,64.00
2015-06-17,68.00,69.00,60.00,62.85,22500,62.85
2015-06-16,66.65,68.00,65.00,66.00,3100,66.00
2015-06-15,65.50,65.50,63.35,64.95,2100,64.95
2015-06-12,64.95,66.75,64.50,65.00,300,65.00
2015-06-11,66.00,66.00,64.00,64.00,3300,64.00
2015-06-10,62.50,64.50,62.50,63.15,4400,63.15
2015-06-09,62.00,62.95,60.05,62.50,7800,62.50
2015-06-08,60.00,62.00,60.00,61.90,1500,61.90
2015-06-05,62.00,62.50,58.05,60.00,4700,60.00
2015-06-04,61.50,61.60,60.00,61.25,5400,61.25
2015-06-03,62.50,62.50,55.50,60.50,8400,60.50
2015-06-02,62.00,62.00,60.00,61.00,1600,61.00
2015-06-01,62.00,62.30,60.00,60.00,900,60.00
2015-05-29,62.90,62.90,60.00,60.00,600,60.00
2015-05-28,64.00,64.00,60.00,61.90,3000,61.90
2015-05-27,58.90,61.00,58.90,59.10,6600,59.10
2015-05-26,67.75,67.75,55.05,57.00,11500,57.00
2015-05-25,55.00,59.00,55.00,57.00,6000,57.00
2015-05-22,57.05,57.05,57.05,57.05,000,57.05
2015-05-21,55.05,57.20,55.05,57.05,600,57.05
2015-05-20,56.00,57.90,55.00,57.40,600,57.40
2015-05-19,56.00,57.85,56.00,57.70,100,57.70
2015-05-18,59.50,59.50,56.50,58.85,000,58.85
2015-05-15,56.50,59.00,50.00,57.00,3400,57.00
2015-05-14,57.00,58.00,57.00,58.00,000,58.00
2015-05-13,60.00,60.00,55.50,55.55,400,55.55
2015-05-12,67.75,67.75,56.05,56.05,500,56.05
2015-05-11,58.00,58.00,56.80,57.50,500,57.50
2015-05-08,55.05,55.05,55.05,55.05,000,55.05
2015-05-07,54.15,58.00,54.15,55.05,300,55.05
2015-05-06,56.00,56.00,55.05,55.05,1000,55.05
2015-05-05,57.00,58.95,56.10,57.05,600,57.05
2015-05-04,59.00,59.00,57.00,57.00,2100,57.00
2015-05-01,57.25,57.25,57.25,57.25,000,57.25
2015-04-30,55.05,58.95,55.05,57.25,500,57.25
2015-04-29,58.25,58.25,58.25,58.25,000,58.25
2015-04-28,54.50,58.25,54.50,58.25,100,58.25
2015-04-27,52.50,57.00,52.50,54.05,1100,54.05
2015-04-24,54.10,59.00,54.00,56.70,2500,56.70
2015-04-23,58.00,58.00,58.00,58.00,000,58.00
2015-04-22,55.75,55.75,55.75,55.75,000,55.75
2015-04-21,57.00,57.00,56.00,57.00,200,57.00
2015-04-20,57.00,57.00,57.00,57.00,000,57.00
2015-04-17,57.00,57.00,57.00,57.00,000,57.00
2015-04-16,60.00,60.00,57.00,57.00,200,57.00
2015-04-15,62.00,63.00,58.00,58.15,1800,58.15
2015-04-14,61.95,61.95,61.95,61.95,000,61.95
2015-04-13,61.00,63.75,60.25,61.95,400,61.95
2015-04-10,64.90,65.00,61.00,61.00,3000,61.00
2015-04-09,64.00,64.00,61.00,62.80,5900,62.80
2015-04-08,62.00,63.95,60.00,62.30,2400,62.30
2015-04-07,63.00,63.00,59.55,59.55,1100,59.55
2015-04-06,62.85,62.85,61.00,62.15,1800,62.15
2015-04-03,60.30,60.30,60.30,60.30,000,60.30
2015-04-02,60.30,60.30,60.30,60.30,000,60.30
2015-04-01,59.00,61.00,58.90,60.30,3700,60.30
2015-03-31,58.50,59.00,56.50,57.40,1000,57.40
2015-03-30,54.00,56.10,54.00,56.10,1300,56.10
2015-03-27,54.25,57.00,52.00,55.55,3800,55.55
2015-03-26,52.00,61.75,50.40,55.75,13100,55.75
2015-03-25,54.00,54.00,50.40,51.50,700,51.50
2015-03-24,51.00,61.00,50.15,57.60,600,57.60
2015-03-23,52.00,52.00,51.05,51.05,2000,51.05
2015-03-20,51.30,53.00,51.30,52.95,7300,52.95
2015-03-19,53.00,53.00,53.00,53.00,2300,53.00
2015-03-18,52.00,52.00,52.00,52.00,1000,52.00
2015-03-17,52.05,53.00,51.15,52.50,3400,52.50
2015-03-16,52.80,54.00,52.50,54.00,800,54.00
2015-03-13,55.00,55.00,53.50,54.45,9100,54.45
2015-03-12,53.10,54.00,53.00,53.10,6400,53.10
2015-03-11,53.50,53.80,53.50,53.80,2000,53.80
2015-03-10,55.00,55.00,54.25,54.30,800,54.30
2015-03-09,54.60,54.60,54.60,54.60,000,54.60
2015-03-06,54.60,54.60,54.60,54.60,000,54.60
2015-03-05,55.05,55.05,54.60,54.60,1000,54.60
2015-03-04,57.00,57.00,55.10,55.35,500,55.35
2015-03-03,58.35,58.35,54.40,55.90,4100,55.90
2015-03-02,56.00,56.00,55.05,56.00,4600,56.00
2015-02-27,55.00,56.25,54.40,55.85,3900,55.85
2015-02-26,56.00,56.25,54.30,55.45,4100,55.45
2015-02-25,57.50,58.40,56.25,56.65,600,56.65
2015-02-24,61.75,61.75,56.35,57.85,1700,57.85
2015-02-23,61.00,61.00,56.60,58.00,1100,58.00
2015-02-20,57.55,58.00,57.50,58.00,4100,58.00
2015-02-19,59.50,60.00,57.30,57.60,600,57.60
2015-02-18,61.80,62.00,58.00,59.50,3100,59.50
2015-02-17,59.90,59.90,59.90,59.90,000,59.90
2015-02-16,56.50,60.50,56.50,59.90,5500,59.90
2015-02-13,59.00,59.00,56.10,57.35,200,57.35
2015-02-12,58.00,58.00,56.55,58.00,1000,58.00
2015-02-11,57.50,60.00,56.05,57.50,4700,57.50
2015-02-10,56.50,59.00,54.30,56.00,11600,56.00
2015-02-09,56.00,56.00,56.00,56.00,500,56.00
2015-02-06,60.50,61.65,56.25,56.90,15200,56.90
2015-02-05,58.00,60.00,57.00,59.00,10400,59.00
2015-02-04,61.95,61.95,54.25,57.10,7700,57.10
2015-02-03,62.00,63.00,57.25,60.00,9900,60.00
2015-02-02,61.50,62.90,60.00,61.90,7400,61.90
2015-01-30,67.90,67.90,60.30,61.40,8700,61.40
2015-01-29,56.50,66.00,56.50,64.30,40700,64.30
2015-01-28,56.00,58.95,55.00,55.00,5500,55.00
2015-01-27,53.55,61.80,53.50,56.65,10100,56.65
2015-01-26,55.50,55.50,55.50,55.50,000,55.50
2015-01-23,57.00,57.00,55.30,55.50,1500,55.50
2015-01-22,55.95,57.00,55.00,55.40,5200,55.40
2015-01-21,57.95,57.95,52.60,54.90,9100,54.90
2015-01-20,54.00,55.00,53.00,55.00,4200,55.00
2015-01-19,53.50,54.15,53.00,53.00,3400,53.00
2015-01-16,53.00,53.00,51.00,51.75,1700,51.75
2015-01-15,51.00,52.35,48.10,50.05,5100,50.05
2015-01-14,52.00,53.75,51.35,52.40,5700,52.40
2015-01-13,52.30,52.30,51.00,51.15,1700,51.15
2015-01-12,52.00,54.00,52.00,53.05,700,53.05
2015-01-09,50.25,54.00,49.45,54.00,1300,54.00
2015-01-08,53.00,54.80,51.10,52.40,3400,52.40
2015-01-07,51.50,51.50,51.50,51.50,000,51.50
2015-01-06,55.00,55.00,51.50,51.50,300,51.50
2015-01-05,50.00,52.00,50.00,51.00,5400,51.00
2015-01-02,53.00,56.50,52.00,52.25,4200,52.25
2015-01-01,54.00,54.00,51.05,52.95,6800,52.95
2014-12-31,52.00,54.00,51.00,53.50,700,53.50
2014-12-30,58.00,58.00,52.00,53.60,300,53.60
2014-12-29,53.00,53.50,53.00,53.00,5300,53.00
2014-12-26,53.50,53.50,53.50,53.50,000,53.50
2014-12-25,53.00,53.00,53.00,53.00,000,53.00
2014-12-24,57.85,57.85,50.05,53.00,300,53.00
2014-12-23,53.00,54.00,53.00,53.00,700,53.00
2014-12-22,49.05,54.00,49.05,53.15,3400,53.15
2014-12-19,49.55,50.00,49.00,50.00,5100,50.00
2014-12-18,52.00,52.00,49.00,49.10,800,49.10
2014-12-17,49.05,50.90,49.00,49.00,1000,49.00
2014-12-16,49.00,52.45,49.00,49.05,5800,49.05
2014-12-15,50.05,50.05,50.00,50.00,400,50.00
2014-12-12,51.00,51.00,51.00,51.00,000,51.00
2014-12-11,51.55,51.55,51.05,51.05,100,51.05
2014-12-10,50.00,53.55,50.00,53.50,1800,53.50
2014-12-09,52.30,52.30,51.05,51.05,500,51.05
2014-12-08,51.30,53.30,51.00,51.60,8700,51.60
2014-12-05,53.95,53.95,51.50,51.50,600,51.50
2014-12-04,54.00,54.15,51.25,51.35,6600,51.35
2014-12-03,53.90,53.90,53.90,53.90,000,53.90
2014-12-02,54.00,56.00,54.00,54.60,1400,54.60
2014-12-01,58.00,58.00,54.00,54.00,500,54.00
2014-11-28,57.00,57.00,54.80,56.05,2800,56.05
2014-11-27,56.00,56.30,53.60,55.90,4500,55.90
2014-11-26,53.00,53.65,53.00,53.65,900,53.65
2014-11-25,52.00,53.45,51.10,51.10,1900,51.10
2014-11-24,52.00,54.00,52.00,53.65,1900,53.65
2014-11-21,54.45,56.25,52.75,53.05,2000,53.05
2014-11-20,54.00,55.35,52.05,54.75,4400,54.75
2014-11-19,54.95,55.00,53.00,54.45,4400,54.45
2014-11-18,57.00,57.00,52.30,52.55,1700,52.55
2014-11-17,52.70,55.00,50.60,55.00,5000,55.00
2014-11-14,56.00,57.45,52.25,52.40,8600,52.40
2014-11-13,53.00,55.65,52.00,55.00,22800,55.00
