Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,16.15,16.15,15.10,16.00,2800,16.00
2015-07-16,16.30,16.30,15.25,16.05,200,16.05
2015-07-15,16.10,16.50,16.10,16.35,1400,16.35
2015-07-14,15.89,16.00,15.10,16.00,800,16.00
2015-07-13,14.85,15.90,14.70,15.75,5900,15.75
2015-07-10,14.80,15.85,14.80,15.85,800,15.85
2015-07-09,15.30,15.89,15.30,15.59,2100,15.59
2015-07-08,15.05,16.29,15.05,16.29,100,16.29
2015-07-07,14.50,16.08,14.50,16.08,4100,16.08
2015-07-06,14.20,14.95,14.11,14.62,1200,14.62
2015-07-03,14.80,15.48,14.20,15.00,1800,15.00
2015-07-02,14.25,14.28,13.71,14.08,1200,14.08
2015-07-01,14.00,14.00,13.55,13.60,4300,13.60
2015-06-30,13.25,13.85,13.25,13.55,700,13.55
2015-06-29,13.35,13.35,13.30,13.30,000,13.30
2015-06-26,14.00,14.00,14.00,14.00,000,14.00
2015-06-25,15.05,15.05,14.00,14.00,100,14.00
2015-06-24,14.05,14.70,14.05,14.70,1400,14.70
2015-06-23,14.45,14.45,14.00,14.00,200,14.00
2015-06-22,14.50,14.50,13.70,13.80,600,13.80
2015-06-19,13.30,14.05,13.25,13.90,1200,13.90
2015-06-18,13.55,13.55,13.35,13.40,1600,13.40
2015-06-17,14.80,16.10,13.80,13.80,6200,13.80
2015-06-16,15.60,15.60,15.30,15.30,2400,15.30
2015-06-15,15.55,17.00,15.55,17.00,200,17.00
2015-06-12,16.75,16.75,16.60,16.60,600,16.60
2015-06-11,17.00,17.40,17.00,17.20,000,17.20
2015-06-10,16.20,16.20,16.20,16.20,100,16.20
2015-06-09,17.00,17.00,16.00,16.10,000,16.10
2015-06-08,16.75,16.75,15.85,15.85,1400,15.85
2015-06-05,16.25,17.05,16.00,17.05,400,17.05
2015-06-04,16.75,16.75,15.50,16.00,1300,16.00
2015-06-03,16.95,16.95,16.00,16.00,100,16.00
2015-06-02,16.05,16.05,14.65,15.90,300,15.90
2015-06-01,16.15,17.45,16.15,17.45,400,17.45
2015-05-29,16.60,16.60,16.60,16.60,000,16.60
2015-05-28,16.60,16.60,16.60,16.60,000,16.60
2015-05-27,16.50,16.60,16.50,16.60,200,16.60
2015-05-26,17.55,17.55,16.10,16.50,100,16.50
2015-05-25,16.70,16.70,16.70,16.70,000,16.70
2015-05-22,16.55,18.00,16.55,16.70,500,16.70
2015-05-21,18.00,18.00,17.00,17.45,1500,17.45
2015-05-20,17.25,17.25,17.25,17.25,000,17.25
2015-05-19,17.25,17.25,17.25,17.25,000,17.25
2015-05-18,16.75,18.00,16.75,17.25,1100,17.25
2015-05-15,17.50,17.50,17.50,17.50,000,17.50
2015-05-14,17.50,17.50,17.50,17.50,000,17.50
2015-05-13,16.50,17.50,16.50,17.50,500,17.50
2015-05-12,17.00,17.00,17.00,17.00,000,17.00
2015-05-11,18.30,18.30,16.90,17.00,100,17.00
2015-05-08,17.00,17.00,17.00,17.00,000,17.00
2015-05-07,16.35,16.35,16.35,16.35,200,16.35
2015-05-06,17.90,17.90,17.55,17.55,000,17.55
2015-05-05,17.40,18.40,16.20,16.30,100,16.30
2015-05-04,16.50,16.50,16.50,16.50,000,16.50
2015-05-01,17.35,17.35,17.35,17.35,000,17.35
2015-04-30,17.60,17.60,16.50,17.35,400,17.35
2015-04-29,18.30,18.30,17.05,17.05,100,17.05
2015-04-28,15.80,16.50,15.80,16.50,000,16.50
2015-04-27,15.65,16.30,15.65,16.00,000,16.00
2015-04-24,17.90,17.90,17.00,17.00,100,17.00
2015-04-23,18.10,18.10,18.10,18.10,000,18.10
2015-04-22,17.20,17.20,16.50,16.65,400,16.65
2015-04-21,17.00,17.00,16.50,16.50,100,16.50
2015-04-20,18.40,18.40,17.50,17.50,500,17.50
2015-04-17,18.25,18.40,18.25,18.40,800,18.40
2015-04-16,18.00,18.80,17.80,18.80,600,18.80
2015-04-15,17.10,19.00,16.90,18.45,3500,18.45
2015-04-14,17.00,17.00,17.00,17.00,000,17.00
2015-04-13,17.20,17.20,17.00,17.00,900,17.00
2015-04-10,17.20,17.20,17.20,17.20,1100,17.20
2015-04-09,17.90,17.90,17.20,17.20,000,17.20
2015-04-08,16.30,17.30,16.00,16.50,2000,16.50
2015-04-07,16.70,16.70,16.50,16.50,200,16.50
2015-04-06,16.90,16.90,16.90,16.90,100,16.90
2015-04-03,15.95,15.95,15.95,15.95,000,15.95
2015-04-02,15.95,15.95,15.95,15.95,000,15.95
2015-04-01,16.00,16.05,15.80,15.95,400,15.95
2015-03-31,15.65,17.20,15.50,15.55,6300,15.55
2015-03-30,16.20,16.65,15.30,16.65,600,16.65
2015-03-27,15.05,16.00,14.70,14.75,1500,14.75
2015-03-26,15.30,15.90,15.00,15.05,1200,15.05
2015-03-25,15.50,16.35,14.75,15.25,8300,15.25
2015-03-24,16.00,16.00,16.00,16.00,000,16.00
2015-03-23,17.00,17.00,15.40,16.05,1300,16.05
2015-03-20,17.50,17.50,17.10,17.10,000,17.10
2015-03-19,16.65,17.50,16.65,17.25,1700,17.25
2015-03-18,18.30,18.65,16.90,17.20,1000,17.20
2015-03-17,17.60,17.85,17.20,17.85,61400,17.85
2015-03-16,17.10,17.90,17.10,17.60,2100,17.60
2015-03-13,17.35,18.40,17.20,17.95,6900,17.95
2015-03-12,17.20,18.10,17.15,17.15,1200,17.15
2015-03-11,18.10,18.10,17.25,18.10,200,18.10
2015-03-10,17.95,17.95,17.95,17.95,000,17.95
2015-03-09,17.50,18.40,17.40,17.60,900,17.60
2015-03-06,18.30,18.30,18.30,18.30,000,18.30
2015-03-05,19.30,19.30,17.75,18.30,2600,18.30
2015-03-04,19.50,19.95,18.50,18.65,3000,18.65
2015-03-03,18.50,19.40,18.20,18.45,300,18.45
2015-03-02,18.90,20.50,18.30,18.75,7600,18.75
2015-02-27,16.80,18.85,16.80,18.05,700,18.05
2015-02-26,17.25,17.25,17.00,17.10,1400,17.10
2015-02-25,17.50,17.90,17.30,17.35,3600,17.35
2015-02-24,18.00,18.50,18.00,18.25,1300,18.25
2015-02-23,19.80,19.80,17.80,18.40,1500,18.40
2015-02-20,18.00,18.00,17.75,17.90,300,17.90
2015-02-19,18.10,18.70,18.00,18.70,1700,18.70
2015-02-18,17.80,18.75,17.80,18.75,3800,18.75
2015-02-17,17.90,17.90,17.90,17.90,000,17.90
2015-02-16,17.90,17.90,17.90,17.90,000,17.90
2015-02-13,19.45,19.45,17.70,17.90,1200,17.90
2015-02-12,18.95,18.95,17.35,17.45,500,17.45
2015-02-11,16.65,19.75,16.60,17.95,700,17.95
2015-02-10,19.45,19.45,17.75,18.10,3600,18.10
2015-02-09,18.30,18.40,18.30,18.35,200,18.35
2015-02-06,20.50,20.50,18.10,18.25,1400,18.25
2015-02-05,19.40,19.40,19.15,19.15,200,19.15
2015-02-04,20.45,20.45,19.35,20.45,000,20.45
2015-02-03,19.50,19.50,19.50,19.50,200,19.50
2015-02-02,19.50,19.50,19.05,19.05,700,19.05
2015-01-30,19.50,19.90,19.50,19.90,300,19.90
2015-01-29,19.80,20.00,19.20,19.25,3100,19.25
2015-01-28,19.20,20.45,19.05,20.45,1500,20.45
2015-01-27,19.30,20.10,19.15,19.80,1200,19.80
2015-01-26,19.15,19.15,19.15,19.15,000,19.15
2015-01-23,19.40,20.60,19.15,19.15,500,19.15
2015-01-22,19.50,20.50,19.50,20.50,200,20.50
2015-01-21,20.30,20.75,19.60,20.75,2700,20.75
2015-01-20,20.50,20.50,18.70,20.25,3900,20.25
2015-01-19,20.05,21.00,20.05,20.20,2100,20.20
2015-01-16,20.40,20.80,20.00,20.00,4700,20.00
2015-01-15,19.00,19.35,19.00,19.35,1400,19.35
2015-01-14,19.00,20.25,18.55,19.50,1400,19.50
2015-01-13,19.95,19.95,19.00,19.05,700,19.05
2015-01-12,19.15,19.80,19.15,19.50,500,19.50
2015-01-09,19.20,19.20,19.15,19.15,600,19.15
2015-01-08,19.00,20.00,19.00,20.00,100,20.00
2015-01-07,19.05,19.55,17.30,19.20,2300,19.20
2015-01-06,19.05,19.95,19.05,19.05,2000,19.05
2015-01-05,20.00,20.75,19.40,19.45,1100,19.45
2015-01-02,19.05,20.35,19.05,19.80,1400,19.80
2015-01-01,20.45,20.45,18.55,20.35,300,20.35
2014-12-31,19.50,19.50,19.00,19.25,300,19.25
2014-12-30,18.55,18.75,18.55,18.75,200,18.75
2014-12-29,19.35,20.40,19.25,19.30,1400,19.30
2014-12-26,17.75,19.40,17.75,19.35,300,19.35
2014-12-25,17.70,17.70,17.70,17.70,000,17.70
2014-12-24,17.70,17.80,17.70,17.70,000,17.70
2014-12-23,18.80,18.80,18.80,18.80,000,18.80
2014-12-22,18.30,18.80,18.30,18.80,500,18.80
2014-12-19,18.55,18.95,18.00,18.50,1900,18.50
2014-12-18,18.25,18.95,18.00,18.20,1200,18.20
2014-12-17,17.25,18.50,16.85,18.50,2900,18.50
2014-12-16,19.45,19.60,18.05,18.20,200,18.20
2014-12-15,20.00,20.00,18.60,18.95,400,18.95
2014-12-12,20.00,20.00,19.00,19.90,1100,19.90
2014-12-11,19.00,20.00,18.90,19.90,3500,19.90
2014-12-10,19.65,20.00,19.35,19.60,900,19.60
2014-12-09,20.05,21.50,20.00,20.05,1600,20.05
