Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,724.10,737.95,714.00,716.90,1700,716.90
2015-07-16,706.00,735.00,695.00,709.80,3800,709.80
2015-07-15,707.50,734.00,695.00,717.05,4700,717.05
2015-07-14,700.00,705.00,684.10,699.05,6000,699.05
2015-07-13,697.00,698.00,684.00,686.60,1800,686.60
2015-07-10,695.00,716.50,682.00,687.05,1600,687.05
2015-07-09,696.05,701.40,682.00,685.60,900,685.60
2015-07-08,705.00,707.00,684.05,689.15,800,689.15
2015-07-07,702.00,727.95,677.00,700.30,2200,700.30
2015-07-06,700.00,720.50,697.05,699.25,700,699.25
2015-07-03,718.00,718.00,701.00,715.40,800,715.40
2015-07-02,730.00,730.00,702.50,718.50,1000,718.50
2015-07-01,731.30,740.00,714.00,727.15,3200,727.15
2015-06-30,710.00,733.00,669.95,713.40,4600,713.40
2015-06-29,680.00,704.00,661.25,678.65,2600,678.65
2015-06-26,682.00,704.80,655.10,679.70,5100,679.70
2015-06-25,673.00,689.00,665.10,680.85,600,680.85
2015-06-24,657.00,686.00,611.05,676.25,700,676.25
2015-06-23,654.75,684.10,650.00,663.70,2300,663.70
2015-06-22,656.45,666.30,646.00,658.90,2100,658.90
2015-06-19,603.85,656.00,602.15,645.85,1900,645.85
2015-06-18,604.00,610.00,601.20,607.75,500,607.75
2015-06-17,615.50,615.50,599.00,604.40,2100,604.40
2015-06-16,615.00,621.95,605.00,614.35,1200,614.35
2015-06-15,613.45,624.35,613.00,618.50,2100,618.50
2015-06-12,595.00,615.00,585.80,610.85,500,610.85
2015-06-11,626.50,633.00,595.00,597.40,4000,597.40
2015-06-10,620.00,633.50,620.00,628.05,900,628.05
2015-06-09,632.30,634.90,620.00,623.05,900,623.05
2015-06-08,634.00,638.00,625.60,628.55,400,628.55
2015-06-05,670.35,685.00,633.00,639.10,2300,639.10
2015-06-04,670.20,679.00,666.05,668.10,300,668.10
2015-06-03,663.25,672.00,660.85,670.25,900,670.25
2015-06-02,665.00,673.00,664.05,669.35,300,669.35
2015-06-01,675.00,686.00,655.00,675.00,1800,675.00
2015-05-29,661.50,674.00,661.50,674.00,200,674.00
2015-05-28,675.00,680.90,661.00,661.00,1000,661.00
2015-05-27,670.60,674.90,659.95,672.35,2900,672.35
2015-05-26,662.00,690.00,652.00,670.10,2300,670.10
2015-05-25,665.00,677.00,661.30,668.00,2200,668.00
2015-05-22,667.00,695.00,666.00,675.30,1300,675.30
2015-05-21,693.00,695.00,670.00,674.75,1400,674.75
2015-05-20,705.00,714.05,680.00,684.10,2300,684.10
2015-05-19,710.00,720.00,706.00,709.35,1700,709.35
2015-05-18,687.75,721.75,687.75,704.10,1900,704.10
2015-05-15,679.85,685.00,675.85,681.35,400,681.35
2015-05-14,674.40,691.45,666.00,670.00,2700,670.00
2015-05-13,681.50,681.75,671.00,676.65,000,676.65
2015-05-12,679.10,682.05,663.55,670.80,1400,670.80
2015-05-11,694.30,694.30,670.05,681.00,1300,681.00
2015-05-08,669.00,698.90,669.00,694.55,400,694.55
2015-05-07,668.10,672.05,663.00,667.40,1300,667.40
2015-05-06,688.00,693.15,659.00,673.10,2800,673.10
2015-05-05,711.50,711.50,672.70,684.55,1600,684.55
2015-05-04,681.00,712.00,680.75,704.50,700,704.50
2015-05-01,689.45,689.45,689.45,689.45,000,689.45
2015-04-30,680.00,700.00,675.00,689.45,1900,689.45
2015-04-29,676.40,717.35,676.40,687.00,1400,687.00
2015-04-28,666.10,683.15,653.20,681.60,900,681.60
2015-04-27,690.00,690.00,630.00,659.85,3200,659.85
2015-04-24,690.30,690.30,677.35,678.00,900,678.00
2015-04-23,699.65,712.00,688.00,695.35,1200,695.35
2015-04-22,714.00,722.70,693.00,702.50,2400,702.50
2015-04-21,711.85,726.85,705.55,709.40,3500,709.40
2015-04-20,725.00,734.15,712.00,716.70,5600,716.70
2015-04-17,734.00,737.50,724.90,730.25,4800,730.25
2015-04-16,731.75,738.55,718.00,734.50,5400,734.50
2015-04-15,741.50,750.50,721.00,721.85,5800,721.85
2015-04-14,739.75,739.75,739.75,739.75,000,739.75
2015-04-13,740.00,772.00,733.00,739.75,2600,739.75
2015-04-10,751.00,751.00,738.00,740.40,3500,740.40
2015-04-09,785.20,788.40,750.15,753.25,2700,753.25
2015-04-08,791.70,794.00,778.00,781.55,1400,781.55
2015-04-07,791.40,805.00,788.70,793.10,1700,793.10
2015-04-06,798.20,800.00,783.35,786.55,9500,786.55
2015-04-03,795.75,795.75,795.75,795.75,000,795.75
2015-04-02,795.75,795.75,795.75,795.75,000,795.75
2015-04-01,791.90,814.00,787.00,795.75,6400,795.75
2015-03-31,780.00,792.00,764.05,784.20,5200,784.20
2015-03-30,730.05,772.00,719.15,762.35,4400,762.35
2015-03-27,713.85,739.00,692.00,709.95,8200,709.95
2015-03-26,731.55,731.55,710.50,712.75,2100,712.75
2015-03-25,731.00,733.00,708.00,724.20,4200,724.20
2015-03-24,720.00,757.65,713.45,739.30,9000,739.30
2015-03-23,702.80,730.00,674.10,696.40,2600,696.40
2015-03-20,722.00,737.40,690.00,693.50,3100,693.50
2015-03-19,740.00,744.90,708.00,713.70,4400,713.70
2015-03-18,730.00,749.95,722.00,731.90,3100,731.90
2015-03-17,690.00,732.00,690.00,718.35,9000,718.35
2015-03-16,678.00,706.00,666.55,679.80,6700,679.80
2015-03-13,675.00,737.85,675.00,704.30,28300,704.30
2015-03-12,638.55,676.90,638.30,667.85,14700,667.85
2015-03-11,622.65,650.00,622.65,638.80,6100,638.80
2015-03-10,623.00,658.80,618.00,624.65,10600,624.65
2015-03-09,603.05,621.00,602.80,616.75,2100,616.75
2015-03-06,610.15,610.15,610.15,610.15,000,610.15
