Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,4.50,4.50,4.30,4.50,16900,4.50
2015-07-16,4.29,4.29,4.05,4.29,4100,4.29
2015-07-15,4.09,4.09,4.09,4.09,1700,4.09
2015-07-14,3.90,3.90,3.90,3.90,8200,3.90
2015-07-13,3.72,3.72,3.72,3.72,6400,3.72
2015-07-10,3.45,3.55,3.23,3.55,3300,3.55
2015-07-09,3.39,3.39,3.39,3.39,1600,3.39
2015-07-08,3.23,3.23,2.95,3.23,5800,3.23
2015-07-07,2.81,3.08,2.80,3.08,10500,3.08
2015-07-06,2.71,2.95,2.71,2.94,7200,2.94
2015-07-03,2.73,2.90,2.73,2.81,2100,2.81
2015-07-02,2.80,2.95,2.80,2.86,1500,2.86
2015-07-01,2.78,3.06,2.78,2.86,4100,2.86
2015-06-30,2.91,3.00,2.91,2.92,5400,2.92
2015-06-29,3.06,3.06,3.06,3.06,1000,3.06
2015-06-26,2.92,3.22,2.92,3.22,000,3.22
2015-06-25,2.85,3.15,2.85,3.07,8300,3.07
2015-06-24,3.18,3.23,2.93,3.00,11200,3.00
2015-06-23,3.01,3.09,3.00,3.08,4200,3.08
2015-06-22,2.86,3.10,2.86,3.10,7800,3.10
2015-06-19,3.01,3.01,3.01,3.01,000,3.01
2015-06-18,2.96,3.23,2.96,3.01,4800,3.01
2015-06-17,3.09,3.09,3.08,3.08,300,3.08
2015-06-16,2.99,3.24,2.99,3.24,400,3.24
2015-06-15,3.00,3.09,2.86,3.09,3100,3.09
2015-06-12,2.95,2.95,2.71,2.95,7500,2.95
2015-06-11,2.81,2.81,2.81,2.81,000,2.81
2015-06-10,2.67,2.95,2.67,2.95,900,2.95
2015-06-09,2.85,3.00,2.81,2.81,3900,2.81
2015-06-08,2.93,3.22,2.93,2.93,1900,2.93
2015-06-05,2.98,3.07,2.98,3.07,500,3.07
2015-06-04,3.15,3.28,3.13,3.13,5100,3.13
2015-06-03,3.33,3.33,3.28,3.28,6800,3.28
2015-06-02,3.36,3.36,3.36,3.36,000,3.36
2015-06-01,3.32,3.47,3.15,3.47,1700,3.47
2015-05-29,3.31,3.32,3.31,3.31,1600,3.31
2015-05-28,3.51,3.51,3.45,3.45,1500,3.45
2015-05-27,3.62,3.62,3.61,3.61,1400,3.61
2015-05-26,4.15,4.16,3.80,3.80,2100,3.80
2015-05-25,3.97,3.97,3.97,3.97,000,3.97
2015-05-22,3.79,3.79,3.79,3.79,200,3.79
2015-05-21,3.70,3.95,3.70,3.95,200,3.95
2015-05-20,3.85,3.85,3.85,3.85,100,3.85
2015-05-19,3.68,3.71,3.68,3.71,700,3.71
2015-05-18,3.80,3.80,3.80,3.80,600,3.80
2015-05-15,3.30,3.62,3.30,3.62,000,3.62
2015-05-14,3.39,3.45,3.39,3.45,2300,3.45
2015-05-13,3.90,3.90,3.55,3.55,600,3.55
2015-05-12,3.72,4.09,3.72,3.72,500,3.72
2015-05-11,3.89,4.24,3.89,3.90,4200,3.90
2015-05-08,4.09,4.09,4.09,4.09,000,4.09
2015-05-07,4.30,4.30,4.30,4.30,300,4.30
2015-05-06,4.52,4.52,4.52,4.52,100,4.52
2015-05-05,4.75,5.00,4.75,4.75,1100,4.75
2015-05-04,5.20,5.20,4.75,4.85,400,4.85
2015-05-01,5.00,5.00,5.00,5.00,000,5.00
2015-04-30,5.00,5.00,5.00,5.00,000,5.00
2015-04-29,5.00,5.00,4.90,5.00,400,5.00
2015-04-28,4.77,5.15,4.76,5.15,5500,5.15
2015-04-27,5.40,5.40,5.00,5.01,1400,5.01
2015-04-24,5.42,5.42,4.99,5.15,800,5.15
2015-04-23,5.40,5.44,5.25,5.25,3900,5.25
2015-04-22,5.29,5.30,5.19,5.21,2500,5.21
2015-04-21,4.75,5.15,4.74,5.15,3900,5.15
2015-04-20,4.94,5.20,4.94,4.98,1900,4.98
2015-04-17,4.80,5.20,4.80,5.19,3000,5.19
2015-04-16,5.25,5.25,4.99,5.05,4900,5.05
2015-04-15,5.25,5.25,5.25,5.25,4600,5.25
2015-04-14,5.00,5.00,5.00,5.00,000,5.00
2015-04-13,5.37,5.37,4.87,5.00,12100,5.00
2015-04-10,5.00,5.12,4.90,5.12,8900,5.12
2015-04-09,4.90,4.90,4.45,4.88,9900,4.88
2015-04-08,4.62,4.68,4.24,4.68,10500,4.68
2015-04-07,4.10,4.46,4.04,4.46,11100,4.46
2015-04-06,4.31,4.31,4.25,4.25,1000,4.25
2015-04-03,4.15,4.15,4.15,4.15,000,4.15
2015-04-02,4.15,4.15,4.15,4.15,000,4.15
2015-04-01,3.81,4.15,3.81,4.15,4900,4.15
2015-03-31,3.68,3.98,3.68,3.98,2800,3.98
2015-03-30,3.87,4.00,3.87,3.87,14900,3.87
2015-03-27,4.19,4.39,3.99,4.07,8100,4.07
2015-03-26,4.19,4.40,4.19,4.19,9400,4.19
2015-03-25,4.87,4.87,4.41,4.41,2600,4.41
2015-03-24,4.64,4.64,4.64,4.64,8400,4.64
2015-03-23,4.88,4.88,4.88,4.88,000,4.88
2015-03-20,5.13,5.13,5.13,5.13,000,5.13
2015-03-19,5.39,5.39,5.39,5.39,000,5.39
2015-03-18,5.67,5.67,5.67,5.67,2000,5.67
2015-03-17,5.96,5.96,5.96,5.96,000,5.96
2015-03-16,5.96,5.96,5.96,5.96,000,5.96
2015-03-13,5.96,5.96,5.96,5.96,3100,5.96
2015-03-12,6.91,6.91,6.27,6.27,55500,6.27
2015-03-11,6.59,6.59,6.36,6.59,15400,6.59
2015-03-10,6.28,6.28,6.27,6.28,14300,6.28
2015-03-09,5.99,5.99,5.80,5.99,88800,5.99
2015-03-06,5.71,5.71,5.71,5.71,000,5.71
2015-03-05,5.71,5.71,5.71,5.71,21400,5.71
2015-03-04,5.44,5.44,5.44,5.44,4300,5.44
2015-03-03,5.17,5.19,5.15,5.19,8500,5.19
2015-03-02,4.95,4.95,4.65,4.95,37500,4.95
2015-02-27,4.50,4.50,4.50,4.50,800,4.50
2015-02-26,4.29,4.29,4.29,4.29,5400,4.29
2015-02-25,4.09,4.09,4.09,4.09,8000,4.09
2015-02-24,3.90,3.90,3.90,3.90,800,3.90
2015-02-23,3.72,3.72,3.72,3.72,400,3.72
2015-02-20,3.51,3.67,3.51,3.55,5400,3.55
2015-02-19,3.38,3.72,3.38,3.50,600,3.50
2015-02-18,3.81,3.81,3.51,3.55,7600,3.55
2015-02-17,3.63,3.63,3.63,3.63,000,3.63
2015-02-16,3.62,3.63,3.62,3.63,11900,3.63
2015-02-13,3.50,3.50,3.46,3.46,400,3.46
2015-02-12,3.34,3.64,3.34,3.64,2000,3.64
2015-02-11,3.60,3.60,3.28,3.51,400,3.51
2015-02-10,3.25,3.45,3.23,3.45,2800,3.45
2015-02-09,3.44,3.44,3.40,3.40,2000,3.40
2015-02-06,3.45,3.79,3.43,3.44,7600,3.44
2015-02-05,3.70,3.70,3.37,3.61,3000,3.61
2015-02-04,3.50,3.70,3.50,3.54,6100,3.54
2015-02-03,3.60,3.60,3.60,3.60,400,3.60
2015-02-02,3.50,3.80,3.50,3.55,2400,3.55
2015-01-30,3.31,3.64,3.31,3.62,3100,3.62
2015-01-29,3.47,3.82,3.47,3.47,7800,3.47
2015-01-28,3.57,3.92,3.57,3.65,4600,3.65
2015-01-27,3.81,3.96,3.73,3.75,11000,3.75
2015-01-26,3.78,3.78,3.78,3.78,000,3.78
2015-01-23,3.90,3.98,3.73,3.78,9100,3.78
2015-01-22,3.75,3.92,3.61,3.92,1800,3.92
2015-01-21,3.94,3.94,3.78,3.79,8400,3.79
2015-01-20,3.63,3.97,3.62,3.97,13400,3.97
2015-01-19,3.66,3.90,3.63,3.80,4900,3.80
2015-01-16,4.00,4.00,3.78,3.82,3500,3.82
2015-01-15,4.00,4.00,3.88,3.97,2600,3.97
2015-01-14,4.14,4.14,3.96,4.08,11500,4.08
2015-01-13,3.95,3.95,3.95,3.95,5000,3.95
2015-01-12,3.46,3.77,3.46,3.77,2300,3.77
2015-01-09,3.60,3.60,3.60,3.60,000,3.60
2015-01-08,3.57,3.90,3.57,3.60,5200,3.60
2015-01-07,4.00,4.00,3.71,3.72,6500,3.72
2015-01-06,4.10,4.10,3.90,3.90,2400,3.90
2015-01-05,4.30,4.30,3.93,3.93,1500,3.93
2015-01-02,4.09,4.25,4.09,4.13,8500,4.13
2015-01-01,4.08,4.08,3.73,4.08,2200,4.08
2014-12-31,3.89,3.89,3.89,3.89,400,3.89
2014-12-30,4.09,4.09,3.72,4.09,3200,4.09
2014-12-29,3.80,3.90,3.61,3.90,1000,3.90
2014-12-26,3.99,3.99,3.76,3.76,4300,3.76
2014-12-25,3.80,3.80,3.80,3.80,000,3.80
2014-12-24,4.00,4.09,3.80,3.80,1800,3.80
2014-12-23,3.90,3.90,3.75,3.90,1900,3.90
2014-12-22,3.75,3.75,3.61,3.75,2700,3.75
2014-12-19,3.26,3.58,3.26,3.58,4200,3.58
2014-12-18,3.17,3.41,3.17,3.41,500,3.41
2014-12-17,3.25,3.57,3.25,3.25,4100,3.25
2014-12-16,3.40,3.40,3.38,3.40,2600,3.40
2014-12-15,3.44,3.62,3.44,3.55,900,3.55
2014-12-12,3.81,4.00,3.62,3.62,8000,3.62
2014-12-11,3.82,3.82,3.60,3.81,600,3.81
2014-12-10,3.60,3.67,3.60,3.64,3400,3.64
