Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,302.20,306.80,297.00,299.70,35300,299.70
2015-07-16,306.50,310.00,301.00,302.20,36400,302.20
2015-07-15,303.50,312.00,300.60,302.40,48800,302.40
2015-07-14,304.00,312.00,301.00,302.50,45100,302.50
2015-07-13,305.00,309.00,301.40,303.10,25500,303.10
2015-07-10,303.50,309.00,297.00,301.80,31400,301.80
2015-07-09,310.30,315.60,301.10,303.80,36900,303.80
2015-07-08,315.90,327.50,301.00,307.60,63800,307.60
2015-07-07,320.80,329.30,318.00,319.10,53800,319.10
2015-07-06,315.00,325.70,312.30,318.60,59100,318.60
2015-07-03,330.00,340.70,320.20,321.90,109200,321.90
2015-07-02,319.40,337.00,318.00,324.10,124000,324.10
2015-07-01,316.50,323.50,314.00,316.30,52800,316.30
2015-06-30,310.00,317.50,309.00,314.10,52600,314.10
2015-06-29,309.00,317.80,302.80,308.60,92100,308.60
2015-06-26,317.00,327.80,313.10,322.70,84800,322.70
2015-06-25,317.00,322.90,312.30,316.00,87800,316.00
2015-06-24,311.70,324.30,306.90,316.90,163100,316.90
2015-06-23,299.60,315.00,296.00,308.60,197500,308.60
2015-06-22,267.00,301.60,267.00,294.40,276400,294.40
2015-06-19,270.00,275.00,267.10,269.10,92700,269.10
2015-06-18,261.00,280.00,261.00,270.00,225100,270.00
2015-06-17,263.50,273.65,259.00,261.35,91700,261.35
2015-06-16,254.25,267.95,253.25,261.25,82300,261.25
2015-06-15,246.00,268.60,245.15,255.10,106400,255.10
2015-06-12,248.00,251.05,244.35,246.55,44700,246.55
2015-06-11,257.90,260.00,245.70,247.35,50400,247.35
2015-06-10,254.90,261.00,252.30,254.95,32800,254.95
2015-06-09,258.90,261.50,249.75,252.60,64700,252.60
2015-06-08,264.90,270.00,255.00,255.00,31400,255.00
2015-06-05,254.30,268.95,253.45,262.00,76200,262.00
2015-06-04,255.75,264.20,251.00,255.55,72100,255.55
2015-06-03,267.00,271.85,232.00,252.10,96000,252.10
2015-06-02,279.70,280.40,266.00,267.55,50900,267.55
2015-06-01,281.90,285.40,276.05,277.25,35900,277.25
2015-05-29,284.00,289.15,278.00,280.85,58700,280.85
2015-05-28,278.20,292.55,273.85,281.20,96600,281.20
2015-05-27,290.00,292.80,276.15,283.30,148100,283.30
2015-05-26,288.00,304.00,288.00,293.20,244400,293.20
2015-05-25,274.00,291.50,274.00,286.35,215000,286.35
2015-05-22,250.10,286.60,247.00,271.55,302200,271.55
2015-05-21,256.50,263.40,247.00,251.85,58000,251.85
2015-05-20,263.10,269.70,255.00,259.55,62000,259.55
2015-05-19,270.00,270.05,260.95,262.35,45800,262.35
2015-05-18,275.00,280.50,266.00,268.35,168600,268.35
2015-05-15,278.65,283.45,272.30,275.55,56100,275.55
2015-05-14,275.00,288.00,271.00,277.25,192300,277.25
2015-05-13,276.75,285.50,270.00,273.85,99800,273.85
2015-05-12,276.00,285.50,266.10,271.40,186800,271.40
2015-05-11,293.75,294.00,278.50,279.50,108500,279.50
2015-05-08,295.00,300.00,284.50,287.45,152900,287.45
2015-05-07,275.50,296.40,274.90,280.35,200900,280.35
2015-05-06,307.00,308.00,264.80,274.20,245300,274.20
2015-05-05,307.30,321.85,298.80,307.05,380500,307.05
2015-05-04,241.00,279.80,235.00,279.80,223300,279.80
2015-05-01,233.20,233.20,233.20,233.20,000,233.20
2015-04-30,236.70,244.45,231.00,233.20,56900,233.20
2015-04-29,225.05,241.90,222.50,234.75,54900,234.75
2015-04-28,233.95,239.00,229.25,233.00,67500,233.00
2015-04-27,257.90,257.90,241.30,241.30,4500,241.30
2015-04-24,271.70,274.00,254.00,254.00,109300,254.00
2015-04-23,247.00,267.35,245.15,267.35,131200,267.35
2015-04-22,254.65,262.50,254.65,254.65,82400,254.65
2015-04-21,268.05,268.05,268.05,268.05,800,268.05
2015-04-20,282.15,282.15,282.15,282.15,900,282.15
2015-04-17,327.00,327.00,297.00,297.00,172500,297.00
2015-04-16,312.60,312.60,312.60,312.60,39500,312.60
2015-04-15,297.75,297.75,297.75,297.75,35000,297.75
2015-04-14,283.60,283.60,283.60,283.60,000,283.60
2015-04-13,282.00,283.60,275.30,283.60,123600,283.60
2015-04-10,248.00,258.90,243.35,257.85,291400,257.85
2015-04-09,234.50,235.40,226.00,235.40,342800,235.40
2015-04-08,201.80,214.00,193.90,214.00,211600,214.00
2015-04-07,158.70,178.35,155.20,178.35,344500,178.35
2015-04-06,148.65,148.65,148.65,148.65,10000,148.65
2015-04-03,135.15,135.15,135.15,135.15,000,135.15
