Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,23.50,24.05,22.55,23.05,28900,23.05
2015-07-16,22.40,23.50,22.10,22.80,38400,22.80
2015-07-15,22.35,22.60,22.00,22.10,5400,22.10
2015-07-14,22.50,22.80,22.20,22.30,4900,22.30
2015-07-13,21.90,22.50,21.90,22.10,19500,22.10
2015-07-10,22.30,22.80,21.50,21.60,14800,21.60
2015-07-09,21.65,22.00,21.40,21.75,11000,21.75
2015-07-08,21.90,22.55,21.45,21.55,8800,21.55
2015-07-07,22.60,22.60,21.70,22.20,31900,22.20
2015-07-06,22.00,22.70,21.75,22.30,9700,22.30
2015-07-03,23.40,23.40,22.40,22.55,24100,22.55
2015-07-02,22.40,23.80,22.15,22.70,36500,22.70
2015-07-01,22.15,22.60,21.90,22.05,6100,22.05
2015-06-30,22.00,22.50,21.15,21.75,9800,21.75
2015-06-29,21.20,22.90,21.20,21.50,7000,21.50
2015-06-26,22.55,22.65,22.00,22.20,10700,22.20
2015-06-25,22.80,23.50,22.10,22.45,19400,22.45
2015-06-24,21.85,22.85,21.85,22.25,4400,22.25
2015-06-23,21.50,23.65,21.50,22.65,24700,22.65
2015-06-22,22.05,22.55,21.85,22.05,10000,22.05
2015-06-19,22.00,22.45,21.05,22.05,9700,22.05
2015-06-18,20.10,22.30,20.10,21.40,7000,21.40
2015-06-17,22.30,22.30,21.50,21.70,3200,21.70
2015-06-16,21.90,22.45,21.55,21.75,3600,21.75
2015-06-15,22.00,22.00,21.30,21.30,8100,21.30
2015-06-12,22.10,22.30,21.80,21.80,400,21.80
2015-06-11,23.10,23.60,21.80,22.30,2100,22.30
2015-06-10,22.80,24.20,22.50,23.05,23300,23.05
2015-06-09,21.50,22.80,21.25,22.70,5800,22.70
2015-06-08,22.55,23.50,21.40,21.65,7600,21.65
2015-06-05,23.40,23.60,22.90,22.90,3500,22.90
2015-06-04,23.10,23.40,22.50,23.25,2500,23.25
2015-06-03,24.40,24.40,22.70,23.00,10200,23.00
2015-06-02,25.50,25.50,25.00,25.00,1300,25.00
2015-06-01,26.45,26.45,25.65,25.65,100,25.65
2015-05-29,26.75,26.80,25.25,26.00,5700,26.00
2015-05-28,25.80,25.80,25.75,25.75,100,25.75
2015-05-27,26.05,26.10,25.60,25.65,1200,25.65
2015-05-26,26.60,26.60,26.00,26.00,8900,26.00
2015-05-25,26.10,26.30,25.75,26.15,9400,26.15
2015-05-22,26.00,26.70,26.00,26.50,1100,26.50
2015-05-21,26.70,26.70,25.80,26.15,4800,26.15
2015-05-20,26.55,26.70,25.70,26.10,16900,26.10
2015-05-19,26.45,26.70,25.75,25.90,2800,25.90
2015-05-18,26.30,26.65,26.05,26.20,5600,26.20
2015-05-15,26.65,27.10,26.10,26.35,5000,26.35
2015-05-14,27.00,27.40,26.10,26.40,6900,26.40
2015-05-13,26.50,28.55,26.35,27.15,33900,27.15
2015-05-12,27.20,27.65,26.25,26.50,5500,26.50
2015-05-11,27.35,27.95,27.35,27.95,200,27.95
2015-05-08,27.85,28.20,27.30,27.30,2400,27.30
2015-05-07,28.20,28.30,26.75,28.20,2700,28.20
2015-05-06,28.05,28.95,27.15,27.35,7600,27.35
2015-05-05,28.90,29.00,28.30,28.30,2300,28.30
2015-05-04,28.50,28.50,28.00,28.10,3400,28.10
2015-05-01,27.75,27.75,27.75,27.75,000,27.75
2015-04-30,27.80,28.50,27.05,27.75,6600,27.75
2015-04-29,28.30,28.75,27.50,27.95,2000,27.95
2015-04-28,31.70,31.70,28.00,28.45,1300,28.45
2015-04-27,28.05,28.75,27.85,28.00,1200,28.00
2015-04-24,29.40,30.00,28.40,28.85,8400,28.85
2015-04-23,30.75,30.75,29.35,29.40,6800,29.40
2015-04-22,31.10,31.10,29.30,29.40,3300,29.40
2015-04-21,30.10,30.50,29.20,29.50,33500,29.50
2015-04-20,31.35,31.35,30.30,30.60,1600,30.60
2015-04-17,31.20,31.50,30.80,31.05,5600,31.05
2015-04-16,32.10,32.15,31.00,31.80,17400,31.80
2015-04-15,33.25,33.40,31.55,31.95,6400,31.95
2015-04-14,32.85,32.85,32.85,32.85,000,32.85
2015-04-13,33.25,33.25,32.40,32.85,6500,32.85
2015-04-10,31.10,35.25,31.05,33.60,61400,33.60
2015-04-09,31.85,32.90,31.15,31.60,10000,31.60
2015-04-08,34.00,34.00,31.60,31.85,24400,31.85
2015-04-07,29.30,34.60,28.60,33.30,59900,33.30
2015-04-06,28.80,29.45,28.80,29.05,1900,29.05
2015-04-03,30.25,30.25,30.25,30.25,000,30.25
2015-04-02,30.25,30.25,30.25,30.25,000,30.25
2015-04-01,32.60,32.60,29.50,30.25,40200,30.25
2015-03-31,27.75,29.50,27.30,28.10,14300,28.10
2015-03-30,27.45,27.60,26.70,27.15,2200,27.15
2015-03-27,26.70,27.00,26.20,26.40,7200,26.40
2015-03-26,27.60,28.30,25.50,26.00,38700,26.00
2015-03-25,28.50,29.15,27.85,28.15,21500,28.15
2015-03-24,28.30,28.30,27.35,27.85,12100,27.85
2015-03-23,28.65,30.00,27.95,28.70,21800,28.70
2015-03-20,31.30,31.80,29.30,29.50,19100,29.50
2015-03-19,32.70,33.00,31.05,31.70,36200,31.70
2015-03-18,34.25,35.30,31.40,32.00,161100,32.00
2015-03-17,28.05,33.60,27.50,33.60,272200,33.60
2015-03-16,29.00,29.00,27.90,28.00,3600,28.00
2015-03-13,29.60,29.90,28.80,29.55,5700,29.55
2015-03-12,30.50,30.50,29.70,30.05,3200,30.05
2015-03-11,29.55,30.60,29.55,30.20,2400,30.20
2015-03-10,30.50,31.35,30.45,30.65,2700,30.65
2015-03-09,30.65,30.95,30.30,30.80,3300,30.80
2015-03-06,31.40,31.40,31.40,31.40,000,31.40
2015-03-05,30.75,31.65,30.60,31.40,6300,31.40
2015-03-04,31.35,31.80,30.65,31.40,22100,31.40
2015-03-03,30.60,31.60,30.30,30.90,10900,30.90
2015-03-02,32.00,32.00,30.65,30.70,12100,30.70
2015-02-27,33.40,35.00,33.00,33.80,43000,33.80
2015-02-26,32.05,34.90,32.05,33.55,24700,33.55
2015-02-25,35.05,35.90,33.75,34.45,137700,34.45
2015-02-24,32.60,32.70,31.90,32.15,3700,32.15
2015-02-23,33.40,33.85,32.70,32.75,8300,32.75
2015-02-20,33.40,33.60,32.70,33.00,8900,33.00
2015-02-19,34.75,36.00,34.00,34.20,47000,34.20
2015-02-18,31.50,34.20,31.00,33.65,22800,33.65
2015-02-17,31.90,31.90,31.90,31.90,000,31.90
2015-02-16,32.55,32.55,31.65,31.90,2100,31.90
2015-02-13,33.65,33.65,31.70,32.05,7300,32.05
2015-02-12,32.85,32.85,32.30,32.45,4000,32.45
2015-02-11,33.25,33.25,32.00,32.35,1900,32.35
2015-02-10,32.10,32.10,31.60,31.60,1100,31.60
2015-02-09,33.10,33.10,31.50,31.60,5900,31.60
2015-02-06,33.00,33.75,32.80,33.10,4300,33.10
2015-02-05,33.25,34.40,32.55,33.00,9400,33.00
2015-02-04,34.15,34.30,33.60,33.70,5100,33.70
2015-02-03,35.10,35.80,34.00,34.65,18200,34.65
2015-02-02,32.00,35.00,32.00,33.80,21000,33.80
2015-01-30,31.70,32.35,31.70,32.10,1700,32.10
2015-01-29,32.00,32.45,31.55,31.75,1000,31.75
2015-01-28,32.10,32.60,31.70,31.85,8300,31.85
2015-01-27,32.55,32.80,32.00,32.20,4500,32.20
2015-01-26,32.80,32.80,32.80,32.80,000,32.80
2015-01-23,33.80,34.40,32.65,32.80,7500,32.80
2015-01-22,32.50,33.30,32.30,32.95,7400,32.95
2015-01-21,33.00,33.00,32.30,32.30,1900,32.30
2015-01-20,33.70,34.25,32.65,32.95,5500,32.95
2015-01-19,32.80,34.20,32.50,33.65,32100,33.65
2015-01-16,32.65,32.90,32.35,32.40,1900,32.40
2015-01-15,33.05,33.25,32.50,32.60,3700,32.60
2015-01-14,33.00,33.80,32.50,32.60,18100,32.60
2015-01-13,32.10,33.95,32.10,32.35,4100,32.35
2015-01-12,32.35,33.10,32.35,32.80,1200,32.80
2015-01-09,33.75,33.75,33.00,33.00,3700,33.00
2015-01-08,33.80,34.30,33.00,33.45,6900,33.45
2015-01-07,32.15,34.55,32.15,33.15,22400,33.15
2015-01-06,33.25,33.50,31.80,31.80,10400,31.80
2015-01-05,34.05,34.50,33.00,33.10,7700,33.10
2015-01-02,34.55,34.95,33.75,33.95,12700,33.95
