Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,156.25,157.55,154.40,154.75,59200,154.75
2015-07-16,157.80,159.80,154.70,155.40,127000,155.40
2015-07-15,156.55,158.80,154.80,156.10,120300,156.10
2015-07-14,156.85,156.90,153.75,154.20,60100,154.20
2015-07-13,155.00,159.00,155.00,155.65,75500,155.65
2015-07-10,152.20,163.50,150.85,154.75,402300,154.75
2015-07-09,152.10,153.65,150.10,150.70,51000,150.70
2015-07-08,151.50,154.20,150.40,151.10,63200,151.10
2015-07-07,155.70,157.50,153.40,154.00,81200,154.00
2015-07-06,151.10,155.20,150.70,153.90,106000,153.90
2015-07-03,157.00,158.55,153.00,154.35,108800,154.35
2015-07-02,155.50,162.00,154.40,156.05,251200,156.05
2015-07-01,152.10,159.30,152.10,154.55,203700,154.55
2015-06-30,151.30,156.30,151.30,152.50,110100,152.50
2015-06-29,154.60,154.60,148.20,151.35,94400,151.35
2015-06-26,154.00,161.80,152.10,154.60,199300,154.60
2015-06-25,156.10,156.50,152.60,153.75,84200,153.75
2015-06-24,159.30,163.95,154.20,155.80,158900,155.80
2015-06-23,157.95,162.40,154.05,158.50,96900,158.50
2015-06-22,156.90,160.80,152.60,157.20,118100,157.20
2015-06-19,166.00,167.30,154.00,155.40,224800,155.40
2015-06-18,161.50,161.90,156.40,161.90,454500,161.90
2015-06-17,138.00,163.50,137.35,160.25,647200,160.25
2015-06-16,138.50,139.00,135.00,137.25,36300,137.25
2015-06-15,138.00,140.00,137.90,138.20,35000,138.20
2015-06-12,138.50,140.95,137.20,138.05,41200,138.05
2015-06-11,142.20,145.00,139.10,139.55,45300,139.55
2015-06-10,139.25,144.10,139.00,141.70,59200,141.70
2015-06-09,144.80,144.80,138.35,139.25,63800,139.25
2015-06-08,148.00,149.30,142.30,143.20,46900,143.20
2015-06-05,147.00,150.75,145.45,147.20,57100,147.20
2015-06-04,150.00,152.00,144.55,146.75,53900,146.75
2015-06-03,159.00,161.10,142.80,148.45,94500,148.45
2015-06-02,162.65,163.45,159.05,159.30,40300,159.30
2015-06-01,163.35,165.50,161.60,161.95,53500,161.95
2015-05-29,162.10,164.50,162.10,162.65,43200,162.65
2015-05-28,163.30,165.00,161.50,162.00,36300,162.00
2015-05-27,164.50,165.00,162.30,162.60,45800,162.60
2015-05-26,168.25,168.25,165.00,165.65,31900,165.65
2015-05-25,170.05,171.10,166.90,167.50,59100,167.50
2015-05-22,170.00,170.45,166.00,166.85,65000,166.85
2015-05-21,170.25,172.50,167.00,169.15,72500,169.15
2015-05-20,170.30,173.15,169.00,169.55,90500,169.55
2015-05-19,170.20,171.30,168.00,169.40,66200,169.40
2015-05-18,168.00,172.40,166.65,169.20,68000,169.20
2015-05-15,166.05,174.00,166.00,168.30,223400,168.30
2015-05-14,166.00,167.35,163.30,165.05,67700,165.05
2015-05-13,163.30,168.00,162.00,164.90,115200,164.90
2015-05-12,168.10,168.95,161.60,162.05,53700,162.05
2015-05-11,166.05,169.00,165.50,167.65,58800,167.65
