Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,386.60,390.10,382.00,386.20,2100,386.20
2015-07-16,393.50,394.50,386.00,388.70,2800,388.70
2015-07-15,393.20,407.30,386.00,389.90,2500,389.90
2015-07-14,394.60,399.50,385.00,388.20,2600,388.20
2015-07-13,390.00,403.30,390.00,393.30,8800,393.30
2015-07-10,400.00,414.00,380.00,385.40,9900,385.40
2015-07-09,354.80,425.10,354.80,395.30,69600,395.30
2015-07-08,356.40,357.00,352.00,354.30,1100,354.30
2015-07-07,350.00,360.00,340.10,359.10,3000,359.10
2015-07-06,356.40,356.40,343.40,348.30,2000,348.30
2015-07-03,363.50,365.00,354.00,356.30,2500,356.30
2015-07-02,373.00,404.00,359.00,361.10,1400,361.10
2015-07-01,365.00,374.90,365.00,368.30,1500,368.30
2015-06-30,365.00,366.00,362.30,364.60,700,364.60
2015-06-29,373.50,375.50,361.00,361.40,400,361.40
2015-06-26,378.50,379.90,372.10,372.70,700,372.70
2015-06-25,373.00,380.00,373.00,376.60,400,376.60
2015-06-24,380.70,382.00,369.20,379.40,2300,379.40
2015-06-23,387.50,387.50,375.10,379.90,3300,379.90
2015-06-22,390.00,390.00,381.00,383.90,800,383.90
2015-06-19,404.00,405.00,382.00,386.10,600,386.10
2015-06-18,390.00,392.50,0.01,385.40,1800,385.40
2015-06-17,404.00,404.00,384.80,389.60,2400,389.60
2015-06-16,409.40,415.00,389.80,392.30,2300,392.30
2015-06-15,418.90,421.20,408.00,410.00,700,410.00
2015-06-12,422.40,422.40,407.00,412.60,1200,412.60
2015-06-11,422.40,425.20,405.50,414.30,1200,414.30
2015-06-10,419.90,425.80,419.00,420.90,600,420.90
2015-06-09,411.00,419.90,407.60,419.10,1100,419.10
2015-06-08,415.00,427.40,408.30,427.40,1100,427.40
2015-06-05,415.00,422.00,407.30,419.00,1000,419.00
2015-06-04,410.00,424.00,400.00,418.00,6200,418.00
2015-06-03,456.00,456.00,380.00,418.80,3100,418.80
2015-06-02,425.00,428.00,412.10,415.20,900,415.20
2015-06-01,420.00,427.90,416.00,420.70,1900,420.70
2015-05-29,418.00,432.40,413.70,432.40,3700,432.40
2015-05-28,425.00,432.40,419.40,422.00,700,422.00
2015-05-27,420.00,429.00,416.00,425.90,500,425.90
2015-05-26,427.00,429.90,420.50,421.80,400,421.80
2015-05-25,442.00,443.00,421.20,428.50,2600,428.50
2015-05-22,456.00,456.00,445.00,445.80,1100,445.80
2015-05-21,462.00,462.00,446.10,451.80,1800,451.80
2015-05-20,455.00,461.90,452.00,460.90,1400,460.90
2015-05-19,460.00,463.00,451.80,453.10,1000,453.10
2015-05-18,465.00,468.90,462.00,463.90,1200,463.90
2015-05-15,444.90,481.80,444.00,464.70,9500,464.70
2015-05-14,440.00,449.50,438.30,443.00,300,443.00
2015-05-13,450.00,450.00,437.00,442.20,500,442.20
2015-05-12,454.90,456.00,436.50,442.00,1000,442.00
2015-05-11,454.00,462.40,448.00,449.50,2500,449.50
2015-05-08,452.40,457.40,440.50,451.00,600,451.00
2015-05-07,455.40,463.00,434.00,450.00,3900,450.00
2015-05-06,468.00,471.00,453.80,456.50,2600,456.50
2015-05-05,471.50,477.40,463.60,467.40,1900,467.40
2015-05-04,475.00,477.00,467.30,468.90,1100,468.90
2015-05-01,475.20,475.20,475.20,475.20,000,475.20
2015-04-30,471.00,483.90,466.10,475.20,3400,475.20
2015-04-29,470.00,478.10,458.00,474.20,5200,474.20
2015-04-28,460.00,477.40,456.00,466.20,9400,466.20
2015-04-27,499.50,499.50,445.00,458.40,7400,458.40
2015-04-24,481.00,490.00,460.10,470.50,7200,470.50
2015-04-23,506.00,512.00,475.00,484.90,20200,484.90
2015-04-22,428.80,507.70,418.20,501.90,32000,501.90
2015-04-21,431.10,433.50,422.50,423.10,900,423.10
2015-04-20,450.00,450.00,423.20,428.20,3400,428.20
2015-04-17,432.00,443.00,432.00,442.10,4200,442.10
2015-04-16,434.90,437.40,431.40,435.70,2100,435.70
2015-04-15,436.00,438.30,430.00,434.30,1200,434.30
2015-04-14,432.80,432.80,432.80,432.80,000,432.80
2015-04-13,430.10,436.90,426.00,432.80,6800,432.80
2015-04-10,425.00,433.00,424.00,430.30,8500,430.30
2015-04-09,429.50,429.50,420.00,424.80,2100,424.80
2015-04-08,430.00,437.00,421.90,424.30,5900,424.30
2015-04-07,430.00,430.00,420.00,420.80,900,420.80
2015-04-06,434.50,434.50,422.00,423.60,4200,423.60
2015-04-03,427.10,427.10,427.10,427.10,000,427.10
