Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,40.75,46.45,40.75,44.35,227000,44.35
2015-07-16,37.90,41.00,37.90,40.50,79100,40.50
2015-07-15,36.00,39.25,35.30,37.85,53200,37.85
2015-07-14,35.75,38.10,35.00,35.15,18500,35.15
2015-07-13,37.10,37.15,35.80,36.25,14000,36.25
2015-07-10,37.90,38.00,37.05,37.10,4100,37.10
2015-07-09,38.35,38.35,37.25,37.30,2000,37.30
2015-07-08,37.20,38.70,36.10,37.05,9700,37.05
2015-07-07,35.85,38.80,35.30,37.35,27200,37.35
2015-07-06,34.95,35.80,34.05,35.35,5500,35.35
2015-07-03,35.50,35.70,35.50,35.50,2700,35.50
2015-07-02,34.75,35.40,34.60,34.80,1500,34.80
2015-07-01,35.50,35.50,34.35,34.90,13000,34.90
2015-06-30,32.85,35.05,32.85,34.55,4000,34.55
2015-06-29,32.75,34.30,30.00,33.45,8200,33.45
2015-06-26,33.75,34.15,33.50,34.15,5000,34.15
2015-06-25,34.30,34.65,34.10,34.10,3600,34.10
2015-06-24,34.55,35.75,34.55,34.95,14000,34.95
2015-06-23,34.50,34.80,34.25,34.40,4700,34.40
2015-06-22,34.40,34.50,33.60,34.05,8400,34.05
2015-06-19,34.50,34.70,33.60,33.75,5300,33.75
2015-06-18,34.90,34.90,34.00,34.05,2300,34.05
2015-06-17,33.05,34.50,33.05,34.25,4400,34.25
2015-06-16,34.00,34.00,33.20,33.80,3900,33.80
2015-06-15,34.95,34.95,33.30,33.65,2600,33.65
2015-06-12,34.15,34.40,33.90,34.15,3400,34.15
2015-06-11,34.60,35.10,34.00,34.45,9600,34.45
2015-06-10,31.30,35.00,31.30,34.80,1200,34.80
2015-06-09,34.00,35.25,34.00,34.00,5200,34.00
2015-06-08,36.10,36.10,33.55,34.00,8700,34.00
2015-06-05,37.00,37.00,35.00,35.05,20500,35.05
2015-06-04,34.20,35.90,34.20,35.75,3000,35.75
2015-06-03,35.75,35.95,33.95,34.05,8000,34.05
2015-06-02,35.45,36.25,35.20,35.70,3700,35.70
2015-06-01,36.70,37.20,35.10,35.70,15300,35.70
2015-05-29,36.50,37.00,36.00,37.00,14600,37.00
2015-05-28,36.80,37.50,36.50,36.50,6500,36.50
2015-05-27,37.00,37.50,36.00,36.50,20400,36.50
2015-05-26,38.00,38.00,36.30,36.55,9500,36.55
2015-05-25,38.80,38.80,37.60,38.15,10200,38.15
2015-05-22,39.95,40.85,39.75,40.20,4700,40.20
2015-05-21,41.00,41.10,39.60,39.95,12100,39.95
2015-05-20,42.50,43.00,41.15,41.50,5900,41.50
2015-05-19,42.00,43.45,41.00,42.70,10800,42.70
2015-05-18,42.95,46.00,41.40,41.55,9500,41.55
2015-05-15,43.40,43.40,41.50,41.75,3100,41.75
2015-05-14,41.50,42.50,41.50,42.10,10500,42.10
2015-05-13,41.40,42.70,40.85,42.35,15400,42.35
2015-05-12,43.00,45.40,40.50,41.30,84500,41.30
2015-05-11,40.70,43.40,39.95,42.60,13800,42.60
2015-05-08,38.50,40.50,38.35,38.50,7100,38.50
2015-05-07,38.70,39.00,38.45,38.45,2200,38.45
2015-05-06,40.15,40.15,37.85,39.25,3500,39.25
2015-05-05,40.00,40.10,39.30,39.70,3200,39.70
2015-05-04,40.50,40.50,39.50,40.35,2300,40.35
2015-05-01,39.90,39.90,39.90,39.90,000,39.90
2015-04-30,39.25,40.65,39.25,39.90,1300,39.90
2015-04-29,39.10,41.00,39.00,39.40,4300,39.40
2015-04-28,40.80,40.80,38.05,39.65,7100,39.65
2015-04-27,40.60,40.60,39.00,39.10,4700,39.10
2015-04-24,41.35,42.50,41.00,41.25,743600,41.25
2015-04-23,41.15,42.70,41.10,41.60,12500,41.60
2015-04-22,42.55,42.70,41.20,41.60,4600,41.60
2015-04-21,43.50,43.85,42.35,42.50,8100,42.50
