Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,408.50,409.20,408.20,408.50,22400,408.50
2015-07-16,408.60,409.00,407.80,408.30,21300,408.30
2015-07-15,408.00,408.80,408.00,408.50,26100,408.50
2015-07-14,407.60,408.00,407.10,407.40,24300,407.40
2015-07-13,407.40,408.00,406.60,407.50,26400,407.50
2015-07-10,408.40,409.00,406.60,407.30,23800,407.30
2015-07-09,407.50,407.80,406.20,406.50,25100,406.50
2015-07-08,407.00,408.20,406.80,407.50,24600,407.50
2015-07-07,408.60,409.00,408.10,408.60,24300,408.60
2015-07-06,409.00,409.00,407.00,408.90,27200,408.90
2015-07-03,408.50,410.00,408.00,409.20,24100,409.20
2015-07-02,408.40,409.00,408.00,408.70,24700,408.70
2015-07-01,408.50,409.00,408.00,408.00,10500,408.00
2015-06-30,408.60,409.00,408.00,408.30,7200,408.30
2015-06-29,407.40,408.60,407.20,408.00,7800,408.00
2015-06-26,412.60,412.60,410.00,410.70,6800,410.70
2015-06-25,411.50,412.60,411.40,412.40,7500,412.40
2015-06-24,411.50,412.00,410.70,411.80,7900,411.80
2015-06-23,411.10,412.00,411.00,411.50,12300,411.50
2015-06-22,409.50,412.00,409.40,411.60,14500,411.60
2015-06-19,409.60,410.80,409.00,409.00,12500,409.00
2015-06-18,409.00,410.60,408.10,409.90,13600,409.90
2015-06-17,407.50,409.00,407.40,408.20,10500,408.20
2015-06-16,407.50,408.20,405.00,407.40,14100,407.40
2015-06-15,407.40,408.00,407.00,407.50,12900,407.50
2015-06-12,407.30,407.70,407.00,407.30,18500,407.30
2015-06-11,407.50,408.00,406.40,407.50,17400,407.50
2015-06-10,407.50,408.00,407.00,407.70,19100,407.70
2015-06-09,407.50,408.00,407.00,407.70,21400,407.70
2015-06-08,408.50,411.00,405.50,406.80,53100,406.80
2015-06-05,405.50,405.90,405.00,405.70,13800,405.70
2015-06-04,405.50,406.00,404.70,405.80,12800,405.80
2015-06-03,409.40,409.90,404.40,405.60,14300,405.60
2015-06-02,412.50,413.00,409.00,409.60,13300,409.60
2015-06-01,412.50,413.00,412.00,412.70,12600,412.70
2015-05-29,412.50,413.00,412.00,412.00,12700,412.00
2015-05-28,412.60,413.00,412.00,412.60,12500,412.60
2015-05-27,412.50,413.00,412.00,412.50,12300,412.50
2015-05-26,412.60,413.00,412.00,412.00,12800,412.00
2015-05-25,412.50,413.00,412.00,413.00,12000,413.00
2015-05-22,412.50,414.20,411.60,412.50,14100,412.50
2015-05-21,412.50,413.10,411.80,412.50,13700,412.50
2015-05-20,413.00,413.00,412.30,412.70,12700,412.70
2015-05-19,412.60,413.00,412.00,412.70,12600,412.70
2015-05-18,401.00,418.00,401.00,412.50,32400,412.50
2015-05-15,400.50,401.00,400.00,400.70,12600,400.70
2015-05-14,400.50,401.00,400.00,400.80,13100,400.80
2015-05-13,401.50,401.60,400.00,400.70,13500,400.70
2015-05-12,403.00,403.40,399.60,400.30,13900,400.30
2015-05-11,402.50,403.00,402.00,402.60,11700,402.60
2015-05-08,400.50,401.90,400.40,401.80,13800,401.80
2015-05-07,400.40,400.70,400.00,400.40,12600,400.40
2015-05-06,402.60,402.60,399.80,399.90,12500,399.90
2015-05-05,402.50,403.00,402.00,402.30,26800,402.30
2015-05-04,401.50,403.10,401.50,402.90,25700,402.90
2015-05-01,400.80,400.80,400.80,400.80,000,400.80
2015-04-30,402.50,402.60,400.20,400.80,26300,400.80
2015-04-29,402.10,403.00,400.80,401.60,26300,401.60
2015-04-28,400.10,402.50,399.40,402.20,27200,402.20
2015-04-27,402.50,402.60,400.10,400.20,26900,400.20
2015-04-24,403.50,404.00,401.00,401.10,25500,401.10
2015-04-23,405.90,406.20,403.00,403.80,27100,403.80
2015-04-22,405.50,405.60,402.40,404.50,24300,404.50
2015-04-21,406.60,407.00,404.00,404.80,28700,404.80
2015-04-20,406.00,407.10,405.80,406.50,27000,406.50
2015-04-17,406.50,407.00,406.00,406.40,26900,406.40
2015-04-16,406.40,407.20,405.80,406.60,28100,406.60
2015-04-15,406.50,407.00,406.00,406.70,27900,406.70
2015-04-14,406.50,406.50,406.50,406.50,000,406.50
2015-04-13,406.50,407.00,406.00,406.50,26700,406.50
2015-04-10,406.50,407.00,405.80,406.90,25300,406.90
2015-04-09,406.60,407.00,406.00,406.40,27200,406.40
2015-04-08,406.50,407.00,406.10,406.60,27400,406.60
2015-04-07,406.50,407.20,405.80,406.40,26000,406.40
2015-04-06,406.50,407.50,401.50,406.70,45600,406.70
2015-04-03,406.50,406.50,406.50,406.50,000,406.50
2015-04-02,406.50,406.50,406.50,406.50,000,406.50
2015-04-01,404.50,407.00,404.00,406.50,35700,406.50
2015-03-31,404.50,405.50,403.80,404.20,30400,404.20
2015-03-30,405.00,407.50,403.20,404.10,34200,404.10
2015-03-27,403.50,406.60,403.00,404.30,32400,404.30
2015-03-26,405.50,405.90,403.40,403.60,31300,403.60
2015-03-25,406.60,407.50,406.00,406.00,30700,406.00
2015-03-24,405.50,407.40,405.30,406.90,50800,406.90
2015-03-23,406.50,406.60,404.60,405.70,51900,405.70
2015-03-20,407.50,407.60,405.20,405.70,54000,405.70
2015-03-19,407.00,408.30,407.00,407.40,41900,407.40
2015-03-18,405.50,406.40,404.80,405.50,50000,405.50
2015-03-17,404.90,407.60,404.00,404.90,51200,404.90
2015-03-16,404.00,405.00,403.70,404.50,49800,404.50
2015-03-13,407.50,408.00,403.80,404.40,48500,404.40
2015-03-12,405.60,408.00,405.00,407.30,55200,407.30
2015-03-11,405.50,405.60,405.30,405.60,50200,405.60
2015-03-10,405.50,406.00,405.00,405.50,41500,405.50
2015-03-09,405.40,405.60,404.60,404.60,15500,404.60
2015-03-06,405.70,405.70,405.70,405.70,000,405.70
2015-03-05,405.50,406.20,404.90,405.70,13600,405.70
2015-03-04,405.60,405.90,405.00,405.50,14200,405.50
2015-03-03,405.50,405.90,404.10,405.10,15100,405.10
2015-03-02,405.60,406.10,404.80,404.80,15100,404.80
2015-02-27,405.60,406.40,405.00,405.10,12700,405.10
2015-02-26,405.30,406.00,405.00,405.90,12200,405.90
2015-02-25,405.60,406.00,405.10,406.00,12300,406.00
2015-02-24,405.50,406.60,405.20,406.20,12800,406.20
2015-02-23,405.60,406.00,405.00,405.60,12400,405.60
2015-02-20,405.50,406.00,405.00,405.80,13400,405.80
2015-02-19,405.50,406.60,405.00,406.20,26800,406.20
2015-02-18,404.10,406.70,404.10,406.00,48200,406.00
2015-02-17,405.40,405.40,405.40,405.40,000,405.40
2015-02-16,405.00,405.70,405.00,405.40,45600,405.40
2015-02-13,403.55,405.50,403.00,404.90,49900,404.90
2015-02-12,403.60,404.45,401.85,403.55,29500,403.55
2015-02-11,403.55,404.70,402.80,403.65,28700,403.65
2015-02-10,403.50,404.20,403.00,403.55,28000,403.55
2015-02-09,403.30,404.00,402.75,403.70,33400,403.70
2015-02-06,403.50,404.10,403.00,403.55,27000,403.55
2015-02-05,403.50,404.40,402.75,403.65,51200,403.65
2015-02-04,403.25,404.20,402.75,403.75,55100,403.75
2015-02-03,403.50,404.20,402.50,403.35,58400,403.35
2015-02-02,403.20,404.15,402.75,403.70,52800,403.70
2015-01-30,403.50,404.20,402.75,403.60,49600,403.60
2015-01-29,403.50,404.20,402.75,403.90,48500,403.90
2015-01-28,403.25,404.20,402.50,402.50,53900,402.50
