Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,115.50,116.00,111.40,112.45,8500,109.85
2015-07-16,113.55,119.20,113.10,114.30,6700,111.66
2015-07-15,114.00,115.55,111.50,112.60,8800,110.00
2015-07-14,115.00,116.95,113.10,114.20,11600,111.56
2015-07-13,120.00,120.00,113.50,114.05,11400,111.41
2015-07-10,124.55,125.30,115.35,116.75,48100,114.05
2015-07-09,122.50,128.80,119.00,122.00,81600,119.18
2015-07-08,120.00,126.00,118.10,119.60,57100,116.83
2015-07-07,122.50,128.75,119.60,122.05,283900,119.23
2015-07-06,104.55,109.00,104.50,107.30,2200,104.82
2015-07-03,103.80,106.00,101.00,103.70,2700,101.30
2015-07-02,104.00,104.00,96.10,99.85,800,97.54
2015-07-01,104.00,104.00,98.00,98.35,3800,96.08
2015-06-30,103.00,103.00,97.30,98.60,4000,96.32
2015-06-29,100.20,100.20,97.40,98.10,900,95.83
2015-06-26,104.90,105.00,101.70,102.30,4700,99.93
2015-06-25,108.40,108.40,105.00,105.10,2400,102.67
2015-06-24,107.00,107.80,106.00,106.50,700,104.04
2015-06-23,110.00,110.00,106.30,106.70,2800,104.23
2015-06-22,119.50,119.50,105.00,107.10,8000,104.62
2015-06-19,103.80,107.30,103.10,105.00,1100,102.57
2015-06-18,105.00,107.50,0.01,105.20,3500,102.77
2015-06-17,103.00,104.00,100.10,101.70,2100,99.35
2015-06-16,101.00,102.70,100.10,101.90,1800,99.54
2015-06-15,100.00,100.30,99.00,100.10,3900,97.79
2015-06-12,99.00,99.00,97.40,97.80,1800,95.54
2015-06-11,104.80,105.00,97.50,98.90,4200,96.61
2015-06-10,109.00,110.60,100.40,102.40,8300,100.03
2015-06-09,107.90,110.00,105.10,105.40,1400,102.96
2015-06-08,110.40,111.10,105.00,106.10,2200,103.65
2015-06-05,113.00,113.00,111.00,112.90,900,110.29
2015-06-04,112.30,112.30,110.00,111.40,3300,108.82
2015-06-03,119.80,120.00,107.10,112.90,4800,110.29
2015-06-02,126.00,127.80,119.00,120.00,12400,117.23
2015-06-01,121.80,124.30,120.00,123.20,4500,120.35
2015-05-29,120.30,120.50,117.00,117.30,2000,114.59
2015-05-28,123.00,123.00,119.40,120.00,700,117.23
2015-05-27,119.60,120.80,119.60,120.40,2800,117.62
2015-05-26,120.90,125.00,117.50,119.20,5400,116.44
2015-05-25,121.50,123.50,118.60,118.80,2800,116.05
2015-05-22,117.50,122.00,117.50,118.60,2600,115.86
2015-05-21,117.00,118.50,116.10,117.40,2600,114.69
2015-05-20,117.30,118.30,117.00,117.80,1700,115.08
2015-05-19,118.30,119.00,117.00,117.50,1400,114.78
2015-05-18,118.00,119.90,118.00,118.30,700,115.56
2015-05-15,120.50,120.70,116.50,117.90,1200,115.17
2015-05-14,119.00,121.30,118.00,119.00,2000,116.25
2015-05-13,117.40,120.00,117.40,119.10,1100,116.35
2015-05-12,116.30,116.50,114.50,115.20,300,112.54
2015-05-11,118.90,121.00,118.00,119.30,600,116.54
2015-05-08,116.40,118.00,115.00,115.60,1300,112.93
2015-05-07,117.70,121.10,111.30,115.90,5100,113.22
2015-05-06,120.00,120.00,115.60,117.50,1300,114.78
2015-05-05,120.90,122.00,111.00,120.40,3300,117.62
2015-05-04,122.00,123.00,120.50,122.30,3600,119.47
2015-05-01,119.50,119.50,119.50,119.50,000,116.74
2015-04-30,120.00,123.70,118.20,119.50,6100,116.74
2015-04-29,125.00,129.00,120.50,121.10,11000,118.30
2015-04-28,111.80,130.70,110.70,122.00,37200,119.18
2015-04-27,118.30,118.30,111.20,114.10,3200,111.46
2015-04-24,125.00,125.00,117.60,118.60,3300,115.86
2015-04-23,127.70,128.00,125.00,126.00,4100,123.09
2015-04-22,122.60,126.90,122.60,125.90,8500,122.99
2015-04-21,122.40,125.00,121.00,122.20,6900,119.37
2015-04-20,129.00,129.00,121.40,122.20,8400,119.37
2015-04-17,129.00,130.00,122.10,126.50,17900,123.58
2015-04-16,133.00,138.00,127.40,129.10,17200,126.12
2015-04-15,134.50,137.90,129.00,130.70,20600,127.68
2015-04-14,132.60,132.60,132.60,132.60,000,129.53
2015-04-13,131.30,142.60,130.20,132.60,36500,129.53
2015-04-10,125.60,130.00,125.60,128.50,9400,125.53
2015-04-09,129.50,129.50,121.90,124.80,6700,121.91
2015-04-08,129.00,132.90,127.00,129.20,22700,126.21
2015-04-07,130.40,131.10,125.30,126.60,15800,123.67
2015-04-06,125.80,132.00,120.10,129.90,78900,126.90
2015-04-03,122.60,122.60,122.60,122.60,000,119.77
2015-04-02,122.60,122.60,122.60,122.60,000,119.77
2015-04-01,105.50,122.60,105.20,122.60,40000,119.77
2015-03-31,104.40,105.90,101.10,102.20,3800,99.84
2015-03-30,102.80,104.70,100.00,103.00,4000,100.62
2015-03-27,102.00,104.00,97.80,98.90,9300,96.61
2015-03-26,104.00,104.50,100.00,103.00,11700,100.62
2015-03-25,106.00,109.70,103.50,104.40,12600,101.99
2015-03-24,106.20,108.30,102.30,104.00,4000,101.60
2015-03-23,111.20,112.70,106.00,106.40,4800,103.94
2015-03-20,109.30,111.50,108.00,108.70,8800,106.19
2015-03-19,114.50,115.00,110.00,110.70,2800,108.14
2015-03-18,113.40,116.90,112.50,113.30,4200,110.68
2015-03-17,112.90,116.00,111.00,112.70,161400,110.09
2015-03-16,116.30,116.30,110.00,112.80,14900,110.19
2015-03-13,107.50,120.20,107.50,114.90,65100,112.24
2015-03-12,105.00,108.00,103.80,105.10,95300,102.67
2015-03-11,109.20,109.20,102.00,105.10,16400,102.67
2015-03-10,112.40,113.00,107.20,108.30,181700,105.80
2015-03-09,114.60,114.90,108.40,111.50,18000,108.92
2015-03-06,114.20,114.20,114.20,114.20,000,111.56
2015-03-05,115.00,122.90,111.10,114.20,13600,111.56
2015-03-04,121.50,124.90,110.00,113.40,13100,110.78
2015-03-03,122.00,122.40,118.90,119.10,11400,116.35
2015-03-02,124.40,127.20,121.20,122.30,14000,119.47
2015-02-27,120.60,128.40,118.00,125.10,11000,122.21
2015-02-26,120.00,123.00,117.70,120.00,3700,117.23
2015-02-25,121.20,123.50,118.60,119.30,13500,116.54
2015-02-24,122.00,124.70,118.70,119.90,5100,117.13
2015-02-23,124.20,126.00,119.60,120.50,15700,117.71
2015-02-20,127.95,127.95,120.70,123.30,8500,120.45
2015-02-19,126.40,127.80,124.80,127.00,7500,124.06
2015-02-18,130.40,131.00,124.00,125.00,7700,122.11
2015-02-17,127.60,127.60,127.60,127.60,000,124.65
2015-02-16,131.00,134.00,126.10,127.60,7700,124.65
2015-02-13,127.60,132.00,127.50,129.05,4400,126.07
2015-02-12,129.90,133.00,123.00,126.60,16200,123.67
2015-02-11,131.15,132.75,126.30,129.50,4500,126.51
2015-02-10,126.20,136.90,125.00,127.20,14400,124.26
2015-02-09,136.50,140.00,125.65,126.30,20100,123.38
2015-02-06,135.05,137.70,126.00,130.80,9000,127.78
2015-02-05,139.45,144.00,132.80,135.45,3900,132.32
2015-02-04,143.65,143.70,139.05,140.80,7900,137.54
2015-02-03,143.75,144.05,140.55,142.80,2100,139.50
2015-02-02,144.60,145.85,144.00,144.30,4000,140.96
2015-01-30,146.00,153.25,143.10,143.70,17900,140.38
2015-01-29,148.00,149.50,142.05,146.40,3900,143.02
2015-01-28,145.00,146.00,145.00,145.90,5100,142.53
2015-01-27,148.05,148.20,144.85,146.20,5100,142.82
2015-01-26,146.30,146.30,146.30,146.30,000,142.92
2015-01-23,148.60,151.00,144.20,146.30,24000,142.92
2015-01-22,144.15,153.70,138.00,143.65,87500,140.33
2015-01-21,146.40,146.40,140.00,141.30,7600,138.03
2015-01-20,148.50,148.90,143.40,143.80,5700,140.48
2015-01-19,145.35,150.00,145.00,146.00,18600,142.62
2015-01-16,151.60,163.90,140.05,142.25,123800,138.96
2015-01-15,144.00,149.95,144.00,146.80,14400,143.41
2015-01-14,142.00,145.00,140.00,140.45,7300,137.20
2015-01-13,152.00,152.00,142.00,143.35,7700,140.04
2015-01-12,150.25,153.45,148.60,149.40,13100,145.95
2015-01-09,157.00,158.00,149.00,150.45,24900,146.97
