Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,11.99,12.00,11.99,12.00,1000,12.00
2015-07-16,11.90,12.25,11.13,11.79,6000,11.79
2015-07-15,13.80,13.95,11.85,12.00,27500,12.00
2015-07-14,12.75,12.75,11.28,11.96,9200,11.96
2015-07-13,11.52,12.35,11.40,11.42,2300,11.42
2015-07-10,11.10,12.40,11.10,11.57,12100,11.57
2015-07-09,11.15,11.80,11.00,11.06,2100,11.06
2015-07-08,10.00,11.70,10.00,11.70,1600,11.70
2015-07-07,11.50,11.50,11.00,11.50,2700,11.50
2015-07-06,11.50,11.60,11.05,11.53,2200,11.53
2015-07-03,10.26,11.25,10.26,11.15,1900,11.15
2015-07-02,10.25,11.18,10.25,11.01,800,11.01
2015-07-01,10.00,10.98,10.00,10.22,11200,10.22
2015-06-30,10.05,10.05,10.00,10.00,500,10.00
2015-06-29,10.00,10.15,10.00,10.00,7400,10.00
2015-06-26,10.00,10.00,10.00,10.00,900,10.00
2015-06-25,10.00,10.50,10.00,10.00,1500,10.00
2015-06-24,10.87,10.87,10.12,10.30,1600,10.30
2015-06-23,9.80,10.29,9.59,10.19,6900,10.19
2015-06-22,9.10,9.59,9.10,9.53,3500,9.53
2015-06-19,9.70,9.70,9.00,9.00,200,9.00
2015-06-18,9.50,9.50,8.85,9.32,1300,9.32
2015-06-17,8.99,8.99,8.99,8.99,400,8.99
2015-06-16,9.53,9.53,8.75,9.37,500,9.37
2015-06-15,9.00,9.38,9.00,9.38,1000,9.38
2015-06-12,9.48,9.48,9.38,9.38,300,9.38
2015-06-11,9.15,9.90,8.90,9.00,8000,9.00
2015-06-10,9.40,9.94,9.40,9.54,1200,9.54
2015-06-09,10.10,10.18,9.38,9.92,2300,9.92
2015-06-08,10.10,10.10,9.52,9.95,5900,9.95
2015-06-05,10.40,10.40,9.67,10.30,3000,10.30
2015-06-04,10.50,10.50,9.95,10.38,10600,10.38
2015-06-03,10.56,10.96,10.47,10.47,3700,10.47
2015-06-02,11.30,11.30,11.00,11.02,300,11.02
2015-06-01,11.90,12.15,11.01,11.01,17200,11.01
2015-05-29,11.32,11.65,11.31,11.31,600,11.31
2015-05-28,11.26,11.85,11.26,11.82,900,11.82
2015-05-27,11.32,11.80,11.30,11.80,2500,11.80
2015-05-26,12.00,12.00,11.85,11.85,3900,11.85
2015-05-25,11.35,11.83,11.35,11.83,2200,11.83
2015-05-22,11.89,11.89,11.52,11.86,1600,11.86
2015-05-21,11.70,12.00,11.70,11.90,700,11.90
2015-05-20,11.41,12.19,11.41,11.99,1600,11.99
2015-05-19,12.01,12.01,11.84,11.95,5900,11.95
2015-05-18,12.00,12.22,12.00,12.22,21800,12.22
2015-05-15,11.95,12.00,11.45,11.64,2700,11.64
2015-05-14,12.10,12.10,12.00,12.00,3000,12.00
2015-05-13,12.40,12.40,12.23,12.26,4700,12.26
2015-05-12,12.03,13.15,11.91,12.87,14500,12.87
2015-05-11,12.50,12.93,12.50,12.53,9600,12.53
2015-05-08,12.22,12.97,12.22,12.87,1300,12.87
2015-05-07,13.00,13.25,12.10,12.69,1100,12.69
2015-05-06,12.69,12.69,12.18,12.67,500,12.67
2015-05-05,13.00,13.00,12.45,12.73,000,12.73
2015-05-04,12.25,12.84,12.20,12.76,4800,12.76
2015-05-01,12.79,12.79,12.79,12.79,000,12.79
2015-04-30,12.85,12.85,12.79,12.79,1000,12.79
2015-04-29,13.27,13.28,12.67,12.67,4500,12.67
2015-04-28,12.51,12.85,12.20,12.83,1000,12.83
2015-04-27,13.00,13.00,12.62,12.80,7400,12.80
2015-04-24,14.00,14.00,13.20,13.28,5800,13.28
2015-04-23,13.90,13.90,13.30,13.70,7600,13.70
2015-04-22,14.90,14.90,13.80,13.80,11800,13.80
2015-04-21,14.51,14.99,14.50,14.52,8600,14.52
2015-04-20,15.69,15.69,14.56,15.04,24100,15.04
2015-04-17,15.20,15.45,15.00,15.16,26000,15.16
2015-04-16,15.24,15.24,13.81,14.91,32200,14.91
2015-04-15,14.52,14.52,14.52,14.52,300,14.52
2015-04-14,13.83,13.83,13.83,13.83,000,13.83
2015-04-13,13.83,13.83,13.83,13.83,200,13.83
2015-04-10,13.18,13.18,13.18,13.18,8400,13.18
2015-04-09,12.35,12.56,11.85,12.56,10300,12.56
2015-04-08,12.35,12.35,11.85,11.97,12400,11.97
2015-04-07,12.38,12.38,12.00,12.07,8300,12.07
2015-04-06,12.75,12.75,12.00,12.06,35600,12.06
2015-04-03,12.18,12.18,12.18,12.18,000,12.18
2015-04-02,12.18,12.18,12.18,12.18,000,12.18
2015-04-01,12.40,12.40,11.65,12.18,4000,12.18
2015-03-31,12.00,12.30,11.55,12.05,4600,12.05
2015-03-30,11.75,12.25,11.75,11.85,18900,11.85
2015-03-27,12.85,12.85,11.80,11.95,27900,11.95
2015-03-26,11.75,12.35,11.75,12.35,3700,12.35
2015-03-25,12.80,12.80,11.80,12.00,16600,12.00
2015-03-24,13.90,13.90,12.25,12.25,4400,12.25
2015-03-23,13.80,14.70,13.05,13.40,12800,13.40
2015-03-20,15.00,15.00,13.90,14.05,10800,14.05
2015-03-19,16.15,16.15,14.65,15.40,3400,15.40
2015-03-18,15.95,16.00,15.00,15.50,5500,15.50
2015-03-17,15.85,16.50,15.65,15.75,11400,15.75
2015-03-16,17.00,17.00,15.50,15.95,5500,15.95
2015-03-13,16.75,16.75,15.95,16.20,3400,16.20
2015-03-12,15.60,17.10,15.60,16.00,28400,16.00
2015-03-11,16.55,16.90,15.80,16.00,13400,16.00
2015-03-10,17.90,18.00,16.95,17.10,16500,17.10
2015-03-09,18.40,18.90,17.70,17.90,13700,17.90
2015-03-06,18.45,18.45,18.45,18.45,000,18.45
2015-03-05,18.35,19.10,18.30,18.45,14800,18.45
2015-03-04,18.70,19.70,18.15,18.30,23000,18.30
2015-03-03,19.55,20.00,18.90,19.10,29800,19.10
2015-03-02,19.85,20.00,19.05,19.50,37200,19.50
2015-02-27,20.10,21.45,20.10,20.45,67300,20.45
2015-02-26,20.05,22.65,18.85,19.55,99900,19.55
2015-02-25,21.55,21.55,20.35,20.60,10100,20.60
2015-02-24,22.75,22.90,21.15,21.55,32300,21.55
2015-02-23,24.90,24.90,21.50,21.55,64300,21.55
2015-02-20,23.45,25.90,23.00,24.15,207500,24.15
2015-02-19,26.90,26.90,23.40,24.00,137000,24.00
2015-02-18,27.45,31.00,25.25,25.85,72100,25.85
2015-02-17,27.25,27.25,27.25,27.25,000,27.25
2015-02-16,26.10,27.45,24.75,27.25,14800,27.25
2015-02-13,26.00,28.90,25.80,26.60,45000,26.60
2015-02-12,24.40,28.90,23.85,25.85,43300,25.85
2015-02-11,22.60,27.10,22.60,24.50,25100,24.50
2015-02-10,23.00,23.95,21.70,22.60,3000,22.60
2015-02-09,23.00,23.00,22.45,23.00,700,23.00
2015-02-06,23.00,23.80,23.00,23.45,1400,23.45
2015-02-05,24.50,24.60,24.05,24.10,1200,24.10
2015-02-04,24.05,25.00,24.05,24.90,2100,24.90
2015-02-03,23.65,26.35,23.60,24.45,5500,24.45
2015-02-02,24.20,25.65,24.20,24.40,600,24.40
2015-01-30,25.20,25.20,24.05,24.50,4600,24.50
2015-01-29,26.55,26.55,24.00,24.05,1100,24.05
2015-01-28,26.55,26.55,24.00,25.20,1500,25.20
2015-01-27,25.50,26.00,24.25,25.15,5500,25.15
2015-01-26,25.50,25.50,25.50,25.50,000,25.50
2015-01-23,26.70,26.70,25.50,25.50,1000,25.50
2015-01-22,25.50,26.75,25.50,25.60,3100,25.60
2015-01-21,25.00,26.20,25.00,25.25,4400,25.25
2015-01-20,26.00,27.20,24.60,26.90,5200,26.90
2015-01-19,24.50,25.50,24.50,24.50,1400,24.50
2015-01-16,25.00,25.00,23.70,23.95,1700,23.95
2015-01-15,24.75,24.85,23.65,23.70,1000,23.70
2015-01-14,24.55,25.00,23.90,24.10,2500,24.10
2015-01-13,25.35,25.35,24.40,24.40,700,24.40
2015-01-12,24.00,25.95,23.55,24.45,800,24.45
