Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,65.00,69.50,64.20,65.50,2800,65.50
2015-07-16,64.00,65.90,62.60,63.40,1200,63.40
2015-07-15,62.75,64.00,62.50,63.20,1100,63.20
2015-07-14,65.60,70.40,61.50,63.20,9100,63.20
2015-07-13,66.00,68.70,66.00,66.25,400,66.25
2015-07-10,67.50,73.70,67.50,67.85,4500,67.85
2015-07-09,69.50,74.00,64.00,72.70,10800,72.70
2015-07-08,67.50,69.00,61.45,69.00,1000,69.00
2015-07-07,74.85,74.85,64.75,66.80,33700,66.80
2015-07-06,57.85,68.75,57.85,68.05,5000,68.05
2015-07-03,63.25,66.00,62.00,62.50,1600,62.50
2015-07-02,65.00,67.75,63.85,64.60,1600,64.60
2015-07-01,66.40,66.40,64.00,65.50,200,65.50
2015-06-30,66.00,66.00,62.65,64.50,2100,64.50
2015-06-29,66.25,66.25,65.90,65.90,1900,65.90
2015-06-26,66.25,69.35,66.25,69.35,000,69.35
2015-06-25,73.70,73.70,68.00,68.00,1600,68.00
2015-06-24,71.00,71.00,69.75,70.30,900,70.30
2015-06-23,72.00,73.75,70.75,70.80,1300,70.80
2015-06-22,76.85,76.85,70.05,70.25,3700,70.25
2015-06-19,73.50,73.50,73.50,73.50,900,73.50
2015-06-18,70.30,74.75,69.60,70.00,700,70.00
2015-06-17,69.60,75.40,69.25,72.00,5200,72.00
2015-06-16,74.90,74.90,69.35,72.00,100,72.00
2015-06-15,70.90,72.80,68.60,72.80,000,72.80
2015-06-12,73.95,73.95,70.10,70.20,500,70.20
2015-06-11,75.00,76.30,71.25,71.50,2900,71.50
2015-06-10,72.45,72.70,69.10,72.70,3000,72.70
2015-06-09,70.35,72.80,68.00,69.25,14200,69.25
2015-06-08,73.90,73.90,68.70,69.00,6200,69.00
2015-06-05,66.60,71.90,66.55,71.90,12000,71.90
2015-06-04,65.35,70.80,65.35,68.50,4200,68.50
2015-06-03,68.05,69.50,67.45,68.40,22000,68.40
2015-06-02,72.90,72.90,68.65,70.95,29400,70.95
2015-06-01,72.25,72.25,72.25,72.25,7800,72.25
2015-05-29,64.95,69.50,64.30,69.50,20800,69.50
2015-05-28,67.90,68.40,62.45,68.25,36700,68.25
2015-05-27,65.50,65.70,61.70,65.70,12100,65.70
2015-05-26,59.75,59.75,59.00,59.75,18800,59.75
2015-05-25,53.60,55.00,52.15,54.35,5300,54.35
2015-05-22,50.60,52.10,50.60,51.25,500,51.25
2015-05-21,50.00,53.25,49.80,52.55,3000,52.55
2015-05-20,49.40,54.00,49.40,50.90,2900,50.90
2015-05-19,52.95,54.60,49.00,51.50,32800,51.50
2015-05-18,50.20,52.45,49.30,49.65,7900,49.65
2015-05-15,56.00,57.00,50.75,51.80,6600,51.80
2015-05-14,53.75,54.80,52.20,54.00,700,54.00
2015-05-13,59.20,60.00,53.75,54.35,17300,54.35
2015-05-12,59.00,62.00,54.00,56.55,19300,56.55
2015-05-11,57.50,59.90,55.05,58.55,14700,58.55
2015-05-08,60.00,62.90,57.00,57.65,10900,57.65
2015-05-07,57.75,63.00,56.50,61.10,23500,61.10
2015-05-06,60.00,63.00,59.00,61.30,21600,61.30
2015-05-05,58.95,60.40,57.00,59.45,5800,59.45
2015-05-04,59.00,59.00,52.15,57.65,23900,57.65
2015-05-01,54.90,54.90,54.90,54.90,000,54.90
2015-04-30,52.90,55.85,52.90,54.90,2200,54.90
2015-04-29,53.75,56.85,53.75,54.75,1700,54.75
2015-04-28,55.00,56.95,53.30,55.80,11100,55.80
2015-04-27,53.05,57.00,52.85,55.55,4600,55.55
2015-04-24,52.30,57.10,52.30,55.50,3300,55.50
2015-04-23,50.60,55.90,50.60,54.50,4400,54.50
2015-04-22,54.90,54.95,52.25,53.25,800,53.25
2015-04-21,53.40,56.45,53.35,53.60,1700,53.60
2015-04-20,56.15,59.85,55.55,56.15,5900,56.15
2015-04-17,56.90,60.00,56.25,58.45,1000,58.45
2015-04-16,60.00,60.10,59.20,59.20,2800,59.20
2015-04-15,60.05,62.30,57.05,62.30,13000,62.30
2015-04-14,59.35,59.35,59.35,59.35,000,59.35
2015-04-13,63.10,63.10,57.55,59.35,3000,59.35
2015-04-10,56.30,61.85,56.05,60.30,22600,60.30
2015-04-09,60.70,63.00,58.30,58.95,600,58.95
2015-04-08,57.90,60.75,57.90,60.70,2200,60.70
2015-04-07,55.15,57.90,55.15,57.90,3300,57.90
2015-04-06,54.95,55.15,52.15,55.15,3800,55.15
2015-04-03,52.55,52.55,52.55,52.55,000,52.55
2015-04-02,52.55,52.55,52.55,52.55,000,52.55
2015-04-01,51.80,52.55,51.80,52.55,500,52.55
2015-03-31,45.50,50.05,45.50,50.05,1300,50.05
2015-03-30,47.35,47.70,47.35,47.70,1700,47.70
2015-03-27,44.75,47.25,44.40,45.45,4100,45.45
2015-03-26,45.00,49.55,45.00,46.25,3700,46.25
2015-03-25,47.50,48.70,47.20,47.20,15900,47.20
2015-03-24,49.65,51.95,49.65,49.65,9200,49.65
2015-03-23,52.25,52.25,52.25,52.25,4500,52.25
2015-03-20,54.95,54.95,54.95,54.95,200,54.95
2015-03-19,57.80,57.80,57.80,57.80,1100,57.80
2015-03-18,60.80,66.40,60.80,60.80,47900,60.80
2015-03-17,63.95,63.95,63.95,63.95,300,63.95
2015-03-16,71.10,71.85,67.30,67.30,6700,67.30
2015-03-13,69.90,70.90,66.00,70.80,61500,70.80
2015-03-12,66.50,68.05,59.50,67.55,57600,67.55
2015-03-11,59.00,61.95,53.25,61.90,69900,61.90
2015-03-10,56.00,58.50,48.45,56.35,41300,56.35
2015-03-09,47.40,54.90,46.50,53.20,24300,53.20
2015-03-06,50.00,50.00,50.00,50.00,000,50.00
