Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,3428.80,3444.35,3401.50,3413.85,1000,3351.35
2015-07-16,3441.00,3441.10,3406.70,3414.60,700,3352.09
2015-07-15,3426.60,3450.00,3412.00,3430.25,2100,3367.45
2015-07-14,3454.00,3463.95,3410.00,3420.85,1100,3358.22
2015-07-13,3428.60,3431.00,3393.00,3403.00,1400,3340.70
2015-07-10,3444.05,3444.05,3375.00,3400.85,1100,3338.59
2015-07-09,3455.00,3524.10,3396.65,3408.55,2900,3346.15
2015-07-08,3385.00,3560.00,3345.00,3452.05,8400,3388.85
2015-07-07,3359.90,3425.00,3330.25,3397.10,3600,3334.91
2015-07-06,3349.00,3362.00,3316.00,3351.35,2300,3289.99
2015-07-03,3350.00,3367.00,3327.85,3341.80,1900,3280.62
2015-07-02,3330.95,3358.90,3312.00,3341.90,1800,3280.72
2015-07-01,3340.00,3352.10,3300.00,3306.95,2500,3246.41
2015-06-30,3264.80,3398.85,3257.15,3325.40,2100,3264.52
2015-06-29,3280.00,3296.00,3210.00,3281.50,1100,3221.42
2015-06-26,3268.65,3298.00,3227.75,3281.85,1000,3221.77
2015-06-25,3260.45,3266.45,3231.00,3251.60,1300,3192.07
2015-06-24,3291.45,3295.75,3250.00,3263.10,600,3203.36
2015-06-23,3287.90,3306.35,3220.25,3277.40,2100,3217.40
2015-06-22,3309.00,3309.00,3267.10,3283.90,600,3223.78
2015-06-19,3310.00,3325.00,3289.05,3296.35,1100,3236.00
2015-06-18,3314.00,3341.95,0.01,3308.70,1100,3248.13
2015-06-17,3280.00,3355.00,3263.15,3318.60,3600,3257.84
2015-06-16,3250.85,3280.00,3235.00,3272.25,1600,3212.34
2015-06-15,3237.00,3262.00,3229.05,3249.30,1300,3189.81
2015-06-12,3194.00,3272.00,3175.00,3231.65,1100,3172.49
2015-06-11,3217.40,3236.55,3188.00,3201.10,700,3142.50
2015-06-10,3207.45,3229.95,3194.80,3213.45,600,3154.62
2015-06-09,3165.00,3235.00,3124.00,3196.10,4500,3137.59
2015-06-08,3195.00,3195.00,3150.10,3178.05,700,3119.87
2015-06-05,3178.35,3229.70,3169.55,3204.00,1300,3145.34
2015-06-04,3215.00,3242.80,3159.00,3181.10,2100,3122.86
2015-06-03,3282.00,3293.00,3150.00,3211.20,2700,3152.41
2015-06-02,3250.00,3300.00,3231.50,3287.75,2800,3227.56
2015-06-01,3211.65,3260.00,3190.00,3242.95,2500,3183.58
2015-05-29,3201.90,3239.00,3188.80,3238.95,700,3179.65
2015-05-28,3177.05,3199.70,3145.00,3183.60,1300,3125.32
2015-05-27,3186.40,3186.80,3150.00,3160.35,1600,3102.49
2015-05-26,3181.60,3250.00,3160.00,3186.10,2200,3127.77
2015-05-25,3195.80,3210.35,3180.00,3191.80,1500,3133.37
2015-05-22,3206.45,3230.00,3190.00,3195.85,600,3137.34
2015-05-21,3192.45,3215.00,3178.70,3203.95,800,3145.29
2015-05-20,3256.55,3257.95,3197.00,3203.40,1500,3144.75
2015-05-19,3280.00,3290.00,3232.00,3260.85,3100,3201.15
2015-05-18,3231.30,3304.80,3221.50,3276.05,3400,3216.07
2015-05-15,3219.00,3252.10,3188.00,3236.70,1900,3177.44
2015-05-14,3187.20,3229.90,3178.10,3220.55,1200,3161.59
2015-05-13,3204.75,3221.00,3175.00,3187.20,500,3128.85
2015-05-12,3172.40,3220.00,3158.05,3184.30,900,3126.00
2015-05-11,3205.00,3228.00,3170.05,3183.10,2600,3124.82
2015-05-08,3173.00,3199.00,3163.00,3181.10,700,3122.86
2015-05-07,3203.00,3203.00,3120.00,3159.35,1600,3101.51
2015-05-06,3213.45,3260.00,3151.75,3185.45,1900,3127.13
2015-05-05,3175.00,3248.90,3150.00,3228.65,1100,3169.54
2015-05-04,3200.00,3262.00,3170.00,3175.20,2400,3117.07
2015-05-01,3109.15,3109.15,3109.15,3109.15,000,3052.23
2015-04-30,3127.25,3140.00,3079.80,3109.15,1200,3052.23
2015-04-29,3055.00,3157.45,3038.05,3124.30,1500,3067.10
2015-04-28,2995.00,3076.00,2985.00,3033.90,2600,2978.36
2015-04-27,3097.90,3098.00,2965.65,2994.35,2900,2939.53
2015-04-24,3204.95,3211.00,3028.00,3077.90,7500,3021.55
2015-04-23,3215.00,3219.00,3172.90,3190.75,1200,3132.33
2015-04-22,3200.00,3264.80,3163.70,3198.40,2000,3139.84
2015-04-21,3197.00,3223.00,3183.40,3194.65,3200,3136.16
2015-04-20,3270.10,3270.10,3180.00,3197.05,2200,3138.52
2015-04-17,3315.55,3318.00,3240.00,3255.10,2300,3195.51
2015-04-16,3349.00,3349.00,3308.05,3315.25,1100,3254.56
2015-04-15,3361.80,3362.00,3318.75,3331.55,1800,3270.56
2015-04-14,3341.55,3341.55,3341.55,3341.55,000,3280.37
2015-04-13,3332.75,3361.00,3306.00,3341.55,1500,3280.37
2015-04-10,3339.85,3387.85,3292.00,3314.20,1900,3253.52
2015-04-09,3383.80,3383.80,3320.00,3331.95,1800,3270.95
2015-04-08,3380.00,3392.00,3341.00,3357.40,2400,3295.93
2015-04-07,3375.50,3412.90,3341.50,3352.30,26600,3290.93
2015-04-06,3350.00,3389.00,3330.00,3352.10,3100,3290.73
2015-04-03,3349.20,3349.20,3349.20,3349.20,000,3287.88
2015-04-02,3349.20,3349.20,3349.20,3349.20,000,3287.88
2015-04-01,3430.00,3430.00,3320.05,3349.20,4200,3287.88
2015-03-31,3282.85,3479.00,3270.00,3402.65,5000,3340.36
2015-03-30,3297.40,3341.05,3275.00,3292.45,3400,3232.17
2015-03-27,3281.00,3334.00,3242.50,3263.65,1700,3203.90
2015-03-26,3275.00,3290.00,3225.00,3255.50,1600,3195.90
2015-03-25,3259.90,3295.00,3259.90,3274.20,2000,3214.26
2015-03-24,3278.85,3306.00,3224.75,3260.45,4100,3200.76
2015-03-23,3272.25,3300.00,3242.00,3278.50,8200,3218.48
2015-03-20,3275.00,3298.80,3190.10,3238.80,29500,3179.50
2015-03-19,3297.00,3329.70,3245.00,3256.70,1900,3197.08
2015-03-18,3269.10,3329.00,3200.00,3277.50,4500,3217.50
2015-03-17,3285.00,3309.40,3223.20,3253.15,2800,3193.59
2015-03-16,3320.00,3330.10,3235.70,3274.90,2800,3214.94
2015-03-13,3325.00,3360.00,3293.30,3302.85,3800,3242.38
2015-03-12,3340.00,3353.90,3280.00,3290.10,3000,3229.87
2015-03-11,3347.00,3376.40,3294.00,3344.00,3600,3282.78
2015-03-10,3315.90,3390.00,3235.05,3325.95,4800,3265.06
2015-03-09,3249.00,3395.00,3230.10,3321.10,5600,3260.30
2015-03-06,3272.25,3272.25,3272.25,3272.25,000,3212.34
2015-03-05,3161.00,3323.65,3120.00,3272.25,30100,3212.34
2015-03-04,3130.00,3184.15,3100.00,3146.65,9200,3089.04
2015-03-03,3093.00,3118.00,3078.30,3098.50,2000,3041.77
2015-03-02,3116.00,3129.95,3050.00,3078.30,4400,3021.94
2015-02-27,3100.00,3124.00,3078.95,3094.80,1800,3038.14
2015-02-26,3100.00,3116.95,3075.00,3096.05,1300,3039.37
2015-02-25,3135.00,3142.10,3051.55,3095.80,2300,3039.12
2015-02-24,3156.45,3156.45,3076.10,3107.10,2000,3050.22
2015-02-23,3175.00,3206.00,3100.00,3133.70,3600,3076.33
2015-02-20,3230.10,3233.05,3150.00,3175.00,3900,3116.87
2015-02-19,3257.75,3264.50,3195.00,3217.40,2700,3158.50
2015-02-18,3270.70,3278.00,3218.00,3231.80,2300,3172.63
2015-02-17,3243.20,3243.20,3243.20,3243.20,000,3183.82
2015-02-16,3290.10,3295.05,3226.00,3243.20,1600,3183.82
2015-02-13,3235.00,3318.00,3223.00,3268.00,3400,3208.17
2015-02-12,3295.00,3355.00,3169.95,3254.00,6400,3194.43
2015-02-11,3320.00,3339.35,3105.00,3265.60,5900,3205.81
2015-02-10,3250.00,3395.00,3250.00,3324.95,5500,3264.08
2015-02-09,3300.00,3320.70,3231.35,3276.60,2900,3216.61
2015-02-06,3300.00,3315.00,3256.00,3298.05,1700,3237.67
2015-02-05,3372.05,3388.00,3285.00,3301.55,1000,3241.11
2015-02-04,3375.00,3391.40,3336.40,3345.10,1300,3283.86
2015-02-03,3390.00,3422.00,3322.40,3338.30,1800,3277.18
2015-02-02,3330.00,3434.00,3255.00,3374.55,1600,3312.77
2015-01-30,3460.00,3487.70,3380.00,3396.30,3200,3334.12
2015-01-29,3383.00,3525.00,3376.95,3437.25,5100,3374.32
2015-01-28,3460.00,3461.60,3378.05,3384.30,3300,3322.34
2015-01-27,3370.00,3550.00,3342.35,3447.95,11300,3384.83
2015-01-26,3347.45,3347.45,3347.45,3347.45,000,3286.17
2015-01-23,3150.00,3525.00,3140.00,3347.45,41900,3286.17
2015-01-22,3159.00,3178.75,3134.00,3146.35,1700,3088.75
2015-01-21,3166.40,3174.05,3148.40,3155.50,1600,3097.73
2015-01-20,3177.30,3182.00,3151.00,3170.00,1600,3111.96
2015-01-19,3225.00,3226.50,3168.00,3177.00,1800,3118.84
2015-01-16,3180.40,3227.25,3175.00,3202.50,17900,3143.87
2015-01-15,3210.00,3228.90,3150.00,3165.75,3800,3107.79
2015-01-14,3186.50,3215.00,3177.10,3193.75,22400,3135.28
2015-01-13,3206.70,3220.00,3164.45,3181.10,2000,3122.86
2015-01-12,3200.00,3220.00,3180.35,3189.70,1600,3131.30
2015-01-09,3225.00,3242.25,3175.00,3188.85,2800,3130.47
2015-01-08,3185.25,3249.00,3185.20,3205.75,4600,3147.06
2015-01-07,3151.00,3199.00,3145.00,3180.40,2800,3122.17
2015-01-06,3126.15,3175.00,3070.00,3151.55,3100,3093.85
2015-01-05,3131.00,3164.15,3120.00,3140.05,800,3082.56
2015-01-02,3170.00,3180.00,3112.25,3130.00,1200,3072.70
2015-01-01,3200.00,3233.15,3155.60,3169.00,1000,3110.98
2014-12-31,3185.00,3213.00,3158.30,3196.75,1100,3138.22
2014-12-30,3184.00,3193.00,3122.00,3180.60,1800,3122.37
2014-12-29,3112.05,3185.00,3091.55,3149.45,2200,3091.79
2014-12-26,3128.50,3140.00,3080.00,3114.20,1100,3057.19
2014-12-25,3118.40,3118.40,3118.40,3118.40,000,3061.31
2014-12-24,3124.95,3147.00,3075.00,3118.40,3700,3061.31
2014-12-23,2983.00,3096.65,2983.00,3073.45,3700,3017.18
2014-12-22,2996.65,3039.05,2966.25,2974.70,1700,2920.24
2014-12-19,3014.30,3044.00,2950.00,2980.55,1600,2925.98
2014-12-18,2925.00,3030.00,2924.90,2985.40,3400,2930.74
2014-12-17,2943.00,2952.00,2859.40,2876.90,2600,2824.23
2014-12-16,3074.00,3080.00,2894.80,2940.20,3300,2886.37
2014-12-15,3120.00,3150.00,3049.30,3057.05,13200,3001.08
2014-12-12,3107.35,3154.00,3065.00,3110.00,2300,3053.06
2014-12-11,3143.20,3143.20,3075.00,3089.90,2100,3033.33
2014-12-10,3171.00,3183.50,3120.00,3160.30,500,3102.44
2014-12-09,3208.00,3234.20,3151.05,3162.60,3600,3104.70
2014-12-08,3200.00,3239.00,3173.30,3207.55,3100,3148.83
2014-12-05,3200.00,3215.00,3184.95,3191.40,42300,3132.97
2014-12-04,3208.00,3239.95,3170.05,3185.35,2500,3127.03
2014-12-03,3174.80,3242.00,3162.05,3204.45,6800,3145.78
2014-12-02,2992.50,3240.00,2974.40,3173.00,17000,3114.91
2014-12-01,2924.65,3030.00,2905.10,2984.65,3300,2930.01
2014-11-28,2954.10,2964.00,2922.00,2929.85,1800,2876.21
2014-11-27,2927.95,2960.00,2912.90,2940.35,800,2886.52
2014-11-26,2899.95,2941.00,2870.00,2901.65,2600,2848.53
2014-11-25,2965.00,2965.00,2820.05,2868.00,5200,2815.49
