Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1.70,1.70,1.57,1.70,2000,1.70
2015-07-16,1.70,1.70,1.63,1.63,900,1.63
2015-07-15,1.79,1.79,1.65,1.71,9500,1.71
2015-07-14,1.72,1.72,1.72,1.72,2900,1.72
2015-07-13,1.77,1.81,1.77,1.81,600,1.81
2015-07-10,1.76,1.86,1.76,1.86,3100,1.86
2015-07-09,1.70,1.85,1.70,1.85,700,1.85
2015-07-08,1.77,1.77,1.77,1.77,900,1.77
2015-07-07,1.70,1.85,1.70,1.85,700,1.85
2015-07-06,1.77,1.77,1.77,1.77,000,1.77
2015-07-03,1.77,1.77,1.77,1.77,100,1.77
2015-07-02,1.70,1.86,1.70,1.86,900,1.86
2015-07-01,1.78,1.78,1.78,1.78,100,1.78
2015-06-30,1.87,1.87,1.87,1.87,000,1.87
2015-06-29,1.79,1.79,1.78,1.79,500,1.79
2015-06-26,1.71,1.71,1.71,1.71,000,1.71
2015-06-25,1.70,1.71,1.70,1.71,2400,1.71
2015-06-24,1.74,1.74,1.74,1.74,300,1.74
2015-06-23,1.68,1.83,1.67,1.83,3700,1.83
2015-06-22,1.72,1.75,1.72,1.75,100,1.75
2015-06-19,1.81,1.81,1.81,1.81,600,1.81
2015-06-18,1.90,1.90,1.90,1.90,500,1.90
2015-06-17,2.00,2.00,2.00,2.00,500,2.00
2015-06-16,2.03,2.03,2.03,2.03,2500,2.03
2015-06-15,2.13,2.13,2.13,2.13,000,2.13
2015-06-12,2.13,2.13,2.13,2.13,000,2.13
2015-06-11,2.13,2.13,2.13,2.13,000,2.13
2015-06-10,2.13,2.13,2.13,2.13,000,2.13
2015-06-09,2.13,2.13,2.13,2.13,000,2.13
2015-06-08,2.13,2.13,2.13,2.13,000,2.13
2015-06-05,2.13,2.13,2.13,2.13,000,2.13
2015-06-04,2.03,2.03,2.03,2.03,500,2.03
2015-06-03,2.13,2.13,2.13,2.13,000,2.13
2015-06-02,1.87,2.03,1.87,2.03,300,2.03
2015-06-01,2.06,2.06,1.94,1.94,500,1.94
2015-05-29,2.04,2.04,2.04,2.04,000,2.04
2015-05-28,2.04,2.04,2.04,2.04,000,2.04
2015-05-27,1.86,2.04,1.86,2.04,2600,2.04
2015-05-26,1.91,1.96,1.91,1.95,4400,1.95
2015-05-25,2.00,2.01,2.00,2.01,1900,2.01
2015-05-22,2.01,2.01,2.01,2.01,1000,2.01
2015-05-21,2.15,2.15,2.11,2.11,5500,2.11
2015-05-20,2.05,2.20,2.05,2.20,5900,2.20
2015-05-19,2.15,2.15,2.10,2.10,3300,2.10
2015-05-18,2.07,2.07,2.07,2.07,000,2.07
2015-05-15,2.07,2.07,2.07,2.07,500,2.07
2015-05-14,2.14,2.14,2.14,2.14,500,2.14
2015-05-13,2.25,2.25,2.25,2.25,100,2.25
2015-05-12,2.35,2.35,2.35,2.35,000,2.35
2015-05-11,2.59,2.59,2.35,2.35,000,2.35
2015-05-08,2.47,2.47,2.47,2.47,2000,2.47
2015-05-07,2.60,2.60,2.60,2.60,100,2.60
2015-05-06,2.49,2.49,2.49,2.49,100,2.49
2015-05-05,2.39,2.39,2.39,2.39,100,2.39
2015-05-04,2.10,2.28,2.10,2.28,3900,2.28
2015-05-01,2.18,2.18,2.18,2.18,000,2.18
2015-04-30,2.18,2.18,2.18,2.18,000,2.18
2015-04-29,2.18,2.18,2.18,2.18,1000,2.18
2015-04-28,2.23,2.23,2.23,2.23,000,2.23
2015-04-27,2.03,2.03,2.03,2.03,800,2.03
2015-04-24,2.25,2.25,2.25,2.25,000,2.25
2015-04-23,1.85,2.25,1.85,2.25,700,2.25
2015-04-22,2.03,2.40,2.03,2.05,1000,2.05
2015-04-21,2.25,2.25,2.25,2.25,000,2.25
2015-04-20,2.25,2.25,2.25,2.25,400,2.25
2015-04-17,2.05,2.25,2.05,2.25,700,2.25
2015-04-16,2.25,2.26,2.10,2.26,500,2.26
2015-04-15,2.11,2.11,2.11,2.11,000,2.11
2015-04-14,2.11,2.11,2.11,2.11,000,2.11
2015-04-13,2.11,2.11,2.11,2.11,300,2.11
2015-04-10,1.90,2.31,1.90,2.31,4200,2.31
2015-04-09,2.43,2.43,2.10,2.10,600,2.10
2015-04-08,2.31,2.31,2.31,2.31,100,2.31
2015-04-07,2.10,2.20,1.96,2.20,6700,2.20
2015-04-06,2.00,2.00,2.00,2.00,7100,2.00
2015-04-03,2.10,2.10,2.10,2.10,000,2.10
2015-04-02,2.10,2.10,2.10,2.10,000,2.10
2015-04-01,2.10,2.10,2.10,2.10,200,2.10
2015-03-31,2.13,2.13,2.13,2.13,000,2.13
2015-03-30,2.30,2.30,2.13,2.13,10100,2.13
2015-03-27,2.27,2.27,2.24,2.24,700,2.24
2015-03-26,2.27,2.27,2.27,2.27,1700,2.27
2015-03-25,1.99,2.17,1.99,2.17,700,2.17
2015-03-24,2.07,2.07,2.07,2.07,900,2.07
2015-03-23,1.96,2.00,1.96,2.00,2500,2.00
2015-03-20,2.22,2.22,2.02,2.02,9600,2.02
2015-03-19,2.10,2.40,2.10,2.12,4500,2.12
2015-03-18,2.02,2.22,2.02,2.22,1100,2.22
2015-03-17,2.20,2.20,2.20,2.20,800,2.20
2015-03-16,2.60,2.60,2.40,2.40,9500,2.40
2015-03-13,2.52,2.75,2.52,2.52,1500,2.52
2015-03-12,2.65,2.78,2.53,2.75,7800,2.75
2015-03-11,2.53,2.77,2.53,2.70,4100,2.70
2015-03-10,2.31,2.70,2.31,2.69,1500,2.69
2015-03-09,2.55,2.55,2.55,2.55,2900,2.55
2015-03-06,2.32,2.32,2.32,2.32,000,2.32
2015-03-05,2.32,2.32,2.32,2.32,1100,2.32
2015-03-04,2.21,2.21,2.21,2.21,1500,2.21
2015-03-03,2.10,2.11,2.10,2.11,1400,2.11
2015-03-02,2.38,2.38,2.19,2.19,1900,2.19
2015-02-27,2.20,2.20,2.20,2.20,000,2.20
2015-02-26,2.20,2.20,2.20,2.20,000,2.20
2015-02-25,2.20,2.25,2.20,2.20,3200,2.20
2015-02-24,2.50,2.50,2.28,2.28,1000,2.28
2015-02-23,2.45,2.45,2.23,2.39,000,2.39
2015-02-20,2.34,2.34,2.34,2.34,700,2.34
2015-02-19,2.10,2.23,2.10,2.23,100,2.23
2015-02-18,2.10,2.25,2.10,2.13,1900,2.13
2015-02-17,2.20,2.20,2.20,2.20,000,2.20
2015-02-16,2.20,2.20,2.20,2.20,1000,2.20
2015-02-13,2.16,2.16,2.16,2.16,000,2.16
2015-02-12,2.16,2.16,2.16,2.16,100,2.16
2015-02-11,2.25,2.25,2.25,2.25,4600,2.25
2015-02-10,2.55,2.55,2.13,2.15,9400,2.15
2015-02-09,2.72,2.72,2.36,2.36,1000,2.36
2015-02-06,2.86,2.86,2.60,2.60,5500,2.60
2015-02-05,2.60,2.85,2.60,2.85,4500,2.85
2015-02-04,2.60,2.73,2.60,2.73,41200,2.73
2015-02-03,2.70,2.70,2.60,2.60,5100,2.60
2015-02-02,2.50,2.73,2.50,2.73,3000,2.73
2015-01-30,2.57,2.80,2.57,2.60,5000,2.60
2015-01-29,2.69,2.69,2.56,2.69,12800,2.69
2015-01-28,2.57,2.57,2.57,2.57,2900,2.57
2015-01-27,2.44,2.45,2.44,2.45,4000,2.45
2015-01-26,2.56,2.56,2.56,2.56,000,2.56
2015-01-23,2.56,2.56,2.56,2.56,900,2.56
2015-01-22,2.44,2.44,2.44,2.44,2100,2.44
2015-01-21,2.33,2.33,2.33,2.33,5100,2.33
2015-01-20,2.22,2.22,2.22,2.22,3500,2.22
2015-01-19,2.12,2.32,2.12,2.32,1300,2.32
2015-01-16,2.23,2.23,2.10,2.23,3500,2.23
2015-01-15,2.15,2.15,2.13,2.13,500,2.13
2015-01-14,2.15,2.15,2.15,2.15,000,2.15
2015-01-13,2.10,2.32,2.10,2.15,3500,2.15
2015-01-12,2.21,2.21,2.21,2.21,2200,2.21
2015-01-09,2.20,2.32,2.20,2.32,700,2.32
2015-01-08,2.23,2.23,2.23,2.23,000,2.23
2015-01-07,2.17,2.34,2.16,2.34,3900,2.34
2015-01-06,2.25,2.25,2.25,2.25,1000,2.25
2015-01-05,2.26,2.26,2.26,2.26,300,2.26
2015-01-02,2.44,2.44,2.27,2.27,1500,2.27
2015-01-01,2.33,2.33,2.17,2.33,1100,2.33
2014-12-31,2.22,2.22,2.22,2.22,1000,2.22
2014-12-30,2.26,2.29,2.26,2.29,1100,2.29
2014-12-29,2.35,2.35,2.29,2.29,1300,2.29
2014-12-26,2.26,2.26,2.26,2.26,200,2.26
2014-12-25,2.36,2.36,2.36,2.36,000,2.36
2014-12-24,2.35,2.58,2.29,2.36,5900,2.36
2014-12-23,2.35,2.36,2.35,2.36,400,2.36
2014-12-22,2.40,2.40,2.40,2.40,800,2.40
2014-12-19,2.46,2.46,2.31,2.31,2600,2.31
2014-12-18,2.32,2.35,2.29,2.35,5700,2.35
2014-12-17,2.10,2.79,2.10,2.50,1700,2.50
2014-12-16,2.45,2.45,2.45,2.45,300,2.45
2014-12-15,2.01,2.75,2.01,2.75,100,2.75
2014-12-12,2.37,2.88,2.37,2.42,1600,2.42
2014-12-11,2.90,2.90,2.02,2.50,1300,2.50
2014-12-10,2.10,2.50,2.10,2.50,1100,2.50
2014-12-09,2.30,2.30,2.30,2.30,1000,2.30
2014-12-08,2.78,3.29,2.53,2.63,9800,2.63
2014-12-05,2.35,2.80,2.35,2.80,3300,2.80
2014-12-04,2.50,2.50,2.32,2.42,5500,2.42
2014-12-03,2.31,3.25,2.31,2.90,8500,2.90
2014-12-02,2.80,2.80,2.80,2.80,000,2.80
2014-12-01,2.89,2.89,2.80,2.80,200,2.80
2014-11-28,2.90,2.90,2.26,2.55,7400,2.55
2014-11-27,2.51,2.56,2.51,2.56,6600,2.56
2014-11-26,3.00,3.00,2.50,2.50,700,2.50
2014-11-25,2.42,2.89,2.42,2.89,3500,2.89
2014-11-24,2.59,2.59,2.51,2.51,2600,2.51
2014-11-21,2.51,2.55,2.51,2.52,2900,2.52
2014-11-20,2.99,2.99,2.65,2.65,8500,2.65
2014-11-19,2.99,2.99,2.99,2.99,000,2.99
2014-11-18,2.99,2.99,2.51,2.65,3100,2.65
2014-11-17,2.55,3.00,2.55,2.95,800,2.95
2014-11-14,2.79,2.79,2.79,2.79,500,2.79
2014-11-13,2.37,2.94,2.37,2.89,2200,2.89
2014-11-12,2.74,2.74,2.51,2.70,1700,2.70
2014-11-11,2.00,2.99,2.00,2.51,7700,2.51
2014-11-10,2.50,2.50,2.50,2.50,1500,2.50
2014-11-07,2.42,2.50,2.42,2.50,10600,2.50
2014-11-06,2.50,2.50,2.50,2.50,000,2.50
2014-11-05,2.41,2.50,2.41,2.50,7400,2.50
2014-11-04,2.58,2.58,2.58,2.58,000,2.58
2014-11-03,2.46,2.58,2.46,2.58,800,2.58
2014-10-31,2.59,2.59,2.30,2.35,3900,2.35
2014-10-30,2.65,2.65,2.36,2.36,1800,2.36
2014-10-29,2.30,2.45,2.30,2.45,800,2.45
2014-10-28,2.90,2.90,2.40,2.45,11100,2.45
2014-10-27,3.09,3.09,2.58,2.65,3200,2.65
2014-10-24,2.65,2.65,2.65,2.65,000,2.65
2014-10-23,2.65,2.65,2.65,2.65,000,2.65
2014-10-22,2.25,2.65,2.25,2.65,200,2.65
2014-10-21,2.41,2.41,2.41,2.41,000,2.41
2014-10-20,2.38,2.41,2.38,2.41,700,2.41
2014-10-17,2.64,2.64,2.64,2.64,100,2.64
2014-10-16,2.34,2.41,2.34,2.41,6100,2.41
2014-10-15,2.60,2.60,2.60,2.60,000,2.60
2014-10-14,2.56,2.60,2.56,2.60,4600,2.60
2014-10-13,2.81,2.81,2.80,2.80,1500,2.80
2014-10-10,2.90,3.00,2.81,2.81,12200,2.81
2014-10-09,2.74,2.74,2.74,2.74,000,2.74
2014-10-08,2.46,2.74,2.46,2.74,1100,2.74
2014-10-07,2.94,2.94,2.68,2.71,6500,2.71
2014-10-06,2.80,2.80,2.80,2.80,000,2.80
2014-10-03,2.80,2.80,2.80,2.80,000,2.80
