Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,111.15,111.15,111.15,111.15,1700,111.15
2015-07-16,105.90,105.90,105.90,105.90,7100,105.90
2015-07-15,99.10,102.40,96.00,100.90,85000,100.90
2015-07-14,93.00,97.55,90.00,97.55,43900,97.55
2015-07-13,90.10,96.40,89.80,92.95,32900,92.95
2015-07-10,97.00,98.90,92.00,92.45,33100,92.45
2015-07-09,104.70,104.70,95.60,96.45,94500,96.45
2015-07-08,94.00,99.75,90.40,99.75,121900,99.75
2015-07-07,95.00,95.00,95.00,95.00,18900,95.00
2015-07-06,85.95,90.50,84.00,90.50,29900,90.50
2015-07-03,85.00,88.25,84.60,86.20,60900,86.20
2015-07-02,89.70,90.05,82.50,84.05,105500,84.05
2015-07-01,82.50,85.80,82.00,85.80,11900,85.80
2015-06-30,82.00,83.80,80.60,81.75,11700,81.75
2015-06-29,79.50,84.50,77.35,82.85,43300,82.85
2015-06-26,81.50,83.45,78.30,81.40,37300,81.40
2015-06-25,76.00,79.50,73.50,79.50,30300,79.50
2015-06-24,82.70,82.70,75.05,75.75,101900,75.75
2015-06-23,78.80,78.80,78.80,78.80,2800,78.80
2015-06-22,75.05,75.05,75.05,75.05,11900,75.05
2015-06-19,68.00,71.50,67.80,71.50,14200,71.50
2015-06-18,67.35,69.95,66.90,68.10,18200,68.10
2015-06-17,68.30,69.80,66.50,67.45,14800,67.45
2015-06-16,71.00,71.30,66.00,68.30,29700,68.30
2015-06-15,61.60,67.95,61.60,67.95,46900,67.95
2015-06-12,66.10,69.50,64.75,64.75,52100,64.75
2015-06-11,79.85,80.90,71.90,71.90,45100,71.90
2015-06-10,81.00,83.05,78.00,79.85,23200,79.85
2015-06-09,80.50,86.30,79.60,80.35,55000,80.35
2015-06-08,83.00,84.90,75.50,79.10,62500,79.10
2015-06-05,77.00,81.25,74.05,81.25,98900,81.25
2015-06-04,69.90,73.90,68.80,73.90,39300,73.90
2015-06-03,67.50,69.95,63.15,67.20,18200,67.20
2015-06-02,62.50,70.45,60.35,67.85,57200,67.85
2015-06-01,66.50,67.50,62.80,63.85,18500,63.85
2015-05-29,67.40,71.50,65.35,66.50,73100,66.50
2015-05-28,69.00,69.00,62.50,65.00,116800,65.00
2015-05-27,54.30,58.10,54.30,58.10,11300,58.10
2015-05-26,49.90,50.00,48.10,48.45,1300,48.45
2015-05-25,49.15,52.70,48.50,49.15,5700,49.15
2015-05-22,51.35,53.00,50.10,51.25,6000,51.25
2015-05-21,50.50,51.50,49.20,50.80,2400,50.80
2015-05-20,52.00,52.00,50.00,50.50,2900,50.50
2015-05-19,49.30,52.65,49.30,51.00,1300,51.00
2015-05-18,52.00,53.90,51.00,50.55,700,50.55
2015-05-15,55.00,55.00,51.20,51.20,5300,51.20
2015-05-14,50.60,53.15,50.60,52.55,5400,52.55
2015-05-13,49.90,52.05,49.55,51.25,12900,51.25
2015-05-12,48.00,50.30,47.60,49.60,6400,49.60
2015-05-11,48.75,49.50,46.75,48.40,1500,48.40
2015-05-08,45.20,47.00,45.05,46.00,9400,46.00
2015-05-07,46.15,46.15,46.00,46.00,400,46.00
2015-05-06,48.50,48.50,46.25,46.40,3100,46.40
2015-05-05,49.60,51.00,48.40,50.50,3000,50.50
2015-05-04,46.10,52.25,46.10,49.35,4800,49.35
2015-05-01,47.35,47.35,47.35,47.35,000,47.35
2015-04-30,45.30,48.90,45.30,47.35,2200,47.35
2015-04-29,47.20,49.75,47.20,47.20,500,47.20
