Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,273.00,273.45,266.35,271.15,32900,271.15
2015-07-16,256.50,282.45,255.75,270.30,125700,270.30
2015-07-15,255.00,256.00,254.10,254.95,13900,254.95
2015-07-14,253.90,255.15,251.85,253.95,12200,253.95
2015-07-13,252.50,254.95,250.00,254.30,11900,254.30
2015-07-10,250.15,252.00,249.60,251.45,11000,251.45
2015-07-09,254.00,255.60,246.65,248.70,14600,248.70
2015-07-08,254.00,255.40,249.60,254.30,44800,254.30
2015-07-07,252.50,261.90,250.15,254.15,42500,254.15
2015-07-06,248.00,253.35,245.10,250.50,27000,250.50
2015-07-03,251.00,253.00,247.10,249.85,10300,249.85
2015-07-02,250.00,251.00,246.15,250.30,18600,250.30
2015-07-01,255.00,255.00,247.20,248.25,24800,248.25
2015-06-30,243.05,248.00,243.05,246.80,7200,246.80
2015-06-29,247.00,247.00,240.00,244.50,21900,244.50
2015-06-26,245.00,250.00,244.75,248.55,20500,248.55
2015-06-25,246.10,248.30,241.70,247.05,9700,247.05
2015-06-24,250.75,251.25,245.05,247.15,10600,247.15
2015-06-23,251.30,257.85,249.90,250.80,18900,250.80
2015-06-22,250.00,254.00,249.00,251.30,11100,251.30
2015-06-19,247.00,252.00,246.00,248.55,19700,248.55
2015-06-18,244.50,250.00,242.00,245.35,17300,245.35
2015-06-17,243.80,244.00,241.00,241.65,7100,241.65
2015-06-16,244.00,247.50,238.80,241.70,12300,241.70
2015-06-15,250.60,252.25,245.00,245.90,8600,245.90
2015-06-12,253.80,254.30,248.30,250.05,8500,250.05
2015-06-11,255.50,259.00,252.00,255.50,12500,255.50
2015-06-10,248.35,256.80,248.35,256.00,12900,256.00
2015-06-09,250.10,254.00,248.45,250.15,14200,250.15
2015-06-08,258.30,258.30,250.00,250.45,9300,250.45
2015-06-05,252.50,263.10,252.05,260.00,11500,260.00
2015-06-04,256.95,259.60,251.00,254.85,13700,254.85
2015-06-03,257.15,257.15,245.50,254.70,23400,254.70
2015-06-02,270.00,271.00,251.90,254.35,24100,254.35
2015-06-01,266.70,274.40,266.00,267.95,12500,267.95
2015-05-29,263.00,270.80,261.50,268.15,23700,268.15
2015-05-28,259.00,273.50,258.30,264.65,73800,264.65
2015-05-27,255.00,262.00,252.00,260.55,16900,260.55
2015-05-26,257.40,258.10,254.00,255.80,7200,255.80
2015-05-25,259.00,264.00,257.05,258.20,13100,258.20
2015-05-22,254.80,262.25,250.90,259.90,33000,259.90
2015-05-21,244.15,257.00,244.15,254.15,60200,254.15
2015-05-20,242.05,242.45,238.70,239.25,5000,239.25
2015-05-19,240.35,242.95,238.60,239.80,15400,239.80
2015-05-18,238.00,242.00,238.00,239.35,12300,239.35
2015-05-15,240.95,241.95,238.15,238.65,10200,238.65
2015-05-14,240.00,244.00,237.65,238.75,10400,238.75
2015-05-13,243.70,244.35,238.50,240.40,13600,240.40
2015-05-12,247.95,247.95,241.00,241.90,18000,241.90
2015-05-11,244.60,251.90,244.60,247.95,58900,247.95
2015-05-08,243.00,248.00,243.00,244.15,12100,244.15
2015-05-07,251.75,257.10,240.50,242.55,29400,242.55
2015-05-06,247.45,258.00,242.85,250.70,40800,250.70
2015-05-05,245.95,251.45,244.30,250.55,26500,250.55
2015-05-04,246.95,247.95,242.00,243.85,29800,243.85
2015-05-01,241.60,241.60,241.60,241.60,000,241.60
2015-04-30,237.90,246.55,231.55,241.60,105000,241.60
2015-04-29,245.10,245.50,235.90,236.75,23200,236.75
2015-04-28,240.00,247.00,239.00,244.95,13900,244.95
2015-04-27,246.00,246.75,239.25,241.90,13400,241.90
2015-04-24,253.50,253.50,243.15,244.65,27700,244.65
2015-04-23,257.50,259.50,251.00,252.80,15900,252.80
2015-04-22,259.00,261.00,253.40,255.30,11300,255.30
2015-04-21,258.35,261.90,257.50,260.35,20400,260.35
2015-04-20,261.15,262.70,254.50,257.05,18600,257.05
2015-04-17,265.05,266.00,260.00,261.05,28400,261.05
2015-04-16,269.70,272.75,264.30,265.25,11000,265.25
2015-04-15,275.45,277.65,269.00,269.85,19300,269.85
2015-04-14,275.00,275.00,275.00,275.00,000,275.00
2015-04-13,273.75,277.90,271.85,275.00,28700,275.00
2015-04-10,271.60,278.45,271.30,273.10,25500,273.10
2015-04-09,271.65,274.00,270.00,271.90,10100,271.90
2015-04-08,277.70,281.60,270.00,272.90,30100,272.90
2015-04-07,272.60,277.00,266.00,273.00,26600,273.00
2015-04-06,260.00,274.20,255.70,271.65,35800,271.65
2015-04-03,259.30,259.30,259.30,259.30,000,259.30
2015-04-02,259.30,259.30,259.30,259.30,000,259.30
2015-04-01,250.05,261.00,248.00,259.30,29200,259.30
2015-03-31,253.00,253.90,248.00,251.20,17200,251.20
2015-03-30,241.70,252.95,239.85,251.55,17300,251.55
2015-03-27,238.10,244.70,232.10,239.15,143700,239.15
2015-03-26,244.00,244.00,238.20,239.40,32900,239.40
2015-03-25,257.00,267.65,244.35,245.40,3703300,245.40
2015-03-24,253.70,253.70,249.00,250.85,20500,250.85
2015-03-23,252.85,257.00,247.70,251.25,43100,251.25
2015-03-20,256.25,257.40,249.50,251.10,18900,251.10
2015-03-19,262.00,265.50,255.15,257.95,73300,257.95
2015-03-18,265.95,268.00,256.00,258.75,26500,258.75
2015-03-17,266.40,270.00,264.00,264.90,21300,264.90
2015-03-16,266.65,271.95,262.15,264.55,18100,264.55
2015-03-13,271.80,274.35,263.10,265.25,13200,265.25
2015-03-12,268.60,273.25,266.75,269.05,17200,269.05
2015-03-11,275.00,275.00,265.00,270.15,43700,270.15
2015-03-10,278.65,279.00,270.60,272.05,23600,272.05
2015-03-09,285.00,285.00,274.35,279.15,25200,279.15
2015-03-06,281.25,281.25,281.25,281.25,000,281.25
2015-03-05,287.65,290.00,279.55,281.25,18800,281.25
2015-03-04,301.05,303.80,286.25,288.00,32800,288.00
2015-03-03,294.95,302.15,294.95,298.20,17400,298.20
2015-03-02,300.60,300.60,293.55,296.25,24400,296.25
2015-02-27,300.00,303.85,295.90,297.95,96700,297.95
2015-02-26,300.00,301.95,297.00,297.45,18800,297.45
2015-02-25,301.50,304.50,297.50,299.50,28200,299.50
2015-02-24,297.15,306.00,297.15,302.40,28400,302.40
2015-02-23,304.00,304.50,299.00,301.20,24500,301.20
2015-02-20,305.00,307.00,297.25,302.25,47300,302.25
2015-02-19,299.00,309.00,299.00,304.75,40600,304.75
2015-02-18,295.30,302.55,295.30,297.95,37500,297.95
