Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,40.00,40.90,40.00,40.40,3700,40.40
2015-07-16,40.00,40.50,39.00,40.35,1900,40.35
2015-07-15,40.10,40.70,38.80,39.20,2300,39.20
2015-07-14,40.20,40.90,39.10,39.50,500,39.50
2015-07-13,39.20,40.75,38.50,40.40,1300,40.40
2015-07-10,40.00,40.40,38.50,39.90,1300,39.90
2015-07-09,41.45,41.45,38.70,39.25,200,39.25
2015-07-08,40.50,40.90,38.15,38.75,2900,38.75
2015-07-07,39.65,41.40,39.65,40.75,5700,40.75
2015-07-06,38.10,38.10,38.10,38.10,000,38.10
2015-07-03,38.00,38.65,37.80,38.10,2200,38.10
2015-07-02,37.45,38.20,37.45,37.65,6000,37.65
2015-07-01,38.50,38.90,37.25,37.45,4900,37.45
2015-06-30,38.60,38.60,37.40,37.50,1700,37.50
2015-06-29,38.00,40.50,37.20,39.75,400,39.75
2015-06-26,38.75,39.95,38.75,39.95,400,39.95
2015-06-25,38.10,40.00,38.10,39.00,800,39.00
2015-06-24,39.10,40.25,39.00,39.00,200,39.00
2015-06-23,40.10,40.10,39.25,39.30,700,39.30
2015-06-22,39.15,41.00,39.15,40.00,900,40.00
2015-06-19,39.00,41.00,39.00,39.10,500,39.10
2015-06-18,36.05,41.00,36.05,39.35,1700,39.35
2015-06-17,38.40,38.40,37.00,37.20,1300,37.20
2015-06-16,37.00,37.00,36.90,36.95,1300,36.95
2015-06-15,37.20,37.20,37.10,37.10,100,37.10
2015-06-12,37.40,37.40,37.10,37.10,500,37.10
2015-06-11,37.10,39.50,37.10,38.20,600,38.20
2015-06-10,37.10,38.50,37.10,37.90,400,37.90
2015-06-09,37.10,39.95,36.20,36.60,6500,36.60
2015-06-08,38.10,38.10,37.15,37.75,1100,37.75
2015-06-05,37.55,38.00,37.55,38.00,100,38.00
2015-06-04,39.00,39.25,38.50,38.70,1200,38.70
2015-06-03,39.10,40.75,36.35,38.00,1700,38.00
2015-06-02,40.40,40.40,39.25,39.40,1900,39.40
2015-06-01,40.00,41.30,39.70,40.05,5000,40.05
2015-05-29,40.35,41.10,39.60,39.90,2400,39.90
2015-05-28,40.00,43.80,40.00,41.55,1800,41.55
2015-05-27,40.20,40.20,39.50,39.75,2500,39.75
2015-05-26,39.25,40.00,39.25,40.00,300,40.00
2015-05-25,39.45,39.50,39.10,39.50,100,39.50
2015-05-22,42.50,42.50,40.00,40.00,2000,40.00
2015-05-21,41.65,42.00,41.00,41.90,300,41.90
2015-05-20,42.50,42.50,40.60,41.25,800,41.25
2015-05-19,43.00,43.00,41.40,41.85,2800,41.85
2015-05-18,40.50,46.40,40.50,41.95,23000,41.95
2015-05-15,39.15,41.35,39.15,39.70,2700,39.70
2015-05-14,40.45,40.45,39.35,39.80,200,39.80
2015-05-13,39.50,40.00,39.25,39.25,2000,39.25
2015-05-12,40.10,40.10,39.25,39.65,3100,39.65
2015-05-11,41.00,41.25,39.85,40.00,1900,40.00
2015-05-08,41.15,42.05,41.05,41.45,2100,41.45
2015-05-07,41.40,42.00,38.85,39.85,7000,39.85
2015-05-06,40.90,43.70,40.85,43.15,2400,43.15
2015-05-05,42.10,43.40,41.65,42.40,500,42.40
2015-05-04,42.90,43.00,41.55,42.50,900,42.50
2015-05-01,41.50,41.50,41.50,41.50,000,41.50
2015-04-30,41.00,41.80,40.25,41.50,3100,41.50
2015-04-29,41.00,43.00,40.65,41.30,700,41.30
2015-04-28,40.75,40.75,40.75,40.75,000,40.75
2015-04-27,41.25,42.00,40.00,40.05,3300,40.05
2015-04-24,47.00,47.00,41.00,41.25,6500,41.25
2015-04-23,44.00,47.00,44.00,44.55,7300,44.55
2015-04-22,42.30,43.25,42.00,42.25,3000,42.25
2015-04-21,41.50,43.10,41.40,42.00,4300,42.00
2015-04-20,42.65,42.65,41.00,41.10,4800,41.10
2015-04-17,44.05,44.05,42.30,42.60,12000,42.60
2015-04-16,48.10,48.15,44.50,44.70,8800,44.70
2015-04-15,49.00,49.70,46.00,47.50,15800,47.50
2015-04-14,49.65,49.65,49.65,49.65,000,49.65
2015-04-13,50.95,54.45,48.50,49.65,162100,49.65
2015-04-10,39.60,47.25,39.60,47.25,34900,47.25
2015-04-09,39.75,40.00,39.00,39.40,2400,39.40
2015-04-08,40.25,41.50,40.00,40.10,6700,40.10
2015-04-07,40.50,41.00,39.50,40.10,1800,40.10
2015-04-06,38.00,40.45,38.00,40.20,3100,40.20
2015-04-03,38.45,38.45,38.45,38.45,000,38.45
2015-04-02,38.45,38.45,38.45,38.45,000,38.45
2015-04-01,37.70,39.00,36.40,38.45,1900,38.45
2015-03-31,37.45,37.45,36.60,36.80,2100,36.80
2015-03-30,36.10,38.00,36.10,37.90,1500,37.90
2015-03-27,36.30,37.90,35.05,35.60,23000,35.60
2015-03-26,37.10,37.90,36.00,36.10,5500,36.10
2015-03-25,38.15,40.25,37.05,38.55,34800,38.55
2015-03-24,37.50,38.75,36.50,38.15,4200,38.15
2015-03-23,38.30,39.70,37.50,37.55,3100,37.55
2015-03-20,41.60,42.80,38.90,39.30,6500,39.30
2015-03-19,44.10,44.10,41.20,42.10,3600,42.10
2015-03-18,41.65,41.65,40.00,40.85,2000,40.85
2015-03-17,40.15,42.40,40.00,40.60,2500,40.60
2015-03-16,42.10,42.10,40.00,40.10,3100,40.10
2015-03-13,44.95,45.80,41.65,42.80,2600,42.80
2015-03-12,44.00,45.00,43.00,43.55,3200,43.55
2015-03-11,45.70,45.70,43.10,43.30,2400,43.30
2015-03-10,44.30,45.50,43.00,43.75,8500,43.75
2015-03-09,46.25,46.25,43.85,43.90,2000,43.90
2015-03-06,45.25,45.25,45.25,45.25,000,45.25
2015-03-05,47.95,47.95,44.90,45.25,1400,45.25
2015-03-04,46.80,49.90,45.00,46.00,14000,46.00
2015-03-03,44.00,46.95,44.00,45.35,5600,45.35
2015-03-02,46.15,46.15,44.25,44.70,1700,44.70
2015-02-27,44.00,47.45,44.00,46.05,4700,46.05
2015-02-26,44.00,45.90,44.00,44.35,2200,44.35
2015-02-25,48.50,51.45,46.00,46.35,13000,46.35
2015-02-24,51.10,51.10,48.70,49.00,5400,49.00
2015-02-23,52.10,54.75,50.65,50.80,9800,50.80
2015-02-20,54.50,54.70,50.60,51.20,9600,51.20
2015-02-19,53.05,59.95,53.05,53.95,69400,53.95
2015-02-18,43.00,51.75,42.50,51.75,29600,51.75
2015-02-17,43.15,43.15,43.15,43.15,000,43.15
2015-02-16,43.90,44.00,42.90,43.15,5200,43.15
2015-02-13,42.60,46.90,42.60,43.95,2300,43.95
2015-02-12,47.50,47.70,45.45,45.90,2700,45.90
2015-02-11,46.10,48.85,45.00,46.25,2100,46.25
2015-02-10,45.10,47.90,45.10,45.65,900,45.65
2015-02-09,47.00,48.25,45.40,46.20,4100,46.20
2015-02-06,47.00,49.60,47.00,47.90,4500,47.90
2015-02-05,50.20,54.00,47.50,47.65,22000,47.65
2015-02-04,50.10,51.75,50.10,51.55,4700,51.55
2015-02-03,50.15,51.95,50.10,50.65,7300,50.65
2015-02-02,52.80,52.80,50.00,50.80,4300,50.80
2015-01-30,52.90,53.00,49.15,50.80,15900,50.80
2015-01-29,51.00,53.10,50.85,51.65,6900,51.65
2015-01-28,51.85,52.10,50.65,51.00,5900,51.00
2015-01-27,51.05,54.00,51.00,51.25,5900,51.25
2015-01-26,51.85,51.85,51.85,51.85,000,51.85
2015-01-23,54.85,54.85,50.75,51.85,13700,51.85
2015-01-22,54.15,56.30,52.70,53.30,4600,53.30
2015-01-21,55.70,55.70,53.70,54.05,3700,54.05
2015-01-20,55.20,55.25,53.65,54.35,3700,54.35
2015-01-19,55.60,55.60,53.00,54.05,8800,54.05
2015-01-16,57.90,57.90,53.15,55.90,9000,55.90
2015-01-15,59.60,59.60,56.10,56.55,11100,56.55
2015-01-14,57.00,60.00,55.95,58.00,109000,58.00
2015-01-13,53.50,58.65,53.40,56.95,59800,56.95
2015-01-12,53.05,54.15,53.00,53.35,57700,53.35
2015-01-09,53.50,54.00,52.10,52.60,7800,52.60
2015-01-08,53.00,54.50,52.50,53.30,8800,53.30
2015-01-07,53.00,54.25,50.70,52.45,9500,52.45
2015-01-06,53.80,54.50,52.20,52.45,20700,52.45
2015-01-05,57.90,58.90,56.25,56.65,15900,56.65
2015-01-02,56.00,58.95,56.00,56.75,26600,56.75
2015-01-01,58.00,58.00,53.40,55.40,73200,55.40
2014-12-31,62.40,62.80,57.10,58.30,91100,58.30
2014-12-30,60.90,64.00,60.00,62.35,184300,62.35
2014-12-29,52.40,61.00,51.50,58.80,447100,58.80
2014-12-26,44.25,51.20,42.35,50.85,257200,50.85
2014-12-25,42.70,42.70,42.70,42.70,000,42.70
2014-12-24,43.85,43.85,40.15,42.70,25100,42.70
2014-12-23,44.50,45.25,39.10,40.55,62900,40.55
2014-12-22,40.50,44.45,37.90,44.45,226300,44.45
2014-12-19,36.10,38.00,36.10,37.05,7200,37.05
2014-12-18,35.65,36.80,35.65,36.75,3100,36.75
2014-12-17,36.55,38.85,36.00,36.65,6200,36.65
2014-12-16,37.75,38.00,36.00,36.00,19000,36.00
2014-12-15,36.50,37.90,35.70,37.75,6000,37.75
2014-12-12,37.05,38.00,36.05,36.55,4500,36.55
2014-12-11,35.60,38.40,35.25,38.10,27700,38.10
2014-12-10,35.30,36.95,35.30,36.10,2300,36.10
2014-12-09,36.55,37.15,35.20,36.00,3000,36.00
2014-12-08,36.50,38.80,36.50,37.55,4400,37.55
2014-12-05,35.50,40.00,35.50,37.30,20800,37.30
2014-12-04,37.90,39.00,35.20,35.50,36500,35.50
2014-12-03,38.20,38.20,35.80,36.10,8600,36.10
2014-12-02,36.95,37.05,35.50,35.50,600,35.50
2014-12-01,39.35,39.35,35.05,35.80,8200,35.80
2014-11-28,36.40,38.75,36.35,37.95,4300,37.95
2014-11-27,36.00,37.65,36.00,36.25,4800,36.25
2014-11-26,36.95,37.90,36.00,36.60,9100,36.60
2014-11-25,40.15,40.60,36.55,37.05,11800,37.05
2014-11-24,41.70,41.70,39.30,40.10,21600,40.10
2014-11-21,39.80,40.45,38.50,38.90,10400,38.90
2014-11-20,38.60,40.40,37.95,38.45,18700,38.45
2014-11-19,39.50,39.90,38.00,38.35,25600,38.35
2014-11-18,36.10,39.00,36.10,37.95,11000,37.95
2014-11-17,37.10,37.30,35.20,35.95,8700,35.95
2014-11-14,36.10,39.70,35.80,37.75,27400,37.75
2014-11-13,41.00,41.00,37.70,38.05,9400,38.05
2014-11-12,42.00,42.70,39.50,40.25,19600,40.25
2014-11-11,40.20,42.10,38.90,40.75,46100,40.75
2014-11-10,42.95,43.75,36.00,38.95,146100,38.95
2014-11-07,38.50,39.95,38.40,39.95,45300,39.95
2014-11-06,36.35,36.35,36.35,36.35,000,36.35
2014-11-05,34.00,36.35,34.00,36.35,73800,36.35
2014-11-04,33.05,33.05,33.05,33.05,000,33.05
2014-11-03,28.50,33.05,28.50,33.05,85500,33.05
2014-10-31,24.15,28.35,24.10,27.55,43200,27.55
2014-10-30,23.10,24.15,23.10,24.05,9200,24.05
2014-10-29,24.20,25.50,23.25,23.25,21400,23.25
2014-10-28,21.15,24.30,21.15,23.70,28400,23.70
2014-10-27,22.00,22.00,20.70,21.00,1500,21.00
2014-10-24,20.85,20.85,20.85,20.85,000,20.85
2014-10-23,20.85,20.85,20.85,20.85,000,20.85
2014-10-22,24.00,24.00,20.60,20.85,2300,20.85
2014-10-21,21.90,21.90,20.55,20.85,2400,20.85
2014-10-20,21.15,22.00,21.05,21.05,700,21.05
2014-10-17,21.50,22.00,21.00,21.15,4100,21.15
2014-10-16,23.00,23.00,20.50,21.55,1600,21.55
2014-10-15,21.50,21.50,21.50,21.50,000,21.50
2014-10-14,24.00,24.00,21.10,21.50,800,21.50
2014-10-13,22.70,22.70,21.00,21.30,2200,21.30
2014-10-10,21.50,22.35,21.50,21.70,1100,21.70
2014-10-09,22.60,23.10,21.85,22.25,2300,22.25
2014-10-08,22.85,22.85,22.00,22.20,1000,22.20
2014-10-07,21.05,23.45,21.05,22.15,101400,22.15
2014-10-06,22.70,22.70,22.70,22.70,000,22.70
2014-10-03,22.70,22.70,22.70,22.70,000,22.70
2014-10-02,22.70,22.70,22.70,22.70,000,22.70
2014-10-01,23.00,23.00,22.20,22.70,2900,22.70
2014-09-30,23.40,24.20,22.40,22.85,16900,22.85
2014-09-29,23.20,23.65,22.40,23.00,17000,23.00
2014-09-26,19.05,22.00,19.00,21.50,4300,21.50
2014-09-25,21.75,22.20,20.20,20.20,1100,20.20
2014-09-24,22.80,22.80,21.95,22.00,3500,22.00
2014-09-23,21.15,23.00,21.15,21.90,2200,21.90
2014-09-22,22.95,22.95,21.50,21.95,1900,21.95
2014-09-19,22.80,22.80,21.85,22.10,2000,22.10
2014-09-18,22.00,22.60,21.75,21.75,1300,21.75
2014-09-17,21.50,22.75,21.50,21.80,2500,21.80
2014-09-16,23.15,23.15,21.50,21.65,8100,21.65
2014-09-15,23.00,23.00,22.00,22.55,19600,22.55
2014-09-12,23.50,23.50,22.45,22.45,5500,22.45
2014-09-11,23.50,24.50,22.20,23.00,29500,23.00
2014-09-10,22.75,22.75,21.90,22.30,8400,22.30
2014-09-09,22.90,23.00,22.00,22.10,2500,22.10
2014-09-08,23.30,23.35,21.50,22.40,1900,22.40
2014-09-05,22.00,23.25,21.75,22.30,1200,22.30
2014-09-04,22.40,23.30,21.50,22.20,4300,22.20
2014-09-03,21.85,23.00,21.65,22.40,2600,22.40
2014-09-02,23.90,23.90,22.40,22.40,8700,22.40
