Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,6.25,6.39,6.00,6.00,3000,6.00
2015-07-16,5.75,6.20,5.75,6.20,1300,6.20
2015-07-15,5.61,6.10,5.61,6.00,2300,6.00
2015-07-14,6.00,6.00,5.50,5.60,9000,5.60
2015-07-13,6.01,6.01,5.99,6.00,9700,6.00
2015-07-10,6.67,6.67,6.14,6.14,700,6.14
2015-07-09,7.19,7.19,6.28,6.82,300,6.82
2015-07-08,6.99,7.74,6.21,6.84,9500,6.84
2015-07-07,6.24,6.45,5.96,6.45,5700,6.45
2015-07-06,5.10,5.40,5.10,5.40,17700,5.40
2015-07-03,4.65,5.40,4.59,5.10,5200,5.10
2015-07-02,4.63,4.70,4.61,4.61,700,4.61
2015-07-01,4.85,4.85,4.85,4.85,500,4.85
2015-06-30,5.07,5.07,5.07,5.07,000,5.07
2015-06-29,4.52,5.10,4.52,5.07,2600,5.07
2015-06-26,5.06,5.06,5.06,5.06,100,5.06
2015-06-25,4.52,5.10,4.52,5.09,500,5.09
2015-06-24,4.51,4.51,4.50,4.50,4600,4.50
2015-06-23,5.10,5.10,4.50,4.50,1600,4.50
2015-06-22,4.55,4.55,4.55,4.55,000,4.55
2015-06-19,4.26,4.55,4.26,4.55,1900,4.55
2015-06-18,4.60,4.60,4.60,4.60,000,4.60
2015-06-17,4.60,4.60,4.60,4.60,100,4.60
2015-06-16,4.53,4.53,4.53,4.53,600,4.53
2015-06-15,3.93,4.62,3.93,4.58,9400,4.58
2015-06-12,4.73,4.73,4.16,4.20,600,4.20
2015-06-11,4.36,4.36,4.36,4.36,100,4.36
2015-06-10,4.63,4.63,3.97,4.50,2700,4.50
2015-06-09,3.73,4.09,3.61,3.93,12900,3.93
2015-06-08,4.00,4.39,3.95,4.39,4900,4.39
2015-06-05,4.58,4.58,4.00,4.49,000,4.49
2015-06-04,3.90,4.48,3.90,4.42,200,4.42
2015-06-03,4.50,4.50,4.10,4.48,4200,4.48
2015-06-02,4.49,4.83,4.16,4.55,19900,4.55
2015-06-01,4.96,4.96,4.96,4.96,000,4.96
2015-05-29,4.59,4.96,4.50,4.96,3600,4.96
2015-05-28,4.90,4.90,4.90,4.90,000,4.90
2015-05-27,4.80,5.00,4.70,4.90,10200,4.90
2015-05-26,4.76,5.28,4.76,4.76,200,4.76
2015-05-25,4.99,4.99,4.99,4.99,000,4.99
2015-05-22,4.76,5.38,4.76,4.99,5200,4.99
2015-05-21,4.65,5.47,4.65,4.92,1200,4.92
2015-05-20,5.36,5.36,5.36,5.36,000,5.36
2015-05-19,5.05,5.37,4.90,5.36,100,5.36
2015-05-18,5.00,5.00,4.80,4.99,1300,4.99
2015-05-15,4.99,5.46,4.99,5.00,800,5.00
2015-05-14,5.00,5.00,5.00,5.00,000,5.00
2015-05-13,5.35,5.35,5.00,5.00,1000,5.00
2015-05-12,4.79,5.40,4.79,5.35,5700,5.35
2015-05-11,4.80,5.49,4.80,5.40,1200,5.40
2015-05-08,5.37,5.37,5.37,5.37,000,5.37
2015-05-07,5.00,5.59,5.00,5.37,1200,5.37
2015-05-06,5.00,5.00,5.00,5.00,000,5.00
2015-05-05,4.86,6.00,4.86,5.00,15700,5.00
2015-05-04,5.00,5.00,5.00,5.00,000,5.00
2015-05-01,5.45,5.45,5.45,5.45,000,5.45
2015-04-30,5.40,5.50,5.39,5.45,000,5.45
2015-04-29,5.31,5.45,5.20,5.22,2100,5.22
2015-04-28,5.40,5.40,5.40,5.40,500,5.40
2015-04-27,5.01,5.99,5.01,5.20,4100,5.20
2015-04-24,5.50,5.50,5.50,5.50,000,5.50
2015-04-23,5.90,5.90,5.50,5.50,400,5.50
2015-04-22,5.55,5.94,5.55,5.93,500,5.93
2015-04-21,5.97,5.97,5.97,5.97,000,5.97
2015-04-20,5.51,5.99,5.51,5.97,2600,5.97
2015-04-17,5.75,6.05,5.75,6.05,700,6.05
2015-04-16,6.80,6.80,5.90,6.46,12400,6.46
2015-04-15,6.21,6.50,6.07,6.40,1900,6.40
2015-04-14,6.52,6.52,6.52,6.52,000,6.52
2015-04-13,5.36,6.54,5.36,6.52,6400,6.52
2015-04-10,5.85,5.85,5.85,5.85,000,5.85
2015-04-09,6.50,6.50,5.76,5.85,2800,5.85
2015-04-08,6.35,6.35,4.95,6.01,9300,6.01
2015-04-07,5.34,5.80,4.92,5.78,1500,5.78
2015-04-06,5.50,5.98,5.22,5.70,6500,5.70
2015-04-03,5.98,5.98,5.98,5.98,000,5.98
2015-04-02,5.98,5.98,5.98,5.98,000,5.98
2015-04-01,5.15,5.99,5.15,5.98,1800,5.98
2015-03-31,5.28,5.28,5.28,5.28,000,5.28
2015-03-30,5.29,5.30,4.60,5.28,1400,5.28
2015-03-27,4.47,4.97,4.43,4.43,3000,4.43
2015-03-26,4.25,5.18,4.25,4.50,1800,4.50
2015-03-25,4.16,4.93,4.15,4.93,12100,4.93
2015-03-24,4.38,5.15,4.37,4.80,2400,4.80
2015-03-23,5.38,5.38,4.71,4.80,1300,4.80
2015-03-20,4.61,5.29,4.60,4.80,7500,4.80
2015-03-19,5.02,5.48,5.02,5.05,2200,5.05
2015-03-18,5.69,5.69,5.15,5.17,1700,5.17
2015-03-17,5.40,5.60,5.30,5.31,6500,5.31
2015-03-16,5.15,5.45,5.01,5.38,4500,5.38
2015-03-13,5.30,5.85,5.11,5.40,5100,5.40
2015-03-12,5.50,5.55,5.40,5.43,4000,5.43
2015-03-11,5.50,5.68,5.50,5.59,10100,5.59
2015-03-10,5.94,5.94,5.25,5.84,3800,5.84
2015-03-09,5.51,5.89,5.51,5.63,2200,5.63
2015-03-06,5.53,5.53,5.53,5.53,000,5.53
2015-03-05,5.53,5.89,5.52,5.53,13700,5.53
2015-03-04,5.92,6.00,5.56,5.93,12700,5.93
2015-03-03,5.46,5.87,5.45,5.84,2000,5.84
2015-03-02,5.95,5.98,5.50,5.59,3000,5.59
2015-02-27,5.32,6.00,5.31,6.00,5900,6.00
2015-02-26,5.70,5.70,5.70,5.70,000,5.70
2015-02-25,6.00,6.00,5.70,5.70,4200,5.70
2015-02-24,6.00,6.00,5.80,5.80,1400,5.80
2015-02-23,6.20,6.20,5.75,5.81,4600,5.81
2015-02-20,6.00,6.00,5.70,5.76,10400,5.76
2015-02-19,5.56,6.00,5.56,5.72,1700,5.72
2015-02-18,5.60,6.20,5.60,6.00,2000,6.00
2015-02-17,5.94,5.94,5.94,5.94,000,5.94
2015-02-16,6.10,6.10,5.80,5.94,2800,5.94
2015-02-13,5.99,5.99,5.99,5.99,000,5.99
2015-02-12,6.09,6.10,5.72,5.99,1200,5.99
2015-02-11,5.72,6.10,5.70,5.70,1500,5.70
2015-02-10,5.80,6.66,5.80,6.00,1700,6.00
2015-02-09,6.75,6.75,6.10,6.10,900,6.10
2015-02-06,6.02,6.83,6.02,6.72,800,6.72
2015-02-05,6.90,6.90,6.05,6.20,600,6.20
2015-02-04,6.47,6.47,6.47,6.47,1300,6.47
2015-02-03,6.04,6.50,6.04,6.50,1500,6.50
2015-02-02,6.09,6.71,6.06,6.23,1500,6.23
2015-01-30,6.30,6.66,6.30,6.31,3900,6.31
2015-01-29,6.02,6.97,6.02,6.69,1000,6.69
2015-01-28,6.51,6.90,6.50,6.90,300,6.90
2015-01-27,7.15,7.15,6.56,6.56,4300,6.56
2015-01-26,7.10,7.10,7.10,7.10,000,7.10
2015-01-23,6.52,7.10,6.52,7.10,1900,7.10
2015-01-22,6.64,7.00,6.64,7.00,200,7.00
2015-01-21,7.10,7.11,7.00,7.00,1700,7.00
2015-01-20,7.15,7.54,7.12,7.37,1600,7.37
2015-01-19,7.26,7.26,7.05,7.05,400,7.05
2015-01-16,7.88,7.88,6.97,7.47,5800,7.47
2015-01-15,6.70,7.10,6.70,7.10,3400,7.10
2015-01-14,6.77,6.80,6.30,6.59,4500,6.59
2015-01-13,6.48,6.48,6.00,6.00,1900,6.00
2015-01-12,6.30,6.43,5.97,6.27,5700,6.27
2015-01-09,6.20,6.79,6.20,6.79,600,6.79
2015-01-08,6.10,6.84,6.10,6.22,3400,6.22
2015-01-07,6.49,6.50,6.10,6.10,2900,6.10
2015-01-06,5.80,6.40,5.63,6.26,2700,6.26
2015-01-05,6.50,6.51,6.25,6.51,300,6.51
2015-01-02,5.90,6.50,5.90,5.95,600,5.95
2015-01-01,5.90,5.99,5.50,5.90,10700,5.90
2014-12-31,6.00,6.00,5.77,5.77,1500,5.77
2014-12-30,5.70,6.19,5.65,5.95,800,5.95
