Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,98.35,99.90,95.30,97.80,1059400,97.30
2015-07-16,94.60,98.60,94.25,97.55,1324700,97.051
2015-07-15,90.60,96.75,90.60,93.90,2750900,93.42
2015-07-14,85.10,91.40,84.10,89.95,1683300,89.49
2015-07-13,84.00,86.05,84.00,84.90,622000,84.466
2015-07-10,83.00,85.50,82.75,83.25,813500,82.824
2015-07-09,85.10,86.20,80.05,81.50,927900,81.083
2015-07-08,85.80,87.75,83.10,85.00,1046800,84.565
2015-07-07,84.10,91.35,82.00,86.30,11342300,85.859
2015-07-06,82.00,84.65,80.00,83.70,316100,83.272
2015-07-03,82.90,84.05,82.10,83.05,231300,82.625
2015-07-02,84.45,84.75,82.00,82.45,142600,82.028
2015-07-01,85.00,86.20,83.00,83.95,195100,83.521
2015-06-30,86.85,87.10,84.10,84.65,205100,84.217
2015-06-29,80.00,86.20,78.00,84.00,348400,83.571
2015-06-26,82.00,83.20,81.55,81.90,82700,81.481
2015-06-25,83.00,84.00,81.85,82.10,76800,81.68
2015-06-24,83.40,84.50,82.50,83.10,76000,82.675
2015-06-23,84.00,84.35,82.20,82.80,85000,82.377
2015-06-22,85.60,85.85,83.85,84.20,84700,83.77
2015-06-19,85.50,87.60,85.00,85.40,147000,84.963
2015-06-18,86.25,84.75,84.00,84.75,118700,84.317
2015-06-17,79.95,86.80,79.95,85.10,264400,84.665
2015-06-16,79.90,80.20,78.00,78.90,76600,78.497
2015-06-15,80.00,80.95,77.20,79.55,88100,79.143
2015-06-12,78.05,79.00,75.55,77.85,137200,77.452
2015-06-11,82.50,82.60,78.80,79.50,84800,79.094
2015-06-10,81.75,82.90,80.95,81.60,84600,81.183
2015-06-09,83.90,83.90,80.75,81.05,84000,80.636
2015-06-08,83.25,83.25,81.50,82.15,77400,81.73
2015-06-05,82.20,83.70,81.20,82.75,88400,82.327
2015-06-04,82.00,82.75,80.85,82.20,93000,81.78
2015-06-03,84.50,84.50,78.85,80.80,142700,80.387
2015-06-02,85.45,86.35,83.60,83.85,140100,83.421
2015-06-01,84.00,86.45,83.00,85.70,159100,85.262
2015-05-29,83.60,84.45,83.05,83.80,122000,83.372
2015-05-28,84.00,84.00,82.70,83.60,53000,83.173
2015-05-27,84.05,84.05,82.55,82.70,242100,82.277
2015-05-26,85.30,87.00,84.55,84.85,82400,84.416
2015-05-25,85.60,86.50,84.80,85.05,89300,84.615
2015-05-22,86.25,87.75,85.30,85.65,85900,85.212
2015-05-21,86.90,86.95,84.00,85.50,107700,85.063
2015-05-20,87.40,88.70,86.05,86.80,149200,86.356
2015-05-19,85.15,88.00,85.00,87.10,264600,86.655
2015-05-18,85.05,86.90,84.90,85.25,145000,84.814
2015-05-15,85.50,86.95,84.60,84.90,159900,84.466
2015-05-14,84.55,86.20,83.80,85.05,130900,84.615
2015-05-13,87.00,87.00,84.60,85.25,136200,84.814
2015-05-12,89.55,89.55,85.10,85.95,136300,85.511
2015-05-11,88.00,89.55,87.30,88.70,163400,88.247
2015-05-08,86.30,88.40,86.30,87.35,152100,86.903
2015-05-07,86.65,90.00,83.85,85.50,327200,85.063
2015-05-06,88.70,90.40,86.15,86.65,354600,86.207
2015-05-05,84.55,90.50,84.00,88.80,505400,88.346
2015-05-04,83.80,84.60,83.00,83.80,188700,83.372
2015-05-01,82.30,82.30,82.30,82.30,000,81.879
2015-04-30,82.40,83.00,80.00,82.30,223500,81.879
2015-04-29,80.25,83.75,79.15,81.55,357700,81.133
2015-04-28,82.00,83.65,75.20,79.15,554500,78.745
2015-04-27,90.95,91.35,82.20,85.20,678300,84.764
2015-04-24,92.65,92.80,88.00,90.10,345900,89.639
2015-04-23,94.00,95.60,91.30,92.10,314300,91.629
2015-04-22,95.00,95.95,92.00,93.30,392800,92.823
2015-04-21,95.65,98.30,93.95,94.35,523500,93.868
2015-04-20,100.80,101.00,92.75,94.15,962900,93.669
2015-04-17,97.00,102.80,96.00,100.20,913300,99.688
2015-04-16,98.90,100.30,96.00,96.90,807700,96.405
2015-04-15,99.00,104.00,97.10,98.25,2060300,97.748
2015-04-14,94.90,94.90,94.90,94.90,000,94.415
2015-04-13,93.80,96.65,92.05,94.90,681600,94.415
2015-04-10,90.90,94.45,89.10,92.80,639500,92.326
2015-04-09,91.20,92.85,88.20,90.35,368700,89.888
2015-04-08,91.95,94.45,90.10,90.30,437900,89.838
2015-04-07,93.00,94.65,90.35,91.20,418000,90.734
2015-04-06,94.00,98.65,91.45,92.05,680200,91.579
2015-04-03,92.90,92.90,92.90,92.90,000,92.425
2015-04-02,92.90,92.90,92.90,92.90,000,92.425
2015-04-01,85.00,94.15,84.00,92.90,938700,92.425
2015-03-31,85.45,87.50,83.55,84.95,240600,84.516
2015-03-30,84.10,86.15,83.50,84.40,251100,83.969
2015-03-27,84.50,85.20,81.30,82.45,273300,82.028
2015-03-26,86.50,86.50,81.75,82.75,205200,82.327
2015-03-25,86.50,89.50,83.40,87.00,317900,86.555
2015-03-24,90.00,90.00,86.10,86.50,161400,86.058
2015-03-23,87.50,94.90,85.20,88.60,531700,88.147
2015-03-20,92.40,93.78,85.11,85.97,854400,8.553
2015-03-19,97.20,98.00,91.505,92.41,436400,9.194
2015-03-18,96.38,97.60,95.225,96.125,873900,9.563
2015-03-17,95.00,101.71,94.50,95.155,2995000,9.467
2015-03-16,88.78,91.62,88.62,90.87,809700,9.041
2015-03-13,85.10,92.60,85.10,87.86,2275100,8.741
