Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,33.15,33.15,31.60,32.55,1700,32.55
2015-07-16,33.10,33.10,32.00,32.55,6100,32.55
2015-07-15,32.50,32.85,31.60,32.00,111900,32.00
2015-07-14,32.70,32.85,31.90,32.55,3000,32.55
2015-07-13,32.00,33.20,31.45,31.70,3600,31.70
2015-07-10,31.10,33.50,31.10,32.95,5900,32.95
2015-07-09,30.20,33.20,30.20,32.00,13700,32.00
2015-07-08,29.90,31.30,29.35,30.05,7000,30.05
2015-07-07,30.75,32.00,29.50,29.80,24500,29.80
2015-07-06,31.65,31.65,30.60,31.45,2300,31.45
2015-07-03,31.65,32.00,30.80,31.05,4600,31.05
2015-07-02,31.50,32.10,30.30,30.95,800,30.95
2015-07-01,31.20,32.80,31.20,31.75,5800,31.75
2015-06-30,30.10,31.50,30.10,31.15,11700,31.15
2015-06-29,30.50,30.85,29.40,30.00,5100,30.00
2015-06-26,31.40,33.80,30.40,31.20,26800,31.20
2015-06-25,32.45,32.90,31.20,31.40,3900,31.40
2015-06-24,34.50,34.50,32.15,32.35,6400,32.35
2015-06-23,31.05,35.40,29.55,33.60,26100,33.60
2015-06-22,30.00,30.50,29.30,30.15,1900,30.15
2015-06-19,30.35,30.45,29.60,29.90,2500,29.90
2015-06-18,30.00,30.00,29.80,29.90,2000,29.90
2015-06-17,29.00,31.00,29.00,29.75,5000,29.75
2015-06-16,30.00,30.00,28.90,28.95,2300,28.95
2015-06-15,29.30,30.00,29.30,29.55,700,29.55
2015-06-12,30.00,30.40,29.40,29.95,1900,29.95
2015-06-11,31.00,31.65,29.75,30.05,67800,30.05
2015-06-10,29.70,33.90,29.25,30.35,29000,30.35
2015-06-09,29.00,29.85,28.40,28.50,25700,28.50
2015-06-08,29.45,30.30,29.45,29.45,300,29.45
2015-06-05,29.45,30.95,29.00,29.45,5700,29.45
2015-06-04,27.30,30.20,27.30,29.10,6500,29.10
2015-06-03,30.50,30.60,26.40,29.50,54700,29.50
2015-06-02,31.70,31.70,31.00,31.00,3600,31.00
2015-06-01,31.30,31.70,31.00,31.40,1500,31.40
2015-05-29,31.60,32.50,31.00,31.00,44700,31.00
2015-05-28,33.10,33.10,32.20,32.45,1500,32.45
2015-05-27,32.75,33.20,32.45,32.50,2500,32.50
2015-05-26,32.10,36.00,31.15,33.15,42600,33.15
2015-05-25,34.60,34.60,32.50,32.65,10100,32.65
2015-05-22,34.00,35.50,33.75,34.75,8300,34.75
2015-05-21,33.95,34.25,33.40,33.85,2600,33.85
2015-05-20,33.95,34.25,33.95,34.00,900,34.00
2015-05-19,33.80,34.45,33.35,33.65,16600,33.65
2015-05-18,34.80,37.00,33.80,34.05,30600,34.05
2015-05-15,36.05,36.50,33.95,34.25,22400,34.25
2015-05-14,35.15,35.75,35.05,35.35,3600,35.35
2015-05-13,35.35,36.00,34.75,35.05,2700,35.05
2015-05-12,35.25,37.50,34.70,35.05,3600,35.05
2015-05-11,37.25,37.25,36.00,36.00,4200,36.00
2015-05-08,37.00,37.00,35.05,35.55,3700,35.55
2015-05-07,35.80,36.70,35.20,35.90,1100,35.90
2015-05-06,36.85,37.75,35.50,35.60,3600,35.60
2015-05-05,37.75,38.00,37.30,37.45,3200,37.45
2015-05-04,37.60,37.70,37.05,37.10,2800,37.10
2015-05-01,36.15,36.15,36.15,36.15,000,36.15
2015-04-30,36.00,36.50,36.00,36.15,1800,36.15
2015-04-29,36.90,37.25,36.50,36.70,6400,36.70
2015-04-28,36.80,37.80,36.50,36.90,2700,36.90
2015-04-27,38.35,38.90,37.00,37.25,11700,37.25
2015-04-24,39.70,39.90,37.20,38.35,8800,38.35
2015-04-23,40.50,41.40,39.60,40.45,16400,40.45
2015-04-22,40.15,40.50,39.25,39.70,54900,39.70
2015-04-21,41.00,42.80,39.15,39.70,41300,39.70
2015-04-20,41.00,41.10,38.50,39.10,154600,39.10
2015-04-17,41.55,42.50,41.50,41.75,7000,41.75
2015-04-16,43.60,43.65,41.20,41.30,13700,41.30
2015-04-15,43.60,44.00,42.50,42.70,17000,42.70
2015-04-14,43.60,43.60,43.60,43.60,000,43.60
2015-04-13,44.10,44.40,43.00,43.60,46400,43.60
2015-04-10,41.95,43.50,41.00,42.95,113300,42.95
2015-04-09,42.90,43.40,41.00,41.05,47200,41.05
2015-04-08,46.00,46.00,41.60,41.90,85000,41.90
2015-04-07,48.80,48.80,44.75,45.30,146700,45.30
2015-04-06,39.00,45.05,39.00,45.05,66600,45.05
2015-04-03,37.55,37.55,37.55,37.55,000,37.55
2015-04-02,37.55,37.55,37.55,37.55,000,37.55
2015-04-01,36.60,38.00,36.60,37.55,10800,37.55
2015-03-31,39.15,41.90,35.20,36.70,106700,36.70
2015-03-30,33.85,37.65,31.70,37.65,153400,37.65
2015-03-27,34.20,34.50,31.00,31.40,21400,31.40
2015-03-26,33.00,33.00,32.35,32.55,16500,32.55
2015-03-25,32.40,33.75,32.40,33.40,62200,33.40
2015-03-24,34.20,34.85,32.40,33.15,90900,33.15
2015-03-23,36.50,37.55,34.20,34.65,7900,34.65
2015-03-20,37.50,38.00,35.80,36.20,97400,36.20
2015-03-19,40.20,40.50,38.85,38.85,4500,38.85
2015-03-18,40.50,40.50,38.70,39.05,17600,39.05
2015-03-17,39.65,41.55,39.40,40.25,19400,40.25
2015-03-16,39.20,39.20,38.55,38.60,1900,38.60
2015-03-13,41.70,41.85,39.65,40.10,50900,40.10
2015-03-12,40.05,43.25,40.05,40.80,25000,40.80
2015-03-11,40.90,41.50,39.50,40.10,10200,40.10
2015-03-10,42.80,42.80,40.40,40.90,11200,40.90
2015-03-09,43.50,45.50,42.10,42.30,4700,42.30
2015-03-06,44.15,44.15,44.15,44.15,000,44.15
2015-03-05,45.50,45.50,43.60,44.15,2900,44.15
2015-03-04,46.15,46.90,44.25,44.75,14100,44.75
2015-03-03,45.10,47.50,45.10,45.35,23400,45.35
2015-03-02,46.10,46.75,44.00,44.50,10900,44.50
2015-02-27,45.40,46.30,43.30,44.65,14800,44.65
2015-02-26,45.15,52.00,43.70,45.15,231600,45.15
2015-02-25,47.00,48.00,45.15,45.65,4700,45.65
2015-02-24,47.60,49.00,46.50,46.75,32900,46.75
2015-02-23,50.00,50.00,48.00,48.65,7100,48.65
2015-02-20,49.95,51.35,49.55,50.00,7000,50.00
2015-02-19,49.45,50.50,49.45,49.90,52500,49.90
