Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,6254.40,6487.00,6241.00,6455.20,1300,6400.20
2015-07-16,6257.10,6284.90,6170.10,6267.35,400,6213.95
2015-07-15,6260.00,6266.00,6225.85,6257.10,200,6203.79
2015-07-14,6228.00,6260.00,6228.00,6250.80,100,6197.54
2015-07-13,6114.30,6230.05,6105.00,6210.40,300,6157.49
2015-07-10,6198.80,6198.80,6030.00,6062.15,1400,6010.50
2015-07-09,6180.00,6255.00,6180.00,6243.20,300,6190.01
2015-07-08,6264.95,6264.95,6151.10,6217.50,200,6164.53
2015-07-07,6283.25,6298.25,6257.85,6262.60,100,6209.24
2015-07-06,6225.00,6280.00,6225.00,6269.70,300,6216.28
2015-07-03,6264.00,6270.25,6214.90,6225.30,300,6172.26
2015-07-02,6250.00,6279.95,6210.00,6231.80,100,6178.70
2015-07-01,6290.00,6329.10,6162.75,6185.90,400,6133.19
2015-06-30,6106.95,6273.90,6106.95,6256.80,500,6203.49
2015-06-29,6035.00,6137.05,6035.00,6123.95,200,6071.77
2015-06-26,6083.50,6114.45,6045.05,6060.90,500,6009.26
2015-06-25,6050.00,6100.00,6036.00,6071.20,200,6019.47
2015-06-24,6015.00,6059.40,6010.00,6035.15,400,5983.73
2015-06-23,6056.60,6075.00,6007.00,6047.80,1200,5996.27
2015-06-22,6082.60,6094.75,6003.00,6015.45,3500,5964.20
2015-06-19,6098.80,6100.00,5974.50,6057.20,1000,6005.59
2015-06-18,6105.05,6112.20,6025.10,6051.70,200,6000.14
2015-06-17,6131.55,6136.00,6064.00,6082.80,500,6030.97
2015-06-16,6090.10,6162.95,5864.90,6119.75,200,6067.61
2015-06-15,6103.20,6191.40,6046.00,6109.25,800,6057.20
2015-06-12,6060.00,6200.00,6060.00,6123.90,400,6071.72
2015-06-11,6160.30,6243.00,6099.00,6109.75,500,6057.69
2015-06-10,6259.95,6264.95,6086.95,6181.00,400,6128.34
2015-06-09,5970.00,6285.10,5911.00,6242.40,1700,6189.21
2015-06-08,6335.00,6335.00,5810.60,6101.00,31800,6049.02
2015-06-05,6385.50,6395.00,6327.25,6394.00,700,6339.52
2015-06-04,6341.55,6385.65,6310.80,6324.15,700,6270.27
2015-06-03,6372.10,6386.00,6226.00,6334.40,400,6280.43
2015-06-02,6332.75,6403.15,6309.05,6375.20,500,6320.88
2015-06-01,6263.15,6340.00,6245.00,6297.75,400,6244.09
2015-05-29,6370.50,6400.50,6001.25,6290.10,600,6236.51
2015-05-28,6390.00,6400.00,6295.80,6400.00,900,6345.47
2015-05-27,6335.05,6423.80,6314.35,6396.00,1800,6341.50
2015-05-26,6275.00,6380.00,6245.00,6348.35,1200,6294.26
2015-05-25,6374.30,6384.10,6273.35,6307.30,300,6253.56
2015-05-22,6399.00,6419.00,6344.45,6397.50,100,6342.99
