Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,50.10,51.45,48.00,48.55,12400,48.55
2015-07-16,49.30,52.70,48.65,50.45,30100,50.45
2015-07-15,47.50,51.80,47.40,49.05,30400,49.05
2015-07-14,47.00,49.50,46.50,47.60,21000,47.60
2015-07-13,48.10,48.35,46.00,46.70,6600,46.70
2015-07-10,46.90,48.40,46.35,47.50,10600,47.50
2015-07-09,46.90,49.45,46.00,46.65,28300,46.65
2015-07-08,49.55,50.90,45.30,47.00,53500,47.00
2015-07-07,43.70,51.05,43.70,50.70,126300,50.70
2015-07-06,42.25,43.75,42.20,42.55,2500,42.55
2015-07-03,42.70,43.50,42.70,43.25,1700,43.25
2015-07-02,43.80,43.80,42.15,43.40,1100,43.40
2015-07-01,42.00,42.95,41.30,42.00,3200,42.00
2015-06-30,41.00,42.00,41.00,41.25,2500,41.25
2015-06-29,41.35,41.65,40.00,40.75,4900,40.75
2015-06-26,43.00,43.30,42.00,42.50,2700,42.50
2015-06-25,43.20,43.80,42.90,42.90,5000,42.90
2015-06-24,44.20,44.40,43.00,43.40,8100,43.40
2015-06-23,41.80,43.75,41.80,43.25,1600,43.25
2015-06-22,41.65,42.80,41.60,42.40,4500,42.40
2015-06-19,42.00,43.00,41.30,41.40,3600,41.40
2015-06-18,40.65,41.90,40.00,40.75,4500,40.75
2015-06-17,42.10,43.00,40.25,41.20,3500,41.20
2015-06-16,40.60,41.45,40.50,41.15,12600,41.15
2015-06-15,40.90,42.25,40.40,40.80,12500,40.80
2015-06-12,40.70,41.85,39.70,39.95,6100,39.95
2015-06-11,41.25,41.25,40.20,40.35,1400,40.35
2015-06-10,42.10,42.10,41.25,41.90,1800,41.90
2015-06-09,40.10,42.80,40.10,41.30,1800,41.30
2015-06-08,41.20,42.00,41.00,41.05,1700,41.05
2015-06-05,41.85,42.05,40.00,41.55,2500,41.55
2015-06-04,42.20,42.20,41.05,42.00,1600,42.00
2015-06-03,44.60,44.60,41.00,41.95,6800,41.95
2015-06-02,44.65,44.65,43.35,43.45,1700,43.45
2015-06-01,44.75,44.75,43.20,43.80,6600,43.80
2015-05-29,44.00,45.70,43.75,44.25,7400,44.25
2015-05-28,45.95,46.90,45.80,45.80,400,45.80
2015-05-27,46.85,46.85,46.00,46.75,1500,46.75
2015-05-26,45.95,47.05,45.95,46.60,400,46.60
2015-05-25,46.10,46.85,45.65,46.25,1300,46.25
2015-05-22,46.25,46.80,46.00,46.10,1700,46.10
2015-05-21,47.10,47.10,46.20,46.20,600,46.20
2015-05-20,46.00,47.10,46.00,46.50,500,46.50
2015-05-19,46.50,47.30,46.00,47.00,400,47.00
2015-05-18,46.25,46.95,46.00,46.20,2500,46.20
2015-05-15,44.00,47.00,43.95,45.90,4700,45.90
2015-05-14,44.05,45.40,43.95,44.50,1400,44.50
2015-05-13,44.15,44.60,43.70,43.95,2700,43.95
2015-05-12,45.20,45.50,44.00,44.15,2400,44.15
2015-05-11,45.25,46.40,45.10,45.50,1700,45.50
2015-05-08,45.25,45.85,44.50,45.10,5200,45.10
2015-05-07,46.00,47.50,44.50,44.80,5400,44.80
2015-05-06,47.10,47.60,46.10,46.75,1900,46.75
2015-05-05,47.40,48.85,47.00,48.00,2600,48.00
2015-05-04,48.55,48.55,47.30,47.65,1300,47.65
2015-05-01,46.50,46.50,46.50,46.50,000,46.50
2015-04-30,47.00,47.50,46.05,46.50,6800,46.50
2015-04-29,47.10,47.95,46.85,47.60,1600,47.60
2015-04-28,47.00,47.55,46.60,47.20,2600,47.20
2015-04-27,46.90,47.40,45.85,46.20,9500,46.20
2015-04-24,48.25,48.90,47.65,48.40,3100,48.40
2015-04-23,49.95,49.95,48.05,48.30,3400,48.30
2015-04-22,48.65,49.90,48.05,48.85,3900,48.85
2015-04-21,46.55,49.20,46.55,48.00,6400,48.00
2015-04-20,49.20,50.50,47.55,48.60,5100,48.60
2015-04-17,50.00,51.00,48.25,49.25,7900,49.25
2015-04-16,51.00,51.00,50.00,50.15,2800,50.15
2015-04-15,52.90,53.45,51.05,51.55,19000,51.55
2015-04-14,51.95,51.95,51.95,51.95,000,51.95
2015-04-13,52.35,53.35,51.60,51.95,15500,51.95
2015-04-10,49.80,53.80,49.80,51.90,29000,51.90
2015-04-09,48.85,50.40,48.45,49.80,22300,49.80
2015-04-08,46.65,49.80,46.60,49.35,26300,49.35
2015-04-07,46.60,46.80,45.65,46.55,4700,46.55
2015-04-06,46.80,46.85,45.35,45.90,12800,45.90
2015-04-03,45.20,45.20,45.20,45.20,000,45.20
2015-04-02,45.20,45.20,45.20,45.20,000,45.20
2015-04-01,43.90,45.50,43.90,45.20,3000,45.20
2015-03-31,43.65,44.80,43.65,44.25,7400,44.25
2015-03-30,44.50,44.50,43.50,44.15,3000,44.15
2015-03-27,43.45,50.50,42.25,43.50,32800,43.50
2015-03-26,43.00,43.00,42.00,42.15,23200,42.15
2015-03-25,45.25,45.55,42.55,43.00,30000,43.00
2015-03-24,42.00,44.05,42.00,43.60,9200,43.60
2015-03-23,43.20,44.80,42.30,42.55,4200,42.55
2015-03-20,44.15,45.60,43.35,43.90,7000,43.90
