Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,49.20,50.05,48.00,49.05,118800,49.05
2015-07-16,49.10,50.20,48.65,48.95,24500,48.95
2015-07-15,49.20,49.50,48.45,48.60,14300,48.60
2015-07-14,49.00,49.85,48.70,48.80,10300,48.80
2015-07-13,48.50,50.05,48.20,49.00,10000,49.00
2015-07-10,48.00,48.50,47.70,47.95,16200,47.95
2015-07-09,48.45,48.50,47.35,47.50,10900,47.50
2015-07-08,48.75,49.00,47.50,47.80,22900,47.80
2015-07-07,50.15,50.45,48.80,49.20,29300,49.20
2015-07-06,48.35,49.90,47.25,49.50,78200,49.50
2015-07-03,50.55,52.45,48.50,50.40,170600,50.40
2015-07-02,50.50,50.50,49.25,49.80,25200,49.80
2015-07-01,51.80,58.50,49.40,50.25,70800,50.25
2015-06-30,48.40,49.50,47.75,49.20,21000,49.20
2015-06-29,47.75,48.65,47.65,48.10,8000,48.10
2015-06-26,49.50,49.85,48.95,49.35,5100,49.35
2015-06-25,48.85,51.00,48.85,49.80,15200,49.80
2015-06-24,50.00,50.20,49.10,49.40,4400,49.40
2015-06-23,48.75,51.80,48.75,50.40,21500,50.40
2015-06-22,48.95,49.55,48.00,49.05,9000,49.05
2015-06-19,50.15,50.35,48.30,48.80,8200,48.80
2015-06-18,49.80,51.25,49.50,50.00,32000,50.00
2015-06-17,48.60,51.90,48.00,50.35,90400,50.35
2015-06-16,47.55,47.60,45.80,47.05,21300,47.05
2015-06-15,47.80,48.30,47.20,47.50,14900,47.50
2015-06-12,47.80,47.90,47.05,47.25,8000,47.25
2015-06-11,49.35,49.85,48.30,48.40,17700,48.40
2015-06-10,49.70,50.00,45.75,48.60,52800,48.60
2015-06-09,46.05,53.70,46.05,50.15,138800,50.15
2015-06-08,47.15,48.25,46.10,46.25,3500,46.25
2015-06-05,47.20,48.75,47.20,47.75,12200,47.75
2015-06-04,49.00,49.20,47.70,48.20,7300,48.20
2015-06-03,48.70,49.50,46.65,49.05,17400,49.05
2015-06-02,48.30,50.30,47.95,50.00,44700,50.00
2015-06-01,51.00,52.75,50.50,51.80,12900,51.80
2015-05-29,55.75,56.00,53.00,53.75,14600,53.75
2015-05-28,55.35,55.40,53.55,54.10,17000,54.10
2015-05-27,55.00,56.50,54.05,54.95,26300,54.95
2015-05-26,53.05,57.00,52.55,55.05,51700,55.05
2015-05-25,54.00,54.50,51.25,53.10,15900,53.10
2015-05-22,54.25,54.50,52.90,53.10,5700,53.10
2015-05-21,55.45,55.85,54.00,54.25,18800,54.25
2015-05-20,54.50,58.80,54.50,55.45,177900,55.45
2015-05-19,54.00,55.00,52.70,52.95,14300,52.95
2015-05-18,53.00,53.50,52.00,52.80,10500,52.80
2015-05-15,53.30,53.50,52.50,52.70,4200,52.70
2015-05-14,53.25,53.25,52.35,52.55,6300,52.55
2015-05-13,52.80,53.70,51.85,53.15,4100,53.15
2015-05-12,53.30,53.30,51.70,51.95,13100,51.95
2015-05-11,55.00,55.00,53.20,53.40,9400,53.40
2015-05-08,51.50,54.50,51.50,54.10,21600,54.10
2015-05-07,52.20,52.20,50.80,51.15,3700,51.15
2015-05-06,53.75,53.75,51.00,51.60,6200,51.60
2015-05-05,55.15,55.15,53.00,53.40,23500,53.40
2015-05-04,53.75,55.85,53.40,55.05,21600,55.05
2015-05-01,54.35,54.35,54.35,54.35,000,54.35
2015-04-30,54.00,54.95,53.30,54.35,34600,54.35
2015-04-29,54.15,55.40,53.65,54.75,11800,54.75
2015-04-28,51.60,55.40,51.35,54.80,38800,54.80
2015-04-27,51.10,52.65,50.00,51.65,5100,51.65
2015-04-24,53.00,54.00,51.00,51.55,44800,51.55
2015-04-23,53.15,53.90,52.35,52.85,23500,52.85
2015-04-22,52.15,53.95,50.50,53.60,43300,53.60
2015-04-21,52.30,52.95,51.10,51.80,10800,51.80
2015-04-20,54.40,54.70,52.35,52.70,17400,52.70
2015-04-17,55.15,55.50,53.15,53.80,25200,53.80
2015-04-16,54.65,56.00,53.00,55.05,25800,55.05
2015-04-15,56.00,56.20,53.75,55.15,45400,55.15
2015-04-14,56.10,56.10,56.10,56.10,000,56.10
2015-04-13,54.70,57.00,54.60,56.10,43500,56.10
2015-04-10,55.50,57.25,53.85,54.50,75300,54.50
2015-04-09,53.80,57.70,53.65,55.10,207700,55.10
2015-04-08,52.55,53.20,52.55,52.95,25200,52.95
2015-04-07,51.45,52.25,50.35,52.00,26500,52.00
2015-04-06,49.90,52.00,49.50,51.35,21200,51.35
2015-04-03,49.30,49.30,49.30,49.30,000,49.30
2015-04-02,49.30,49.30,49.30,49.30,000,49.30
2015-04-01,48.50,49.70,48.10,49.30,8800,49.30
2015-03-31,48.00,49.25,48.00,49.05,16600,49.05
2015-03-30,47.15,48.80,46.75,48.20,11800,48.20
2015-03-27,46.50,47.40,45.50,46.90,32500,46.90
2015-03-26,46.60,47.50,46.50,47.15,11100,47.15
2015-03-25,48.00,48.05,46.90,47.15,27900,47.15
2015-03-24,48.05,49.80,47.65,48.25,12700,48.25
2015-03-23,50.00,50.40,48.05,48.55,52600,48.55
2015-03-20,47.00,48.65,46.60,48.40,13100,48.40
2015-03-19,49.95,50.00,47.35,48.00,51600,48.00
2015-03-18,51.95,51.95,49.85,50.40,14700,50.40
2015-03-17,51.25,52.50,50.25,50.80,7300,50.80
2015-03-16,53.25,53.35,51.45,51.95,38500,51.95
2015-03-13,53.15,54.10,52.60,53.05,14500,53.05
2015-03-12,53.50,54.25,52.80,53.30,11700,53.30
2015-03-11,53.15,54.50,52.50,53.80,11400,53.80
2015-03-10,54.45,54.45,53.00,53.20,9600,53.20
2015-03-09,56.00,56.00,52.80,54.25,65700,54.25
2015-03-06,55.75,55.75,55.75,55.75,000,55.75
2015-03-05,54.10,56.00,53.15,55.75,26900,55.75
2015-03-04,56.00,56.85,54.05,54.35,15300,54.35
2015-03-03,57.20,58.05,55.75,56.15,28900,56.15
2015-03-02,56.35,57.75,53.30,57.00,161900,57.00
2015-02-27,55.70,55.70,50.50,52.25,80500,52.25
2015-02-26,58.95,59.00,56.55,57.10,20600,57.10
2015-02-25,58.50,59.90,57.25,59.05,23100,59.05
2015-02-24,62.40,62.40,58.35,59.20,16100,59.20
2015-02-23,61.60,62.85,61.10,61.30,10000,61.30
2015-02-20,61.60,62.40,60.35,62.05,23700,62.05
2015-02-19,62.20,63.45,59.70,60.65,64400,60.65
2015-02-18,62.70,63.10,61.60,62.05,10900,62.05
2015-02-17,62.55,62.55,62.55,62.55,000,62.55
2015-02-16,63.30,64.20,62.25,62.55,54100,62.55
2015-02-13,64.00,64.00,62.20,63.00,68600,63.00
2015-02-12,62.00,64.00,60.00,63.55,52800,63.55
2015-02-11,63.20,64.00,62.70,63.70,16500,63.70
2015-02-10,63.05,64.00,62.00,63.55,15600,63.55
2015-02-09,63.00,64.00,62.70,63.25,31500,63.25
2015-02-06,62.75,63.80,61.90,62.60,26100,62.60
2015-02-05,63.90,64.00,62.00,62.45,18200,62.45
2015-02-04,63.35,64.30,63.00,63.70,28100,63.70
2015-02-03,63.20,63.95,63.00,63.60,54700,63.60
2015-02-02,62.90,64.00,62.90,63.45,93500,63.45
2015-01-30,62.30,64.15,62.00,63.80,95700,63.80
2015-01-29,63.80,64.10,62.95,63.35,40700,63.35
2015-01-28,63.45,64.50,63.00,64.00,86000,64.00
2015-01-27,64.30,65.00,62.50,64.00,63300,64.00
2015-01-26,63.50,63.50,63.50,63.50,000,63.50
2015-01-23,65.00,65.25,63.10,63.50,56600,63.50
2015-01-22,63.75,65.95,63.20,64.95,77200,64.95
2015-01-21,64.70,65.00,63.05,63.55,36900,63.55
2015-01-20,65.30,65.90,63.70,64.05,90400,64.05
