Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,305.00,309.00,302.65,306.85,125900,306.85
2015-07-16,301.00,303.50,299.25,301.45,50300,301.45
2015-07-15,300.00,304.80,298.30,299.65,122900,299.65
2015-07-14,298.90,303.20,297.70,299.35,63200,299.35
2015-07-13,298.90,299.40,295.65,297.30,41300,297.30
2015-07-10,303.30,303.30,295.05,297.60,45400,297.60
2015-07-09,302.40,304.00,297.30,298.20,74400,298.20
2015-07-08,299.00,305.00,296.00,301.00,174200,301.00
2015-07-07,287.00,301.50,287.00,299.05,149900,299.05
2015-07-06,279.80,288.10,277.70,287.30,59600,287.30
2015-07-03,287.90,288.40,281.50,283.15,56200,283.15
2015-07-02,291.80,292.70,285.45,286.70,64700,286.70
2015-07-01,284.95,290.30,280.85,287.00,79500,287.00
2015-06-30,283.00,285.00,272.75,282.10,91900,282.10
2015-06-29,285.00,285.00,273.30,281.55,55100,281.55
2015-06-26,285.80,287.85,277.95,286.30,64300,286.30
2015-06-25,288.50,289.70,278.70,283.25,77700,283.25
2015-06-24,291.05,291.05,286.05,287.05,46100,287.05
2015-06-23,287.90,292.00,286.40,290.75,82600,290.75
2015-06-22,290.00,291.00,284.50,286.35,67400,286.35
2015-06-19,278.00,287.65,277.35,285.50,120400,285.50
2015-06-18,272.70,280.65,0.01,277.60,94600,277.60
2015-06-17,270.00,274.40,267.05,270.15,46500,270.15
2015-06-16,266.00,271.65,263.80,270.45,46900,270.45
2015-06-15,270.00,271.20,263.75,265.60,33700,265.60
2015-06-12,266.70,271.00,261.10,265.70,55900,265.70
2015-06-11,272.80,273.50,264.00,265.80,36200,265.80
2015-06-10,271.95,274.70,267.30,269.80,64300,269.80
2015-06-09,270.00,272.40,257.60,269.85,108300,269.85
2015-06-08,278.00,278.00,270.20,272.55,22800,272.55
2015-06-05,277.50,281.80,275.80,277.35,64300,277.35
2015-06-04,273.80,279.60,271.45,276.50,75900,276.50
2015-06-03,273.00,275.40,269.65,273.80,95500,273.80
2015-06-02,277.00,279.40,272.00,273.30,113900,273.30
2015-06-01,275.00,279.30,274.65,276.35,51500,276.35
2015-05-29,271.95,277.00,271.00,275.80,104000,275.80
2015-05-28,270.80,271.95,267.40,271.25,42200,271.25
2015-05-27,270.50,273.85,269.00,270.70,65900,270.70
2015-05-26,267.35,272.55,267.30,269.95,60200,269.95
2015-05-25,267.80,270.55,265.00,267.05,51100,267.05
2015-05-22,269.10,271.65,266.65,268.00,98100,268.00
2015-05-21,270.95,272.40,268.05,269.10,54700,269.10
2015-05-20,272.00,273.55,268.00,269.75,42600,269.75
2015-05-19,269.00,275.30,268.60,271.05,106200,271.05
2015-05-18,271.35,271.35,265.35,270.20,140600,270.20
2015-05-15,278.00,278.40,269.50,270.70,161300,270.70
2015-05-14,280.05,280.05,276.30,277.30,94100,277.30
2015-05-13,285.75,288.70,275.50,279.90,153500,279.90
2015-05-12,286.00,294.00,279.45,284.75,222400,284.75
2015-05-11,277.45,293.40,270.00,286.30,709600,286.30
2015-05-08,287.00,287.90,276.75,278.70,94400,278.70
2015-05-07,280.00,287.75,270.20,281.25,109200,281.25
2015-05-06,291.90,295.00,273.20,279.80,135100,279.80
2015-05-05,287.75,293.25,285.15,291.00,66700,291.00
2015-05-04,282.00,287.50,280.50,286.60,56000,286.60
2015-05-01,279.95,279.95,279.95,279.95,000,279.95
2015-04-30,283.00,283.00,276.95,279.95,290800,279.95
2015-04-29,278.00,284.65,277.50,281.30,69700,281.30
2015-04-28,269.50,279.00,267.60,277.60,166800,277.60
2015-04-27,280.00,280.00,267.60,270.60,316700,270.60
2015-04-24,285.00,289.55,276.40,278.55,112500,278.55
2015-04-23,291.80,298.05,287.60,288.70,94400,288.70
2015-04-22,288.00,291.85,282.55,290.15,177000,290.15
2015-04-21,295.80,296.00,287.00,288.45,139400,288.45
2015-04-20,285.00,294.75,282.90,291.15,156200,291.15
2015-04-17,288.05,290.50,285.15,285.90,107400,285.90
2015-04-16,295.00,295.00,287.20,288.60,77400,288.60
2015-04-15,296.70,297.00,288.60,289.95,85400,289.95
2015-04-14,293.95,293.95,293.95,293.95,000,293.95
2015-04-13,293.00,297.00,290.05,293.95,97200,293.95
2015-04-10,287.00,294.20,285.55,292.45,171300,292.45
2015-04-09,295.90,295.90,284.15,285.40,131800,285.40
2015-04-08,302.00,303.75,293.00,294.15,97400,294.15
2015-04-07,307.50,307.50,301.70,303.00,67100,303.00
2015-04-06,300.00,310.20,300.00,304.15,80900,304.15
2015-04-03,305.20,305.20,305.20,305.20,000,305.20
