Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,51.75,53.80,50.50,51.40,436500,51.40
2015-07-16,52.70,52.95,50.95,51.60,286000,51.60
2015-07-15,53.70,55.25,52.10,52.40,1005200,52.40
2015-07-14,51.05,54.65,49.10,53.20,1908900,53.20
2015-07-13,47.65,51.10,46.20,50.25,839000,50.25
2015-07-10,48.25,48.40,46.75,47.05,198300,47.05
2015-07-09,48.30,49.55,46.75,47.30,350900,47.30
2015-07-08,46.90,49.75,46.85,47.95,412900,47.95
2015-07-07,48.50,49.60,46.75,47.55,224500,47.55
2015-07-06,45.70,48.75,45.40,48.35,185900,48.35
2015-07-03,49.30,50.40,46.75,47.00,251000,47.00
2015-07-02,49.50,53.20,48.75,49.50,662600,49.50
2015-07-01,47.70,49.15,47.65,48.80,108900,48.80
2015-06-30,45.90,48.00,45.55,47.40,98900,47.40
2015-06-29,47.25,47.25,44.50,45.85,79700,45.85
2015-06-26,48.00,48.80,47.00,47.25,85500,47.25
2015-06-25,48.60,49.25,47.00,47.95,112100,47.95
2015-06-24,50.10,51.35,48.10,48.70,129900,48.70
2015-06-23,50.85,51.80,49.40,49.90,134500,49.90
2015-06-22,50.50,51.40,50.00,50.30,97600,50.30
2015-06-19,49.50,51.55,48.60,50.25,295900,50.25
2015-06-18,48.65,49.45,48.35,48.85,82700,48.85
2015-06-17,48.35,49.45,47.60,48.35,136000,48.35
2015-06-16,46.10,48.30,45.05,47.85,288400,47.85
2015-06-15,47.20,47.90,45.50,45.90,129700,45.90
2015-06-12,46.50,47.70,46.40,47.10,115200,47.10
2015-06-11,47.45,49.30,45.60,46.30,211700,46.30
2015-06-10,46.00,47.80,46.00,46.75,96300,46.75
2015-06-09,46.00,47.00,45.15,45.80,115700,45.80
2015-06-08,47.90,48.40,45.50,45.85,143100,45.85
2015-06-05,46.00,48.95,46.00,47.60,170800,47.60
2015-06-04,47.30,47.85,45.25,46.25,157800,46.25
2015-06-03,50.00,50.00,44.00,46.85,276700,46.85
2015-06-02,51.85,52.45,49.45,50.00,227500,50.00
2015-06-01,54.05,54.50,48.95,52.10,317100,52.10
2015-05-29,56.10,57.35,53.70,55.50,184300,55.50
2015-05-28,56.90,57.25,54.60,56.15,114300,56.15
2015-05-27,55.70,58.40,55.55,56.85,258600,56.85
2015-05-26,56.35,57.45,55.60,56.25,106500,56.25
2015-05-25,58.50,58.70,54.80,55.90,215500,55.90
2015-05-22,57.60,59.45,56.90,58.20,381100,58.20
2015-05-21,56.50,57.85,55.55,57.35,195800,57.35
2015-05-20,57.00,58.40,55.25,56.50,258200,56.50
2015-05-19,53.45,57.90,53.00,56.65,556600,56.65
2015-05-18,53.45,54.45,52.55,53.60,233600,53.60
2015-05-15,50.10,54.30,50.10,52.95,329100,52.95
2015-05-14,49.55,50.60,48.40,50.05,106600,50.05
2015-05-13,49.00,50.60,48.25,49.55,121500,49.55
2015-05-12,50.60,50.70,47.75,48.05,176800,48.05
2015-05-11,50.85,52.45,50.60,50.95,121000,50.95
2015-05-08,50.70,51.00,49.50,50.05,121200,50.05
2015-05-07,50.10,51.25,47.30,48.80,198100,48.80
2015-05-06,54.20,54.20,50.00,50.50,208300,50.50
2015-05-05,54.55,55.55,53.45,54.40,155900,54.40
2015-05-04,51.20,54.50,51.20,54.15,279800,54.15
2015-05-01,50.45,50.45,50.45,50.45,000,50.45
2015-04-30,51.40,52.50,49.90,50.45,165300,50.45
2015-04-29,49.90,53.35,49.90,52.45,351900,52.45
2015-04-28,47.80,50.00,45.20,49.75,520200,49.75
2015-04-27,53.00,53.15,47.45,47.95,347300,47.95
2015-04-24,57.40,57.80,51.50,52.85,562500,52.85
2015-04-23,58.50,59.45,56.70,57.10,159200,57.10
2015-04-22,59.25,60.00,56.25,58.05,320600,58.05
2015-04-21,59.50,61.25,58.10,58.95,245900,58.95
