Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,20.45,20.90,20.00,20.30,5900,20.30
2015-07-16,20.05,21.75,20.00,20.95,7300,20.95
2015-07-15,20.80,21.00,20.20,20.35,5200,20.35
2015-07-14,22.75,22.75,20.40,20.55,2600,20.55
2015-07-13,20.90,21.45,20.00,20.95,200,20.95
2015-07-10,20.75,22.80,20.55,20.90,2900,20.90
2015-07-09,20.30,21.75,20.20,20.60,4500,20.60
2015-07-08,21.50,21.75,20.40,20.40,9400,20.40
2015-07-07,21.10,21.80,20.85,21.35,2900,21.35
2015-07-06,21.10,21.95,21.00,21.05,2600,21.05
2015-07-03,22.45,22.45,21.35,21.60,1500,21.60
2015-07-02,21.25,21.95,21.15,21.20,1000,21.20
2015-07-01,21.10,21.90,21.10,21.45,2800,21.45
2015-06-30,21.20,21.75,21.00,21.10,1400,21.10
2015-06-29,22.60,22.60,20.95,21.05,4700,21.05
2015-06-26,22.35,22.35,22.05,22.20,1500,22.20
2015-06-25,22.50,23.00,22.50,22.80,4100,22.80
2015-06-24,23.00,23.20,21.50,22.80,133100,22.80
2015-06-23,23.50,23.50,21.70,22.30,7700,22.30
2015-06-22,21.90,24.35,21.90,23.50,59600,23.50
2015-06-19,19.25,22.00,19.25,20.30,297300,20.30
2015-06-18,21.00,21.05,20.20,20.50,1400,20.50
2015-06-17,18.75,20.95,18.75,20.55,180400,20.55
2015-06-16,17.35,19.90,17.35,18.70,174800,18.70
2015-06-15,18.50,18.50,17.60,17.70,500,17.70
2015-06-12,18.75,18.75,17.30,18.50,200,18.50
2015-06-11,18.05,19.15,18.05,18.40,2100,18.40
2015-06-10,19.20,19.75,18.50,19.00,2300,19.00
2015-06-09,17.60,19.00,17.15,18.40,20900,18.40
2015-06-08,18.25,19.40,18.20,18.75,1400,18.75
2015-06-05,17.80,19.00,17.80,18.50,600,18.50
2015-06-04,20.20,21.30,17.05,18.90,4600,18.90
2015-06-03,20.00,20.00,19.80,19.80,200,19.80
2015-06-02,20.30,22.00,20.10,21.60,2200,21.60
2015-06-01,20.50,22.75,20.50,21.65,400,21.65
2015-05-29,22.95,22.95,21.00,22.30,1300,22.30
2015-05-28,23.20,23.20,20.20,22.10,500,22.10
2015-05-27,23.60,23.60,21.10,21.10,000,21.10
2015-05-26,22.00,23.20,21.05,21.10,100,21.10
2015-05-25,21.15,22.70,21.10,22.00,700,22.00
2015-05-22,22.65,23.50,21.50,22.00,1300,22.00
2015-05-21,22.80,22.85,21.70,21.70,600,21.70
2015-05-20,23.45,23.45,21.40,21.75,500,21.75
2015-05-19,23.00,23.00,22.00,22.50,8600,22.50
2015-05-18,22.00,23.45,22.00,22.90,500,22.90
2015-05-15,20.85,21.10,20.85,21.10,400,21.10
2015-05-14,24.90,24.90,21.55,21.55,300,21.55
2015-05-13,23.35,23.35,20.75,22.75,4500,22.75
2015-05-12,20.40,23.25,20.40,21.60,000,21.60
