Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1155.00,1199.00,1149.50,1170.00,200,1170.00
2015-07-16,1065.00,1155.00,1065.00,1131.50,400,1131.50
2015-07-15,1038.00,1111.00,1038.00,1058.50,000,1058.50
2015-07-14,1007.25,1007.25,1007.25,1007.25,000,1007.25
2015-07-13,1015.00,1025.00,1000.00,1007.25,500,1007.25
2015-07-10,1013.25,1054.50,1002.25,1014.00,100,1014.00
2015-07-09,995.00,1050.00,995.00,1029.00,000,1029.00
2015-07-08,1021.00,1050.00,1011.00,1049.00,200,1049.00
2015-07-07,1020.00,1031.00,1020.00,1021.00,000,1021.00
2015-07-06,1000.00,1010.00,983.25,1010.00,100,1010.00
2015-07-03,1004.00,1010.00,991.25,997.00,300,997.00
2015-07-02,999.00,1019.50,993.00,993.00,000,993.00
2015-07-01,990.50,1009.50,990.00,990.00,100,990.00
2015-06-30,991.00,1000.00,991.00,1000.00,100,1000.00
2015-06-29,991.00,1020.00,984.00,994.00,000,994.00
2015-06-26,1049.75,1049.75,1010.00,1010.00,000,1010.00
2015-06-25,1040.00,1050.00,1010.00,1010.50,000,1010.50
2015-06-24,1030.00,1030.00,1016.00,1016.00,000,1016.00
2015-06-23,1040.00,1060.00,1020.00,1029.50,100,1029.50
2015-06-22,1020.00,1020.00,1020.00,1020.00,000,1020.00
2015-06-19,990.00,1040.00,990.00,1035.50,000,1035.50
2015-06-18,1025.00,1049.00,1000.00,1027.00,000,1027.00
2015-06-17,1000.00,1000.00,1000.00,1000.00,000,1000.00
2015-06-16,999.00,1000.00,980.00,1000.00,000,1000.00
2015-06-15,1000.00,1050.00,980.00,1025.00,200,1025.00
2015-06-12,981.25,1009.75,981.25,1000.00,100,1000.00
2015-06-11,1010.00,1020.00,985.50,1010.00,400,1010.00
2015-06-10,999.75,1020.00,999.75,1020.00,000,1020.00
2015-06-09,1010.00,1050.00,980.25,1050.00,100,1050.00
2015-06-08,1050.00,1051.00,1003.00,1051.00,000,1051.00
2015-06-05,1075.00,1075.00,1075.00,1075.00,000,1075.00
2015-06-04,1115.00,1115.00,1075.00,1075.00,000,1075.00
2015-06-03,1145.00,1145.00,1069.00,1070.00,000,1070.00
2015-06-02,1145.00,1145.00,1145.00,1145.00,000,1145.00
2015-06-01,1120.00,1145.00,1120.00,1145.00,000,1145.00
2015-05-29,1120.00,1120.00,1120.00,1120.00,000,1120.00
2015-05-28,1100.00,1100.00,1100.00,1100.00,000,1100.00
2015-05-27,1100.00,1120.00,1079.00,1100.00,300,1100.00
2015-05-26,1115.00,1115.00,1115.00,1115.00,000,1115.00
2015-05-25,1139.00,1139.00,1115.00,1115.00,000,1115.00
2015-05-22,1105.00,1130.00,1105.00,1108.00,100,1108.00
2015-05-21,1125.00,1148.00,1100.25,1127.50,100,1127.50
2015-05-20,1130.00,1130.00,1130.00,1130.00,100,1130.00
2015-05-19,1140.00,1140.00,1135.00,1135.00,000,1135.00
2015-05-18,1135.00,1150.00,1130.00,1131.00,000,1131.00
2015-05-15,1150.00,1181.00,1135.00,1151.00,400,1151.00
2015-05-14,1138.00,1138.00,1120.00,1120.00,000,1120.00
2015-05-13,1145.00,1146.00,1139.00,1140.00,100,1140.00
2015-05-12,1214.00,1214.00,1150.00,1152.75,000,1152.75
2015-05-11,1190.00,1199.00,1180.00,1180.00,000,1180.00
2015-05-08,1190.00,1208.00,1152.50,1182.00,100,1182.00
2015-05-07,1180.00,1180.00,1120.00,1155.00,000,1155.00
2015-05-06,1165.00,1185.00,1140.00,1152.00,100,1152.00
2015-05-05,1187.00,1187.00,1140.00,1148.50,000,1148.50
2015-05-04,1150.00,1150.00,1150.00,1150.00,000,1150.00
2015-05-01,1100.00,1100.00,1100.00,1100.00,000,1100.00
2015-04-30,1100.00,1100.00,1100.00,1100.00,000,1100.00
2015-04-29,1171.75,1171.75,1100.00,1100.00,000,1100.00
2015-04-28,1100.00,1100.00,1100.00,1100.00,000,1100.00
2015-04-27,1121.00,1125.00,1095.00,1100.00,200,1100.00
2015-04-24,1130.00,1130.00,1125.00,1125.00,100,1125.00
2015-04-23,1135.00,1135.00,1134.50,1134.50,100,1134.50
2015-04-22,1180.00,1185.00,1136.00,1136.00,000,1136.00
2015-04-21,1138.00,1150.00,1138.00,1141.00,000,1141.00
2015-04-20,1170.00,1170.00,1145.00,1145.00,000,1145.00
2015-04-17,1160.00,1190.00,1160.00,1190.00,000,1190.00
2015-04-16,1165.00,1189.00,1150.00,1160.00,100,1160.00
2015-04-15,1170.50,1185.00,1155.00,1169.00,000,1169.00
2015-04-14,1177.50,1177.50,1177.50,1177.50,000,1177.50
2015-04-13,1200.00,1224.00,1177.50,1177.50,200,1177.50
2015-04-10,1220.25,1220.25,1165.00,1205.00,000,1205.00
2015-04-09,1190.00,1234.00,1190.00,1218.25,000,1218.25
2015-04-08,1175.25,1175.25,1160.50,1170.00,000,1170.00
2015-04-07,1100.00,1155.00,1100.00,1129.75,100,1129.75
2015-04-06,1150.00,1191.75,1120.00,1126.25,100,1126.25
2015-04-03,1128.50,1128.50,1128.50,1128.50,000,1128.50
2015-04-02,1128.50,1128.50,1128.50,1128.50,000,1128.50
2015-04-01,1090.25,1129.00,1090.25,1128.50,000,1128.50
2015-03-31,1050.00,1100.00,1040.00,1079.25,100,1079.25
2015-03-30,1065.00,1100.00,1065.00,1079.50,000,1079.50
2015-03-27,1080.00,1080.00,1030.25,1050.00,100,1050.00
2015-03-26,1103.00,1135.00,1080.00,1087.00,200,1087.00
2015-03-25,1076.25,1169.75,1076.00,1145.00,182200,1145.00
2015-03-24,1120.00,1150.00,1080.00,1109.25,400,1109.25
2015-03-23,1170.75,1170.75,1092.00,1100.75,200,1100.75
2015-03-20,1200.00,1200.25,1131.00,1146.25,100,1146.25
2015-03-19,1255.25,1255.25,1166.00,1189.25,300,1189.25
2015-03-18,1265.25,1279.00,1255.00,1258.75,000,1258.75
2015-03-17,1202.00,1298.00,1202.00,1283.75,100,1283.75
2015-03-16,1215.25,1270.00,1206.00,1237.25,200,1237.25
2015-03-13,1250.00,1280.00,1230.00,1230.00,000,1230.00
2015-03-12,1245.00,1250.25,1245.00,1245.00,000,1245.00
2015-03-11,1275.00,1280.00,1247.00,1278.75,100,1278.75
2015-03-10,1230.00,1275.00,1230.00,1272.50,000,1272.50
2015-03-09,1225.00,1262.75,1221.00,1223.75,100,1223.75
2015-03-06,1235.50,1235.50,1235.50,1235.50,000,1235.50
2015-03-05,1264.75,1294.00,1205.00,1235.50,700,1235.50
2015-03-04,1260.00,1297.25,1225.00,1225.00,300,1225.00
2015-03-03,1314.75,1315.00,1261.00,1270.50,000,1270.50
2015-03-02,1250.00,1350.00,1250.00,1307.75,200,1307.75
2015-02-27,1295.00,1308.75,1258.25,1283.50,100,1283.50
2015-02-26,1360.00,1360.00,1260.00,1281.25,400,1281.25
2015-02-25,1400.00,1448.00,1350.25,1365.25,1400,1365.25
2015-02-24,1285.00,1325.75,1250.00,1325.75,1000,1325.75
2015-02-23,1149.00,1205.25,1128.50,1205.25,500,1205.25
2015-02-20,1065.00,1149.50,1057.25,1095.75,500,1095.75
2015-02-19,1209.00,1209.00,1131.50,1138.50,300,1138.50
2015-02-18,1221.25,1230.00,1150.25,1170.00,200,1170.00
2015-02-17,1255.55,1255.55,1255.55,1255.55,000,1255.55
2015-02-16,1255.55,1255.55,1255.55,1255.55,000,1255.55
2015-02-13,1306.00,1318.70,1255.00,1255.55,200,1255.55
2015-02-12,1354.70,1355.00,1321.00,1327.75,100,1327.75
