Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,62.20,62.25,61.20,61.45,27900,61.45
2015-07-16,61.70,63.05,61.40,61.75,74400,61.75
2015-07-15,61.60,62.15,61.10,61.45,23100,61.45
2015-07-14,61.70,62.15,61.40,61.60,32900,61.60
2015-07-13,61.75,62.30,60.70,61.25,52700,61.25
2015-07-10,61.60,61.90,60.85,61.25,32900,61.25
2015-07-09,61.60,62.00,60.60,60.85,31400,60.85
2015-07-08,61.40,62.20,60.60,61.10,53400,61.10
2015-07-07,63.00,64.30,62.35,63.00,101400,63.00
2015-07-06,62.05,63.10,61.50,62.55,55600,62.55
2015-07-03,63.95,64.45,62.60,63.00,81600,63.00
2015-07-02,63.70,65.25,62.70,63.45,128700,63.45
2015-07-01,63.00,65.25,62.65,63.70,75700,63.70
2015-06-30,62.00,63.60,62.00,62.70,64400,62.70
2015-06-29,62.45,63.00,60.85,62.65,80000,62.65
2015-06-26,66.95,68.60,64.00,64.65,283900,64.65
2015-06-25,62.40,69.90,54.20,68.00,1101100,68.00
2015-06-24,62.30,63.65,62.10,62.45,68500,62.45
2015-06-23,61.90,62.70,61.45,62.05,30600,62.05
2015-06-22,61.05,62.25,60.80,61.70,46200,61.70
2015-06-19,61.40,62.60,61.05,61.25,26800,61.25
2015-06-18,60.85,61.65,60.40,60.95,26300,60.95
2015-06-17,59.20,61.70,58.60,60.85,55100,60.85
2015-06-16,58.45,59.85,57.00,59.30,35300,59.30
2015-06-15,58.60,59.00,57.50,58.05,46800,58.05
2015-06-12,59.00,59.20,57.30,58.15,18600,58.15
2015-06-11,59.85,60.25,58.00,58.85,24800,58.85
2015-06-10,59.95,60.10,59.00,59.40,20400,59.40
2015-06-09,60.00,60.00,58.40,59.00,33900,59.00
2015-06-08,57.20,61.15,55.75,59.95,113100,59.95
2015-06-05,56.45,57.05,55.50,56.55,41200,56.55
2015-06-04,60.10,60.10,52.15,56.25,159100,56.25
2015-06-03,61.40,61.55,58.70,59.60,57700,59.60
2015-06-02,63.00,63.00,61.05,61.15,26600,61.15
2015-06-01,62.05,63.45,62.00,62.80,54100,62.80
2015-05-29,62.50,62.90,61.50,61.80,59400,61.80
2015-05-28,62.20,63.35,61.60,62.15,56200,62.15
2015-05-27,61.50,62.80,61.35,61.90,46300,61.90
2015-05-26,62.10,62.40,61.35,61.50,23100,61.50
2015-05-25,62.90,62.90,61.90,62.05,17900,62.05
2015-05-22,62.15,63.40,62.15,62.35,35900,62.35
2015-05-21,63.95,64.50,62.50,63.30,41600,63.30
2015-05-20,63.20,63.90,62.65,63.50,53800,63.50
2015-05-19,63.00,63.50,62.60,62.80,20700,62.80
2015-05-18,62.90,63.35,62.55,62.70,32600,62.70
2015-05-15,63.10,64.30,62.50,62.80,95700,62.80
2015-05-14,63.20,63.25,62.35,63.00,36800,63.00
2015-05-13,63.00,65.45,59.20,63.35,181900,63.35
2015-05-12,64.00,64.00,61.85,62.15,29700,62.15
2015-05-11,63.95,64.30,63.15,63.95,78400,63.95
2015-05-08,62.25,63.00,61.95,62.25,28800,62.25
2015-05-07,63.20,63.20,61.10,61.50,22200,61.50
2015-05-06,64.80,65.30,63.00,63.05,39700,63.05
2015-05-05,64.75,65.60,64.20,64.85,54300,64.85
2015-05-04,63.40,66.15,63.20,64.55,53900,64.55
2015-05-01,62.65,62.65,62.65,62.65,000,62.65
2015-04-30,62.50,63.50,62.50,62.65,12000,62.65
2015-04-29,62.60,63.60,62.60,63.20,34000,63.20
2015-04-28,62.10,63.00,61.85,62.60,42800,62.60
2015-04-27,64.10,64.20,61.90,62.20,42700,62.20
2015-04-24,64.95,65.50,63.65,64.10,49000,64.10
2015-04-23,65.35,65.85,64.55,64.95,34700,64.95
2015-04-22,65.55,66.60,64.15,65.30,57900,65.30
2015-04-21,65.10,65.80,64.95,65.20,32100,65.20
2015-04-20,67.45,67.60,65.40,65.70,44500,65.70
2015-04-17,68.15,68.70,66.80,67.05,75900,67.05
2015-04-16,69.30,69.65,67.75,68.05,46600,68.05
2015-04-15,70.50,71.20,66.60,69.10,79700,69.10
2015-04-14,70.15,70.15,70.15,70.15,000,70.15
2015-04-13,70.00,72.40,69.05,70.15,196900,70.15
2015-04-10,67.15,71.15,66.85,69.75,321400,69.75
2015-04-09,67.25,68.85,66.25,67.45,124300,67.45
2015-04-08,67.00,68.40,66.60,66.85,97400,66.85
2015-04-07,65.50,67.35,65.50,66.70,112700,66.70
2015-04-06,64.95,65.50,64.50,65.00,37600,65.00
2015-04-03,64.80,64.80,64.80,64.80,000,64.80
2015-04-02,64.80,64.80,64.80,64.80,000,64.80
2015-04-01,63.95,65.60,62.50,64.80,104500,64.80
2015-03-31,65.55,66.10,62.00,63.10,156400,63.10
2015-03-30,61.50,63.85,60.75,63.05,121100,63.05
2015-03-27,62.10,62.80,60.25,60.50,83300,60.50
2015-03-26,64.00,64.00,61.55,61.75,79200,61.75
2015-03-25,65.60,66.40,63.60,64.20,88200,64.20
2015-03-24,67.80,68.20,65.50,65.85,99800,65.85
2015-03-23,68.90,69.15,67.10,67.40,70600,67.40
2015-03-20,70.95,72.70,68.25,68.65,147600,68.65
2015-03-19,72.55,72.55,70.40,70.65,77800,70.65
2015-03-18,73.95,74.10,71.30,71.50,297400,71.50
2015-03-17,72.00,72.00,70.75,71.40,64800,71.40
2015-03-16,74.40,74.40,71.00,71.20,102900,71.20
2015-03-13,73.00,73.65,71.00,72.00,91800,72.00
2015-03-12,75.55,76.70,72.25,72.55,242800,72.55
2015-03-11,73.95,74.30,71.65,73.70,100900,73.70
2015-03-10,72.60,73.60,70.90,72.80,126600,72.80
2015-03-09,73.55,73.70,71.55,71.85,60300,71.85
2015-03-06,73.40,73.40,73.40,73.40,000,73.40
2015-03-05,71.40,73.75,71.20,73.40,94200,73.40
2015-03-04,73.20,74.05,71.20,71.75,123100,71.75
2015-03-03,71.70,74.50,71.35,72.85,181800,72.85
2015-03-02,73.10,73.10,71.10,71.30,70100,71.30
2015-02-27,72.00,74.00,71.60,73.10,141800,73.10
2015-02-26,72.75,73.30,71.20,71.55,75800,71.55
2015-02-25,72.95,74.40,72.30,72.55,114600,72.55
2015-02-24,75.55,75.80,72.10,72.65,115700,72.65
2015-02-23,76.10,78.20,74.60,75.15,132700,75.15
2015-02-20,77.60,79.20,74.70,75.70,366200,75.70
2015-02-19,71.35,81.50,71.35,77.70,1353000,77.70
2015-02-18,70.85,71.85,70.80,71.25,84700,71.25
2015-02-17,70.20,70.20,70.20,70.20,000,70.20
2015-02-16,70.45,71.45,69.70,70.20,64000,70.20
2015-02-13,70.00,71.10,69.55,70.00,64500,70.00
2015-02-12,70.05,70.75,68.15,70.05,76300,70.05
2015-02-11,69.00,70.45,68.40,69.85,38000,69.85
2015-02-10,68.50,69.05,67.90,68.80,52000,68.80
2015-02-09,69.00,69.00,68.30,68.50,32900,68.50
2015-02-06,69.00,70.55,68.00,69.75,121000,69.75
2015-02-05,71.30,73.50,70.40,71.15,143400,71.15
2015-02-04,70.70,72.00,70.25,71.15,97000,71.15
2015-02-03,70.20,70.95,69.75,70.00,45400,70.00
2015-02-02,69.95,70.55,69.70,69.95,28200,69.95
2015-01-30,70.80,71.40,69.20,69.60,66500,69.60
2015-01-29,69.15,70.95,69.15,70.00,38200,70.00
2015-01-28,70.20,70.95,69.35,69.70,42900,69.70
2015-01-27,70.95,71.80,70.00,70.30,55500,70.30
2015-01-26,70.65,70.65,70.65,70.65,000,70.65
2015-01-23,71.65,71.75,70.30,70.65,76600,70.65
2015-01-22,71.00,72.10,70.70,71.00,53700,71.00
2015-01-21,71.65,72.35,70.75,71.00,39100,71.00
2015-01-20,71.20,73.90,71.20,71.65,125100,71.65
2015-01-19,71.95,72.15,70.90,71.15,55500,71.15
2015-01-16,71.85,72.60,71.05,71.35,57300,71.35
2015-01-15,72.60,72.90,71.40,71.75,68400,71.75
2015-01-14,72.75,74.10,71.20,71.85,117600,71.85
2015-01-13,70.70,75.20,70.30,72.70,376800,72.70
2015-01-12,70.10,70.70,69.85,70.30,22700,70.30
2015-01-09,71.60,71.75,69.80,70.05,43600,70.05
2015-01-08,70.10,71.90,69.95,70.95,56700,70.95
2015-01-07,70.25,70.70,68.45,68.95,38700,68.95
2015-01-06,72.15,72.50,69.50,69.80,85700,69.80
