Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,18.90,19.95,18.55,19.62,92400,19.62
2015-07-16,18.75,20.00,18.40,18.82,104000,18.82
2015-07-15,18.20,20.20,18.20,18.75,72800,18.75
2015-07-14,19.75,19.76,17.85,19.02,177000,19.02
2015-07-13,17.10,18.73,16.50,18.73,179900,18.73
2015-07-10,16.00,16.40,15.50,15.61,12000,15.61
2015-07-09,15.20,16.98,15.15,15.89,46800,15.89
2015-07-08,15.90,15.90,15.00,15.13,20100,15.13
2015-07-07,16.45,16.50,15.75,16.00,21700,16.00
2015-07-06,15.89,17.52,15.89,16.39,96400,16.39
2015-07-03,13.50,16.33,13.50,16.33,226300,16.33
2015-07-02,13.67,13.87,13.60,13.61,5500,13.61
2015-07-01,13.75,14.05,13.53,13.81,8200,13.81
2015-06-30,13.45,13.55,13.00,13.40,8000,13.40
2015-06-29,12.45,13.40,12.35,13.15,9800,13.15
2015-06-26,13.50,13.85,13.40,13.75,12200,13.75
2015-06-25,13.55,13.85,13.45,13.85,5100,13.85
2015-06-24,13.75,14.00,13.25,13.45,11300,13.45
2015-06-23,15.40,15.40,12.80,13.30,84400,13.30
2015-06-22,15.45,15.45,14.75,15.30,13600,15.30
2015-06-19,14.00,16.25,13.75,15.25,77800,15.25
2015-06-18,13.60,14.00,13.50,13.55,13800,13.55
2015-06-17,13.25,13.75,13.25,13.60,3400,13.60
2015-06-16,13.75,13.75,13.15,13.15,5300,13.15
2015-06-15,13.65,13.85,13.05,13.40,7700,13.40
2015-06-12,13.00,13.90,12.75,13.75,5400,13.75
2015-06-11,14.00,14.00,13.10,13.25,4100,13.25
2015-06-10,13.95,14.15,13.65,13.75,13400,13.75
2015-06-09,12.75,13.70,12.65,13.50,10900,13.50
2015-06-08,13.60,13.60,12.75,13.00,16600,13.00
2015-06-05,13.40,13.95,13.35,13.60,9200,13.60
2015-06-04,12.85,13.90,12.85,13.65,12200,13.65
2015-06-03,14.10,14.50,12.05,13.10,48700,13.10
2015-06-02,15.00,15.05,14.05,14.25,17300,14.25
2015-06-01,14.95,15.15,14.35,14.45,17800,14.45
2015-05-29,15.50,15.55,15.00,15.10,9600,15.10
2015-05-28,15.80,15.95,15.10,15.30,6000,15.30
2015-05-27,16.00,16.00,15.80,15.90,3200,15.90
2015-05-26,16.05,16.30,16.00,16.00,2700,16.00
2015-05-25,16.50,16.50,16.00,16.15,6800,16.15
2015-05-22,16.40,16.80,16.10,16.30,10800,16.30
2015-05-21,16.50,16.70,16.25,16.45,5500,16.45
2015-05-20,17.10,17.40,16.55,16.60,8700,16.60
2015-05-19,17.40,17.40,17.00,17.00,23500,17.00
2015-05-18,17.30,17.85,17.30,17.40,4700,17.40
2015-05-15,17.65,17.75,17.50,17.65,12000,17.65
2015-05-14,17.75,17.95,17.45,17.50,3900,17.50
2015-05-13,18.40,18.40,17.25,17.55,17800,17.55
2015-05-12,18.80,19.00,17.90,18.05,41900,18.05
2015-05-11,18.45,18.70,18.45,18.50,24300,18.50
2015-05-08,17.90,18.50,17.55,18.05,35700,18.05
2015-05-07,17.65,17.90,17.15,17.35,20400,17.35
2015-05-06,18.15,18.20,17.45,17.80,18600,17.80
2015-05-05,18.15,18.90,18.00,18.15,6900,18.15
2015-05-04,18.00,18.70,18.00,18.45,12100,18.45
2015-05-01,17.55,17.55,17.55,17.55,000,17.55
2015-04-30,18.10,18.25,17.40,17.55,9900,17.55
2015-04-29,17.80,18.60,17.30,18.25,30700,18.25
2015-04-28,18.00,18.40,17.80,18.05,21900,18.05
2015-04-27,19.00,19.00,18.00,18.10,12500,18.10
2015-04-24,19.00,19.40,18.55,18.85,33300,18.85
2015-04-23,19.40,20.00,19.00,19.05,28600,19.05
2015-04-22,20.00,20.95,18.25,19.05,55300,19.05
2015-04-21,20.20,20.50,19.70,19.85,45100,19.85
2015-04-20,20.65,20.85,19.95,20.10,44300,20.10
2015-04-17,21.30,23.05,20.50,20.85,97600,20.85
2015-04-16,20.75,21.35,19.40,21.05,98400,21.05
2015-04-15,21.50,22.50,20.50,21.05,291800,21.05
2015-04-14,19.85,19.85,19.85,19.85,000,19.85
2015-04-13,17.00,19.85,17.00,19.85,119400,19.85
2015-04-10,16.20,16.80,16.20,16.55,16100,16.55
2015-04-09,16.25,16.40,16.10,16.35,5400,16.35
2015-04-08,16.35,17.20,16.20,16.50,41400,16.50
2015-04-07,16.20,16.60,15.90,16.25,9900,16.25
2015-04-06,16.30,16.80,15.80,16.10,17000,16.10
2015-04-03,16.40,16.40,16.40,16.40,000,16.40
2015-04-02,16.40,16.40,16.40,16.40,000,16.40
2015-04-01,15.80,16.50,15.80,16.40,9200,16.40
2015-03-31,15.15,16.45,15.15,15.65,20700,15.65
2015-03-30,15.20,15.80,15.00,15.65,10100,15.65
2015-03-27,15.20,15.45,14.50,14.95,39000,14.95
2015-03-26,14.35,15.15,14.15,15.00,23000,15.00
2015-03-25,14.00,14.40,14.00,14.30,27800,14.30
2015-03-24,15.35,15.50,14.35,14.70,64800,14.70
2015-03-23,16.45,16.45,14.65,14.80,42300,14.80
2015-03-20,16.75,16.75,16.00,16.05,32100,16.05
2015-03-19,17.70,18.30,17.00,17.15,53800,17.15
2015-03-18,18.25,18.25,17.35,17.40,25200,17.40
2015-03-17,18.50,18.50,17.60,18.20,49700,18.20
2015-03-16,17.90,17.90,16.80,17.30,43800,17.30
2015-03-13,18.60,18.70,17.70,17.80,18700,17.80
2015-03-12,18.10,18.80,18.00,18.65,13600,18.65
2015-03-11,18.25,18.80,17.90,18.10,11500,18.10
2015-03-10,19.00,19.05,18.00,18.30,19400,18.30
2015-03-09,18.70,19.80,18.55,18.80,33400,18.80
2015-03-06,18.70,18.70,18.70,18.70,000,18.70
2015-03-05,18.90,19.30,18.30,18.70,33800,18.70
2015-03-04,20.10,21.00,18.90,19.00,160600,19.00
2015-03-03,18.50,20.00,18.50,20.00,166600,20.00
2015-03-02,18.60,18.70,18.00,18.20,81700,18.20
2015-02-27,18.30,19.10,18.30,18.75,15400,18.75
2015-02-26,19.15,19.30,18.25,18.40,14000,18.40
2015-02-25,19.40,19.75,18.90,19.10,54200,19.10
2015-02-24,19.30,19.90,19.00,19.00,24100,19.00
2015-02-23,20.10,20.55,19.30,19.40,39800,19.40
2015-02-20,20.50,20.65,19.80,20.00,45800,20.00
2015-02-19,20.80,22.10,20.10,20.65,161700,20.65
2015-02-18,19.00,20.50,18.85,20.50,128500,20.50
2015-02-17,18.65,18.65,18.65,18.65,000,18.65
2015-02-16,18.95,19.40,18.40,18.65,21300,18.65
2015-02-13,19.60,19.80,18.80,19.00,24400,19.00
2015-02-12,20.25,20.50,18.75,19.50,45000,19.50
2015-02-11,18.05,19.50,18.05,19.50,34100,19.50
2015-02-10,18.70,19.20,17.10,17.75,61700,17.75
2015-02-09,18.40,19.20,18.35,18.45,42700,18.45
2015-02-06,19.70,20.00,18.20,19.45,82500,19.45
2015-02-05,20.25,21.45,19.60,19.85,77400,19.85
2015-02-04,20.10,20.85,19.90,20.25,30100,20.25
2015-02-03,21.65,21.75,20.75,20.85,31300,20.85
2015-02-02,22.20,22.30,21.05,21.45,14000,21.45
2015-01-30,22.10,23.35,21.55,22.10,99600,22.10
2015-01-29,19.85,21.90,19.85,21.90,49700,21.90
2015-01-28,20.60,20.95,19.70,19.95,47800,19.95
2015-01-27,22.25,22.35,20.75,21.15,38200,21.15
2015-01-26,21.90,21.90,21.90,21.90,000,21.90
2015-01-23,23.30,23.55,21.75,21.90,49400,21.90
2015-01-22,23.15,23.60,21.65,23.10,80700,23.10
2015-01-21,24.00,24.05,22.30,22.60,46600,22.60
2015-01-20,24.00,25.20,23.70,24.15,79800,24.15
2015-01-19,25.00,25.00,23.55,23.95,73900,23.95
2015-01-16,26.05,26.05,24.20,24.45,177300,24.45
2015-01-15,27.70,28.85,25.00,25.95,189100,25.95
2015-01-14,26.00,29.25,25.25,27.40,653600,27.40
2015-01-13,22.25,25.35,21.60,25.35,847800,25.35
2015-01-12,17.80,21.15,17.10,21.15,193400,21.15
2015-01-09,18.45,18.45,17.30,17.65,48800,17.65
2015-01-08,19.00,20.20,17.90,18.10,117600,18.10
2015-01-07,18.35,19.45,17.90,18.80,62600,18.80
