Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,445.30,446.00,437.10,442.60,3500,442.60
2015-07-16,416.50,447.00,416.50,443.80,11800,443.80
2015-07-15,410.90,413.50,409.00,410.50,1900,410.50
2015-07-14,413.00,413.00,407.00,409.60,1200,409.60
2015-07-13,417.20,417.20,407.00,410.70,700,410.70
2015-07-10,419.90,419.90,404.40,405.40,1200,405.40
2015-07-09,417.10,417.10,409.60,410.50,1200,410.50
2015-07-08,406.90,418.00,398.10,412.40,4600,412.40
2015-07-07,410.00,410.00,400.30,402.80,200,402.80
2015-07-06,403.80,408.00,397.00,403.40,800,403.40
2015-07-03,403.80,409.10,400.00,404.30,800,404.30
2015-07-02,396.00,411.00,391.00,403.60,2200,403.60
2015-07-01,384.60,395.40,382.00,392.00,5200,392.00
2015-06-30,385.00,390.00,381.00,383.50,1200,383.50
2015-06-29,377.90,385.00,376.90,384.90,1500,384.90
2015-06-26,399.90,399.90,391.00,394.90,1000,394.90
2015-06-25,387.00,397.00,387.00,396.40,200,396.40
2015-06-24,395.00,397.50,387.10,390.00,1800,390.00
2015-06-23,399.00,400.10,394.90,398.00,700,398.00
2015-06-22,398.70,401.90,394.10,396.20,500,396.20
2015-06-19,399.90,400.00,393.40,394.30,1000,394.30
2015-06-18,398.90,400.00,393.40,399.20,400,399.20
2015-06-17,388.10,399.00,388.00,393.20,2800,393.20
2015-06-16,380.30,388.40,380.20,386.80,1500,386.80
2015-06-15,380.00,385.90,377.10,383.10,600,383.10
2015-06-12,380.00,388.00,379.00,382.50,1300,382.50
2015-06-11,400.00,400.00,380.40,382.80,3300,382.80
2015-06-10,398.00,404.10,395.10,397.70,1200,397.70
2015-06-09,407.00,407.00,392.40,394.50,2300,394.50
2015-06-08,401.00,405.00,395.00,398.10,1500,398.10
2015-06-05,400.10,409.30,398.10,409.00,1600,409.00
2015-06-04,407.00,408.80,402.10,402.90,1200,402.90
2015-06-03,419.30,421.00,400.90,410.60,2200,410.60
2015-06-02,419.10,422.00,414.10,415.30,2600,415.30
2015-06-01,419.00,425.60,415.90,420.10,3500,420.10
2015-05-29,426.00,426.20,420.40,423.00,500,423.00
2015-05-28,421.90,432.00,420.10,424.00,2900,424.00
2015-05-27,422.10,428.00,422.10,423.90,1300,423.90
2015-05-26,423.90,427.80,423.70,426.70,2700,426.70
2015-05-25,435.40,438.90,418.00,427.40,5500,427.40
2015-05-22,421.10,452.00,421.10,441.70,5700,441.70
2015-05-21,423.00,428.00,422.60,425.90,600,425.90
2015-05-20,430.00,430.90,419.00,421.20,2600,421.20
2015-05-19,427.00,433.00,425.00,427.90,2700,427.90
2015-05-18,429.90,432.10,424.00,426.50,2100,426.50
2015-05-15,419.50,432.40,416.50,428.70,5200,428.70
2015-05-14,420.00,425.00,418.70,425.00,900,425.00
2015-05-13,410.00,419.90,410.00,416.40,3400,416.40
2015-05-12,419.60,423.80,411.70,412.60,2000,412.60
2015-05-11,425.00,426.90,419.00,421.00,1800,421.00
2015-05-08,420.00,420.00,414.90,417.40,4200,417.40
2015-05-07,440.00,440.00,422.00,427.90,7300,412.90
