Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,936.05,941.45,922.40,924.40,69300,924.40
2015-07-16,933.00,938.40,923.30,936.00,60600,936.00
2015-07-15,926.00,935.00,921.05,928.30,78900,928.30
2015-07-14,911.00,929.00,903.00,927.45,109700,927.45
2015-07-13,900.00,914.50,892.20,910.10,105300,910.10
2015-07-10,925.00,925.00,892.10,900.95,147500,900.95
2015-07-09,927.00,934.00,912.75,920.10,65000,920.10
2015-07-08,923.50,944.00,918.95,927.60,320500,927.60
2015-07-07,920.35,927.35,915.95,922.05,65200,922.05
2015-07-06,919.00,929.95,914.80,926.85,91200,926.85
2015-07-03,917.00,930.00,917.00,924.05,82600,924.05
2015-07-02,918.05,927.60,912.55,921.15,75200,921.15
2015-07-01,915.00,925.50,912.00,917.25,75500,917.25
2015-06-30,905.00,919.40,902.55,916.45,167900,916.45
2015-06-29,880.00,905.00,870.00,900.05,108000,900.05
2015-06-26,883.85,890.90,875.50,886.40,54700,886.40
2015-06-25,888.00,898.00,880.45,883.85,86500,883.85
2015-06-24,875.05,908.00,875.05,895.30,195100,895.30
2015-06-23,874.00,879.45,871.50,874.30,44500,874.30
2015-06-22,860.25,874.00,859.50,871.75,72200,871.75
2015-06-19,860.00,864.40,846.00,857.80,69400,857.80
2015-06-18,859.00,861.85,857.00,861.85,68200,852.85
2015-06-17,840.00,866.70,840.00,860.80,161500,851.81
2015-06-16,820.00,838.75,818.05,834.55,56900,825.84
2015-06-15,815.95,827.00,809.10,821.90,70200,813.32
2015-06-12,817.00,821.00,810.00,813.75,66400,805.25
2015-06-11,821.45,836.65,816.20,817.80,106300,809.26
2015-06-10,817.40,824.55,815.00,820.30,79300,811.73
2015-06-09,813.00,828.00,807.00,819.85,69000,811.29
2015-06-08,829.00,829.00,809.35,811.90,68300,803.42
2015-06-05,823.10,847.00,818.00,829.85,112200,821.18
2015-06-04,832.05,835.65,820.50,822.55,73000,813.96
2015-06-03,854.10,854.10,829.10,831.75,98700,823.06
2015-06-02,883.00,885.20,850.00,852.75,108400,843.85
2015-06-01,856.90,881.60,855.15,879.70,78200,870.51
2015-05-29,847.00,870.00,842.45,859.80,127200,850.82
2015-05-28,858.00,858.05,845.00,845.00,58800,836.18
2015-05-27,847.00,859.10,846.35,857.25,48100,848.30
2015-05-26,855.00,857.50,845.75,855.65,90800,846.71
2015-05-25,863.00,864.35,848.75,852.20,50900,843.30
2015-05-22,865.90,869.00,857.40,862.85,123900,853.84
2015-05-21,855.45,865.60,848.20,864.55,151000,855.52
2015-05-20,845.20,857.00,845.20,855.00,74300,846.07
2015-05-19,849.00,853.90,842.30,844.50,105000,835.68
2015-05-18,847.10,853.40,838.00,851.65,104100,842.76
2015-05-15,847.00,851.95,841.05,845.15,91000,836.32
