Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1175.25,1216.00,1172.00,1202.75,800,1196.75
2015-07-16,1188.00,1206.75,1165.25,1174.50,300,1168.64
2015-07-15,1178.00,1216.00,1176.75,1188.00,1000,1182.07
2015-07-14,1173.00,1190.00,1165.00,1179.00,1500,1173.12
2015-07-13,1174.00,1182.75,1157.00,1166.75,1500,1160.93
2015-07-10,1185.00,1194.75,1157.00,1163.50,2900,1157.70
2015-07-09,1189.00,1205.25,1177.00,1178.50,400,1172.62
2015-07-08,1223.00,1223.00,1174.25,1188.50,1800,1182.57
2015-07-07,1236.75,1250.00,1210.00,1220.00,1400,1213.91
2015-07-06,1191.25,1247.75,1180.00,1234.75,1500,1228.59
2015-07-03,1202.25,1223.00,1191.75,1193.00,800,1187.05
2015-07-02,1190.00,1269.00,1185.00,1214.25,5300,1208.19
2015-07-01,1198.00,1205.25,1181.00,1199.25,1500,1193.27
2015-06-30,1195.00,1220.00,1176.00,1198.25,4800,1192.27
2015-06-29,1170.00,1215.00,1152.00,1199.50,3400,1193.52
2015-06-26,1149.25,1210.00,1145.00,1181.75,2500,1175.85
2015-06-25,1189.75,1189.75,1141.00,1149.00,1800,1143.27
2015-06-24,1180.00,1194.00,1137.25,1150.00,3000,1144.26
2015-06-23,1171.00,1239.00,1162.00,1193.75,6200,1187.79
2015-06-22,1160.00,1187.00,1151.00,1165.00,1800,1159.19
2015-06-19,1183.75,1200.00,1150.00,1151.25,3900,1145.51
2015-06-18,1160.00,1195.00,1147.25,1184.75,1900,1178.84
2015-06-17,1160.00,1172.00,1140.25,1154.00,1200,1148.24
2015-06-16,1136.00,1163.00,1100.00,1153.75,3500,1147.99
2015-06-15,1135.00,1157.00,1115.00,1135.75,500,1130.08
2015-06-12,1060.00,1145.25,1060.00,1134.75,3900,1129.09
2015-06-11,1083.00,1113.50,1050.00,1053.75,2100,1048.49
2015-06-10,1056.00,1096.00,1055.25,1082.75,1000,1077.35
2015-06-09,1056.00,1070.00,1045.00,1049.50,2600,1044.26
2015-06-08,1103.00,1104.00,1040.00,1049.75,2400,1044.51
2015-06-05,1078.75,1116.00,1076.00,1106.75,1000,1101.23
2015-06-04,1080.00,1103.00,1059.25,1095.75,700,1090.28
2015-06-03,1099.25,1099.25,1049.75,1077.75,3000,1072.37
2015-06-02,1124.25,1135.00,1080.00,1099.25,3100,1093.77
2015-06-01,1142.00,1144.50,1107.00,1118.50,1400,1112.92
2015-05-29,1113.25,1149.50,1111.00,1131.00,600,1125.36
2015-05-28,1116.00,1134.00,1097.00,1129.75,1200,1124.11
2015-05-27,1129.00,1146.00,1108.25,1120.25,1200,1114.66
2015-05-26,1170.00,1177.00,1121.50,1129.75,800,1124.11
2015-05-25,1202.00,1210.00,1140.50,1159.00,2400,1153.22
2015-05-22,1200.00,1238.00,1194.00,1220.75,1800,1214.66
2015-05-21,1195.00,1222.75,1163.50,1213.25,1100,1207.20
2015-05-20,1210.00,1224.75,1182.75,1198.25,1500,1192.27
2015-05-19,1311.00,1311.00,1191.50,1203.75,7500,1197.75
2015-05-18,1263.50,1300.00,1260.00,1287.25,5900,1280.83
2015-05-15,1283.25,1294.00,1241.00,1245.75,2600,1239.54
2015-05-14,1226.00,1310.00,1207.75,1276.25,9700,1269.88
2015-05-13,1180.00,1248.00,1180.00,1239.00,2900,1232.82
2015-05-12,1222.00,1222.00,1158.00,1174.25,1200,1168.39
2015-05-11,1110.00,1250.00,1110.00,1221.50,8200,1215.41
2015-05-08,1070.00,1132.75,1070.00,1109.75,800,1104.21
2015-05-07,1062.00,1078.25,1050.00,1064.75,900,1059.44
2015-05-06,1112.00,1115.00,1049.50,1051.50,4300,1046.25
2015-05-05,1132.00,1155.75,1096.00,1111.75,1900,1106.20
2015-05-04,1140.00,1167.00,1121.00,1125.75,1600,1120.13
2015-05-01,1129.75,1129.75,1129.75,1129.75,000,1124.11
2015-04-30,1100.00,1148.00,1083.00,1129.75,1500,1124.11
2015-04-29,1089.25,1151.00,1084.00,1111.50,2100,1105.96
2015-04-28,1085.00,1130.00,1077.50,1088.50,5700,1083.07
2015-04-27,1150.75,1152.00,1070.00,1083.00,3300,1077.60
2015-04-24,1204.00,1204.00,1120.00,1144.50,2100,1138.79
2015-04-23,1204.00,1227.00,1190.25,1204.25,1500,1198.24
2015-04-22,1201.00,1222.50,1149.00,1197.75,2100,1191.77
2015-04-21,1201.00,1220.00,1181.00,1195.25,1200,1189.29
2015-04-20,1221.00,1244.25,1191.00,1195.00,1900,1189.04
2015-04-17,1299.75,1304.00,1204.75,1214.50,4900,1208.44
2015-04-16,1305.00,1319.00,1279.25,1287.75,2400,1281.33
2015-04-15,1323.00,1333.00,1300.00,1305.00,3000,1298.49
2015-04-14,1319.50,1319.50,1319.50,1319.50,000,1312.92
2015-04-13,1347.25,1349.00,1309.00,1319.50,3600,1312.92
2015-04-10,1300.00,1350.00,1283.75,1334.25,8900,1327.59
2015-04-09,1379.00,1380.00,1280.00,1288.75,16300,1282.32
2015-04-08,1179.00,1365.00,1175.50,1332.75,35100,1326.10
2015-04-07,1148.25,1179.00,1138.00,1169.50,2700,1163.67
2015-04-06,1154.00,1180.75,1140.00,1147.50,4300,1141.78
2015-04-03,1148.25,1148.25,1148.25,1148.25,000,1142.52
2015-04-02,1148.25,1148.25,1148.25,1148.25,000,1142.52
2015-04-01,1121.50,1161.00,1120.00,1148.25,2000,1142.52
2015-03-31,1146.50,1151.00,1115.00,1122.25,8300,1116.65
2015-03-30,1114.00,1175.25,1114.00,1147.50,3300,1141.78
2015-03-27,1101.75,1108.25,1080.25,1090.75,4300,1085.31
2015-03-26,1102.75,1120.00,1095.00,1098.75,1600,1093.27
2015-03-25,1095.00,1129.00,1081.25,1117.25,2700,1111.68
2015-03-24,1101.25,1102.75,1076.00,1080.50,1300,1075.11
2015-03-23,1131.00,1131.00,1077.25,1088.00,9800,1082.57
2015-03-20,1130.00,1153.25,1122.75,1132.25,13800,1126.60
2015-03-19,1160.00,1163.50,1125.00,1134.00,5300,1128.34
2015-03-18,1132.00,1173.25,1132.00,1152.25,9700,1146.50
2015-03-17,1125.25,1143.25,1122.00,1127.75,2500,1122.12
2015-03-16,1134.00,1148.50,1091.00,1118.00,3700,1112.42
2015-03-13,1157.00,1162.50,1117.25,1134.25,3100,1128.59
2015-03-12,1147.00,1169.00,1130.00,1150.50,2600,1144.76
2015-03-11,1147.00,1169.75,1131.00,1147.25,4600,1141.53
2015-03-10,1146.00,1180.00,1123.00,1141.25,7800,1135.56
2015-03-09,1235.00,1269.00,1123.00,1142.75,17200,1137.05
2015-03-06,1234.00,1234.00,1234.00,1234.00,000,1227.84
2015-03-05,1154.00,1241.75,1123.00,1234.00,16300,1227.84
2015-03-04,1115.00,1194.00,1094.00,1150.50,13500,1144.76
2015-03-03,1100.00,1118.00,1075.00,1111.50,3300,1105.96
2015-03-02,1058.00,1096.00,1058.00,1091.50,3100,1086.05
2015-02-27,1001.00,1100.00,1001.00,1057.00,9500,1051.73
2015-02-26,1035.00,1040.00,990.00,1001.25,3900,996.26
2015-02-25,1065.00,1083.00,1025.25,1031.50,5800,1026.35
2015-02-24,1100.00,1120.00,1052.75,1062.00,4200,1056.70
2015-02-23,1109.00,1143.25,1082.00,1095.00,15500,1089.54
2015-02-20,974.00,1125.00,962.00,1089.50,33800,1084.06
2015-02-19,990.00,997.00,944.00,974.25,14000,969.39
2015-02-18,957.00,990.00,950.00,974.00,2700,969.14
2015-02-17,952.50,952.50,952.50,952.50,000,947.75
2015-02-16,968.00,982.00,941.00,952.50,1300,947.75
2015-02-13,1000.00,1022.55,955.35,964.75,16400,959.94
2015-02-12,912.00,952.80,912.00,946.85,2300,942.13
2015-02-11,901.00,935.00,892.15,909.40,1500,904.86
2015-02-10,884.00,924.00,870.00,900.70,900,896.21
2015-02-09,878.00,896.00,868.00,881.10,10500,876.70
2015-02-06,862.65,900.00,862.65,878.40,1400,874.02
2015-02-05,865.00,877.50,855.05,860.00,400,855.71
2015-02-04,871.00,883.00,860.00,862.05,400,857.75
2015-02-03,867.00,876.00,865.00,867.90,300,863.57
2015-02-02,860.00,885.05,860.00,864.00,800,859.69
2015-01-30,876.00,887.00,851.25,859.55,700,855.26
2015-01-29,852.00,897.00,850.00,876.20,6800,871.83
2015-01-28,863.00,865.95,843.00,850.00,900,845.76
2015-01-27,859.05,870.00,856.20,862.55,2400,858.25
2015-01-26,858.90,858.90,858.90,858.90,000,854.62
2015-01-23,890.00,892.50,855.55,858.90,6800,854.62
2015-01-22,902.00,924.00,885.00,890.40,1300,885.96
2015-01-21,918.00,922.00,891.00,899.30,900,894.81
2015-01-20,918.00,930.00,910.00,914.65,1500,910.09
2015-01-19,907.00,940.00,906.00,918.00,5000,913.42
2015-01-16,935.00,935.00,892.55,904.20,1200,899.69
2015-01-15,930.00,948.00,911.00,935.30,1300,930.63
2015-01-14,928.00,935.00,918.00,926.65,700,922.03
2015-01-13,936.00,948.90,921.00,924.80,500,920.19
2015-01-12,940.00,950.00,927.00,937.25,3200,932.57
2015-01-09,966.00,977.35,941.00,946.50,4900,941.78
2015-01-08,947.00,1004.00,940.00,966.90,8200,962.08
2015-01-07,939.00,947.95,919.00,930.75,900,926.11
2015-01-06,960.00,960.00,926.00,926.00,1500,921.38
2015-01-05,967.00,1001.40,960.25,964.05,2500,959.24
2015-01-02,922.00,1009.05,901.00,958.75,8900,953.97
2015-01-01,905.00,930.00,905.00,917.95,1000,913.37
2014-12-31,895.00,915.00,877.00,887.65,4100,883.22
2014-12-30,888.05,901.10,887.00,898.00,600,893.52
2014-12-29,900.00,901.00,887.00,888.20,3800,883.77
2014-12-26,882.00,915.00,882.00,900.10,1500,895.61
2014-12-25,893.95,893.95,893.95,893.95,000,889.49
2014-12-24,895.00,897.00,887.00,893.95,400,889.49
2014-12-23,902.00,903.80,881.00,886.25,600,881.83
2014-12-22,880.25,898.65,862.70,892.65,800,888.20
2014-12-19,891.00,891.00,879.80,880.35,1000,875.96
2014-12-18,866.15,890.00,866.00,890.00,900,885.56
2014-12-17,879.00,879.00,820.00,856.95,5000,852.68
2014-12-16,891.00,891.00,860.00,871.10,2400,866.75
2014-12-15,903.90,907.00,885.00,899.20,600,894.71
2014-12-12,915.05,920.00,900.00,902.75,300,898.25
2014-12-11,915.00,925.00,907.00,920.20,1600,915.61
2014-12-10,911.00,929.00,911.00,923.00,200,918.40
2014-12-09,920.00,933.50,917.00,921.20,800,916.60
2014-12-08,940.00,947.00,920.10,922.00,500,917.40
2014-12-05,936.00,949.90,932.55,940.35,1200,935.66
2014-12-04,925.00,952.80,916.70,934.55,3900,929.89
2014-12-03,918.00,925.00,914.00,925.00,600,920.39
2014-12-02,902.00,917.95,900.00,917.95,500,913.37
