Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,5.12,5.12,5.12,5.12,000,5.12
2015-07-16,5.12,5.12,5.12,5.12,000,5.12
2015-07-15,5.12,5.12,5.12,5.12,000,5.12
2015-07-14,5.12,5.12,5.12,5.12,200,5.12
2015-07-13,5.38,5.38,5.38,5.38,000,5.38
2015-07-10,5.45,5.46,5.03,5.38,8800,5.38
2015-07-09,5.20,5.20,5.10,5.20,17500,5.20
2015-07-08,4.80,4.96,4.80,4.96,3700,4.96
2015-07-07,4.73,4.73,4.73,4.73,2200,4.73
2015-07-06,4.51,4.51,4.09,4.51,5100,4.51
2015-07-03,4.30,4.30,4.30,4.30,3800,4.30
2015-07-02,4.10,4.10,4.10,4.10,900,4.10
2015-07-01,3.91,3.91,3.91,3.91,1200,3.91
2015-06-30,3.80,3.80,3.45,3.73,4700,3.73
2015-06-29,3.62,3.62,3.58,3.62,300,3.62
2015-06-26,3.15,3.45,3.13,3.45,1500,3.45
2015-06-25,3.40,3.45,3.18,3.29,700,3.29
2015-06-24,3.24,3.33,3.04,3.33,2400,3.33
2015-06-23,3.18,3.18,3.18,3.18,100,3.18
2015-06-22,3.08,3.08,3.07,3.07,000,3.07
2015-06-19,2.95,2.95,2.95,2.95,000,2.95
2015-06-18,2.58,2.82,2.58,2.82,1700,2.82
2015-06-17,2.97,2.97,2.69,2.69,400,2.69
2015-06-16,2.78,2.85,2.78,2.83,1500,2.83
2015-06-15,2.92,2.92,2.92,2.92,1200,2.92
2015-06-12,3.07,3.07,3.07,3.07,800,3.07
2015-06-11,3.23,3.23,3.23,3.23,000,3.23
2015-06-10,3.07,3.23,3.05,3.23,300,3.23
2015-06-09,3.00,3.19,3.00,3.19,500,3.19
2015-06-08,2.86,3.14,2.86,3.12,700,3.12
2015-06-05,3.00,3.00,3.00,3.00,1200,3.00
2015-06-04,2.86,2.86,2.86,2.86,000,2.86
2015-06-03,2.82,3.09,2.82,2.86,100,2.86
2015-06-02,2.95,2.95,2.95,2.95,000,2.95
2015-06-01,2.95,2.96,2.95,2.95,000,2.95
2015-05-29,3.39,3.39,3.09,3.10,1100,3.10
2015-05-28,3.23,3.23,3.23,3.23,000,3.23
2015-05-27,3.23,3.23,3.23,3.23,000,3.23
2015-05-26,3.20,3.23,3.20,3.23,1000,3.23
2015-05-25,3.08,3.08,3.08,3.08,000,3.08
2015-05-22,3.08,3.08,3.08,3.08,000,3.08
2015-05-21,3.19,3.19,3.08,3.08,1700,3.08
2015-05-20,3.24,3.24,3.24,3.24,000,3.24
2015-05-19,3.29,3.29,2.99,3.24,1200,3.24
2015-05-18,3.14,3.14,3.14,3.14,000,3.14
2015-05-15,2.86,3.14,2.86,3.14,1700,3.14
2015-05-14,3.27,3.27,3.25,3.25,400,3.25
2015-05-13,3.12,3.12,3.12,3.12,000,3.12
2015-05-12,3.16,3.16,3.12,3.12,1100,3.12
2015-05-11,3.28,3.28,3.28,3.28,000,3.28
2015-05-08,3.28,3.28,3.28,3.28,000,3.28
2015-05-07,3.28,3.28,3.28,3.28,000,3.28
2015-05-06,3.20,3.28,3.01,3.28,600,3.28
2015-05-05,3.15,3.15,3.15,3.15,100,3.15
2015-05-04,3.29,3.29,3.00,3.02,600,3.02
2015-05-01,3.15,3.15,3.15,3.15,000,3.15
2015-04-30,3.15,3.15,3.15,3.15,900,3.15
2015-04-29,3.22,3.22,3.22,3.22,000,3.22
2015-04-28,3.25,3.25,3.22,3.22,200,3.22
2015-04-27,3.36,3.36,3.36,3.36,000,3.36
2015-04-24,3.70,3.70,3.36,3.36,200,3.36
2015-04-23,3.72,3.72,3.38,3.53,8100,3.53
2015-04-22,3.35,3.55,3.33,3.55,700,3.55
2015-04-21,3.70,3.70,3.50,3.50,2100,3.50
2015-04-20,3.55,3.55,3.55,3.55,000,3.55
2015-04-17,3.55,3.55,3.38,3.55,2700,3.55
2015-04-16,3.54,3.54,3.54,3.54,000,3.54
2015-04-15,3.55,3.70,3.47,3.54,11300,3.54
2015-04-14,3.61,3.61,3.61,3.61,000,3.61
2015-04-13,3.61,3.61,3.61,3.61,300,3.61
2015-04-10,3.70,3.70,3.70,3.70,200,3.70
2015-04-09,3.53,3.53,3.53,3.53,100,3.53
2015-04-08,3.37,3.37,3.37,3.37,000,3.37
2015-04-07,3.37,3.37,3.37,3.37,200,3.37
2015-04-06,3.21,3.21,3.21,3.21,000,3.21
2015-04-03,3.21,3.21,3.21,3.21,000,3.21
2015-04-02,3.21,3.21,3.21,3.21,000,3.21
2015-04-01,3.21,3.21,3.21,3.21,000,3.21
2015-03-31,3.15,3.16,3.15,3.21,000,3.21
2015-03-30,3.43,3.43,3.21,3.21,1700,3.21
