Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,89.80,92.40,89.70,91.50,60500,91.10
2015-07-16,91.65,92.60,86.60,87.45,68700,87.07
2015-07-15,100.85,102.15,90.00,91.45,213800,91.05
2015-07-14,95.10,100.50,95.00,99.60,39700,99.16
2015-07-13,94.00,96.00,93.55,94.95,3200,94.53
2015-07-10,94.20,95.10,92.10,93.40,3900,92.99
2015-07-09,92.30,94.90,92.30,93.45,213500,93.04
2015-07-08,93.85,93.95,91.40,91.85,2500,91.45
2015-07-07,93.45,94.15,93.00,94.15,3500,93.74
2015-07-06,89.60,93.00,89.00,92.55,4000,92.15
2015-07-03,92.50,92.90,91.60,91.75,4800,91.35
2015-07-02,94.00,94.10,91.75,92.00,4100,91.60
2015-07-01,92.40,95.00,92.40,94.40,15600,93.99
2015-06-30,91.50,93.00,91.05,92.45,1200,92.05
2015-06-29,90.75,92.10,90.45,91.25,3000,90.85
2015-06-26,92.60,94.30,92.60,93.60,5000,93.19
2015-06-25,92.00,92.30,90.65,91.00,2100,90.60
2015-06-24,95.30,95.30,92.35,92.50,7300,92.10
2015-06-23,96.15,96.30,94.90,95.05,1200,94.63
2015-06-22,93.55,97.00,93.55,96.05,3700,95.63
2015-06-19,93.10,94.15,90.25,93.70,6300,93.29
2015-06-18,87.00,92.85,87.00,92.35,12500,91.95
2015-06-17,90.15,90.65,87.10,87.95,6300,87.57
2015-06-16,91.40,91.40,90.15,90.45,1700,90.05
2015-06-15,92.40,92.40,91.70,92.05,1000,91.65
2015-06-12,92.05,93.70,91.70,92.10,1400,91.70
2015-06-11,94.60,94.60,90.70,92.45,2700,92.05
2015-06-10,94.30,96.25,94.30,95.05,2600,94.63
2015-06-09,96.00,96.05,94.60,94.90,400,94.49
2015-06-08,95.00,97.00,95.00,96.45,4300,96.03
2015-06-05,93.50,97.50,93.10,97.05,3900,96.63
2015-06-04,95.25,95.25,92.65,93.65,1700,93.24
2015-06-03,95.60,95.60,88.10,94.15,21200,93.74
2015-06-02,96.00,97.60,94.75,97.10,5200,96.68
2015-06-01,96.35,97.60,96.00,96.20,2500,95.78
