Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,720.00,760.00,716.25,755.00,31900,755.00
2015-07-16,727.00,727.00,715.00,718.25,11800,718.25
2015-07-15,725.00,727.00,712.00,713.25,13800,713.25
2015-07-14,731.00,731.50,712.25,718.50,10900,718.50
2015-07-13,733.50,735.00,717.75,723.25,16800,723.25
2015-07-10,730.00,733.00,720.00,721.00,9100,721.00
2015-07-09,700.00,722.00,696.25,719.25,21400,719.25
2015-07-08,712.00,712.00,690.00,696.50,22700,696.50
2015-07-07,739.25,743.75,707.50,713.00,15100,713.00
2015-07-06,687.00,733.00,680.00,728.75,13800,728.75
2015-07-03,720.00,720.00,690.00,694.25,22900,694.25
2015-07-02,729.00,734.50,715.00,718.50,10400,718.50
2015-07-01,733.00,748.50,715.00,719.50,21900,719.50
2015-06-30,693.50,731.00,692.00,724.50,37300,724.50
2015-06-29,688.75,696.00,650.00,692.00,21800,692.00
2015-06-26,680.50,699.50,679.00,690.50,20000,690.50
2015-06-25,658.75,686.75,657.00,675.75,21700,675.75
2015-06-24,634.00,675.00,633.75,651.75,43600,651.75
2015-06-23,637.00,642.25,630.00,632.75,10600,632.75
2015-06-22,627.75,643.00,625.25,636.75,14600,636.75
2015-06-19,675.00,675.00,616.00,620.25,9200,620.25
2015-06-18,618.00,650.00,610.00,638.75,23400,638.75
2015-06-17,620.00,624.00,613.00,615.50,5900,615.50
2015-06-16,620.00,622.25,601.50,619.00,7400,619.00
2015-06-15,621.00,628.25,615.00,617.75,8400,617.75
2015-06-12,614.00,622.00,608.00,616.25,11000,616.25
2015-06-11,620.00,643.00,611.00,614.00,24800,614.00
2015-06-10,566.25,620.00,566.00,616.75,32600,616.75
2015-06-09,580.00,583.00,560.50,563.50,11800,563.50
2015-06-08,592.00,602.00,570.25,576.25,9400,576.25
2015-06-05,579.00,597.00,579.00,589.00,7200,589.00
2015-06-04,591.00,599.00,573.50,581.00,6100,581.00
2015-06-03,594.00,606.00,555.00,584.25,21200,584.25
2015-06-02,607.00,623.75,586.75,589.50,23600,589.50
2015-06-01,572.50,606.00,572.00,602.75,45500,602.75
2015-05-29,567.00,584.00,565.00,570.80,22500,570.80
2015-05-28,537.00,570.00,537.00,565.60,39100,565.60
2015-05-27,528.70,540.00,526.00,538.20,9200,538.20
2015-05-26,524.00,545.00,524.00,530.20,24400,530.20
2015-05-25,518.40,527.40,513.70,520.50,9500,520.50
2015-05-22,523.90,530.00,510.00,517.20,9200,517.20
2015-05-21,525.00,529.70,514.00,517.30,13600,517.30
2015-05-20,529.50,532.50,518.60,522.50,8000,522.50
2015-05-19,542.60,542.60,515.00,518.00,17300,518.00
2015-05-18,525.00,547.00,521.00,542.70,29200,542.70
2015-05-15,522.90,525.80,507.60,517.20,24300,517.20
2015-05-14,483.00,521.80,483.00,511.00,101800,511.00
2015-05-13,452.20,484.90,448.00,477.90,69800,477.90
2015-05-12,460.00,464.10,446.10,448.90,35500,448.90
2015-05-11,450.00,465.00,438.00,453.60,59900,453.60
2015-05-08,412.00,442.50,410.00,436.00,7900,436.00
2015-05-07,410.00,423.80,405.00,411.60,4500,411.60
2015-05-06,441.00,441.00,408.00,416.80,7400,416.80
2015-05-05,451.20,463.00,438.90,442.80,16300,442.80
2015-05-04,433.10,458.20,433.00,452.00,16700,452.00
2015-05-01,432.10,432.10,432.10,432.10,000,432.10
2015-04-30,423.50,440.00,422.00,432.10,4900,432.10
2015-04-29,419.80,435.00,418.00,423.60,5900,423.60
2015-04-28,417.90,420.50,400.00,415.20,6000,415.20
2015-04-27,421.10,421.20,385.00,410.30,13600,410.30
2015-04-24,432.80,435.00,400.00,416.40,8800,416.40
2015-04-23,450.50,450.50,426.00,430.00,8300,430.00
2015-04-22,455.00,466.00,437.40,446.40,13500,446.40
2015-04-21,450.00,466.10,447.50,455.40,8300,455.40
2015-04-20,450.20,462.20,435.80,445.30,16100,445.30
2015-04-17,448.00,456.90,431.30,438.10,7000,438.10
2015-04-16,460.00,469.90,441.00,447.90,15400,447.90
2015-04-15,484.40,484.40,460.00,464.30,9500,464.30
2015-04-14,474.80,474.80,474.80,474.80,000,474.80
2015-04-13,473.00,487.70,468.00,474.80,11900,474.80
2015-04-10,475.00,489.80,461.20,473.00,22900,473.00
2015-04-09,479.80,479.80,452.60,470.10,32700,470.10
2015-04-08,407.10,484.20,404.00,474.20,120200,474.20
2015-04-07,408.70,410.50,401.20,403.50,9200,403.50
2015-04-06,409.40,414.40,396.60,403.10,17300,403.10
2015-04-03,393.00,393.00,393.00,393.00,000,393.00
2015-04-02,393.00,393.00,393.00,393.00,000,393.00
2015-04-01,379.90,408.00,379.90,393.00,15500,393.00
2015-03-31,400.00,400.00,375.30,378.80,8100,378.80
2015-03-30,375.00,402.00,371.10,398.50,19300,398.50
2015-03-27,366.00,378.00,365.00,369.30,17600,369.30
2015-03-26,378.20,385.00,370.00,378.80,4900,378.80
2015-03-25,375.00,389.00,375.00,385.80,5700,385.80
2015-03-24,370.80,380.00,364.20,376.50,5700,376.50
2015-03-23,375.40,376.60,353.80,366.90,10000,366.90
2015-03-20,397.00,399.50,375.30,378.20,15600,378.20
2015-03-19,411.00,422.70,383.00,390.10,14200,390.10
2015-03-18,420.00,421.00,402.10,409.80,25400,409.80
2015-03-17,419.00,425.00,406.30,412.00,4400,412.00
2015-03-16,422.00,424.50,411.50,414.40,7000,414.40
2015-03-13,425.00,434.50,423.00,425.70,14300,425.70
2015-03-12,429.70,431.00,421.30,425.50,11300,425.50
2015-03-11,423.60,429.00,420.10,426.00,9300,426.00
2015-03-10,420.00,430.00,415.00,422.70,20500,422.70
2015-03-09,413.70,427.50,410.00,418.70,25200,418.70
2015-03-06,413.70,413.70,413.70,413.70,000,413.70
2015-03-05,416.50,430.00,410.10,413.70,12400,413.70
2015-03-04,431.00,434.70,412.00,416.00,32900,416.00
2015-03-03,404.85,435.00,391.90,429.10,33500,429.10
2015-03-02,402.00,408.60,380.00,394.70,23100,394.70
2015-02-27,402.10,410.00,398.90,400.20,18900,400.20
2015-02-26,384.90,415.90,383.40,403.30,33100,403.30
2015-02-25,388.20,394.30,385.00,387.90,6200,387.90
2015-02-24,396.00,396.00,384.10,386.90,13700,386.90
2015-02-23,386.00,405.00,386.00,396.10,13000,396.10
2015-02-20,407.00,409.00,384.00,386.40,28900,386.40
2015-02-19,408.90,409.90,400.00,404.80,24000,404.80
2015-02-18,430.00,430.00,400.00,402.70,21700,402.70
2015-02-17,423.20,423.20,423.20,423.20,000,423.20
2015-02-16,435.00,435.00,418.90,423.20,16600,423.20
2015-02-13,450.00,450.00,430.00,433.40,20400,433.40
2015-02-12,450.90,452.00,435.15,437.30,16500,437.30
2015-02-11,452.00,470.70,440.00,446.25,40300,446.25
2015-02-10,443.00,453.80,416.35,432.40,45000,432.40
2015-02-09,444.00,453.00,417.05,440.90,18600,440.90
2015-02-06,458.10,462.45,431.00,439.25,23900,439.25
2015-02-05,474.00,483.00,457.20,466.00,26000,466.00
2015-02-04,436.10,480.00,432.40,471.50,42700,471.50
2015-02-03,424.55,449.95,424.55,441.15,38300,441.15
2015-02-02,406.65,426.85,406.10,423.50,23700,423.50
2015-01-30,409.50,417.00,401.00,405.30,15700,405.30
2015-01-29,419.00,419.00,400.50,408.45,14300,408.45
2015-01-28,417.70,431.95,405.00,411.90,39200,411.90
2015-01-27,382.60,422.45,381.60,417.70,64400,417.70
2015-01-26,377.40,377.40,377.40,377.40,000,377.40
2015-01-23,384.40,384.40,370.00,377.40,15500,377.40
2015-01-22,368.95,387.00,368.95,376.05,35900,376.05
2015-01-21,369.00,379.40,366.00,369.35,26200,369.35
2015-01-20,351.00,373.00,351.00,368.70,44500,368.70
2015-01-19,351.00,361.70,350.10,351.60,13100,351.60
2015-01-16,350.60,355.00,348.55,351.85,5700,351.85
2015-01-15,359.00,362.55,347.55,354.55,20700,354.55
2015-01-14,355.00,356.90,348.75,350.60,8200,350.60
2015-01-13,357.00,363.05,348.10,352.50,26000,352.50
2015-01-12,340.80,362.95,329.60,352.85,41700,352.85
2015-01-09,344.40,352.90,339.00,340.70,17100,340.70
2015-01-08,354.00,354.00,334.00,336.80,7600,336.80
2015-01-07,335.00,335.00,318.00,328.75,11400,328.75
2015-01-06,340.00,340.10,330.00,332.45,12400,332.45
2015-01-05,350.00,350.00,340.00,341.00,6100,341.00
2015-01-02,350.10,352.50,339.00,344.95,31500,344.95
2015-01-01,348.85,350.70,342.25,346.00,10200,346.00
2014-12-31,363.75,367.45,343.00,345.40,24500,345.40
2014-12-30,340.00,368.20,335.50,359.95,96500,359.95
2014-12-29,333.30,346.35,331.80,336.55,14500,336.55
2014-12-26,333.00,333.00,317.10,328.90,16000,328.90
2014-12-25,328.35,328.35,328.35,328.35,000,328.35
2014-12-24,311.20,334.00,303.00,328.35,24200,328.35
2014-12-23,324.00,327.00,310.10,314.35,19500,314.35
2014-12-22,312.75,338.35,305.00,320.75,38100,320.75
2014-12-19,300.20,309.00,296.10,303.20,12800,303.20
2014-12-18,290.00,304.00,287.30,296.90,15600,296.90
2014-12-17,293.00,295.00,255.85,284.90,38600,284.90
2014-12-16,315.35,315.35,280.00,285.25,50700,285.25
2014-12-15,317.00,328.90,311.80,315.35,20600,315.35
2014-12-12,327.55,338.00,311.50,313.60,18600,313.60
2014-12-11,339.50,341.75,314.00,320.60,21900,320.60
2014-12-10,300.50,348.90,300.50,340.40,37500,340.40
2014-12-09,325.00,332.00,295.75,302.10,16800,302.10
2014-12-08,340.25,342.50,325.00,329.90,20300,329.90
2014-12-05,345.00,353.85,330.00,334.35,24000,334.35
2014-12-04,341.00,347.00,322.90,340.75,50200,340.75
2014-12-03,330.05,345.50,328.50,339.85,90700,339.85
2014-12-02,310.00,329.60,309.45,329.05,90500,329.05
2014-12-01,324.00,325.50,304.00,313.95,27000,313.95
2014-11-28,335.00,335.00,314.05,319.50,19100,319.50
2014-11-27,328.75,342.90,326.00,329.45,15000,329.45
2014-11-26,323.05,343.50,323.05,328.75,85700,328.75
2014-11-25,350.00,350.00,340.05,340.05,6800,340.05
2014-11-24,384.95,385.05,355.60,357.90,32200,357.90
2014-11-21,380.00,385.50,370.00,374.30,29400,374.30
2014-11-20,390.10,390.10,354.50,372.25,155600,372.25
2014-11-19,371.55,371.55,371.55,371.55,14900,371.55
2014-11-18,337.80,337.80,330.00,337.80,58500,337.80
2014-11-17,287.40,311.00,280.00,307.10,117800,307.10
2014-11-14,289.95,302.90,260.00,282.75,136100,282.75
2014-11-13,246.10,289.90,238.95,288.50,472800,288.50
2014-11-12,226.25,256.50,224.00,241.60,160400,241.60
2014-11-11,220.75,230.00,218.00,228.05,30900,228.05
2014-11-10,210.00,220.00,210.00,217.60,31600,217.60
2014-11-07,209.90,213.00,202.40,210.40,45800,210.40
2014-11-06,202.75,202.75,202.75,202.75,000,202.75
2014-11-05,181.10,211.00,176.30,202.75,109900,202.75
2014-11-04,179.40,179.40,179.40,179.40,000,179.40
2014-11-03,177.40,181.50,174.00,179.40,14200,179.40
2014-10-31,178.50,184.30,175.50,176.25,5500,176.25
2014-10-30,179.00,181.00,173.10,179.05,13200,179.05
2014-10-29,183.60,183.60,174.10,176.50,9100,176.50
2014-10-28,181.30,181.30,172.30,174.10,6200,174.10
2014-10-27,194.50,194.50,177.00,177.90,8400,177.90
2014-10-24,181.90,181.90,181.90,181.90,000,181.90
2014-10-23,181.90,181.90,181.90,181.90,000,181.90
2014-10-22,177.75,188.00,176.00,181.90,26400,181.90
2014-10-21,179.25,183.05,175.40,175.50,6800,175.50
2014-10-20,175.00,181.80,174.50,178.70,8500,178.70
