Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,349.90,363.00,349.90,353.40,5100,353.40
2015-07-16,345.10,357.00,345.10,347.30,3500,347.30
2015-07-15,359.90,359.90,335.40,342.20,5100,342.20
2015-07-14,374.40,374.40,346.30,349.40,6000,349.40
2015-07-13,338.90,350.00,333.30,348.50,3800,348.50
2015-07-10,354.00,354.00,333.10,334.00,1900,334.00
2015-07-09,347.00,354.80,328.00,341.60,11300,341.60
2015-07-08,304.50,355.90,304.50,345.50,23600,345.50
2015-07-07,297.50,310.00,293.30,306.50,7600,306.50
2015-07-06,280.40,295.10,280.40,291.30,1700,291.30
2015-07-03,291.00,302.00,281.20,287.70,3800,287.70
2015-07-02,278.00,293.80,276.20,287.00,3000,287.00
2015-07-01,269.20,284.70,261.20,278.40,8600,278.40
2015-06-30,263.10,269.90,251.00,269.70,1500,269.70
2015-06-29,269.00,269.00,260.60,261.50,1300,261.50
2015-06-26,271.70,273.80,264.00,267.40,2300,267.40
2015-06-25,280.00,280.00,268.00,269.70,1100,269.70
2015-06-24,282.00,292.90,275.10,282.20,9200,282.20
2015-06-23,260.60,300.30,260.10,281.10,25300,281.10
2015-06-22,259.00,270.40,259.00,265.40,900,265.40
2015-06-19,253.50,259.30,249.90,255.10,1600,255.10
2015-06-18,258.50,258.50,250.20,258.50,700,258.50
2015-06-17,250.80,262.10,250.80,254.10,1300,254.10
2015-06-16,253.00,253.00,243.70,249.20,400,249.20
2015-06-15,244.30,252.00,241.50,243.60,1500,243.60
2015-06-12,244.90,247.00,238.60,239.50,900,239.50
2015-06-11,255.00,255.90,241.00,245.20,1900,245.20
2015-06-10,244.10,248.00,239.20,246.00,1800,246.00
2015-06-09,243.20,245.60,239.90,242.80,400,242.80
2015-06-08,244.20,254.50,237.20,249.00,500,249.00
2015-06-05,241.70,247.00,241.30,246.20,100,246.20
2015-06-04,247.20,247.80,236.70,239.30,1100,239.30
2015-06-03,265.70,265.70,237.30,243.70,2000,243.70
2015-06-02,261.10,265.10,255.90,256.90,400,256.90
2015-06-01,262.50,275.00,261.60,268.50,4700,268.50
2015-05-29,262.40,263.90,259.00,263.90,2100,263.90
2015-05-28,258.60,264.00,255.00,260.10,300,260.10
2015-05-27,260.00,266.90,257.40,259.60,1000,259.60
2015-05-26,262.40,274.10,259.10,269.70,2400,269.70
2015-05-25,261.30,265.00,257.00,258.50,1600,258.50
2015-05-22,270.00,272.20,256.50,261.50,3000,261.50
2015-05-21,281.40,284.00,267.20,269.90,9800,269.90
2015-05-20,256.40,297.00,253.60,288.40,59100,288.40
2015-05-19,255.50,255.50,255.50,255.50,000,255.50
2015-05-18,258.00,262.80,254.00,255.50,300,255.50
2015-05-15,254.50,256.50,254.50,255.20,100,255.20
2015-05-14,257.00,259.50,251.50,259.50,200,259.50
2015-05-13,254.00,260.00,252.50,254.30,1300,254.30
2015-05-12,257.00,257.00,245.50,247.90,600,247.90
2015-05-11,264.00,264.00,256.00,257.40,600,257.40
2015-05-08,248.50,260.00,248.50,251.80,1600,251.80
2015-05-07,253.00,253.00,246.00,246.10,400,246.10
2015-05-06,254.00,258.00,246.00,247.80,600,247.80
2015-05-05,263.60,265.00,262.00,262.60,200,262.60
2015-05-04,260.00,273.40,260.00,267.20,3200,267.20
2015-05-01,256.50,256.50,256.50,256.50,000,256.50
2015-04-30,260.00,269.80,250.30,256.50,400,256.50
2015-04-29,255.00,273.90,252.10,260.20,3200,260.20
2015-04-28,251.50,260.40,251.50,256.90,900,256.90
2015-04-27,260.20,270.50,242.30,255.50,2100,255.50
2015-04-24,263.50,269.60,253.00,253.80,1600,253.80
2015-04-23,269.40,273.90,269.40,273.90,000,273.90
2015-04-22,270.00,272.40,263.30,265.00,600,265.00
2015-04-21,270.00,274.90,268.00,270.40,900,270.40
2015-04-20,281.00,282.00,266.60,270.20,3300,270.20
2015-04-17,269.80,282.00,269.80,275.50,4500,275.50
2015-04-16,274.30,282.00,269.70,272.40,1700,272.40
2015-04-15,282.00,282.00,270.10,272.60,2900,272.60
2015-04-14,284.90,284.90,284.90,284.90,000,284.90
2015-04-13,290.10,294.20,280.40,284.90,8300,284.90
2015-04-10,290.00,296.00,288.00,292.30,3100,292.30
2015-04-09,288.00,300.10,283.50,291.80,4600,291.80
2015-04-08,291.35,299.00,287.80,295.30,4900,295.30
2015-04-07,275.60,293.00,273.60,289.00,4900,289.00
2015-04-06,265.10,280.00,263.00,272.20,2300,272.20
2015-04-03,263.10,263.10,263.10,263.10,000,263.10
2015-04-02,263.10,263.10,263.10,263.10,000,263.10
2015-04-01,250.60,266.70,248.00,263.10,2800,263.10
2015-03-31,256.10,256.90,246.50,250.30,1800,250.30
2015-03-30,240.00,252.00,238.90,249.60,4200,249.60
2015-03-27,241.30,242.60,230.00,239.90,8400,239.90
2015-03-26,240.00,241.70,233.40,233.80,1800,233.80
2015-03-25,249.00,251.50,240.60,243.00,3300,243.00
2015-03-24,270.00,275.00,242.50,246.40,5500,246.40
2015-03-23,263.00,264.00,255.20,259.10,2600,259.10
2015-03-20,282.60,282.60,257.10,265.40,3700,265.40
2015-03-19,285.50,294.00,276.10,279.10,8500,279.10
2015-03-18,289.00,293.70,285.00,286.40,4600,286.40
2015-03-17,289.10,299.70,280.50,291.00,17200,291.00
2015-03-16,280.70,299.00,273.30,288.50,14700,288.50
2015-03-13,300.70,302.50,275.10,278.50,12800,278.50
2015-03-12,319.70,322.50,291.30,295.60,45100,295.60
2015-03-11,270.00,315.00,270.00,313.90,84100,313.90
