Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,162.00,162.50,158.00,159.00,5200,159.00
2015-07-16,159.50,164.30,159.20,159.60,10900,159.60
2015-07-15,160.00,162.00,159.50,159.90,6200,159.90
2015-07-14,165.70,165.70,160.00,160.50,7500,159.00
2015-07-13,160.00,161.70,159.00,159.80,6700,158.31
2015-07-10,159.50,165.50,157.10,158.30,2800,156.82
2015-07-09,165.00,165.00,159.40,161.20,2800,159.69
2015-07-08,164.70,164.70,159.20,161.30,11200,159.79
2015-07-07,166.50,169.00,163.30,165.00,6300,163.46
2015-07-06,171.50,171.50,161.50,162.80,4300,161.28
2015-07-03,164.50,168.90,160.00,160.90,4000,159.40
2015-07-02,170.00,170.00,166.00,166.20,1500,164.65
2015-07-01,163.50,170.60,163.50,167.60,4700,166.03
2015-06-30,170.00,171.00,161.80,164.40,2900,162.86
2015-06-29,170.00,175.00,161.00,164.40,1700,162.86
2015-06-26,168.00,170.00,166.50,167.50,2700,165.93
2015-06-25,171.00,173.50,167.60,168.60,1600,167.02
2015-06-24,173.40,173.40,166.70,170.50,1600,168.91
2015-06-23,166.50,171.00,166.00,168.70,1400,167.12
2015-06-22,169.10,175.80,164.90,173.60,1500,171.98
2015-06-19,167.00,167.50,166.80,166.90,200,165.34
2015-06-18,165.80,171.50,165.00,169.60,900,168.01
2015-06-17,161.50,168.10,155.10,164.90,1900,163.36
2015-06-16,154.70,163.60,154.70,161.90,600,160.39
2015-06-15,160.00,160.00,152.00,158.20,3100,156.72
2015-06-12,160.00,163.00,158.10,160.00,1900,158.50
2015-06-11,166.90,166.90,160.50,162.20,1900,160.68
2015-06-10,162.20,170.00,162.20,166.90,1300,165.34
2015-06-09,170.00,170.00,162.00,166.00,1700,164.45
2015-06-08,170.90,171.40,169.90,170.00,2000,168.41
2015-06-05,175.60,180.90,173.00,173.50,1200,171.88
2015-06-04,172.00,179.00,163.40,175.60,2400,173.96
2015-06-03,175.70,180.00,170.00,175.30,1100,173.66
2015-06-02,183.00,183.00,177.30,180.40,400,178.71
2015-06-01,180.30,182.90,180.30,181.00,700,179.31
2015-05-29,182.10,185.40,181.50,182.00,700,180.30
2015-05-28,189.10,191.00,181.00,184.40,1300,182.68
2015-05-27,190.10,192.20,185.20,190.90,900,189.12
2015-05-26,192.30,196.50,187.20,193.10,300,191.30
2015-05-25,196.40,196.40,192.80,193.50,600,191.69
2015-05-22,201.00,201.00,191.10,193.50,40100,191.69
2015-05-21,199.10,199.10,192.80,198.20,1300,196.35
2015-05-20,207.50,209.90,199.20,201.90,1500,200.01
2015-05-19,211.70,216.00,209.70,210.40,1400,208.43
2015-05-18,205.00,220.40,205.00,214.30,5600,212.30
2015-05-15,187.00,201.70,186.60,201.70,2000,199.81
2015-05-14,180.80,189.90,180.80,183.40,600,181.69
2015-05-13,181.20,184.00,177.20,182.80,1000,181.09
2015-05-12,185.00,185.00,178.00,179.00,1200,177.33
2015-05-11,186.70,186.70,180.30,181.80,800,180.10
2015-05-08,182.40,187.00,180.00,181.90,1000,180.20
2015-05-07,185.50,188.00,183.10,183.70,1200,181.98
2015-05-06,187.10,187.10,179.00,180.20,1900,178.52
2015-05-05,187.90,193.00,185.10,188.90,5600,187.13
2015-05-04,183.70,192.90,183.40,188.90,1400,187.13
2015-05-01,181.20,181.20,181.20,181.20,000,179.51
2015-04-30,180.00,187.40,177.10,181.20,1100,179.51
2015-04-29,188.50,189.40,181.50,181.90,10700,180.20
2015-04-28,185.90,191.00,182.20,186.20,14400,184.46
2015-04-27,185.30,199.90,177.50,189.10,3100,187.33
2015-04-24,190.00,190.00,183.00,184.60,1200,182.87
2015-04-23,201.10,201.10,192.00,195.20,500,193.38
2015-04-22,202.80,202.90,196.00,198.30,1100,196.45
2015-04-21,206.10,206.10,193.00,200.50,1000,198.63
2015-04-20,215.10,218.00,204.20,208.00,2100,206.06
2015-04-17,235.00,235.00,215.20,219.80,6500,217.75
2015-04-16,236.20,245.40,235.20,236.90,5500,234.69
2015-04-15,245.00,255.70,235.00,238.50,20900,236.27
2015-04-14,246.60,246.60,246.60,246.60,000,244.30
2015-04-13,235.00,269.00,232.60,246.60,40800,244.30
2015-04-10,199.90,226.00,191.70,226.00,27100,223.89
2015-04-09,162.10,188.80,160.00,188.40,11800,186.64
2015-04-08,179.90,179.90,155.80,157.40,10400,155.93
2015-04-07,177.90,178.00,169.00,174.20,6800,172.57
2015-04-06,170.00,178.80,164.50,172.00,4400,170.39
2015-04-03,165.60,165.60,165.60,165.60,000,164.05
2015-04-02,165.60,165.60,165.60,165.60,000,164.05
2015-04-01,156.90,168.70,156.00,165.60,2300,164.05
2015-03-31,147.00,155.00,147.00,153.10,8600,151.67
2015-03-30,145.10,152.90,145.10,148.70,2500,147.31
2015-03-27,145.00,151.00,145.00,148.20,2300,146.81
2015-03-26,151.00,156.00,144.10,146.50,138100,145.13
2015-03-25,155.20,160.00,153.20,154.70,2400,153.25
2015-03-24,165.00,166.90,158.20,163.40,8800,161.87
2015-03-23,170.00,170.00,166.10,167.70,4100,166.13
2015-03-20,173.50,176.60,168.00,168.90,6200,167.32
2015-03-19,177.00,180.00,175.00,177.60,1000,175.94
2015-03-18,183.40,184.80,176.00,176.30,700,174.65
2015-03-17,186.00,187.00,175.00,178.90,3100,177.23
2015-03-16,188.50,188.50,178.20,180.80,1600,179.11
2015-03-13,195.10,200.00,184.20,187.30,2400,185.55
2015-03-12,195.00,201.80,188.70,199.10,14300,197.24
2015-03-11,205.00,206.50,188.00,193.00,7100,191.20
2015-03-10,205.80,209.80,198.00,198.20,53300,196.35
2015-03-09,205.00,209.80,203.20,208.60,400,206.65
2015-03-06,205.40,205.40,205.40,205.40,000,203.48
2015-03-05,205.00,209.80,202.90,205.40,3500,203.48
2015-03-04,205.50,205.50,202.10,203.20,1000,201.30
2015-03-03,209.80,210.50,204.40,205.90,8300,203.98
2015-03-02,209.80,210.00,205.00,207.00,4600,205.07
2015-02-27,209.60,210.00,202.20,203.20,3700,201.30
2015-02-26,209.30,209.30,205.50,205.80,800,203.88
2015-02-25,210.90,212.10,206.00,207.30,1700,205.36
2015-02-24,210.60,212.60,205.90,207.90,9200,205.96
2015-02-23,213.00,213.00,209.40,210.00,400,208.04
2015-02-20,214.20,219.90,206.50,211.70,1400,209.72
2015-02-19,208.90,218.00,205.60,213.00,2700,211.01
2015-02-18,212.10,214.20,205.20,206.30,3700,204.37
2015-02-17,209.90,209.90,209.90,209.90,000,207.94
2015-02-16,208.00,211.50,207.00,209.90,600,207.94
2015-02-13,206.10,210.00,206.10,209.80,100,207.84
2015-02-12,216.00,217.00,209.00,211.05,1400,209.08
2015-02-11,205.20,215.90,205.15,207.35,200,205.41
2015-02-10,213.90,214.85,202.00,208.55,1300,206.60
2015-02-09,214.90,215.00,200.05,202.25,1100,200.36
2015-02-06,208.75,211.85,208.75,209.00,500,207.05
2015-02-05,223.90,223.90,210.00,211.40,4000,209.42
2015-02-04,215.00,219.00,209.40,214.00,1100,212.00
2015-02-03,216.50,222.00,205.10,212.90,3000,210.91
2015-02-02,212.30,218.90,210.00,213.25,4400,211.26
2015-01-30,210.00,214.35,207.00,213.05,900,211.06
2015-01-29,213.05,214.75,210.00,210.05,800,208.09
2015-01-28,215.00,217.00,209.00,210.00,4200,208.04
2015-01-27,211.00,219.90,209.05,209.60,4600,207.64
2015-01-26,213.40,213.40,213.40,213.40,000,211.41
2015-01-23,215.25,219.80,211.50,213.40,1900,211.41
2015-01-22,221.15,221.15,213.10,214.55,4100,212.54
2015-01-21,217.75,223.90,215.50,217.85,6000,215.81
2015-01-20,214.10,223.95,214.10,216.05,800,214.03
2015-01-19,213.10,218.00,213.10,215.95,200,213.93
2015-01-16,216.10,219.50,214.25,219.10,400,217.05
2015-01-15,218.00,223.00,218.00,218.05,400,216.01
2015-01-14,216.10,224.75,210.15,220.65,2900,218.59
2015-01-13,206.20,216.10,206.20,214.95,600,212.94
2015-01-12,212.40,223.80,205.00,210.50,1100,208.53
2015-01-09,217.50,218.35,212.90,213.85,100,211.85
2015-01-08,218.00,220.00,202.00,212.25,800,210.27
2015-01-07,214.55,214.55,211.40,213.00,700,211.01
2015-01-06,227.00,227.00,213.00,217.25,1500,215.22
2015-01-05,223.20,227.00,218.00,219.70,1000,217.65
2015-01-02,218.45,223.75,218.45,221.75,400,219.68
2015-01-01,215.00,216.60,215.00,216.10,100,214.08
2014-12-31,211.00,217.85,210.40,215.80,400,213.78
2014-12-30,218.50,222.80,210.75,217.15,1500,215.12
2014-12-29,212.10,218.10,212.00,216.50,1600,214.48
2014-12-26,211.75,217.90,209.05,211.05,400,209.08
2014-12-25,212.15,212.15,212.15,212.15,000,210.17
2014-12-24,210.40,219.95,210.00,212.15,100,210.17
2014-12-23,215.40,215.40,211.30,211.95,100,209.97
2014-12-22,219.55,219.75,211.95,213.55,300,211.55
2014-12-19,215.00,220.00,213.00,213.90,1300,211.90
2014-12-18,212.55,217.60,211.00,211.80,200,209.82
2014-12-17,208.00,214.25,204.90,211.05,600,209.08
2014-12-16,213.00,213.90,209.00,213.45,600,211.46
2014-12-15,220.00,222.00,214.10,214.35,49300,212.35
2014-12-12,225.00,229.80,221.00,225.00,600,222.90
2014-12-11,223.30,226.00,214.25,224.40,1700,222.30
2014-12-10,226.00,232.70,226.00,230.10,200,227.95
2014-12-09,228.75,229.45,226.00,226.05,1400,223.94
2014-12-08,225.00,231.95,224.40,225.10,500,223.00
2014-12-05,234.55,235.10,221.00,225.80,5000,223.69
2014-12-04,225.85,240.85,225.85,239.95,3000,237.71
2014-12-03,222.15,240.70,222.15,235.90,6400,233.70
2014-12-02,219.50,227.90,219.50,222.80,300,220.72
2014-12-01,212.30,218.65,209.00,213.60,800,211.60
2014-11-28,223.90,223.90,219.70,222.45,100,220.37
2014-11-27,214.00,228.90,212.50,220.75,2100,218.69
2014-11-26,209.00,217.15,209.00,213.00,3200,211.01
2014-11-25,215.10,216.80,212.00,212.55,500,210.56
2014-11-24,216.10,221.80,212.70,215.90,45700,213.88
2014-11-21,222.00,227.45,215.00,216.90,1800,214.87
2014-11-20,222.20,226.00,220.50,220.95,1500,218.89
2014-11-19,230.90,230.90,223.25,225.70,2300,223.59
2014-11-18,228.00,229.00,216.10,226.05,1600,223.94
2014-11-17,225.10,237.90,222.60,230.55,1700,228.40
2014-11-14,225.75,229.05,225.00,225.80,1200,223.69
