Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,9.35,9.45,9.10,9.10,7300,9.10
2015-07-16,9.00,9.00,8.66,8.80,3200,8.80
2015-07-15,9.24,9.28,8.95,9.00,2600,9.00
2015-07-14,9.17,9.17,8.85,9.14,2900,9.14
2015-07-13,9.27,9.28,9.15,9.18,1100,9.18
2015-07-10,8.81,9.00,8.81,8.89,3200,8.89
2015-07-09,8.75,9.24,8.75,8.99,6900,8.99
2015-07-08,9.85,9.85,9.00,9.20,5300,9.20
2015-07-07,9.00,9.95,9.00,9.43,41700,9.43
2015-07-06,8.73,9.00,8.73,9.00,200,9.00
2015-07-03,9.10,9.40,8.71,8.73,9600,8.73
2015-07-02,8.76,9.30,8.26,8.63,10600,8.63
2015-07-01,8.34,8.44,8.07,8.44,10500,8.44
2015-06-30,8.21,8.50,8.20,8.50,1000,8.50
2015-06-29,8.15,8.79,7.99,8.60,2400,8.60
2015-06-26,8.50,8.50,8.15,8.23,6400,8.23
2015-06-25,8.32,8.81,8.30,8.34,5500,8.34
2015-06-24,9.15,9.15,8.56,8.60,2900,8.60
2015-06-23,8.66,8.99,8.66,8.73,9000,8.73
2015-06-22,8.85,9.14,8.75,8.86,18500,8.86
2015-06-19,8.99,8.99,8.62,8.85,100,8.85
2015-06-18,8.75,9.10,8.75,8.97,4800,8.97
2015-06-17,8.11,9.20,8.11,9.20,2200,9.20
2015-06-16,8.70,9.00,8.70,9.00,400,9.00
2015-06-15,8.86,9.10,8.60,8.90,4700,8.90
2015-06-12,8.45,9.00,8.45,8.71,10000,8.71
2015-06-11,8.82,9.45,8.82,8.92,2400,8.92
2015-06-10,8.93,9.00,8.93,9.00,2200,9.00
2015-06-09,9.12,9.25,8.80,8.91,8000,8.91
2015-06-08,8.10,9.50,8.10,9.26,5300,9.26
2015-06-05,8.75,9.15,8.75,9.04,3200,9.04
2015-06-04,8.75,9.49,8.75,9.11,3000,9.11
2015-06-03,9.60,9.60,8.99,9.20,9900,9.20
2015-06-02,9.90,10.40,9.27,9.36,10000,9.36
2015-06-01,9.80,9.80,9.41,9.61,4600,9.61
2015-05-29,9.92,10.89,9.76,10.05,15900,10.05
2015-05-28,9.03,10.15,9.03,9.80,1600,9.80
2015-05-27,9.10,9.50,9.10,9.45,6200,9.45
2015-05-26,9.60,9.90,9.50,9.90,2200,9.90
2015-05-25,9.50,9.98,9.50,9.60,2300,9.60
2015-05-22,10.10,10.10,9.52,9.76,5800,9.76
2015-05-21,10.01,10.10,9.65,10.00,6500,10.00
2015-05-20,11.00,11.00,10.43,10.43,3000,10.43
2015-05-19,10.97,11.60,10.44,10.89,35500,10.89
2015-05-18,9.75,10.42,9.11,10.42,38600,10.42
2015-05-15,9.15,9.15,8.50,8.69,21600,8.69
2015-05-14,8.90,9.50,8.90,9.00,15900,9.00
2015-05-13,9.20,9.20,9.10,9.11,1900,9.11
2015-05-12,9.00,9.50,9.00,9.24,17200,9.24
2015-05-11,9.60,10.15,9.60,9.94,3500,9.94
2015-05-08,8.25,10.40,8.25,9.53,2500,9.53
2015-05-07,9.50,9.55,9.36,9.36,2600,9.36
2015-05-06,8.50,10.37,8.50,9.60,11500,9.60
2015-05-05,10.05,10.10,9.90,9.92,7900,9.92
2015-05-04,10.05,10.80,10.05,10.15,9300,10.15
2015-05-01,10.10,10.10,10.10,10.10,000,10.10
2015-04-30,10.05,10.10,9.90,10.10,1600,10.10
2015-04-29,10.30,10.35,9.90,10.01,3900,10.01
2015-04-28,10.20,10.30,10.05,10.18,3200,10.18
2015-04-27,10.00,10.41,9.80,9.90,13800,9.90
2015-04-24,10.01,11.10,10.01,10.50,5500,10.50
2015-04-23,10.90,10.94,10.65,10.70,1500,10.70
2015-04-22,10.11,10.90,10.11,10.70,3300,10.70
2015-04-21,10.81,11.20,10.70,10.97,2500,10.97
2015-04-20,10.90,11.20,10.80,10.81,3800,10.81
2015-04-17,11.00,11.40,10.90,11.00,2700,11.00
2015-04-16,11.40,11.44,11.00,11.02,5300,11.02
2015-04-15,11.50,11.70,11.36,11.39,3800,11.39
2015-04-14,11.40,11.40,11.40,11.40,000,11.40
2015-04-13,10.80,11.85,10.80,11.40,10200,11.40
2015-04-10,11.85,11.85,11.50,11.64,4800,11.64
2015-04-09,11.65,12.00,11.65,11.85,9700,11.85
2015-04-08,11.49,11.65,11.33,11.45,1400,11.45
2015-04-07,11.90,11.90,11.29,11.34,13100,11.34
2015-04-06,10.70,11.99,10.51,11.62,28400,11.62
2015-04-03,10.59,10.59,10.59,10.59,000,10.59
2015-04-02,10.59,10.59,10.59,10.59,000,10.59
2015-04-01,10.70,10.90,10.20,10.59,10100,10.59
2015-03-31,10.31,10.85,10.31,10.42,5900,10.42
2015-03-30,9.90,10.89,9.90,10.75,14300,10.75
2015-03-27,10.00,10.10,9.70,9.97,13900,9.97
2015-03-26,10.00,10.30,9.90,10.01,4000,10.01
2015-03-25,10.30,10.50,9.91,10.14,16800,10.14
2015-03-24,10.11,10.50,10.11,10.37,24100,10.37
2015-03-23,11.10,11.15,10.36,10.66,5300,10.66
2015-03-20,11.49,11.50,11.10,11.19,7400,11.19
2015-03-19,12.10,12.10,11.30,11.49,92400,11.49
2015-03-18,12.00,12.20,11.65,12.03,10500,12.03
2015-03-17,12.00,12.60,12.00,12.04,18700,12.04
2015-03-16,14.60,14.60,11.70,12.08,29700,12.08
2015-03-13,12.70,13.20,12.12,12.22,14100,12.22
2015-03-12,12.50,12.89,12.50,12.75,5200,12.75
2015-03-11,12.42,12.75,12.41,12.64,5400,12.64
2015-03-10,12.65,12.80,12.42,12.43,12400,12.43
2015-03-09,12.70,12.89,12.35,12.57,16200,12.57
2015-03-06,12.97,12.97,12.97,12.97,000,12.97
2015-03-05,13.20,13.25,12.88,12.97,23600,12.97
2015-03-04,13.00,13.95,13.00,13.32,40300,13.32
2015-03-03,13.20,13.20,12.82,12.93,13500,12.93
2015-03-02,12.70,13.74,12.70,13.26,44900,13.26
2015-02-27,13.29,13.29,12.86,12.94,16900,12.94
2015-02-26,13.30,13.40,12.90,12.95,12300,12.95
2015-02-25,13.29,13.50,12.90,13.02,15000,13.02
2015-02-24,13.30,13.40,12.86,13.00,15600,13.00
2015-02-23,13.90,14.30,13.20,13.39,52100,13.39
2015-02-20,13.10,15.48,12.86,13.73,133100,13.73
2015-02-19,13.12,13.60,12.45,12.90,30000,12.90
2015-02-18,12.70,13.85,12.70,13.40,50900,13.40
2015-02-17,12.80,12.80,12.80,12.80,000,12.80
2015-02-16,12.99,13.20,12.80,12.80,14800,12.80
2015-02-13,13.50,13.50,12.55,12.81,49700,12.81
2015-02-12,14.35,14.35,13.00,13.54,105700,13.54
2015-02-11,11.50,13.59,11.11,13.59,86600,13.59
2015-02-10,11.70,11.99,11.20,11.33,13500,11.33
2015-02-09,12.20,12.39,11.40,11.45,21900,11.45
2015-02-06,12.60,12.79,12.31,12.35,14500,12.35
2015-02-05,13.00,13.10,12.70,12.70,8100,12.70
2015-02-04,14.00,14.00,12.80,12.97,25400,12.97
2015-02-03,13.10,13.80,12.87,13.07,42700,13.07
2015-02-02,14.00,14.00,12.80,13.34,23400,13.34
2015-01-30,13.95,14.10,13.00,13.36,60500,13.36
2015-01-29,11.80,13.18,11.60,13.18,33200,13.18
2015-01-28,13.25,13.25,11.85,11.99,38100,11.99
2015-01-27,13.90,13.90,13.00,13.01,16500,13.01
2015-01-26,13.39,13.39,13.39,13.39,000,13.39
2015-01-23,13.45,13.89,13.21,13.39,16700,13.39
