Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,93.70,96.90,93.70,94.95,38300,94.95
2015-07-16,92.00,94.80,92.00,92.85,16000,92.85
2015-07-15,90.00,93.35,90.00,92.00,21000,92.00
2015-07-14,89.40,91.60,89.05,89.70,5700,89.70
2015-07-13,89.45,90.25,88.75,88.95,6400,88.95
2015-07-10,91.20,91.70,89.00,89.45,8300,89.45
2015-07-09,91.00,92.45,88.25,89.20,11500,89.20
2015-07-08,92.00,94.05,89.70,90.55,21600,90.55
2015-07-07,89.30,98.15,89.30,93.55,100400,93.55
2015-07-06,83.65,90.90,83.25,88.30,48600,88.30
2015-07-03,86.00,86.00,83.50,83.70,12500,83.70
2015-07-02,84.90,86.50,84.25,85.30,16900,85.30
2015-07-01,83.25,85.00,83.25,84.10,11900,84.10
2015-06-30,80.80,86.30,79.95,83.30,77500,83.30
2015-06-29,78.80,80.55,78.30,80.10,13000,80.10
2015-06-26,81.50,83.80,80.70,81.30,13300,81.30
2015-06-25,85.40,85.40,80.80,81.40,11200,81.40
2015-06-24,82.45,83.75,80.70,81.05,22200,81.05
2015-06-23,82.40,84.00,81.35,81.60,23100,81.60
2015-06-22,82.25,83.00,80.85,82.35,8100,82.35
2015-06-19,81.50,82.30,80.05,80.85,6600,80.85
2015-06-18,81.00,84.35,81.00,81.55,22100,81.55
2015-06-17,80.90,81.85,80.20,81.25,5300,81.25
2015-06-16,79.95,81.85,79.35,80.25,17500,80.25
2015-06-15,79.70,80.50,79.35,80.00,13100,80.00
2015-06-12,78.25,80.20,78.25,78.90,6500,78.90
2015-06-11,81.55,81.55,77.35,78.80,2400,78.80
2015-06-10,81.25,82.05,80.85,81.30,6100,81.30
2015-06-09,80.15,80.70,79.50,80.10,9000,80.10
2015-06-08,81.00,84.70,80.60,80.60,7000,80.60
2015-06-05,82.00,83.05,81.00,82.50,18600,82.50
2015-06-04,81.25,82.70,80.80,81.45,4000,81.45
2015-06-03,85.40,85.40,81.35,81.90,6400,81.90
2015-06-02,88.80,89.20,84.70,84.95,3400,84.95
2015-06-01,86.50,89.00,84.00,85.70,7400,85.70
2015-05-29,88.00,88.25,86.10,86.30,6000,86.30
2015-05-28,87.45,91.40,87.15,88.50,17300,88.50
2015-05-27,84.50,87.35,83.90,87.05,9000,87.05
2015-05-26,86.55,87.70,85.00,85.40,4500,85.40
2015-05-25,88.10,88.60,86.65,87.00,6300,87.00
2015-05-22,88.85,89.05,88.10,88.50,2200,88.50
2015-05-21,88.15,89.10,87.20,88.80,3200,88.80
2015-05-20,89.05,90.15,88.00,88.60,14900,88.60
