Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,46.50,47.40,45.60,46.00,47100,46.00
2015-07-16,48.90,48.90,45.70,46.65,118200,46.65
2015-07-15,48.90,49.80,46.25,46.60,250700,46.60
2015-07-14,47.30,47.45,46.25,47.45,372000,47.45
2015-07-13,44.30,44.40,42.20,43.15,181100,43.15
2015-07-10,43.00,45.40,43.00,43.70,210200,43.70
2015-07-09,42.40,43.25,41.55,41.75,40500,41.75
2015-07-08,42.15,43.65,39.70,41.45,78300,41.45
2015-07-07,44.45,45.90,42.00,42.55,128400,42.55
2015-07-06,38.00,43.55,38.00,43.55,176200,43.55
2015-07-03,38.80,40.80,38.15,39.60,68100,39.60
2015-07-02,38.70,39.45,37.85,38.45,71100,38.45
2015-07-01,39.00,40.90,37.80,38.70,135300,38.70
2015-06-30,38.60,40.80,38.60,39.80,700600,39.80
2015-06-29,33.40,37.10,32.50,37.10,134700,37.10
2015-06-26,34.50,34.50,32.70,33.75,60300,33.75
2015-06-25,31.00,34.75,31.00,33.80,83500,33.80
2015-06-24,33.00,35.55,31.80,33.65,262200,33.65
2015-06-23,30.00,34.00,30.00,32.75,627800,32.75
2015-06-22,23.75,28.35,23.75,28.35,111300,28.35
2015-06-19,23.00,23.90,23.00,23.65,32900,23.65
2015-06-18,23.00,23.25,22.90,23.20,3600,23.20
2015-06-17,23.50,23.60,23.00,23.05,11500,23.05
2015-06-16,23.10,23.50,22.80,23.40,4400,23.40
2015-06-15,24.00,24.00,23.05,23.15,20500,23.15
2015-06-12,23.40,24.00,22.75,22.90,21000,22.90
2015-06-11,24.40,24.40,22.80,23.05,8400,23.05
2015-06-10,24.35,25.00,23.70,24.00,21900,24.00
2015-06-09,23.90,24.80,23.15,23.65,35800,23.65
2015-06-08,24.05,24.40,23.10,23.25,10700,23.25
2015-06-05,22.60,24.75,22.60,24.20,24400,24.20
2015-06-04,23.00,25.40,22.70,24.75,62700,24.75
2015-06-03,23.50,23.80,22.35,23.20,52700,23.20
2015-06-02,25.35,25.35,23.10,24.00,76800,24.00
2015-06-01,23.05,25.50,23.05,25.40,129500,25.40
2015-05-29,23.00,23.35,22.80,23.35,7800,23.35
2015-05-28,24.00,24.00,22.85,23.05,6300,23.05
2015-05-27,22.85,23.60,22.85,23.05,13600,23.05
2015-05-26,21.50,23.75,21.50,23.45,16200,23.45
2015-05-25,24.00,24.50,23.15,23.50,18400,23.50
2015-05-22,25.25,25.25,24.40,24.70,47900,24.70
2015-05-21,25.45,26.30,23.70,25.20,269900,25.20
2015-05-20,23.40,25.80,23.15,25.45,770500,25.45
2015-05-19,20.50,21.50,20.50,21.50,286000,21.50
2015-05-18,18.20,18.20,17.90,17.95,27400,17.95
2015-05-15,17.80,18.00,17.80,18.00,8600,18.00
2015-05-14,18.00,18.00,17.75,18.00,8300,18.00
2015-05-13,17.40,18.00,17.40,17.95,34800,17.95
2015-05-12,17.85,17.85,17.50,17.60,1300,17.60
2015-05-11,17.65,18.00,17.65,18.00,20500,18.00
2015-05-08,17.55,18.00,17.40,18.00,1900,18.00
2015-05-07,17.50,17.80,17.20,17.25,6200,17.25
2015-05-06,17.90,17.90,17.30,17.45,12900,17.45
2015-05-05,18.00,18.00,17.55,17.65,8500,17.65
2015-05-04,18.50,18.50,18.15,18.25,4600,18.25
2015-05-01,17.85,17.85,17.85,17.85,000,17.85
2015-04-30,17.80,18.60,17.75,17.85,2100,17.85
2015-04-29,18.00,18.00,18.00,18.00,5000,18.00
2015-04-28,17.75,18.15,17.75,18.00,2500,18.00
2015-04-27,18.35,18.35,17.75,17.85,7100,17.85
2015-04-24,18.80,18.80,18.35,18.35,4100,18.35
2015-04-23,19.50,19.50,18.45,18.50,21600,18.50
2015-04-22,19.05,19.20,18.85,18.90,9300,18.90
2015-04-21,19.50,19.50,18.95,19.00,11100,19.00
2015-04-20,20.00,20.00,19.50,19.70,18000,19.70
2015-04-17,19.85,20.00,19.60,19.85,26200,19.85
2015-04-16,22.10,22.10,19.75,20.05,14500,20.05
2015-04-15,21.45,22.10,21.10,21.45,14100,21.45
2015-04-14,21.60,21.60,21.60,21.60,000,21.60
2015-04-13,20.25,21.80,20.25,21.60,26700,21.60
2015-04-10,19.40,20.45,19.10,19.95,59600,19.95
2015-04-09,19.05,19.25,18.90,19.00,19400,19.00
2015-04-08,19.25,19.25,18.80,19.00,21000,19.00
2015-04-07,19.00,19.10,18.75,18.75,10700,18.75
2015-04-06,19.35,19.35,18.85,18.95,11200,18.95
2015-04-03,19.05,19.05,19.05,19.05,000,19.05
2015-04-02,19.05,19.05,19.05,19.05,000,19.05
2015-04-01,19.05,19.30,18.80,19.05,13500,19.05
2015-03-31,18.70,19.05,18.70,19.00,2700,19.00
2015-03-30,19.00,19.30,19.00,19.05,2500,19.05
2015-03-27,18.80,19.35,18.50,18.80,8500,18.80
2015-03-26,19.90,19.90,18.95,19.00,13900,19.00
2015-03-25,19.00,19.50,18.90,19.00,9600,19.00
2015-03-24,19.95,19.95,19.40,19.50,9400,19.50
2015-03-23,19.70,20.05,19.50,19.60,3400,19.60
2015-03-20,19.90,19.90,19.65,19.80,2500,19.80
2015-03-19,20.20,20.40,20.00,20.00,9100,20.00
2015-03-18,20.00,20.25,19.90,20.25,12100,20.25
2015-03-17,20.60,20.60,20.00,20.20,10300,20.20
2015-03-16,20.00,20.25,19.90,20.25,7500,20.25
2015-03-13,20.50,20.50,19.90,20.15,12000,20.15
2015-03-12,20.00,20.70,19.90,20.50,11400,20.50
2015-03-11,20.00,20.05,20.00,20.05,1000,20.05
2015-03-10,20.25,20.25,20.00,20.00,10000,20.00
2015-03-09,20.95,21.00,20.00,20.15,9400,20.15
2015-03-06,20.30,20.30,20.30,20.30,000,20.30
2015-03-05,20.05,20.40,20.05,20.30,4200,20.30
2015-03-04,20.95,21.25,20.00,20.20,10300,20.20
2015-03-03,22.00,22.00,20.00,20.85,74500,20.85
2015-03-02,20.55,20.55,19.75,20.50,20100,20.50
2015-02-27,19.90,21.85,19.90,21.10,37900,21.10
2015-02-26,20.25,20.35,20.25,20.35,300,20.35
