Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,697.50,707.00,675.00,689.75,1900,689.75
2015-07-16,668.00,700.00,668.00,683.25,15200,683.25
2015-07-15,652.25,662.00,650.00,653.75,7300,653.75
2015-07-14,650.00,659.00,646.00,648.25,800,648.25
2015-07-13,645.00,654.75,640.00,646.50,400,646.50
2015-07-10,660.25,668.00,635.00,639.75,1500,639.75
2015-07-09,670.00,670.00,650.50,660.00,600,660.00
2015-07-08,675.00,677.00,651.00,658.75,2400,658.75
2015-07-07,650.00,707.00,641.00,684.75,9700,684.75
2015-07-06,630.00,646.00,623.50,643.50,2200,643.50
2015-07-03,635.75,640.00,630.00,630.25,700,630.25
2015-07-02,632.50,649.00,630.00,631.25,3500,631.25
2015-07-01,622.25,644.00,622.25,640.50,2400,640.50
2015-06-30,632.25,641.00,614.00,622.25,2200,622.25
2015-06-29,615.00,643.75,610.00,631.75,1100,631.75
2015-06-26,660.00,663.25,642.00,642.25,1500,642.25
2015-06-25,651.25,657.00,645.00,655.25,000,655.25
2015-06-24,651.00,660.00,643.25,650.50,200,650.50
2015-06-23,643.50,665.00,643.50,651.00,900,651.00
2015-06-22,645.00,658.75,639.50,654.75,1600,654.75
2015-06-19,650.00,670.00,644.00,649.75,1300,649.75
2015-06-18,650.00,660.00,648.00,650.00,700,650.00
2015-06-17,624.75,638.00,624.75,632.25,200,632.25
2015-06-16,635.00,635.00,600.00,612.00,1300,612.00
2015-06-15,625.00,635.00,609.00,622.25,400,622.25
2015-06-12,605.00,634.00,599.00,623.00,15300,623.00
2015-06-11,640.00,640.00,607.25,610.00,12600,610.00
2015-06-10,622.00,638.75,616.00,632.50,200,632.50
2015-06-09,620.00,630.00,606.00,613.00,900,613.00
2015-06-08,643.50,643.50,615.75,620.00,1100,620.00
2015-06-05,630.00,642.00,625.25,631.00,700,631.00
2015-06-04,644.00,648.00,635.00,640.00,400,640.00
2015-06-03,644.00,652.00,616.00,635.00,1200,635.00
