Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,989.90,1003.95,989.00,1002.00,198500,1002.00
2015-07-16,985.50,991.20,979.10,987.80,98700,987.80
2015-07-15,971.90,985.20,969.00,982.65,135000,982.65
2015-07-14,955.00,973.60,945.35,970.10,268100,970.10
2015-07-13,940.00,954.45,934.10,950.05,199300,950.05
2015-07-10,950.00,951.85,932.55,937.00,154000,937.00
2015-07-09,960.00,966.95,934.00,937.70,325500,937.70
2015-07-08,985.00,985.00,955.00,957.20,335200,957.20
2015-07-07,990.00,990.75,980.05,982.80,86300,982.80
2015-07-06,980.00,988.25,975.50,983.50,137500,983.50
2015-07-03,987.00,993.00,983.55,989.95,97100,989.95
2015-07-02,1000.00,1000.40,985.15,988.15,123800,988.15
2015-07-01,990.00,1000.00,986.15,997.70,92200,997.70
2015-06-30,993.00,993.00,983.10,985.35,130900,985.35
2015-06-29,988.00,999.00,980.00,990.25,214700,990.25
2015-06-26,995.00,1011.75,995.00,1006.10,177100,1006.10
2015-06-25,1000.00,1003.00,987.85,991.15,187800,991.15
2015-06-24,1010.00,1013.40,991.60,995.10,151800,995.10
2015-06-23,1025.00,1028.00,999.10,1001.15,219700,1001.15
2015-06-22,1009.00,1028.80,997.50,1024.40,189500,1024.40
2015-06-19,1005.00,1010.30,992.50,996.75,105600,996.75
2015-06-18,1000.25,1000.90,996.00,1000.90,98300,1000.90
2015-06-17,1007.00,1020.40,993.30,995.80,200600,995.80
2015-06-16,994.00,1002.00,985.00,999.45,124500,999.45
2015-06-15,980.00,998.85,968.50,991.10,352500,991.10
2015-06-12,1001.00,1012.25,977.75,988.325,728800,479.4125
2015-06-11,1017.50,1022.50,998.525,1000.92,438100,471.2123
2015-06-10,1005.00,1019.85,993.00,1013.10,212100,476.9464
2015-06-09,1006.50,1006.50,992.55,996.275,325700,469.0255
2015-06-08,2012.00,2020.24,1990.00,2000.24,112100,941.6713
2015-06-05,2039.00,2044.00,2009.16,2012.10,239800,947.2548
2015-06-04,2031.00,2056.6001,2014.34,2028.0601,172800,954.7685
2015-06-03,2020.00,2060.00,2008.24,2023.10,348300,952.4333
2015-06-02,2045.00,2054.80,2005.10,2008.80,277500,945.7012
2015-06-01,2030.00,2063.00,2023.30,2045.70,158100,963.0729
2015-05-29,2017.00,2053.50,2003.76,2022.40,373100,952.1038
2015-05-28,1980.00,2027.00,1976.30,2000.10,201900,941.6054
2015-05-27,2015.00,2015.00,1953.75,1969.05,275600,926.9878
2015-05-26,2021.00,2031.0601,2000.50,2009.30,239400,945.9366
2015-05-25,2050.00,2056.8999,2007.00,2018.00,168200,950.0324
2015-05-22,2045.00,2049.3999,2030.0601,2041.80,344500,961.237
2015-05-21,2049.00,2061.00,2035.00,2043.34,108200,961.9619
2015-05-20,2033.5601,2051.00,2033.5601,2044.70,136200,962.6022
2015-05-19,1989.00,2032.70,1984.40,2018.16,184700,950.1077
2015-05-18,1964.20,1998.00,1962.05,1991.75,234400,937.6744
2015-05-15,1935.10,1965.00,1935.00,1959.75,170300,922.6095
2015-05-14,1960.00,1960.00,1910.00,1934.55,265200,910.7459
2015-05-13,1954.00,1965.00,1932.60,1955.95,3353300,920.8205
2015-05-12,1998.90,1998.90,1941.25,1949.60,366800,917.8311
2015-05-11,1965.10,2000.00,1954.00,1992.00,242600,937.7921
2015-05-08,1963.90,1968.60,1945.80,1958.00,136200,921.7856
2015-05-07,1928.80,1967.00,1911.10,1942.80,256000,914.6298
2015-05-06,1979.00,1980.00,1917.50,1922.50,853800,905.073
2015-05-05,2000.00,2005.00,1955.00,1966.75,480900,925.905
2015-05-04,1961.00,1999.00,1950.00,1994.30,208100,938.8749
2015-05-01,1942.40,1942.40,1942.40,1942.40,000,914.4415
2015-04-30,1960.00,1960.15,1932.65,1942.40,699900,914.4415
2015-04-29,1965.00,1972.00,1938.55,1961.60,314100,923.4804
2015-04-28,1988.00,1988.00,1953.00,1961.35,490300,923.3627
2015-04-27,2001.00,2010.00,1950.00,1986.00,685300,934.9675
2015-04-24,2131.00,2150.00,1982.00,1996.25,3042100,939.7929
2015-04-23,2145.30,2145.30,2112.50,2122.5601,213000,999.2571
2015-04-22,2146.1399,2175.00,2100.24,2138.4399,158300,1006.733
2015-04-21,2138.00,2152.4399,2119.80,2144.3999,331500,1009.5388
2015-04-20,2181.00,2184.00,2117.24,2133.24,1607900,1004.285
2015-04-17,2188.00,2195.00,2153.4399,2181.9399,65100,1027.2119
2015-04-16,2215.00,2230.00,2156.24,2191.1001,148900,1031.5243
2015-04-15,2238.8999,2242.8999,2195.50,2213.20,88400,1041.9285
2015-04-14,2239.00,2239.00,2239.00,2239.00,000,1054.0746
2015-04-13,2235.00,2244.00,2217.6001,2239.00,67700,1054.0746
2015-04-10,2210.00,2239.00,2210.00,2233.30,92800,1051.3912
2015-04-09,2210.00,2216.3999,2187.00,2211.3999,68000,1041.081
2015-04-08,2175.50,2206.8601,2174.00,2200.80,79500,1036.0908
2015-04-07,2180.00,2183.9399,2141.80,2161.24,140100,1017.4668
2015-04-06,2178.00,2185.00,2162.00,2177.20,116100,1024.9804
2015-04-03,2172.24,2172.24,2172.24,2172.24,000,1022.6454
2015-04-02,2172.24,2172.24,2172.24,2172.24,000,1022.6454
2015-04-01,2209.3999,2209.3999,2160.00,2172.24,316200,1022.6454
2015-03-31,2243.6001,2272.00,2204.8601,2216.6001,153000,1043.5292
2015-03-30,2214.00,2244.0601,2195.4399,2229.80,115900,1049.7434
2015-03-27,2164.00,2225.00,2160.00,2201.9399,161500,1036.6275
2015-03-26,2212.00,2213.50,2130.00,2144.4399,226300,1009.5577
2015-03-25,2217.30,2227.70,2200.00,2217.70,146400,1044.047
2015-03-24,2230.00,2252.00,2206.24,2212.1001,109400,1041.4107
2015-03-23,2252.00,2275.00,2226.8601,2232.3999,720600,1050.9674
2015-03-20,2233.00,2269.50,2233.00,2258.9399,157400,1063.4619
2015-03-19,2227.00,2244.1399,2224.20,2229.8999,1021400,1049.7904
2015-03-18,2250.00,2260.76,2220.00,2230.20,83100,1049.9317
2015-03-17,2260.20,2278.50,2218.20,2241.9399,169700,1055.4586
2015-03-16,2210.00,2282.00,2210.00,2267.00,154300,1067.2564
2015-03-13,2226.1001,2228.80,2194.3999,2216.4399,111300,1043.4538
2015-03-12,2184.8999,2226.3601,2177.50,2217.80,172500,1044.0941
2015-03-11,2190.00,2240.00,2172.6001,2183.6001,254100,1027.9935
