Date,Open,High,Low,Close,Volume,Adj Close
2015-04-14,1030.95,1030.95,1030.95,1030.95,000,1030.95
2015-04-13,1017.35,1041.35,1009.70,1030.95,5400,1030.95
2015-04-10,1030.00,1030.00,1013.70,1020.15,9600,1020.15
2015-04-09,992.00,1037.80,983.00,1026.05,69500,1026.05
2015-04-08,999.10,1004.00,982.00,986.90,6600,986.90
2015-04-07,1003.05,1013.80,983.40,990.60,5100,990.60
2015-04-06,961.35,1004.00,961.35,999.45,9500,999.45
2015-04-03,976.65,976.65,976.65,976.65,000,976.65
2015-04-02,976.65,976.65,976.65,976.65,000,976.65
2015-04-01,940.00,980.15,939.05,976.65,7100,976.65
2015-03-31,936.95,943.55,925.90,935.70,1700,935.70
2015-03-30,932.95,938.05,925.95,934.00,1300,934.00
2015-03-27,923.00,931.85,913.00,922.65,3900,922.65
2015-03-26,947.85,954.85,908.50,923.30,2200,923.30
2015-03-25,955.00,958.25,940.05,942.00,4600,942.00
2015-03-24,950.95,960.00,940.60,949.15,11600,949.15
2015-03-23,945.00,959.00,938.00,951.60,10800,951.60
2015-03-20,938.75,957.00,930.20,950.90,5000,950.90
2015-03-19,960.00,969.90,934.40,940.25,4800,940.25
2015-03-18,945.00,957.60,939.10,954.60,4000,954.60
2015-03-17,940.85,952.35,931.10,948.75,7400,948.75
2015-03-16,949.50,949.50,924.00,933.30,5300,933.30
2015-03-13,973.00,985.00,945.35,951.45,5500,951.45
2015-03-12,976.60,982.70,957.05,967.65,11800,967.65
2015-03-11,951.00,977.80,945.10,970.10,16500,970.10
2015-03-10,958.00,968.05,932.00,951.70,10700,951.70
2015-03-09,993.50,993.50,954.45,959.75,11900,959.75
2015-03-06,998.55,998.55,998.55,998.55,000,998.55
2015-03-05,1001.50,1008.00,993.10,998.55,115600,998.55
2015-03-04,1012.00,1027.00,991.15,997.20,96800,997.20
2015-03-03,1005.35,1015.00,996.60,999.00,10800,999.00
2015-03-02,1005.00,1021.90,999.40,1008.90,24200,1008.90
2015-02-27,930.00,954.10,930.00,950.80,5900,950.80
2015-02-26,937.00,955.70,934.00,943.95,8200,943.95
2015-02-25,948.40,950.85,936.80,944.30,16500,944.30
2015-02-24,923.95,941.15,921.00,937.20,78200,937.20
2015-02-23,931.20,945.00,918.65,924.00,24300,924.00
2015-02-20,921.85,932.00,910.30,914.20,4900,914.20
2015-02-19,913.50,930.00,909.05,925.10,9500,925.10
2015-02-18,908.00,923.00,904.05,914.15,11700,914.15
2015-02-17,914.00,914.00,914.00,914.00,000,914.00
