Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,10.70,11.40,10.70,11.10,1800,11.10
2015-07-16,11.30,11.40,11.00,11.00,2100,11.00
2015-07-15,11.99,11.99,11.11,11.36,2400,11.36
2015-07-14,11.70,11.98,11.22,11.49,1600,11.49
2015-07-13,11.49,11.49,11.40,11.49,500,11.49
2015-07-10,11.48,11.48,11.48,11.48,100,11.48
2015-07-09,11.30,11.50,11.30,11.49,100,11.49
2015-07-08,11.49,11.49,10.55,11.36,1600,11.36
2015-07-07,11.49,11.49,10.67,11.48,100,11.48
2015-07-06,11.48,11.50,11.10,11.44,1000,11.44
2015-07-03,11.45,11.50,10.91,11.46,300,11.46
2015-07-02,11.27,11.30,11.10,11.10,300,11.10
2015-07-01,10.52,11.49,10.52,11.31,1000,11.31
2015-06-30,11.00,11.20,10.70,11.15,1400,11.15
2015-06-29,10.55,11.46,10.55,11.31,600,11.31
2015-06-26,11.43,11.44,10.60,10.85,900,10.85
2015-06-25,12.40,12.40,11.20,11.37,200,11.37
2015-06-24,11.10,11.28,11.10,11.28,700,11.28
2015-06-23,10.75,11.38,10.75,11.23,200,11.23
2015-06-22,11.00,11.33,10.73,11.27,600,11.27
2015-06-19,11.48,11.48,10.77,11.29,100,11.29
2015-06-18,11.48,11.48,10.55,11.08,600,11.08
2015-06-17,11.30,11.30,11.06,11.13,3000,11.13
2015-06-16,11.05,11.13,11.05,11.13,700,11.13
2015-06-15,11.40,11.40,10.55,11.28,600,11.28
2015-06-12,11.49,11.49,10.47,10.98,7000,10.98
2015-06-11,11.25,11.49,10.76,10.76,700,10.76
2015-06-10,11.50,11.50,11.00,11.20,200,11.20
2015-06-09,11.20,11.45,10.81,11.39,600,11.39
2015-06-08,11.20,11.20,11.20,11.20,000,11.20
2015-06-05,11.24,11.50,11.00,11.20,000,11.20
2015-06-04,11.09,11.20,10.80,11.08,2800,11.08
2015-06-03,10.75,11.21,10.75,11.11,2800,11.11
2015-06-02,10.78,11.20,10.78,11.20,1100,11.20
2015-06-01,11.40,11.40,10.80,11.20,4100,11.20
2015-05-29,11.47,11.49,11.20,11.24,1300,11.24
2015-05-28,11.00,11.00,11.00,11.00,000,11.00
2015-05-27,11.00,11.00,11.00,11.00,500,11.00
2015-05-26,11.30,11.30,11.30,11.30,000,11.30
2015-05-25,10.76,11.24,10.75,10.83,2100,10.83
2015-05-22,11.45,11.70,11.00,11.34,11000,11.34
2015-05-21,11.00,11.50,10.75,11.01,1900,11.01
2015-05-20,11.15,11.50,10.90,10.92,900,10.92
2015-05-19,11.10,11.30,10.91,10.99,300,10.99
2015-05-18,11.00,11.30,11.00,11.30,600,11.30
2015-05-15,11.00,11.30,10.77,11.27,900,11.27
2015-05-14,11.01,11.30,11.01,11.30,2900,11.30
2015-05-13,10.80,11.50,10.80,11.30,1500,11.30
2015-05-12,10.75,11.40,10.75,11.33,6900,11.33
2015-05-11,11.00,11.20,10.75,11.12,5300,11.12
2015-05-08,11.00,11.05,10.75,10.77,3800,10.77
2015-05-07,10.76,11.00,10.76,10.84,300,10.84
2015-05-06,10.90,11.10,10.80,11.03,2100,11.03
2015-05-05,10.75,11.20,10.75,11.00,700,11.00
2015-05-04,10.75,11.10,10.75,10.99,500,10.99
2015-05-01,11.00,11.00,11.00,11.00,000,11.00
2015-04-30,11.00,11.10,10.90,11.00,1400,11.00
2015-04-29,11.00,11.10,11.00,11.10,1000,11.10
2015-04-28,10.85,11.10,10.85,10.95,500,10.95
2015-04-27,11.00,11.20,10.75,10.94,4700,10.94
2015-04-24,11.10,11.35,11.06,11.35,5500,11.35
2015-04-23,11.00,11.70,11.00,11.40,191100,11.40
2015-04-22,11.00,11.37,11.00,11.13,3600,11.13
2015-04-21,11.00,11.30,11.00,11.30,1400,11.30
2015-04-20,11.00,11.35,11.00,11.11,263100,11.11
2015-04-17,11.03,11.42,11.03,11.35,4700,11.35
2015-04-16,11.00,11.34,11.00,11.34,4300,11.34
2015-04-15,10.90,11.55,10.90,11.21,462500,11.21
2015-04-14,11.25,11.25,11.25,11.25,000,11.25
2015-04-13,11.10,11.35,11.10,11.25,5400,11.25
2015-04-10,11.00,11.34,11.00,11.07,533100,11.07
2015-04-09,11.50,11.50,11.05,11.20,7700,11.20
2015-04-08,11.02,11.65,11.00,11.28,464500,11.28
2015-04-07,11.28,11.72,11.00,11.39,12200,11.39
2015-04-06,11.00,11.73,11.00,11.44,26500,11.44
2015-04-03,10.87,10.87,10.87,10.87,000,10.87
2015-04-02,10.87,10.87,10.87,10.87,000,10.87
2015-04-01,10.87,10.87,10.87,10.87,100,10.87
2015-03-31,11.30,11.74,11.15,11.16,600,11.16
2015-03-30,10.75,12.00,10.75,11.55,26300,11.55
2015-03-27,10.90,11.25,10.52,10.68,14200,10.68
2015-03-26,11.75,11.75,10.85,11.03,10200,11.03
2015-03-25,10.81,11.89,10.81,11.04,115600,11.04
2015-03-24,10.81,11.70,10.75,11.53,70300,11.53
2015-03-23,10.85,11.67,10.75,10.76,1500,10.76
2015-03-20,10.80,11.80,10.80,11.39,110700,11.39
2015-03-19,10.86,11.25,10.76,10.85,5700,10.85
2015-03-18,11.89,11.90,10.75,11.21,162700,11.21
2015-03-17,11.26,12.00,10.75,11.14,52500,11.14
2015-03-16,11.25,11.95,11.25,11.82,1400,11.82
2015-03-13,11.75,12.05,11.40,11.42,3200,11.42
2015-03-12,11.60,11.98,11.60,11.94,1900,11.94
2015-03-11,11.70,12.20,11.57,11.93,9300,11.93
2015-03-10,11.49,12.50,11.30,11.93,146000,11.93
2015-03-09,11.50,11.80,11.31,11.31,5100,11.31
2015-03-06,11.43,11.43,11.43,11.43,000,11.43
2015-03-05,11.10,11.70,11.10,11.43,8000,11.43
2015-03-04,11.40,11.78,11.30,11.40,12700,11.40
2015-03-03,11.95,11.95,11.05,11.58,10500,11.58
2015-03-02,10.75,11.45,10.60,11.11,164100,11.11
2015-02-27,12.39,12.50,11.00,11.23,77200,11.23
2015-02-26,11.36,11.98,11.31,11.98,1500,11.98
2015-02-25,12.90,12.90,11.75,11.76,42500,11.76
2015-02-24,10.50,12.97,10.50,12.58,550400,12.58
2015-02-23,11.60,11.93,10.80,10.81,71500,10.81
2015-02-20,11.15,11.69,11.11,11.36,112200,11.36
2015-02-19,11.15,11.88,11.15,11.44,71800,11.44
2015-02-18,11.50,11.95,11.15,11.27,214400,11.27
2015-02-17,11.72,11.72,11.72,11.72,000,11.72
2015-02-16,11.00,11.99,11.00,11.72,115300,11.72
2015-02-13,11.00,11.48,11.00,11.00,226000,11.00
2015-02-12,10.87,11.50,10.87,11.50,100400,11.50
2015-02-11,10.50,11.75,10.50,11.22,406700,11.22
2015-02-10,11.00,11.72,10.75,10.88,14900,10.88
2015-02-09,11.50,11.70,11.05,11.08,6500,11.08
2015-02-06,11.53,12.00,11.52,11.80,1100,11.80
2015-02-05,11.66,12.20,11.66,12.20,1100,12.20
