Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,507.00,512.00,490.10,498.50,25400,498.50
2015-07-16,506.00,521.70,495.00,498.60,21800,498.60
2015-07-15,522.70,525.40,503.00,506.40,16800,506.40
2015-07-14,502.90,545.90,502.00,515.70,37300,515.70
2015-07-13,507.80,512.00,480.00,503.90,22700,503.90
2015-07-10,526.00,526.00,493.60,504.80,19200,504.80
2015-07-09,507.00,533.50,481.00,511.20,53100,511.20
2015-07-08,555.00,570.70,507.80,509.60,80400,509.60
2015-07-07,588.00,600.00,541.00,565.90,92600,565.90
2015-07-06,494.80,588.60,487.60,586.20,229900,586.20
2015-07-03,412.00,491.60,412.00,490.50,97900,490.50
2015-07-02,398.50,415.50,382.40,409.70,47500,409.70
2015-07-01,369.90,398.60,360.00,392.70,91400,392.70
2015-06-30,355.30,372.00,355.30,362.40,11600,362.40
2015-06-29,344.80,361.00,344.80,355.30,10000,355.30
2015-06-26,371.30,372.30,360.30,362.10,5900,362.10
2015-06-25,377.00,378.10,366.00,370.60,7900,370.60
2015-06-24,362.00,384.30,362.00,368.10,21900,368.10
2015-06-23,382.40,382.40,355.00,360.20,27700,360.20
2015-06-22,345.00,379.80,345.00,377.00,45200,377.00
2015-06-19,338.00,359.20,336.10,345.30,23500,345.30
2015-06-18,332.00,348.00,330.10,335.90,41800,335.90
2015-06-17,307.10,335.30,307.10,335.30,58300,335.30
2015-06-16,307.50,311.40,296.80,304.90,18400,304.90
2015-06-15,286.00,312.00,280.00,305.70,20500,305.70
2015-06-12,292.00,293.00,286.30,287.60,3500,287.60
2015-06-11,295.00,300.70,286.00,290.00,15200,290.00
2015-06-10,295.20,306.70,291.30,294.30,5700,294.30
2015-06-09,295.00,299.60,289.40,290.70,16900,290.70
2015-06-08,298.70,314.00,295.50,298.00,13200,298.00
2015-06-05,296.00,310.80,290.50,301.60,13700,301.60
2015-06-04,297.80,298.90,283.00,295.00,11900,295.00
2015-06-03,301.30,302.20,280.50,289.70,16800,289.70
2015-06-02,333.00,334.40,301.60,306.80,16500,306.80
2015-06-01,316.00,335.00,309.20,327.00,64100,327.00
2015-05-29,285.30,319.80,285.10,313.30,98200,313.30
2015-05-28,285.30,295.50,285.00,290.00,22000,290.00
2015-05-27,294.40,298.00,266.20,287.50,105700,287.50
2015-05-26,290.00,301.20,286.00,295.70,61300,295.70
2015-05-25,273.70,295.80,270.80,289.80,39700,289.80
2015-05-22,270.20,284.00,269.00,269.40,9300,269.40
2015-05-21,274.00,276.00,268.00,269.20,12800,269.20
2015-05-20,267.30,293.00,266.00,277.30,41700,277.30
2015-05-19,281.60,281.60,263.00,266.40,12000,266.40
2015-05-18,276.90,292.00,261.70,275.90,18600,275.90
2015-05-15,261.90,269.90,258.20,269.90,58100,269.90
2015-05-14,234.70,245.40,228.80,245.40,7700,245.40
2015-05-13,223.10,232.30,223.00,223.10,3100,223.10
2015-05-12,233.20,234.00,221.00,223.10,5200,223.10
2015-05-11,230.00,242.00,230.00,241.20,4300,241.20
2015-05-08,210.10,240.00,210.00,228.90,7300,228.90
2015-05-07,222.00,228.20,220.00,221.90,4800,221.90
2015-05-06,245.00,249.70,225.00,228.50,5500,228.50
2015-05-05,245.00,250.00,242.10,246.60,2900,246.60
2015-05-04,247.70,256.30,244.50,250.70,5300,250.70
2015-05-01,241.50,241.50,241.50,241.50,000,241.50
2015-04-30,235.00,246.00,230.00,241.50,3600,241.50
2015-04-29,234.00,241.00,227.00,237.00,3400,237.00
2015-04-28,245.00,245.00,227.60,230.60,12700,230.60
2015-04-27,250.00,250.00,239.40,239.50,9300,239.50
2015-04-24,256.20,259.90,252.00,252.00,12200,252.00
2015-04-23,280.60,280.60,263.50,265.20,13600,265.20
2015-04-22,265.20,279.70,257.50,277.30,34800,277.30
2015-04-21,262.00,268.50,254.00,266.40,17900,266.40
2015-04-20,255.00,267.00,248.20,255.80,8200,255.80
2015-04-17,259.00,265.00,249.40,255.40,17500,255.40
2015-04-16,260.10,266.80,258.60,259.80,13400,259.80
