Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,9.07,9.60,9.06,9.55,36600,9.55
2015-07-16,9.25,9.39,9.11,9.14,11900,9.14
2015-07-15,9.05,9.50,9.05,9.14,30600,9.14
2015-07-14,9.05,9.35,9.04,9.10,4600,9.10
2015-07-13,9.20,9.35,9.10,9.13,21100,9.13
2015-07-10,9.75,9.75,9.13,9.27,12100,9.27
2015-07-09,9.49,9.78,9.10,9.20,71300,9.20
2015-07-08,9.00,9.48,8.99,9.19,20700,9.19
2015-07-07,9.19,9.30,9.05,9.14,33100,9.14
2015-07-06,8.21,9.39,8.21,9.20,62000,9.20
2015-07-03,8.60,9.05,8.60,8.85,9200,8.85
2015-07-02,8.90,8.90,8.68,8.71,5400,8.71
2015-07-01,9.00,9.00,8.00,8.73,10000,8.73
2015-06-30,8.51,8.90,8.50,8.88,2700,8.88
2015-06-29,8.21,8.79,8.21,8.55,5600,8.55
2015-06-26,8.97,9.18,8.81,8.88,25100,8.88
2015-06-25,9.00,9.00,8.75,8.96,9600,8.96
2015-06-24,9.10,9.10,8.81,8.92,7600,8.92
2015-06-23,9.00,9.08,8.80,8.87,7000,8.87
2015-06-22,8.81,9.14,8.81,9.01,8500,9.01
2015-06-19,8.94,9.00,8.56,8.96,22700,8.96
2015-06-18,8.99,8.99,8.60,8.60,23600,8.60
2015-06-17,8.55,8.80,8.41,8.67,11400,8.67
2015-06-16,8.16,8.35,8.16,8.34,11000,8.34
2015-06-15,8.16,8.45,8.16,8.40,8400,8.40
2015-06-12,8.14,8.24,8.07,8.11,15000,8.11
2015-06-11,8.00,8.35,8.00,8.06,13800,8.06
2015-06-10,8.01,8.33,8.00,8.09,21900,8.09
2015-06-09,8.30,8.30,8.00,8.14,6900,8.14
2015-06-08,8.90,8.90,8.20,8.20,19800,8.20
2015-06-05,8.30,8.80,8.30,8.52,9200,8.52
2015-06-04,8.85,8.85,8.29,8.39,11200,8.39
2015-06-03,8.70,8.86,8.00,8.50,41500,8.50
2015-06-02,9.10,9.10,8.82,9.05,11400,9.05
2015-06-01,8.80,9.00,8.80,8.99,13900,8.99
2015-05-29,8.69,9.20,8.69,9.20,20200,9.20
2015-05-28,8.88,8.88,8.65,8.66,3700,8.66
2015-05-27,8.80,8.80,8.65,8.70,9500,8.70
2015-05-26,8.89,8.89,8.72,8.73,4400,8.73
2015-05-25,8.72,8.90,8.70,8.74,20600,8.74
2015-05-22,8.85,8.95,8.79,8.90,9400,8.90
2015-05-21,8.80,9.00,8.80,8.88,9700,8.88
2015-05-20,9.45,9.45,8.83,8.95,13300,8.95
2015-05-19,9.25,9.25,9.01,9.03,17300,9.03
2015-05-18,9.00,9.19,9.00,9.15,16900,9.15
2015-05-15,8.85,9.50,8.85,9.22,37300,9.22
2015-05-14,8.71,9.05,8.71,9.00,14100,9.00
2015-05-13,9.05,9.05,8.70,8.79,21100,8.79
2015-05-12,9.01,9.01,8.70,8.81,13400,8.81
2015-05-11,9.55,9.55,9.05,9.11,19900,9.11
2015-05-08,9.06,9.38,9.06,9.19,84800,9.19
2015-05-07,9.10,9.28,8.85,8.96,28900,8.96
2015-05-06,9.38,9.38,9.00,9.12,36400,9.12
2015-05-05,9.25,9.60,9.20,9.21,36200,9.21
2015-05-04,9.54,9.60,9.10,9.26,75400,9.26
2015-05-01,9.23,9.23,9.23,9.23,000,9.23
2015-04-30,9.30,9.35,9.12,9.23,37100,9.23
2015-04-29,9.80,9.99,9.17,9.34,55600,9.34
