Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,26.30,26.40,25.20,25.30,63700,25.30
2015-07-16,27.00,27.20,26.05,26.20,58500,26.20
2015-07-15,27.60,28.20,26.60,26.90,131300,26.90
2015-07-14,28.60,29.10,26.55,26.90,675000,26.90
2015-07-13,22.50,26.90,22.50,26.45,495400,26.45
2015-07-10,23.00,23.15,22.35,22.45,32700,22.45
2015-07-09,23.00,23.40,22.45,22.70,36800,22.70
2015-07-08,23.00,23.70,22.50,22.70,37500,22.70
2015-07-07,23.55,23.90,23.10,23.40,35200,23.40
2015-07-06,23.75,23.75,22.95,23.60,60400,23.60
2015-07-03,23.75,25.50,23.35,23.95,187800,23.95
2015-07-02,24.05,24.05,23.25,23.70,69200,23.70
2015-07-01,23.80,25.40,23.45,23.70,280500,23.70
2015-06-30,21.50,22.20,21.50,21.80,23900,21.80
2015-06-29,22.20,22.20,20.80,21.50,41600,21.50
2015-06-26,24.80,24.80,21.40,22.20,119700,22.20
2015-06-25,23.35,25.05,23.35,24.30,255900,24.30
2015-06-24,21.25,23.80,21.10,23.05,170900,23.05
2015-06-23,20.60,24.30,20.50,21.15,188300,21.15
2015-06-22,21.00,21.35,20.00,20.65,44600,20.65
2015-06-19,20.80,21.85,20.45,21.10,70800,21.10
2015-06-18,20.05,21.45,19.85,20.70,78900,20.70
2015-06-17,19.55,20.30,19.50,19.75,32700,19.75
2015-06-16,19.35,19.65,19.10,19.50,11300,19.50
2015-06-15,19.65,20.00,19.45,19.60,9100,19.60
2015-06-12,19.05,20.00,19.05,19.75,19900,19.75
2015-06-11,20.90,20.90,19.50,19.55,11700,19.55
2015-06-10,19.60,20.75,19.30,19.90,36300,19.90
2015-06-09,19.75,19.85,19.35,19.45,12000,19.45
2015-06-08,20.20,20.20,19.90,19.90,10500,19.90
2015-06-05,20.15,20.60,20.10,20.15,31300,20.15
2015-06-04,20.55,20.75,20.15,20.35,22500,20.35
2015-06-03,21.45,21.75,20.00,20.40,80700,20.40
2015-06-02,21.35,21.65,20.85,21.00,22600,21.00
2015-06-01,21.00,22.45,21.00,21.75,72000,21.75
2015-05-29,20.95,21.05,20.55,20.60,11200,20.60
2015-05-28,20.95,21.30,20.70,20.85,7900,20.85
2015-05-27,20.35,20.85,20.30,20.50,14100,20.50
2015-05-26,21.05,21.20,20.60,20.80,13900,20.80
2015-05-25,21.35,21.40,20.80,21.00,12200,21.00
2015-05-22,22.10,22.30,21.10,21.45,39900,21.45
2015-05-21,22.50,22.60,21.30,21.50,35200,21.50
2015-05-20,20.75,22.85,20.60,22.50,108800,22.50
2015-05-19,20.40,20.85,20.10,20.55,23600,20.55
2015-05-18,20.60,20.60,20.20,20.30,22700,20.30
2015-05-15,20.75,21.00,20.30,20.40,19800,20.40
2015-05-14,20.30,20.85,20.30,20.60,20300,20.60
2015-05-13,20.00,21.75,19.85,20.45,166500,20.45
2015-05-12,20.70,20.85,19.50,19.95,26100,19.95
2015-05-11,21.10,21.60,20.90,21.15,14000,21.15
2015-05-08,20.80,21.00,20.70,20.75,12300,20.75
2015-05-07,20.75,20.90,20.10,20.30,12700,20.30
2015-05-06,22.00,22.15,20.50,20.85,24600,20.85
2015-05-05,22.00,22.35,21.80,22.00,18700,22.00
2015-05-04,21.00,22.40,21.00,22.00,27800,22.00
2015-05-01,20.75,20.75,20.75,20.75,000,20.75
2015-04-30,20.70,21.10,20.60,20.75,28000,20.75
2015-04-29,20.25,21.35,20.25,20.60,21900,20.60
2015-04-28,19.80,20.95,19.70,20.80,40600,20.80
2015-04-27,22.35,22.35,20.10,20.20,53500,20.20
2015-04-24,23.05,23.05,21.55,21.85,15400,21.85
2015-04-23,23.20,23.55,22.50,22.65,12200,22.65
2015-04-22,23.35,23.50,22.70,22.90,11900,22.90
2015-04-21,23.55,23.90,23.05,23.25,15800,23.25
2015-04-20,23.70,24.45,23.35,23.55,51000,23.55
2015-04-17,23.90,24.00,23.35,23.40,30900,23.40
2015-04-16,24.95,25.35,23.50,23.80,92900,23.80
2015-04-15,24.55,25.35,24.40,24.55,42800,24.55
2015-04-14,24.45,24.45,24.45,24.45,000,24.45
2015-04-13,24.75,25.20,24.35,24.45,43800,24.45
2015-04-10,24.50,25.20,24.10,24.50,54000,24.50
2015-04-09,24.95,25.05,23.15,24.10,87500,24.10
2015-04-08,24.15,24.95,23.90,24.65,66000,24.65
2015-04-07,23.05,23.90,23.00,23.65,78300,23.65
2015-04-06,23.35,23.80,21.75,22.85,94300,22.85
2015-04-03,21.70,21.70,21.70,21.70,000,21.70
2015-04-02,21.70,21.70,21.70,21.70,000,21.70
2015-04-01,20.25,22.00,20.25,21.70,75600,21.70
2015-03-31,20.80,21.15,20.30,20.45,48500,20.45
2015-03-30,19.95,20.80,19.75,20.55,58800,20.55
2015-03-27,20.70,21.05,18.95,19.45,103900,19.45
2015-03-26,21.70,21.70,20.25,20.70,72400,20.70
2015-03-25,23.00,23.00,21.70,21.85,48700,21.85
2015-03-24,23.20,24.00,22.50,22.75,71500,22.75
2015-03-23,24.15,24.15,23.00,23.15,44000,23.15
2015-03-20,25.15,25.15,23.50,23.70,79300,23.70
2015-03-19,26.65,26.90,24.65,24.85,158700,24.85
2015-03-18,24.40,27.20,23.70,26.20,443600,26.20
2015-03-17,24.45,24.45,23.30,24.05,42800,24.05
2015-03-16,24.75,25.25,24.00,24.05,59200,24.05
2015-03-13,24.80,25.25,24.20,24.40,59500,24.40
2015-03-12,24.30,24.60,23.55,24.45,111100,24.45
2015-03-11,26.20,26.50,23.10,23.75,219100,23.75
2015-03-10,26.60,27.35,26.05,26.25,101400,26.25
2015-03-09,26.70,27.05,26.15,26.55,53200,26.55
2015-03-06,27.10,27.10,27.10,27.10,000,27.10
2015-03-05,27.40,27.55,26.65,27.10,66200,27.10
2015-03-04,28.40,28.60,27.15,27.30,98700,27.30
2015-03-03,28.00,28.55,27.45,28.30,76400,28.30
2015-03-02,29.75,29.75,27.20,27.85,166000,27.85
2015-02-27,30.20,32.10,30.00,31.40,212600,31.40
2015-02-26,31.10,31.25,29.80,29.95,111100,29.95
2015-02-25,31.85,32.20,31.05,31.30,109000,31.30
2015-02-24,31.70,32.15,30.90,31.40,80700,31.40
2015-02-23,32.05,32.25,31.05,31.25,60000,31.25
2015-02-20,33.00,33.10,31.55,31.70,104800,31.70
2015-02-19,32.40,34.00,31.90,32.60,263400,32.60
2015-02-18,31.55,32.60,31.50,31.85,147400,31.85
2015-02-17,31.55,31.55,31.55,31.55,000,31.55
2015-02-16,32.00,32.60,31.45,31.55,78200,31.55
2015-02-13,32.55,33.55,31.90,32.95,166200,32.95
2015-02-12,32.80,33.50,32.30,32.55,107100,32.55
2015-02-11,31.75,32.70,30.85,32.15,79000,32.15
2015-02-10,31.45,32.10,31.10,31.45,43200,31.45
2015-02-09,31.70,32.60,31.35,31.50,44500,31.50
2015-02-06,32.65,32.75,31.65,32.00,43500,32.00
2015-02-05,33.55,33.90,32.50,32.70,44300,32.70
2015-02-04,33.70,34.45,33.00,33.70,81000,33.70
2015-02-03,34.80,34.80,33.25,33.40,98900,33.40
2015-02-02,33.40,34.70,33.00,34.35,169800,34.35
2015-01-30,34.60,34.65,33.35,33.50,118400,33.50
2015-01-29,34.70,35.80,34.00,34.40,568300,34.40
2015-01-28,31.00,34.10,30.90,33.80,440300,33.80
2015-01-27,32.35,32.35,30.95,31.10,98100,31.10
2015-01-26,31.70,31.70,31.70,31.70,000,31.70
2015-01-23,32.50,32.60,31.40,31.70,93400,31.70
2015-01-22,32.20,32.65,31.10,32.05,228200,32.05
2015-01-21,32.90,33.30,31.35,31.75,183100,31.75
2015-01-20,34.50,34.50,32.10,32.40,133500,32.40
2015-01-19,34.70,35.20,33.55,34.00,169100,34.00
2015-01-16,34.95,36.60,33.95,34.25,465400,34.25
2015-01-15,37.40,37.75,34.20,35.15,512800,35.15
2015-01-14,33.70,37.30,33.65,36.70,960500,36.70
2015-01-13,30.95,34.90,30.90,33.35,1125100,33.35
2015-01-12,30.40,31.75,30.20,30.75,161300,30.75
2015-01-09,31.40,31.60,30.00,30.15,175000,30.15
2015-01-08,29.50,32.30,29.50,31.05,699000,31.05
2015-01-07,29.80,30.85,28.80,29.15,124600,29.15
2015-01-06,28.80,31.65,28.45,29.55,778600,29.55
