Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,10.90,10.90,10.00,10.06,2800,10.06
2015-07-16,9.90,10.20,9.90,10.20,900,10.20
2015-07-15,10.12,10.28,9.90,10.28,1000,10.28
2015-07-14,10.60,10.60,10.11,10.35,700,10.35
2015-07-13,10.59,10.59,10.59,10.59,400,10.59
2015-07-10,9.60,11.30,9.60,10.59,17700,10.59
2015-07-09,10.70,10.70,10.20,10.49,3100,10.49
2015-07-08,10.99,10.99,10.00,10.48,11900,10.48
2015-07-07,10.55,11.20,10.55,11.00,7900,11.00
2015-07-06,10.75,10.75,10.20,10.68,200,10.68
2015-07-03,11.00,11.00,10.80,10.80,000,10.80
2015-07-02,10.79,10.80,10.79,10.80,000,10.80
2015-07-01,10.57,10.85,10.50,10.75,2400,10.75
2015-06-30,10.35,10.75,10.30,10.57,5300,10.57
2015-06-29,10.69,11.48,10.53,10.95,5600,10.95
2015-06-26,10.58,11.40,10.55,11.20,1900,11.20
2015-06-25,10.40,10.46,10.40,10.40,600,10.40
2015-06-24,11.20,11.70,10.70,10.74,13700,10.74
2015-06-23,12.15,12.15,11.00,11.20,16200,11.20
2015-06-22,12.61,12.70,12.20,12.21,2000,12.21
2015-06-19,13.60,14.40,12.12,12.57,49100,12.57
2015-06-18,10.88,12.48,10.88,12.48,14100,12.48
2015-06-17,8.90,10.40,8.90,10.40,29400,10.40
2015-06-16,8.50,8.90,7.63,8.67,62100,8.67
2015-06-15,8.85,9.25,8.85,9.24,900,9.24
2015-06-12,9.60,9.60,8.12,9.30,6900,9.30
2015-06-11,8.51,9.50,8.51,9.50,1400,9.50
2015-06-10,9.18,9.18,7.86,8.50,10100,8.50
2015-06-09,9.98,9.98,9.00,9.06,800,9.06
2015-06-08,10.13,10.13,10.13,10.13,000,10.13
2015-06-05,9.25,10.26,9.25,9.35,1100,9.35
2015-06-04,8.55,10.25,8.55,9.48,600,9.48
2015-06-03,10.11,10.96,9.15,9.90,8300,9.90
2015-06-02,11.28,11.28,11.28,11.28,000,11.28
2015-06-01,10.60,11.28,10.60,11.28,1100,11.28
2015-05-29,11.30,11.30,11.30,11.30,100,11.30
2015-05-28,11.00,11.40,11.00,11.40,300,11.40
2015-05-27,11.00,11.45,11.00,11.45,700,11.45
2015-05-26,11.75,11.99,11.75,11.87,000,11.87
2015-05-25,11.24,11.45,11.20,11.40,1100,11.40
2015-05-22,11.70,11.70,11.30,11.45,3300,11.45
2015-05-21,11.25,11.90,11.25,11.90,5600,11.90
2015-05-20,11.46,12.29,11.46,12.29,1200,12.29
2015-05-19,12.80,12.80,11.40,12.29,2000,12.29
2015-05-18,13.00,13.00,13.00,11.86,000,11.86
2015-05-15,12.95,12.95,12.95,12.95,000,12.95
2015-05-14,12.90,12.95,12.50,12.95,000,12.95
2015-05-13,11.71,13.00,11.71,12.75,600,12.75
2015-05-12,12.63,12.99,12.00,12.90,000,12.90
2015-05-11,12.63,12.63,12.63,12.63,000,12.63
2015-05-08,12.35,13.18,12.35,12.63,700,12.63
2015-05-07,12.80,13.90,12.32,12.34,1700,12.34
2015-05-06,16.10,16.20,12.60,13.50,2600,13.50
2015-05-05,13.50,13.50,13.50,13.50,000,13.50
2015-05-04,12.90,13.91,12.90,13.50,600,13.50
2015-05-01,12.97,12.97,12.97,12.97,000,12.97
2015-04-30,13.59,13.59,12.97,12.97,100,12.97
2015-04-29,13.60,13.60,13.60,13.60,000,13.60
2015-04-28,13.00,13.60,12.55,13.60,200,13.60
2015-04-27,13.48,13.90,12.55,13.90,3800,13.90
2015-04-24,14.00,14.00,14.00,14.00,200,14.00
2015-04-23,15.80,15.80,14.99,14.99,100,14.99
2015-04-22,14.30,16.15,14.30,14.69,2500,14.69
2015-04-21,14.00,14.00,13.51,13.87,700,13.87
2015-04-20,14.25,14.25,13.51,14.00,3400,14.00
2015-04-17,13.31,13.31,13.31,13.31,200,13.31
2015-04-16,13.17,14.00,13.17,13.95,1300,13.95
2015-04-15,12.85,13.90,12.81,13.71,5100,13.71
2015-04-14,13.91,13.91,13.91,13.91,000,13.91
2015-04-13,13.70,14.42,13.60,13.91,3600,13.91
2015-04-10,12.96,14.34,12.96,13.90,4400,13.90
2015-04-09,12.53,13.00,12.53,12.80,2100,12.80
2015-04-08,12.99,12.99,12.99,12.99,000,12.99
2015-04-07,11.76,12.99,11.76,12.99,000,12.99
2015-04-06,12.40,12.50,12.40,12.40,600,12.40
2015-04-03,11.72,11.72,11.72,11.72,000,11.72
2015-04-02,11.72,11.72,11.72,11.72,000,11.72
2015-04-01,11.50,11.72,11.10,11.72,1000,11.72
