Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,4.61,4.61,4.61,4.61,100,4.61
2015-07-16,4.74,4.74,4.74,4.74,000,4.74
2015-07-15,4.75,4.75,4.74,4.74,5100,4.74
2015-07-14,4.54,4.98,4.54,4.98,200,4.98
2015-07-13,4.95,4.95,4.75,4.75,2200,4.75
2015-07-10,5.00,5.00,5.00,5.00,000,5.00
2015-07-09,5.00,5.00,5.00,5.00,500,5.00
2015-07-08,4.77,4.77,4.77,4.77,000,4.77
2015-07-07,4.99,5.15,4.77,4.77,4200,4.77
2015-07-06,4.94,4.94,4.94,4.94,000,4.94
2015-07-03,5.14,5.14,5.14,5.14,000,5.14
2015-07-02,4.90,4.90,4.90,4.90,000,4.90
2015-07-01,4.90,4.90,4.90,4.90,500,4.90
2015-06-30,5.13,5.13,5.13,5.13,000,5.13
2015-06-29,5.13,5.13,5.13,5.13,100,5.13
2015-06-26,5.40,5.40,5.40,5.40,000,5.40
2015-06-25,5.40,5.40,5.40,5.40,000,5.40
2015-06-24,5.40,5.40,5.40,5.40,000,5.40
2015-06-23,5.40,5.40,5.40,5.40,000,5.40
2015-06-22,5.40,5.40,5.40,5.40,300,5.40
2015-06-19,5.67,5.67,5.67,5.67,000,5.67
2015-06-18,5.13,5.67,5.13,5.67,100,5.67
2015-06-17,5.40,5.40,5.40,5.40,000,5.40
2015-06-16,5.40,5.70,5.40,5.40,4000,5.40
2015-06-15,5.68,5.68,5.68,5.68,000,5.68
2015-06-12,5.97,5.97,5.97,5.97,000,5.97
2015-06-11,5.97,5.97,5.97,5.97,000,5.97
2015-06-10,5.70,5.97,5.70,5.97,000,5.97
2015-06-09,5.70,5.70,5.70,5.70,000,5.70
2015-06-08,5.70,5.70,5.70,5.70,000,5.70
2015-06-05,5.70,5.70,5.70,5.70,000,5.70
2015-06-04,5.99,5.99,5.99,5.99,000,5.99
2015-06-03,5.84,5.84,5.84,5.84,200,5.84
2015-06-02,6.14,6.14,6.14,6.14,000,6.14
2015-06-01,6.14,6.14,6.14,6.14,000,6.14
2015-05-29,6.14,6.14,6.14,6.14,000,6.14
2015-05-28,6.14,6.14,6.14,6.14,000,6.14
2015-05-27,6.46,6.46,6.46,6.46,000,6.46
2015-05-26,6.46,6.46,6.46,6.46,000,6.46
2015-05-25,6.46,6.46,6.46,6.46,000,6.46
2015-05-22,6.46,6.46,6.46,6.46,000,6.46
2015-05-21,6.46,6.46,6.46,6.46,000,6.46
2015-05-20,6.46,6.46,6.46,6.46,000,6.46
2015-05-19,6.46,6.46,6.46,6.46,000,6.46
2015-05-18,6.46,6.46,6.46,6.46,000,6.46
2015-05-15,6.46,6.46,6.46,6.46,000,6.46
2015-05-14,6.46,6.46,6.46,6.46,000,6.46
2015-05-13,6.46,6.46,6.46,6.46,000,6.46
2015-05-12,6.46,6.46,6.46,6.46,000,6.46
2015-05-11,6.46,6.46,6.46,6.46,000,6.46
2015-05-08,6.46,6.46,6.46,6.46,300,6.46
2015-05-07,6.79,6.79,6.79,6.79,200,6.79
2015-05-06,7.14,7.14,7.14,7.14,000,7.14
2015-05-05,6.82,6.82,6.82,6.82,000,6.82
2015-05-04,7.17,7.17,7.17,7.17,700,7.17
2015-05-01,6.83,6.83,6.83,6.83,000,6.83
2015-04-30,6.83,6.83,6.83,6.83,000,6.83
2015-04-29,6.83,6.83,6.83,6.83,000,6.83
2015-04-28,6.55,6.55,6.55,6.55,000,6.55
2015-04-27,6.27,6.27,6.27,6.27,000,6.27
2015-04-24,5.88,6.46,5.87,6.27,000,6.27
2015-04-23,6.17,6.17,6.17,6.17,100,6.17
2015-04-22,6.00,6.49,6.00,6.49,000,6.49
2015-04-21,6.23,6.25,6.23,6.25,300,6.25
2015-04-20,6.05,6.06,5.60,5.98,14000,5.98
2015-04-17,6.34,6.34,5.78,5.78,3400,5.78
2015-04-16,6.50,6.70,6.08,6.08,500,6.08
2015-04-15,6.40,6.40,6.40,6.40,000,6.40
2015-04-14,6.33,6.33,6.33,6.33,000,6.33
2015-04-13,6.33,6.33,6.28,6.33,3000,6.33
2015-04-10,5.99,6.05,5.61,6.03,3000,6.03
2015-04-09,5.50,5.77,5.25,5.77,2500,5.77
2015-04-08,5.50,5.50,5.23,5.50,600,5.50
2015-04-07,5.42,5.44,5.02,5.44,3900,5.44
2015-04-06,5.19,5.19,4.71,5.19,2900,5.19
2015-04-03,4.95,4.95,4.95,4.95,000,4.95
2015-04-02,4.95,4.95,4.95,4.95,000,4.95
2015-04-01,4.95,4.95,4.95,4.95,400,4.95
2015-03-31,4.72,4.72,4.72,4.72,100,4.72
2015-03-30,4.25,4.50,4.25,4.50,600,4.50
2015-03-27,4.45,4.45,4.45,4.45,000,4.45
2015-03-26,4.45,4.45,4.45,4.45,400,4.45
2015-03-25,4.75,4.75,4.65,4.65,300,4.65
2015-03-24,4.75,4.75,4.75,4.75,000,4.75
2015-03-23,4.75,4.75,4.75,4.75,000,4.75
2015-03-20,4.96,4.96,4.96,4.96,1000,4.96
2015-03-19,5.15,5.15,5.15,5.15,000,5.15
2015-03-18,5.46,5.46,5.00,5.15,400,5.15
2015-03-17,5.20,5.20,5.20,5.20,100,5.20
2015-03-16,5.60,5.60,5.19,5.19,1400,5.19
2015-03-13,5.82,5.82,5.34,5.34,000,5.34
2015-03-12,5.16,5.62,5.16,5.62,3300,5.62
2015-03-11,4.95,5.36,4.95,5.36,1200,5.36
2015-03-10,5.10,5.12,5.10,5.11,7300,5.11
2015-03-09,5.10,5.45,5.06,5.21,14000,5.21
2015-03-06,5.20,5.20,5.20,5.20,000,5.20
2015-03-05,5.20,5.20,5.20,5.20,2000,5.20
2015-03-04,5.21,5.47,5.12,5.16,2000,5.16
2015-03-03,5.21,5.21,5.21,5.21,000,5.21
2015-03-02,5.21,5.21,5.21,5.21,000,5.21
2015-02-27,5.17,5.61,5.17,5.61,2200,5.61
2015-02-26,5.35,5.35,5.35,5.35,000,5.35
2015-02-25,5.36,5.86,5.34,5.35,3200,5.35
2015-02-24,5.25,5.59,5.25,5.59,200,5.59
2015-02-23,5.51,5.51,5.51,5.51,000,5.51
2015-02-20,5.14,5.51,5.13,5.51,1000,5.51
2015-02-19,5.11,5.25,5.11,5.25,800,5.25
2015-02-18,5.13,5.30,5.13,5.30,700,5.30
2015-02-17,5.35,5.35,5.35,5.35,000,5.35
2015-02-16,5.35,5.35,5.35,5.35,500,5.35
2015-02-13,5.61,5.61,5.61,5.61,300,5.61
2015-02-12,5.88,5.88,5.88,5.88,1100,5.88
2015-02-11,5.60,5.60,5.60,5.60,000,5.60
2015-02-10,5.83,5.83,5.30,5.60,5800,5.60
2015-02-09,5.82,5.82,5.29,5.56,000,5.56
2015-02-06,5.60,5.94,5.41,5.55,6000,5.55
2015-02-05,5.66,5.66,5.66,5.66,600,5.66
2015-02-04,5.80,6.06,5.65,5.92,500,5.92
2015-02-03,5.78,5.78,5.78,5.78,000,5.78
2015-02-02,6.00,6.00,5.50,5.78,2800,5.78
2015-01-30,5.72,5.72,5.30,5.72,1000,5.72
2015-01-29,5.37,5.93,5.37,5.45,1300,5.45
2015-01-28,5.65,5.65,5.65,5.65,000,5.65
2015-01-27,5.65,5.65,5.65,5.65,000,5.65
2015-01-26,5.90,5.90,5.90,5.90,000,5.90
2015-01-23,6.50,6.50,5.90,5.90,700,5.90
2015-01-22,6.00,6.21,5.70,6.21,2000,6.21
2015-01-21,5.82,6.20,5.80,6.00,1500,6.00
2015-01-20,6.34,6.35,5.78,6.28,2100,6.28
2015-01-19,6.30,6.30,5.78,6.07,3100,6.07
2015-01-16,5.75,6.00,5.52,6.00,2200,6.00
2015-01-15,5.81,5.81,5.81,5.81,000,5.81
