Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,266.00,275.40,265.40,268.85,149000,268.85
2015-07-16,262.80,267.45,260.05,264.65,61700,264.65
2015-07-15,258.95,262.95,258.45,260.80,53300,260.80
2015-07-14,259.00,261.90,256.20,258.10,62100,258.10
2015-07-13,249.20,258.60,246.05,257.35,116200,257.35
2015-07-10,241.95,251.80,241.95,247.45,85500,247.45
2015-07-09,241.95,243.35,239.10,240.10,45000,240.10
2015-07-08,245.05,245.05,239.25,241.60,49400,241.60
2015-07-07,244.95,253.85,244.05,245.70,118600,245.70
2015-07-06,237.00,247.70,234.00,244.85,70100,244.85
2015-07-03,239.95,241.95,236.60,237.25,32400,237.25
2015-07-02,239.95,243.00,239.00,239.60,22600,239.60
2015-07-01,237.80,242.55,237.80,239.20,25100,239.20
2015-06-30,234.80,241.40,234.80,236.55,24100,236.55
2015-06-29,230.00,242.05,230.00,234.40,57100,234.40
2015-06-26,241.70,248.00,238.05,242.60,66800,242.60
2015-06-25,242.70,247.80,238.05,240.40,93900,240.40
2015-06-24,226.95,256.40,226.00,241.00,272300,241.00
2015-06-23,227.95,229.95,226.05,226.85,33700,226.85
2015-06-22,226.80,231.70,226.50,227.50,25900,227.50
2015-06-19,226.60,228.80,226.35,227.15,23700,227.15
2015-06-18,225.95,229.00,224.70,225.15,32500,225.15
2015-06-17,225.00,230.95,223.50,225.00,31100,225.00
2015-06-16,225.00,226.95,223.25,224.70,50600,224.70
2015-06-15,225.80,230.00,224.05,225.35,27000,225.35
2015-06-12,227.05,227.95,221.65,224.45,37000,224.45
2015-06-11,236.95,239.90,225.20,226.95,55600,226.95
2015-06-10,225.05,238.40,225.05,235.50,40400,235.50
2015-06-09,226.05,228.95,222.15,223.95,14100,223.95
2015-06-08,231.90,232.25,225.30,226.00,15900,226.00
2015-06-05,232.95,235.15,230.05,231.60,20200,231.60
2015-06-04,228.00,233.90,228.00,231.70,15200,231.70
2015-06-03,237.95,237.95,224.20,227.75,23200,227.75
2015-06-02,240.10,240.25,236.55,237.10,32400,237.10
2015-06-01,239.95,241.70,237.15,239.80,25700,239.80
2015-05-29,239.50,243.10,238.85,238.90,32000,238.90
2015-05-28,239.95,244.95,238.05,239.60,53600,239.60
2015-05-27,233.20,241.95,230.75,238.90,55400,238.90
2015-05-26,234.00,236.80,230.35,233.90,29600,233.90
2015-05-25,238.15,242.00,233.15,234.25,29600,234.25
2015-05-22,245.05,246.80,238.05,238.95,45700,238.95
2015-05-21,252.00,252.80,239.30,245.10,173300,245.10
2015-05-20,243.75,244.90,237.15,240.10,74600,240.10
2015-05-19,251.85,255.40,241.05,243.10,105100,243.10
2015-05-18,231.95,253.95,231.95,250.85,192900,250.85
2015-05-15,219.65,234.40,219.05,230.75,99500,230.75
2015-05-14,215.95,222.00,215.20,218.30,30900,218.30
2015-05-13,215.95,219.80,215.00,215.25,32300,215.25
2015-05-12,216.60,220.45,215.00,215.15,54200,215.15
2015-05-11,217.85,222.00,216.75,218.05,43100,218.05
2015-05-08,216.95,221.95,215.10,216.55,41200,216.55
2015-05-07,214.95,217.85,212.25,215.20,47700,215.20
2015-05-06,220.70,223.85,213.25,214.40,71000,214.40
2015-05-05,221.05,224.40,220.10,220.50,59500,220.50
2015-05-04,216.05,224.80,216.05,221.10,56900,221.10
2015-05-01,217.15,217.15,217.15,217.15,000,217.15
2015-04-30,216.10,223.00,214.25,217.15,64600,217.15
2015-04-29,215.45,220.00,213.60,215.75,46800,215.75
2015-04-28,210.00,219.80,208.65,216.70,108100,216.70
2015-04-27,227.05,227.05,210.20,212.75,36500,212.75
2015-04-24,236.95,236.95,225.65,227.15,48400,227.15
2015-04-23,237.00,247.65,234.10,236.10,109600,236.10
2015-04-22,225.95,242.45,225.95,234.25,132300,234.25
2015-04-21,230.60,232.85,225.05,226.25,37700,226.25
2015-04-20,240.85,240.85,226.00,229.90,82000,229.90
2015-04-17,251.15,253.50,240.10,242.85,78200,242.85
2015-04-16,262.00,263.90,247.65,251.40,176900,251.40
2015-04-15,226.00,268.00,225.45,258.95,495500,258.95
2015-04-14,226.70,226.70,226.70,226.70,000,226.70
2015-04-13,224.40,229.80,224.00,226.70,61000,226.70
2015-04-10,217.50,234.90,213.00,224.30,166700,224.30
2015-04-09,217.50,223.90,216.50,217.30,60100,217.30
2015-04-08,216.95,219.90,215.90,217.05,40400,217.05
2015-04-07,215.25,218.80,213.20,216.50,52100,216.50
2015-04-06,209.80,216.35,206.50,214.40,75200,214.40
2015-04-03,207.40,207.40,207.40,207.40,000,207.40
2015-04-02,207.40,207.40,207.40,207.40,000,207.40
2015-04-01,199.50,210.50,199.50,207.40,54100,207.40
2015-03-31,198.50,204.40,198.50,200.10,34400,200.10
2015-03-30,198.95,206.75,198.00,199.45,62100,199.45
2015-03-27,197.55,199.70,195.00,196.70,31100,196.70
2015-03-26,195.00,197.00,195.00,195.55,13500,195.55
2015-03-25,192.55,197.75,191.75,195.80,21000,195.80
2015-03-24,194.45,196.15,191.30,192.35,36100,192.35
2015-03-23,202.00,205.60,191.35,192.40,37200,192.40
2015-03-20,207.30,209.60,201.10,202.40,33500,202.40
2015-03-19,205.90,214.30,205.10,208.05,79500,208.05
2015-03-18,217.65,217.65,202.00,203.20,103700,203.20
2015-03-17,213.30,224.40,211.00,216.90,212100,216.90
2015-03-16,191.25,211.00,191.00,206.95,151800,206.95
2015-03-13,192.00,196.00,189.20,189.40,30500,189.40
2015-03-12,190.20,196.15,188.65,192.20,43800,192.20
2015-03-11,191.25,192.00,187.40,188.85,10000,188.85
2015-03-10,190.40,194.60,186.65,187.85,13300,187.85
2015-03-09,196.75,197.35,190.00,190.35,16300,190.35
2015-03-06,196.85,196.85,196.85,196.85,000,196.85
2015-03-05,186.50,201.00,182.60,196.85,68200,196.85
2015-03-04,192.00,192.40,186.00,186.50,9600,186.50
2015-03-03,189.40,193.50,188.00,190.20,19100,190.20
2015-03-02,189.15,189.25,185.00,188.50,18200,188.50
2015-02-27,191.90,192.00,187.60,191.00,7700,191.00
2015-02-26,187.45,193.70,185.00,191.05,15700,191.05
2015-02-25,193.05,193.05,186.50,187.45,9100,187.45
2015-02-24,192.00,194.50,189.10,189.75,5400,189.75
2015-02-23,193.00,194.50,189.65,190.15,6300,190.15
2015-02-20,192.40,193.50,190.70,191.25,6700,191.25
2015-02-19,194.85,197.90,190.15,191.50,7600,191.50
2015-02-18,192.00,198.40,191.15,195.25,29000,195.25
2015-02-17,190.75,190.75,190.75,190.75,000,190.75
2015-02-16,194.90,196.00,189.00,190.75,10200,190.75
2015-02-13,202.50,205.00,193.10,194.60,25700,194.60
2015-02-12,190.00,201.80,184.75,198.75,54300,198.75
2015-02-11,184.85,188.10,182.95,185.20,14200,185.20
2015-02-10,180.05,184.00,180.00,182.05,14600,182.05
2015-02-09,187.00,187.00,181.25,182.35,12900,182.35
2015-02-06,192.50,194.40,187.10,189.20,22400,189.20
2015-02-05,195.10,205.75,191.00,193.05,162400,193.05
2015-02-04,190.20,193.90,188.60,191.20,24600,191.20
2015-02-03,195.65,197.45,188.60,189.15,17400,189.15
2015-02-02,189.10,195.80,188.35,194.35,18800,194.35
2015-01-30,182.00,192.00,180.00,189.90,26200,189.90
2015-01-29,187.65,188.20,180.80,181.95,23900,181.95
2015-01-28,192.00,193.90,187.00,187.90,25200,187.90
2015-01-27,198.00,198.90,192.00,193.00,12700,193.00
2015-01-26,195.70,195.70,195.70,195.70,000,195.70
2015-01-23,198.65,202.20,195.05,195.70,12000,195.70
2015-01-22,198.35,200.30,197.00,197.30,10500,197.30
2015-01-21,203.00,204.00,196.50,197.40,19100,197.40
2015-01-20,197.85,204.85,196.40,202.25,25800,202.25
2015-01-19,199.35,200.10,195.60,196.05,26700,196.05
2015-01-16,200.80,203.50,198.00,199.60,13800,199.60
2015-01-15,204.00,204.95,201.00,201.85,9100,201.85
2015-01-14,201.75,203.75,199.45,200.30,8600,200.30
2015-01-13,200.00,205.50,199.50,201.20,17000,201.20
2015-01-12,195.25,201.70,195.25,200.00,12300,200.00
2015-01-09,202.25,204.00,199.00,199.50,17200,199.50
2015-01-08,201.00,204.00,199.50,202.45,5400,202.45
2015-01-07,199.90,199.90,195.00,197.00,13200,197.00
2015-01-06,207.80,207.80,199.00,199.75,11200,199.75
2015-01-05,204.10,207.50,201.85,204.15,12600,204.15
2015-01-02,208.00,209.40,203.05,204.35,14100,204.35
2015-01-01,201.00,207.95,201.00,206.10,11500,206.10
2014-12-31,200.55,202.50,199.35,201.45,11700,201.45
2014-12-30,198.55,202.40,198.55,200.50,23000,200.50
2014-12-29,197.75,199.75,195.65,198.50,11400,198.50
2014-12-26,200.00,202.15,196.05,196.90,23400,196.90
2014-12-25,200.45,200.45,200.45,200.45,000,200.45
2014-12-24,205.25,205.25,198.20,200.45,22100,200.45
2014-12-23,195.00,201.60,195.00,199.80,23000,199.80
2014-12-22,200.40,201.00,195.00,195.85,24400,195.85
2014-12-19,203.00,205.00,197.00,198.65,9400,198.65
2014-12-18,200.10,207.95,200.10,201.90,12300,201.90
2014-12-17,195.55,203.80,187.00,199.10,44700,199.10
2014-12-16,206.40,208.50,196.60,200.60,52500,200.60
2014-12-15,211.00,212.30,200.10,210.80,32100,210.80
2014-12-12,214.80,219.00,211.10,212.55,27800,212.55
2014-12-11,215.00,215.50,209.05,213.70,21100,213.70
2014-12-10,212.00,217.35,212.00,215.30,11400,215.30
2014-12-09,217.10,220.00,212.55,213.20,14700,213.20
2014-12-08,222.00,223.35,217.60,220.25,22500,220.25
2014-12-05,219.50,222.60,216.75,220.30,24400,220.30
2014-12-04,220.10,228.40,217.50,218.80,60100,218.80
2014-12-03,217.00,218.25,214.00,214.45,18600,214.45
2014-12-02,214.90,221.00,214.90,216.15,29400,216.15
2014-12-01,213.90,217.00,210.65,213.40,14700,213.40
2014-11-28,218.60,219.85,211.60,212.80,21800,212.80
2014-11-27,209.30,223.00,205.55,215.55,79000,215.55
2014-11-26,198.00,209.65,197.40,207.90,41200,207.90
2014-11-25,202.05,202.05,195.55,198.45,28900,198.45
2014-11-24,206.75,209.85,201.50,202.25,17200,202.25
