Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,274.10,279.00,271.20,272.95,70500,272.95
2015-07-16,275.00,277.80,270.25,272.20,64600,272.20
2015-07-15,282.00,288.00,265.00,271.95,179700,271.95
2015-07-14,270.30,286.95,267.90,277.85,329700,277.85
2015-07-13,266.65,279.00,266.65,269.35,322100,269.35
2015-07-10,240.50,266.50,237.10,262.20,297800,262.20
2015-07-09,249.15,254.65,240.00,241.75,82600,241.75
2015-07-08,252.00,255.50,242.95,246.35,146400,246.35
2015-07-07,256.25,264.00,250.05,251.75,366600,251.75
2015-07-06,220.50,260.00,220.50,253.55,171600,253.55
2015-07-03,243.00,248.00,235.10,239.10,72400,239.10
2015-07-02,254.00,254.90,239.40,240.80,76500,240.80
2015-07-01,255.70,259.50,250.00,254.00,141300,254.00
2015-06-30,246.10,258.50,246.10,255.75,223600,255.75
2015-06-29,230.00,261.00,222.00,248.85,461600,248.85
2015-06-26,231.60,240.40,224.00,233.90,300800,233.90
2015-06-25,196.00,234.95,195.60,229.10,525400,229.10
2015-06-24,197.50,199.80,194.90,195.80,22800,195.80
2015-06-23,202.70,202.70,194.45,195.15,31500,195.15
2015-06-22,199.80,203.05,198.00,201.65,47600,201.65
2015-06-19,201.00,202.80,197.00,197.90,27800,197.90
2015-06-18,202.00,199.20,198.10,199.20,20400,199.20
2015-06-17,203.50,204.10,200.80,202.10,31200,202.10
2015-06-16,208.40,209.70,199.90,201.10,26900,201.10
2015-06-15,205.50,211.70,205.00,208.60,36500,208.60
2015-06-12,194.40,205.00,192.40,202.40,53000,202.40
2015-06-11,202.00,204.00,190.80,194.00,66400,194.00
2015-06-10,198.00,205.00,198.00,200.20,17100,200.20
2015-06-09,203.00,204.70,196.00,196.90,14200,196.90
2015-06-08,209.50,209.50,202.00,203.80,13700,203.80
2015-06-05,206.00,215.00,206.00,209.60,26100,209.60
2015-06-04,210.50,213.00,204.00,207.50,15500,207.50
2015-06-03,218.80,219.30,203.30,209.50,35500,209.50
2015-06-02,219.70,222.90,216.80,218.20,57800,218.20
2015-06-01,215.40,221.90,215.40,218.20,103600,218.20
2015-05-29,218.30,224.10,207.70,214.00,82900,214.00
2015-05-28,227.90,228.60,217.20,218.50,99900,218.50
2015-05-27,240.90,250.90,233.10,237.70,101900,237.70
2015-05-26,240.10,247.00,240.00,241.30,25600,241.30
2015-05-25,236.00,249.50,233.80,242.30,62100,242.30
2015-05-22,240.70,241.80,234.90,235.90,44600,235.90
2015-05-21,249.50,249.50,238.30,239.70,69800,239.70
2015-05-20,252.00,257.70,245.60,248.10,159900,248.10
2015-05-19,232.60,255.40,232.30,250.40,526700,250.40
2015-05-18,229.70,234.30,229.50,232.40,16600,232.40
2015-05-15,233.90,238.40,229.20,230.40,24800,230.40
2015-05-14,230.00,234.00,228.70,233.00,9400,233.00
2015-05-13,229.00,233.00,226.90,231.10,19500,231.10
2015-05-12,232.20,232.30,226.00,227.80,9000,227.80
2015-05-11,239.00,242.00,232.00,234.80,13600,234.80
2015-05-08,227.00,239.90,226.00,236.10,22700,236.10
2015-05-07,222.40,227.90,221.50,223.30,18700,223.30
2015-05-06,234.00,237.90,222.10,225.10,45400,225.10
2015-05-05,238.40,238.40,230.40,234.10,32000,234.10
2015-05-04,240.00,240.00,233.50,234.50,25400,234.50
2015-05-01,231.70,231.70,231.70,231.70,000,231.70
2015-04-30,234.00,236.80,230.00,231.70,38900,231.70
2015-04-29,222.20,237.40,221.10,234.70,78100,234.70
2015-04-28,211.20,224.70,211.20,222.90,20700,222.90
2015-04-27,224.00,224.00,214.80,215.10,26100,215.10
2015-04-24,222.00,228.30,220.00,224.40,35100,224.40
2015-04-23,228.00,232.00,226.00,227.30,24200,227.30
2015-04-22,228.00,229.30,222.70,227.00,20400,227.00
2015-04-21,221.00,227.10,220.80,225.40,31900,225.40
2015-04-20,226.70,227.00,215.10,220.90,49400,220.90
2015-04-17,227.90,235.40,224.00,226.00,37800,226.00
2015-04-16,230.00,231.80,225.00,228.60,48100,228.60
2015-04-15,235.40,239.00,228.00,229.30,43500,229.30
2015-04-14,235.10,235.10,235.10,235.10,000,235.10
2015-04-13,234.30,247.90,232.90,235.10,148600,235.10
2015-04-10,235.70,240.30,231.70,234.60,42800,234.60
2015-04-09,239.80,241.80,231.00,237.80,55400,237.80
2015-04-08,235.60,240.70,235.00,237.50,36000,237.50
2015-04-07,233.60,242.30,230.30,235.00,111000,235.00
2015-04-06,226.00,236.00,226.00,231.70,81500,231.70
2015-04-03,224.90,224.90,224.90,224.90,000,224.90
2015-04-02,224.90,224.90,224.90,224.90,000,224.90
2015-04-01,212.00,232.00,209.40,224.90,67900,224.90
2015-03-31,213.00,220.90,210.00,211.40,36600,211.40
2015-03-30,211.10,215.20,209.00,212.00,22500,212.00
2015-03-27,207.70,211.20,205.50,208.90,52000,208.90
2015-03-26,201.00,210.00,195.10,206.10,142200,206.10
2015-03-25,193.50,204.90,193.00,202.90,351900,202.90
2015-03-24,193.50,198.90,190.10,191.30,57400,191.30
2015-03-23,207.70,207.80,188.60,194.80,112200,194.80
2015-03-20,218.00,218.00,205.10,206.40,37000,206.40
2015-03-19,224.80,225.00,216.00,216.70,35200,216.70
2015-03-18,223.20,225.00,218.20,219.90,69800,219.90
2015-03-17,224.60,228.50,219.20,220.70,58600,220.70
2015-03-16,227.00,234.60,221.00,222.60,137700,222.60
2015-03-13,220.00,229.00,219.80,222.80,96200,222.80
2015-03-12,219.40,222.20,218.00,218.40,40900,218.40
2015-03-11,222.40,224.60,217.00,217.80,39400,217.80
2015-03-10,222.00,228.00,218.50,221.30,59200,221.30
2015-03-09,224.10,226.50,220.00,220.90,93300,220.90
2015-03-06,228.80,228.80,228.80,228.80,000,228.80
2015-03-05,226.50,232.80,220.40,228.80,66800,228.80
