Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.35,0.36,0.35,0.36,8000,0.36
2015-07-16,0.37,0.37,0.35,0.35,43000,0.35
2015-07-15,0.38,0.38,0.36,0.36,4500,0.36
2015-07-14,0.37,0.37,0.37,0.37,500,0.37
2015-07-13,0.38,0.38,0.37,0.38,8900,0.38
2015-07-10,0.39,0.39,0.37,0.38,6600,0.38
2015-07-09,0.38,0.38,0.37,0.38,32000,0.38
2015-07-08,0.38,0.38,0.38,0.38,15100,0.38
2015-07-07,0.37,0.37,0.36,0.37,17000,0.37
2015-07-06,0.35,0.36,0.35,0.36,27000,0.36
2015-07-03,0.35,0.35,0.35,0.35,5000,0.35
2015-07-02,0.34,0.36,0.34,0.36,72000,0.36
2015-07-01,0.33,0.35,0.33,0.35,8000,0.35
2015-06-30,0.34,0.34,0.34,0.34,16500,0.34
2015-06-29,0.34,0.36,0.34,0.35,22500,0.35
2015-06-26,0.34,0.35,0.34,0.35,12000,0.35
2015-06-25,0.37,0.37,0.35,0.35,9700,0.35
2015-06-24,0.38,0.38,0.36,0.36,1200,0.36
2015-06-23,0.36,0.37,0.36,0.37,2000,0.37
2015-06-22,0.38,0.38,0.36,0.36,11000,0.36
2015-06-19,0.36,0.38,0.36,0.37,10400,0.37
2015-06-18,0.37,0.37,0.36,0.37,10000,0.37
2015-06-17,0.36,0.36,0.36,0.36,12600,0.36
2015-06-16,0.35,0.37,0.35,0.37,28900,0.37
2015-06-15,0.36,0.36,0.36,0.36,600,0.36
2015-06-12,0.33,0.35,0.33,0.35,1300,0.35
2015-06-11,0.33,0.34,0.32,0.34,128700,0.34
2015-06-10,0.33,0.33,0.33,0.33,148300,0.33
2015-06-09,0.34,0.34,0.34,0.34,9600,0.34
2015-06-08,0.35,0.35,0.35,0.35,000,0.35
2015-06-05,0.35,0.36,0.35,0.35,22100,0.35
2015-06-04,0.36,0.36,0.34,0.35,29800,0.35
2015-06-03,0.36,0.36,0.34,0.35,58100,0.35
2015-06-02,0.35,0.35,0.35,0.35,25100,0.35
2015-06-01,0.36,0.36,0.36,0.36,1400,0.36
2015-05-29,0.36,0.36,0.36,0.36,20000,0.36
2015-05-28,0.37,0.37,0.37,0.37,000,0.37
2015-05-27,0.35,0.37,0.35,0.37,25400,0.37
2015-05-26,0.36,0.36,0.36,0.36,17300,0.36
2015-05-25,0.38,0.38,0.37,0.37,12000,0.37
2015-05-22,0.38,0.38,0.37,0.38,4000,0.38
2015-05-21,0.36,0.38,0.36,0.38,29300,0.38
2015-05-20,0.37,0.37,0.37,0.37,20300,0.37
2015-05-19,0.38,0.38,0.38,0.38,44100,0.38
2015-05-18,0.39,0.39,0.39,0.39,25700,0.39
2015-05-15,0.41,0.41,0.40,0.41,10400,0.41
2015-05-14,0.42,0.43,0.42,0.42,50600,0.42
2015-05-13,0.46,0.46,0.44,0.44,14300,0.44
2015-05-12,0.46,0.46,0.46,0.46,000,0.46
2015-05-11,0.48,0.52,0.48,0.48,58000,0.48
2015-05-08,0.50,0.50,0.50,0.50,000,0.50
2015-05-07,0.50,0.50,0.50,0.50,000,0.50
2015-05-06,0.50,0.50,0.50,0.50,800,0.50
2015-05-05,0.48,0.50,0.48,0.48,4200,0.48
2015-05-04,0.48,0.50,0.48,0.50,1500,0.50
2015-05-01,0.50,0.50,0.50,0.50,000,0.50
2015-04-30,0.50,0.50,0.50,0.50,2000,0.50
2015-04-29,0.51,0.51,0.51,0.51,300,0.51
2015-04-28,0.52,0.52,0.48,0.50,15000,0.50
2015-04-27,0.51,0.53,0.50,0.50,14300,0.50
2015-04-24,0.50,0.52,0.50,0.52,3000,0.52
2015-04-23,0.50,0.52,0.50,0.50,7600,0.50
2015-04-22,0.51,0.51,0.50,0.50,20000,0.50
2015-04-21,0.51,0.52,0.51,0.51,10400,0.51
2015-04-20,0.51,0.51,0.51,0.51,000,0.51
2015-04-17,0.51,0.51,0.51,0.51,4900,0.51
2015-04-16,0.52,0.52,0.49,0.49,16100,0.49
2015-04-15,0.50,0.50,0.50,0.50,11200,0.50
2015-04-14,0.48,0.48,0.48,0.48,000,0.48
2015-04-13,0.48,0.48,0.48,0.48,5200,0.48
2015-04-10,0.44,0.46,0.43,0.46,6000,0.46
2015-04-09,0.44,0.44,0.44,0.44,1400,0.44
2015-04-08,0.42,0.42,0.42,0.42,500,0.42
2015-04-07,0.40,0.40,0.40,0.40,1200,0.40
2015-04-06,0.39,0.39,0.39,0.39,11100,0.39
2015-04-03,0.38,0.38,0.38,0.38,000,0.38
2015-04-02,0.38,0.38,0.38,0.38,000,0.38
2015-04-01,0.37,0.38,0.37,0.38,500,0.38
2015-03-31,0.38,0.39,0.37,0.38,47300,0.38
2015-03-30,0.38,0.38,0.38,0.38,22600,0.38
2015-03-27,0.39,0.39,0.37,0.37,33400,0.37
2015-03-26,0.39,0.41,0.38,0.38,26100,0.38
2015-03-25,0.41,0.44,0.40,0.40,22000,0.40
2015-03-24,0.42,0.46,0.42,0.42,11100,0.42
2015-03-23,0.43,0.44,0.43,0.44,12300,0.44
2015-03-20,0.45,0.47,0.45,0.45,9500,0.45
2015-03-19,0.47,0.47,0.47,0.47,17600,0.47
2015-03-18,0.50,0.50,0.48,0.49,18900,0.49
2015-03-17,0.51,0.51,0.48,0.50,18200,0.50
2015-03-16,0.48,0.52,0.48,0.49,13000,0.49
2015-03-13,0.54,0.56,0.50,0.50,18400,0.50
2015-03-12,0.53,0.55,0.50,0.55,10200,0.55
2015-03-11,0.58,0.58,0.49,0.52,25000,0.52
2015-03-10,0.58,0.58,0.50,0.54,14700,0.54
2015-03-09,0.53,0.55,0.48,0.53,14100,0.53
2015-03-06,0.53,0.53,0.53,0.53,000,0.53
2015-03-05,0.53,0.54,0.51,0.53,8700,0.53
2015-03-04,0.53,0.53,0.49,0.52,13200,0.52
2015-03-03,0.54,0.54,0.49,0.50,47600,0.50
2015-03-02,0.55,0.56,0.54,0.54,92900,0.54
2015-02-27,0.52,0.59,0.51,0.56,26600,0.56
2015-02-26,0.60,0.60,0.55,0.56,51100,0.56
2015-02-25,0.57,0.62,0.56,0.57,25200,0.57
2015-02-24,0.64,0.65,0.59,0.61,62100,0.61
2015-02-23,0.60,0.66,0.60,0.61,6900,0.61
2015-02-20,0.59,0.66,0.59,0.62,18600,0.62
2015-02-19,0.62,0.62,0.59,0.60,43700,0.60
2015-02-18,0.63,0.65,0.57,0.59,39500,0.59
2015-02-17,0.62,0.62,0.62,0.62,000,0.62
2015-02-16,0.57,0.62,0.57,0.62,11300,0.62
2015-02-13,0.66,0.66,0.57,0.60,800,0.60
2015-02-12,0.59,0.64,0.59,0.62,31400,0.62
2015-02-11,0.58,0.62,0.58,0.60,22700,0.60
2015-02-10,0.62,0.62,0.59,0.60,56000,0.60
2015-02-09,0.61,0.62,0.61,0.62,4400,0.62
2015-02-06,0.73,0.73,0.64,0.65,10000,0.65
2015-02-05,0.67,0.67,0.64,0.67,8000,0.67
2015-02-04,0.64,0.67,0.64,0.64,86000,0.64
2015-02-03,0.64,0.66,0.64,0.64,12800,0.64
2015-02-02,0.65,0.67,0.63,0.64,69200,0.64
2015-01-30,0.64,0.67,0.64,0.65,7200,0.65
2015-01-29,0.69,0.69,0.65,0.67,11600,0.67
2015-01-28,0.66,0.71,0.66,0.66,28000,0.66
2015-01-27,0.68,0.68,0.65,0.68,152400,0.68
2015-01-26,0.65,0.65,0.65,0.65,000,0.65
2015-01-23,0.66,0.69,0.63,0.65,32900,0.65
2015-01-22,0.66,0.69,0.65,0.66,66600,0.66
2015-01-21,0.64,0.69,0.64,0.68,23900,0.68
2015-01-20,0.68,0.68,0.64,0.66,68300,0.66
2015-01-19,0.66,0.70,0.65,0.65,33100,0.65
2015-01-16,0.68,0.68,0.67,0.67,5700,0.67
2015-01-15,0.73,0.73,0.65,0.70,9400,0.70
2015-01-14,0.71,0.71,0.68,0.68,3300,0.68
2015-01-13,0.80,0.80,0.68,0.70,20700,0.70
2015-01-12,0.75,0.78,0.71,0.75,7100,0.75
2015-01-09,0.80,0.80,0.73,0.76,28900,0.76
2015-01-08,0.73,0.87,0.73,0.81,50300,0.81
2015-01-07,0.88,0.88,0.72,0.77,35100,0.77
2015-01-06,0.82,0.90,0.76,0.76,43400,0.76
2015-01-05,0.75,0.87,0.67,0.83,406700,0.83
2015-01-02,0.63,0.73,0.58,0.73,349000,0.73
2015-01-01,0.58,0.65,0.58,0.61,12200,0.61
2014-12-31,0.69,0.69,0.53,0.62,35900,0.62
2014-12-30,0.69,0.70,0.62,0.62,31200,0.62
2014-12-29,0.69,0.69,0.61,0.68,2100,0.68
2014-12-26,0.69,0.70,0.61,0.65,19100,0.65
2014-12-25,0.62,0.62,0.62,0.62,000,0.62
2014-12-24,0.62,0.70,0.61,0.62,28000,0.62
2014-12-23,0.72,0.72,0.55,0.67,26500,0.67
2014-12-22,0.61,0.68,0.61,0.62,19200,0.62
2014-12-19,0.68,0.68,0.57,0.65,26200,0.65
2014-12-18,0.60,0.60,0.56,0.57,12000,0.57
2014-12-17,0.64,0.64,0.54,0.55,6900,0.55
2014-12-16,0.64,0.65,0.55,0.61,22200,0.61
2014-12-15,0.63,0.63,0.58,0.60,17700,0.60
2014-12-12,0.69,0.69,0.61,0.61,12000,0.61
2014-12-11,0.65,0.71,0.60,0.63,24300,0.63
2014-12-10,0.72,0.72,0.60,0.61,19700,0.61
2014-12-09,0.78,0.78,0.56,0.60,42600,0.60
2014-12-08,0.62,0.67,0.62,0.67,19000,0.67
2014-12-05,0.67,0.78,0.61,0.64,65500,0.64
2014-12-04,0.67,0.67,0.60,0.66,2200,0.66
2014-12-03,0.67,0.67,0.59,0.63,26700,0.63
2014-12-02,0.68,0.68,0.60,0.62,10800,0.62
2014-12-01,0.65,0.68,0.57,0.65,40000,0.65
2014-11-28,0.62,0.65,0.60,0.62,28500,0.62
2014-11-27,0.65,0.65,0.62,0.62,22700,0.62
2014-11-26,0.64,0.69,0.62,0.62,345400,0.62
2014-11-25,0.70,0.70,0.67,0.67,3700,0.67
2014-11-24,0.66,0.76,0.66,0.71,28700,0.71
2014-11-21,0.75,0.75,0.68,0.71,15700,0.71
2014-11-20,0.67,0.78,0.67,0.70,22000,0.70
2014-11-19,0.86,0.86,0.73,0.74,55000,0.74
2014-11-18,0.82,0.85,0.75,0.80,109200,0.80
2014-11-17,0.70,0.78,0.65,0.78,132400,0.78
2014-11-14,0.77,0.77,0.64,0.71,37900,0.71
2014-11-13,0.71,0.71,0.61,0.70,23900,0.70
2014-11-12,0.73,0.73,0.65,0.65,21400,0.65
2014-11-11,0.68,0.74,0.66,0.68,12500,0.68
2014-11-10,0.65,0.70,0.65,0.68,27300,0.68
2014-11-07,0.69,0.69,0.63,0.67,15300,0.67
2014-11-06,0.66,0.66,0.66,0.66,000,0.66
2014-11-05,0.70,0.70,0.65,0.66,22000,0.66
2014-11-04,0.67,0.67,0.67,0.67,000,0.67
2014-11-03,0.66,0.67,0.61,0.67,43400,0.67
2014-10-31,0.66,0.66,0.62,0.64,14600,0.64
2014-10-30,0.66,0.66,0.62,0.65,10700,0.65
2014-10-29,0.68,0.68,0.63,0.65,9100,0.65
2014-10-28,0.67,0.69,0.64,0.66,54000,0.66
2014-10-27,0.66,0.69,0.66,0.66,15100,0.66
2014-10-24,0.68,0.68,0.68,0.68,000,0.68
2014-10-23,0.68,0.68,0.68,0.68,000,0.68
2014-10-22,0.68,0.68,0.64,0.68,4000,0.68
2014-10-21,0.70,0.70,0.65,0.65,9200,0.65
2014-10-20,0.65,0.69,0.65,0.67,10800,0.67
2014-10-17,0.68,0.68,0.66,0.66,8800,0.66
2014-10-16,0.68,0.69,0.65,0.69,16200,0.69
2014-10-15,0.66,0.66,0.66,0.66,000,0.66
2014-10-14,0.69,0.69,0.63,0.66,22100,0.66
2014-10-13,0.66,0.66,0.64,0.66,26100,0.66
2014-10-10,0.67,0.68,0.63,0.63,8000,0.63
2014-10-09,0.67,0.67,0.62,0.65,29700,0.65
2014-10-08,0.63,0.65,0.59,0.64,13400,0.64
2014-10-07,0.64,0.64,0.59,0.62,1800,0.62
2014-10-06,0.61,0.61,0.61,0.61,000,0.61
2014-10-03,0.61,0.61,0.61,0.61,000,0.61
2014-10-02,0.61,0.61,0.61,0.61,000,0.61
2014-10-01,0.62,0.62,0.60,0.61,3900,0.61
2014-09-30,0.62,0.62,0.60,0.60,39600,0.60
2014-09-29,0.64,0.64,0.60,0.63,4300,0.63
2014-09-26,0.66,0.66,0.60,0.61,11800,0.61
2014-09-25,0.67,0.67,0.62,0.63,2000,0.63
2014-09-24,0.68,0.69,0.64,0.64,16100,0.64
2014-09-23,0.72,0.72,0.66,0.67,15000,0.67
2014-09-22,0.73,0.73,0.69,0.69,22500,0.69
2014-09-19,0.75,0.75,0.69,0.72,10300,0.72
2014-09-18,0.67,0.73,0.67,0.72,64700,0.72
2014-09-17,0.75,0.76,0.70,0.70,45000,0.70
2014-09-16,0.74,0.74,0.70,0.73,59000,0.73
2014-09-15,0.68,0.72,0.65,0.71,80500,0.71
2014-09-12,0.65,0.66,0.55,0.66,70000,0.66
2014-09-11,0.57,0.60,0.53,0.60,105400,0.60
2014-09-10,0.56,0.58,0.51,0.55,7200,0.55
2014-09-09,0.60,0.60,0.52,0.53,6600,0.53
2014-09-08,0.58,0.58,0.52,0.57,28000,0.57
2014-09-05,0.61,0.61,0.52,0.55,19900,0.55
2014-09-04,0.60,0.60,0.56,0.57,4100,0.57
2014-09-03,0.55,0.59,0.55,0.58,22500,0.58
2014-09-02,0.58,0.58,0.55,0.57,13400,0.57
2014-09-01,0.60,0.60,0.56,0.56,10400,0.56
2014-08-29,0.58,0.58,0.58,0.58,000,0.58
2014-08-28,0.58,0.61,0.58,0.58,38100,0.58
2014-08-27,0.61,0.61,0.58,0.61,21100,0.61
2014-08-26,0.64,0.64,0.59,0.59,9700,0.59
2014-08-25,0.62,0.64,0.60,0.62,96300,0.62
2014-08-22,0.66,0.66,0.60,0.61,42400,0.61
2014-08-21,0.62,0.66,0.62,0.63,16000,0.63
2014-08-20,0.67,0.67,0.63,0.65,2100,0.65
2014-08-19,0.68,0.68,0.64,0.65,10600,0.65
2014-08-18,0.68,0.68,0.63,0.67,7900,0.67
2014-08-15,0.65,0.65,0.65,0.65,000,0.65
2014-08-14,0.67,0.67,0.62,0.65,11200,0.65
2014-08-13,0.67,0.68,0.65,0.65,11600,0.65
2014-08-12,0.64,0.68,0.64,0.68,18700,0.68
2014-08-11,0.67,0.67,0.62,0.67,11100,0.67
2014-08-08,0.67,0.67,0.61,0.65,21100,0.65
2014-08-07,0.70,0.70,0.64,0.64,25900,0.64
2014-08-06,0.70,0.70,0.65,0.67,5800,0.67
2014-08-05,0.67,0.68,0.65,0.68,29500,0.68
2014-08-04,0.65,0.65,0.60,0.65,5500,0.65
2014-08-01,0.67,0.67,0.62,0.62,14400,0.62
2014-07-31,0.60,0.65,0.60,0.65,6900,0.65
2014-07-30,0.67,0.67,0.63,0.63,10200,0.63
2014-07-29,0.64,0.64,0.64,0.64,000,0.64
2014-07-28,0.62,0.65,0.62,0.64,3100,0.64
2014-07-25,0.67,0.67,0.62,0.64,13200,0.64
2014-07-24,0.69,0.69,0.64,0.64,30900,0.64
2014-07-23,0.71,0.71,0.66,0.67,29600,0.67
2014-07-22,0.70,0.70,0.64,0.69,25500,0.69
2014-07-21,0.70,0.70,0.64,0.67,15700,0.67
2014-07-18,0.72,0.72,0.66,0.67,29800,0.67
2014-07-17,0.69,0.69,0.63,0.69,14900,0.69
2014-07-16,0.72,0.72,0.66,0.66,11200,0.66
2014-07-15,0.66,0.69,0.63,0.69,6700,0.69
2014-07-14,0.72,0.72,0.66,0.66,5700,0.66
2014-07-11,0.75,0.75,0.69,0.69,80200,0.69
2014-07-10,0.78,0.78,0.72,0.72,31600,0.72
2014-07-09,0.79,0.79,0.75,0.75,7400,0.75
2014-07-08,0.79,0.79,0.73,0.78,12200,0.78
2014-07-07,0.80,0.81,0.75,0.76,43300,0.76
2014-07-04,0.82,0.82,0.76,0.78,17900,0.78
2014-07-03,0.73,0.79,0.73,0.79,24100,0.79
2014-07-02,0.78,0.78,0.76,0.76,32200,0.76
2014-07-01,0.72,0.77,0.72,0.75,18600,0.75
2014-06-30,0.77,0.77,0.72,0.75,23000,0.75
2014-06-27,0.75,0.75,0.71,0.75,43500,0.75
2014-06-26,0.74,0.75,0.69,0.72,24600,0.72
2014-06-25,0.73,0.74,0.68,0.72,27200,0.72
2014-06-24,0.73,0.74,0.68,0.74,70200,0.74
2014-06-23,0.74,0.74,0.71,0.71,36600,0.71
2014-06-20,0.79,0.79,0.74,0.74,2400,0.74
2014-06-19,0.78,0.78,0.74,0.77,84300,0.77
2014-06-18,0.77,0.77,0.71,0.75,10800,0.75
2014-06-17,0.74,0.80,0.74,0.74,119700,0.74
2014-06-16,0.81,0.81,0.77,0.77,9100,0.77
2014-06-13,0.81,0.89,0.81,0.81,36600,0.81
2014-06-12,0.92,0.92,0.85,0.85,187200,0.85
2014-06-11,0.90,0.90,0.82,0.89,222700,0.89
2014-06-10,0.86,0.86,0.86,0.86,14500,0.86
2014-06-09,0.82,0.82,0.82,0.82,1200,0.82
2014-06-06,0.79,0.79,0.79,0.79,31800,0.79
2014-06-05,0.76,0.76,0.76,0.76,42500,0.76
2014-06-04,0.73,0.73,0.70,0.73,57700,0.73
2014-06-03,0.70,0.70,0.70,0.70,43400,0.70
2014-06-02,0.67,0.67,0.67,0.67,40800,0.67
2014-05-30,0.64,0.64,0.62,0.64,65400,0.64
2014-05-29,0.61,0.61,0.61,0.61,12200,0.61
2014-05-28,0.59,0.59,0.59,0.59,10500,0.59
