Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,350.20,356.85,341.15,342.75,345500,342.75
2015-07-16,351.00,355.95,346.55,349.15,187600,349.15
2015-07-15,355.50,357.95,346.30,349.95,309500,349.95
2015-07-14,341.00,357.60,335.60,353.55,664500,353.55
2015-07-13,334.00,344.60,327.25,339.10,379300,339.10
2015-07-10,333.00,336.55,326.55,331.10,226700,331.10
2015-07-09,335.00,344.90,327.00,330.90,332200,330.90
2015-07-08,329.00,351.00,328.00,333.75,907800,333.75
2015-07-07,311.45,339.70,311.45,333.00,1286500,333.00
2015-07-06,277.00,317.00,271.15,309.00,1028600,309.00
2015-07-03,280.05,282.75,275.00,277.70,154300,277.70
2015-07-02,280.00,284.20,279.00,279.95,194400,279.95
2015-07-01,288.00,291.10,277.50,279.85,279200,279.85
2015-06-30,275.00,284.65,273.25,281.65,220000,281.65
2015-06-29,279.00,279.00,264.30,274.45,254700,274.45
2015-06-26,284.00,289.30,281.00,282.80,252500,282.80
2015-06-25,287.20,287.20,277.95,281.60,204200,281.60
2015-06-24,289.75,305.00,286.10,289.45,908400,289.45
2015-06-23,280.90,289.20,270.35,285.40,417600,285.40
2015-06-22,275.40,285.75,274.80,278.95,266200,278.95
2015-06-19,290.80,291.80,272.80,274.55,281700,274.55
2015-06-18,288.00,294.55,286.05,288.25,245000,288.25
2015-06-17,292.25,301.00,285.15,288.90,641600,288.90
2015-06-16,252.00,294.90,248.50,289.60,949200,289.60
2015-06-15,264.00,267.05,251.05,253.15,259500,253.15
2015-06-12,274.00,278.10,259.25,263.80,259400,263.80
2015-06-11,279.80,282.80,269.00,272.70,272000,272.70
2015-06-10,275.00,283.60,272.00,276.40,220100,276.40
2015-06-09,289.60,290.00,271.60,275.15,324800,275.15
2015-06-08,306.00,309.00,287.00,289.60,236000,289.60
2015-06-05,313.00,314.70,302.00,305.20,218900,305.20
2015-06-04,323.05,324.95,309.00,314.60,188200,314.60
2015-06-03,336.30,340.50,312.55,320.95,244300,320.95
2015-06-02,362.00,366.75,332.10,335.00,361200,335.00
2015-06-01,359.00,372.50,356.00,362.05,244700,362.05
2015-05-29,387.20,404.50,383.00,385.40,324600,385.40
2015-05-28,375.00,385.00,372.50,384.55,161000,384.55
2015-05-27,367.00,378.00,364.10,372.65,135900,372.65
2015-05-26,367.70,373.00,363.85,368.30,87900,368.30
2015-05-25,372.00,373.00,363.65,367.25,83900,367.25
2015-05-22,378.00,381.50,369.00,372.00,102300,372.00
2015-05-21,381.55,386.40,375.15,378.20,100800,378.20
2015-05-20,377.00,390.95,377.00,380.90,207700,380.90
2015-05-19,367.50,384.30,363.20,374.95,281900,374.95
2015-05-18,355.80,374.35,355.60,367.20,185100,367.20
2015-05-15,362.00,366.75,352.45,355.20,111000,355.20
2015-05-14,356.00,368.00,352.65,360.50,178500,360.50
2015-05-13,362.90,366.00,351.30,358.20,161600,358.20
2015-05-12,380.80,380.80,355.00,358.25,142500,358.25
2015-05-11,379.90,383.80,375.00,379.10,125700,379.10
2015-05-08,364.00,377.80,364.00,375.05,230900,375.05
2015-05-07,390.00,390.00,339.00,357.10,733200,357.10
2015-05-06,403.00,412.70,386.10,391.90,282000,391.90
2015-05-05,386.00,413.20,382.20,407.40,447800,407.40
2015-05-04,378.80,389.00,378.00,385.95,112600,385.95
2015-05-01,379.40,379.40,379.40,379.40,000,379.40
2015-04-30,376.80,383.80,366.00,379.40,181700,379.40
2015-04-29,383.10,389.85,375.00,378.15,199900,378.15
2015-04-28,378.00,386.40,373.30,382.45,148800,382.45
2015-04-27,380.00,389.45,357.30,377.60,371900,377.60
2015-04-24,409.00,412.90,372.30,376.65,284600,376.65
2015-04-23,414.00,427.00,410.00,412.60,231200,412.60
2015-04-22,416.50,424.00,408.00,409.85,216800,409.85
2015-04-21,427.70,430.00,414.90,417.75,158600,417.75
2015-04-20,450.00,450.00,417.30,429.40,222100,429.40
2015-04-17,454.05,461.00,445.00,449.75,154900,449.75
2015-04-16,469.05,475.00,452.10,456.35,197800,456.35
2015-04-15,482.05,485.00,469.05,472.55,129500,472.55
2015-04-14,485.85,485.85,485.85,485.85,000,485.85
2015-04-13,488.00,495.00,483.25,485.85,193600,485.85
2015-04-10,488.00,488.70,475.35,482.95,152400,482.95
2015-04-09,480.00,490.90,480.00,487.35,289900,487.35
2015-04-08,490.50,498.00,472.90,474.85,465400,474.85
2015-04-07,477.00,496.50,468.55,491.90,287700,491.90
2015-04-06,492.60,494.10,475.00,478.40,139400,478.40
2015-04-03,488.80,488.80,488.80,488.80,000,488.80
2015-04-02,488.80,488.80,488.80,488.80,000,488.80
2015-04-01,493.50,498.55,485.50,488.80,181000,488.80
2015-03-31,481.50,494.60,477.40,488.10,299900,488.10
2015-03-30,456.00,481.40,456.00,478.00,353500,478.00
2015-03-27,453.35,462.00,439.00,450.65,282400,450.65
2015-03-26,454.00,462.00,445.50,451.20,241600,451.20
2015-03-25,454.00,472.80,440.30,458.30,366800,458.30
2015-03-24,459.60,463.95,451.00,453.90,110100,453.90
2015-03-23,457.20,469.15,451.10,458.60,244500,458.60
2015-03-20,474.00,474.70,448.10,453.55,313500,453.55
2015-03-19,505.00,507.95,473.30,475.95,405500,475.95
2015-03-18,483.00,500.55,477.85,497.20,592200,497.20
2015-03-17,476.90,483.55,467.00,478.90,426500,478.90
2015-03-16,459.40,476.05,451.40,471.85,659100,471.85
2015-03-13,435.00,455.00,427.00,450.95,710600,450.95
2015-03-12,434.20,441.00,429.20,434.65,216300,434.65
2015-03-11,412.50,443.00,412.50,430.40,728000,430.40
2015-03-10,414.25,424.00,405.60,411.35,255200,411.35
2015-03-09,419.40,426.00,413.85,415.75,211700,415.75
2015-03-06,421.45,421.45,421.45,421.45,000,421.45
2015-03-05,417.05,431.80,416.05,421.45,378900,421.45
2015-03-04,438.60,441.50,405.00,418.05,224800,418.05
2015-03-03,431.80,445.50,430.60,438.20,290900,438.20
2015-03-02,427.00,433.50,419.00,427.75,330800,427.75
2015-02-27,438.30,447.60,434.30,441.30,217900,441.30
2015-02-26,457.40,459.00,434.00,437.55,254000,437.55
2015-02-25,466.00,468.00,451.00,455.00,199500,455.00
2015-02-24,456.90,477.65,456.55,463.70,466000,463.70
2015-02-23,461.40,470.50,454.00,456.15,391700,456.15
2015-02-20,440.00,467.00,433.10,460.15,919900,460.15
2015-02-19,416.80,443.90,415.25,439.55,841400,439.55
2015-02-18,413.00,426.50,411.45,413.45,371300,413.45
2015-02-17,413.20,413.20,413.20,413.20,000,413.20
2015-02-16,426.20,429.00,410.65,413.20,299900,413.20
2015-02-13,432.20,437.60,421.15,424.50,305100,424.50
2015-02-12,441.00,449.25,429.00,432.75,285500,432.75
2015-02-11,426.40,442.55,424.10,439.05,590700,439.05
2015-02-10,444.00,458.00,415.35,423.10,898100,423.10
2015-02-09,465.00,473.00,440.00,443.85,683600,443.85
2015-02-06,476.00,482.15,446.60,474.35,874800,474.35
2015-02-05,474.00,491.70,461.95,467.90,798700,467.90
2015-02-04,495.00,505.00,451.45,467.30,1241400,467.30
2015-02-03,518.90,522.50,492.10,495.45,466400,495.45
2015-02-02,528.20,543.50,522.20,526.90,626000,526.90
2015-01-30,525.20,530.00,505.60,514.75,791600,514.75
2015-01-29,485.90,530.00,477.75,523.65,1450800,523.65
2015-01-28,500.25,524.40,482.30,486.65,1124900,486.65
2015-01-27,438.80,503.50,431.00,497.65,1479200,497.65
2015-01-26,434.85,434.85,434.85,434.85,000,434.85
2015-01-23,441.10,442.15,429.00,434.85,143300,434.85
2015-01-22,441.25,441.55,431.25,436.50,243400,436.50
2015-01-21,436.95,444.45,432.95,440.30,333300,440.30
