Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,7.73,7.75,7.27,7.62,10700,7.62
2015-07-16,7.75,7.75,7.22,7.47,4100,7.47
2015-07-15,7.40,7.65,7.00,7.49,30900,7.49
2015-07-14,7.35,7.35,6.80,7.10,5400,7.10
2015-07-13,7.14,7.14,7.00,7.05,15200,7.05
2015-07-10,7.40,7.40,6.94,7.00,10600,7.00
2015-07-09,7.23,7.23,6.66,6.80,10000,6.80
2015-07-08,7.45,7.45,6.50,6.64,19100,6.64
2015-07-07,7.50,7.55,6.90,7.24,14200,7.24
2015-07-06,7.00,7.99,6.51,7.19,20500,7.19
2015-07-03,6.90,6.90,6.65,6.85,1300,6.85
2015-07-02,6.90,7.00,6.67,6.83,16000,6.83
2015-07-01,6.95,7.20,6.80,6.87,21600,6.87
2015-06-30,6.70,6.90,6.36,6.72,2800,6.72
2015-06-29,7.00,7.00,6.43,6.84,900,6.84
2015-06-26,6.41,7.05,6.41,6.95,4400,6.95
2015-06-25,6.30,7.15,6.30,6.84,19600,6.84
2015-06-24,6.80,6.95,6.75,6.80,5300,6.80
2015-06-23,6.70,7.05,6.63,6.89,3900,6.89
2015-06-22,6.65,6.90,6.65,6.85,4400,6.85
2015-06-19,6.60,6.80,6.60,6.65,4200,6.65
2015-06-18,6.75,7.00,6.60,6.67,7200,6.67
2015-06-17,6.95,6.95,6.31,6.69,3200,6.69
2015-06-16,6.74,6.74,6.30,6.65,2700,6.65
2015-06-15,7.35,7.35,6.00,6.75,11700,6.75
2015-06-12,6.50,6.88,6.10,6.48,7900,6.48
2015-06-11,7.10,7.10,6.32,6.45,6200,6.45
2015-06-10,7.00,7.00,6.01,6.68,11600,6.68
2015-06-09,7.00,7.00,6.51,6.83,4100,6.83
2015-06-08,6.60,6.99,6.40,6.90,4900,6.90
2015-06-05,7.00,7.45,6.55,7.30,1300,7.30
2015-06-04,7.58,7.60,6.85,6.96,12900,6.96
2015-06-03,7.70,7.97,6.58,7.01,8300,7.01
2015-06-02,8.00,8.00,8.00,8.00,1000,8.00
2015-06-01,7.93,8.10,7.76,7.84,4900,7.84
2015-05-29,7.82,8.35,7.82,8.15,5000,8.15
2015-05-28,8.25,8.33,7.95,8.25,12200,8.25
2015-05-27,8.15,8.25,7.80,7.99,14600,7.99
2015-05-26,8.20,8.30,8.10,8.10,6000,8.10
2015-05-25,8.10,8.30,8.00,8.10,29100,8.10
2015-05-22,8.20,8.20,8.00,8.00,5000,8.00
2015-05-21,7.95,8.25,7.95,8.20,70200,8.20
2015-05-20,7.90,8.35,7.90,8.05,2900,8.05
2015-05-19,8.10,8.20,8.00,8.19,3900,8.19
2015-05-18,7.85,8.18,7.85,7.90,1700,7.90
2015-05-15,7.55,8.30,7.55,7.99,1300,7.99
2015-05-14,7.85,8.29,7.70,7.86,9800,7.86
2015-05-13,8.00,8.40,8.00,8.19,5400,8.19
2015-05-12,8.00,8.30,7.82,8.11,6300,8.11
2015-05-11,8.12,8.40,8.00,8.14,3000,8.14
2015-05-08,8.37,8.37,7.90,8.04,1500,8.04
2015-05-07,8.45,8.45,7.90,7.93,2800,7.93
2015-05-06,8.60,8.60,8.16,8.23,6200,8.23
2015-05-05,8.55,8.85,8.40,8.59,12400,8.59
2015-05-04,9.37,9.37,8.50,8.68,13100,8.68
2015-05-01,8.90,8.90,8.90,8.90,000,8.90
2015-04-30,8.80,8.90,8.40,8.90,1000,8.90
2015-04-29,8.90,9.60,8.50,8.59,2700,8.59
2015-04-28,8.53,8.80,8.06,8.65,15600,8.65
2015-04-27,8.15,8.82,8.00,8.06,10500,8.06
2015-04-24,9.00,9.26,8.30,8.33,4200,8.33
2015-04-23,9.25,9.25,8.55,8.69,2800,8.69
2015-04-22,9.39,9.39,8.85,8.99,7400,8.99
2015-04-21,9.73,9.73,8.87,9.01,2000,9.01
2015-04-20,9.36,9.95,9.05,9.06,7700,9.06
2015-04-17,9.55,10.41,9.50,9.61,6500,9.61
2015-04-16,10.20,10.49,9.75,9.99,12400,9.99
2015-04-15,10.40,10.48,9.90,10.02,5800,10.02
2015-04-14,10.10,10.10,10.10,10.10,000,10.10
2015-04-13,10.28,10.50,10.00,10.10,7300,10.10
2015-04-10,10.70,10.70,9.60,10.24,13300,10.24
2015-04-09,10.30,10.86,10.30,10.51,14300,10.51
2015-04-08,9.99,10.50,9.80,10.24,30700,10.24
2015-04-07,9.45,9.84,9.12,9.48,15100,9.48
2015-04-06,8.35,9.16,8.35,9.04,7900,9.04
2015-04-03,8.53,8.53,8.53,8.53,000,8.53
2015-04-02,8.53,8.53,8.53,8.53,000,8.53
2015-04-01,8.29,8.70,8.11,8.53,20500,8.53
2015-03-31,8.13,8.40,8.00,8.22,6300,8.22
2015-03-30,8.08,8.35,7.73,8.01,10300,8.01
2015-03-27,7.77,8.29,7.69,7.79,24500,7.79
