Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,615.00,619.70,600.00,607.25,2900,603.25
2015-07-16,608.30,614.05,608.30,610.05,2400,606.03
2015-07-15,625.00,628.20,609.00,610.95,3100,606.93
2015-07-14,630.00,630.50,613.50,616.30,1600,612.24
2015-07-13,615.75,635.00,615.75,631.45,1200,627.29
2015-07-10,625.00,627.45,616.35,618.85,400,614.77
2015-07-09,625.50,633.00,618.60,624.15,1600,620.04
2015-07-08,645.00,654.05,626.00,636.85,1700,632.65
2015-07-07,637.00,644.05,630.00,644.00,1200,639.76
2015-07-06,637.00,644.00,630.00,637.50,1500,633.30
2015-07-03,660.00,660.00,638.95,640.55,1300,636.33
2015-07-02,663.65,664.95,642.50,654.35,1500,650.04
2015-07-01,682.40,682.40,660.35,665.60,3900,661.22
2015-06-30,653.00,679.25,644.45,665.80,3700,661.41
2015-06-29,631.00,664.00,623.35,653.60,3000,649.29
2015-06-26,640.00,668.00,607.05,632.30,4800,628.13
2015-06-25,613.00,659.85,600.00,619.60,1700,615.52
2015-06-24,612.00,625.00,605.85,610.85,2200,606.83
2015-06-23,605.00,617.40,604.00,608.35,700,604.34
2015-06-22,593.50,610.50,580.00,602.65,1000,598.68
2015-06-19,586.95,599.00,586.85,594.75,600,590.83
2015-06-18,589.00,590.30,580.00,586.80,500,582.93
2015-06-17,573.00,587.40,573.00,582.75,400,578.91
2015-06-16,581.00,586.00,548.00,563.95,8500,560.24
2015-06-15,581.00,591.95,575.00,588.15,5000,584.28
2015-06-12,585.00,590.00,578.30,582.15,2300,578.32
2015-06-11,595.00,608.80,580.50,588.60,1100,584.72
2015-06-10,583.00,595.00,575.00,591.50,1500,587.60
2015-06-09,583.15,583.90,560.00,575.05,1700,571.26
2015-06-08,594.95,600.00,580.00,581.10,1400,577.27
2015-06-05,600.00,607.00,585.00,585.00,1200,581.15
2015-06-04,605.00,619.90,580.00,590.45,600,586.56
2015-06-03,607.35,610.95,595.00,602.50,2700,598.53
2015-06-02,622.00,622.00,605.05,610.55,1100,606.53
2015-06-01,650.00,650.20,618.00,624.55,900,620.44
2015-05-29,615.00,652.70,615.00,647.75,1400,643.48
2015-05-28,632.75,634.00,613.15,617.65,600,613.58
2015-05-27,597.00,629.30,597.00,625.00,1800,620.88
2015-05-26,610.10,610.95,598.75,606.60,1000,602.60
2015-05-25,612.00,615.95,598.00,604.85,2000,600.87
2015-05-22,585.00,612.00,585.00,596.05,4700,592.12
2015-05-21,585.90,589.00,584.10,588.10,1300,584.23
2015-05-20,587.30,591.95,585.30,588.00,2300,584.13
2015-05-19,583.95,590.00,572.40,578.85,2700,575.04
2015-05-18,598.70,606.00,575.35,577.10,2700,573.30
2015-05-15,600.00,607.00,598.25,601.90,2000,597.94
2015-05-14,584.00,595.00,584.00,590.60,700,586.71
2015-05-13,594.95,594.95,582.00,588.00,900,584.13
2015-05-12,597.00,599.00,588.15,595.85,30500,591.93
2015-05-11,593.25,600.05,591.15,596.90,600,592.97
2015-05-08,610.30,612.10,585.20,590.90,3100,587.01
2015-05-07,600.00,618.05,591.00,597.85,800,593.91
2015-05-06,629.45,635.80,604.80,608.80,1600,604.79
2015-05-05,644.45,644.45,628.00,630.50,900,626.35
2015-05-04,640.05,655.00,625.00,630.85,900,626.69
