Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,173.00,180.00,170.30,171.30,8800,171.30
2015-07-16,174.40,174.60,169.00,170.20,4100,170.20
2015-07-15,176.70,178.00,170.60,172.50,5600,172.50
2015-07-14,173.60,189.00,173.00,174.80,16600,174.80
2015-07-13,184.90,193.50,170.10,172.70,76000,172.70
2015-07-10,170.00,188.40,166.60,183.90,102400,183.90
2015-07-09,156.00,177.00,156.00,171.90,35900,171.90
2015-07-08,159.20,159.20,154.00,156.90,2100,156.90
2015-07-07,159.70,160.70,158.00,160.00,5000,160.00
2015-07-06,159.90,164.00,158.00,159.50,8200,159.50
2015-07-03,159.50,160.30,157.70,158.60,2100,158.60
2015-07-02,158.60,162.00,155.00,155.10,3100,155.10
2015-07-01,155.00,164.50,155.00,159.70,2800,159.70
2015-06-30,153.30,158.40,151.10,156.00,1900,156.00
2015-06-29,159.20,159.20,147.50,154.10,200,154.10
2015-06-26,156.60,159.60,151.80,154.30,2500,154.30
2015-06-25,153.00,160.00,150.00,156.10,6200,156.10
2015-06-24,159.00,159.00,150.50,153.20,2300,153.20
2015-06-23,164.00,165.00,155.00,158.00,4000,158.00
2015-06-22,159.50,165.00,155.30,161.90,2400,161.90
2015-06-19,159.20,163.20,158.50,159.70,3200,159.70
2015-06-18,155.30,164.80,154.00,158.20,7100,158.20
2015-06-17,176.00,176.00,156.00,156.70,2200,156.70
2015-06-16,155.00,160.70,153.90,156.20,6300,156.20
2015-06-15,145.40,153.00,145.40,152.10,2400,152.10
2015-06-12,150.10,150.10,146.00,146.60,1200,146.60
2015-06-11,143.70,149.80,142.60,147.00,4000,147.00
2015-06-10,143.00,146.70,137.20,143.00,9400,143.00
2015-06-09,143.90,148.20,141.00,142.50,13300,142.50
2015-06-08,142.40,155.00,138.00,145.20,32500,145.20
2015-06-05,139.30,146.10,138.30,141.00,3600,141.00
2015-06-04,138.50,141.00,136.40,139.20,2000,139.20
2015-06-03,142.60,143.00,130.50,136.20,9200,136.20
2015-06-02,145.60,148.00,137.50,142.30,4400,142.30
2015-06-01,153.40,153.40,143.90,144.20,7100,144.20
2015-05-29,152.30,156.50,152.20,152.20,1400,152.20
2015-05-28,155.70,156.50,152.10,152.90,8600,152.90
2015-05-27,159.00,160.40,156.30,157.40,5900,157.40
2015-05-26,161.40,161.50,154.00,155.20,3200,155.20
2015-05-25,153.20,161.30,150.00,159.00,21100,159.00
2015-05-22,151.00,160.70,151.00,154.40,28300,154.40
