Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,4.99,5.50,4.99,4.99,2500,4.99
2015-07-16,4.76,5.25,4.76,5.25,500,5.25
2015-07-15,5.01,5.01,5.01,5.01,000,5.01
2015-07-14,5.47,5.47,5.00,5.01,2000,5.01
2015-07-13,5.22,5.22,5.22,5.22,000,5.22
2015-07-10,4.99,4.99,4.53,4.99,500,4.99
2015-07-09,4.76,4.76,4.76,4.76,100,4.76
2015-07-08,4.40,4.55,4.40,4.55,600,4.55
2015-07-07,4.13,4.55,4.13,4.55,500,4.55
2015-07-06,4.10,4.34,4.10,4.34,500,4.34
2015-07-03,4.14,4.14,4.14,4.14,100,4.14
2015-07-02,3.85,3.95,3.75,3.95,200,3.95
2015-07-01,3.85,3.85,3.85,3.85,000,3.85
2015-06-30,3.85,3.85,3.85,3.85,100,3.85
2015-06-29,3.99,3.99,3.99,3.99,000,3.99
2015-06-26,3.99,3.99,3.99,3.99,000,3.99
2015-06-25,3.81,3.81,3.80,3.80,1400,3.80
2015-06-24,3.80,3.80,3.80,3.80,800,3.80
2015-06-23,3.62,3.80,3.62,3.80,100,3.80
2015-06-22,3.80,3.80,3.80,3.80,200,3.80
2015-06-19,3.62,3.62,3.62,3.62,000,3.62
2015-06-18,3.80,3.80,3.80,3.80,000,3.80
2015-06-17,3.80,3.80,3.80,3.80,000,3.80
2015-06-16,3.98,3.98,3.98,3.98,000,3.98
2015-06-15,3.98,3.98,3.98,3.98,000,3.98
2015-06-12,4.16,4.18,4.16,4.18,2300,4.18
2015-06-11,4.37,4.37,4.37,4.37,500,4.37
2015-06-10,4.60,5.04,4.59,4.59,1500,4.59
2015-06-09,4.84,4.84,4.83,4.83,600,4.83
2015-06-08,5.08,5.08,5.08,5.08,1000,5.08
2015-06-05,4.85,4.85,4.85,4.85,000,4.85
2015-06-04,4.50,4.85,4.50,4.85,700,4.85
2015-06-03,4.61,4.62,4.61,4.62,6700,4.62
2015-06-02,4.40,4.40,4.40,4.40,000,4.40
2015-06-01,3.90,4.20,3.90,4.20,1700,4.20
2015-05-29,4.00,4.00,4.00,4.00,000,4.00
2015-05-28,4.00,4.00,4.00,4.00,000,4.00
2015-05-27,3.82,4.00,3.81,4.00,400,4.00
2015-05-26,3.92,3.92,3.92,3.92,1400,3.92
2015-05-25,3.95,3.95,3.95,3.95,200,3.95
2015-05-22,4.09,4.15,4.09,4.15,100,4.15
2015-05-21,4.28,4.28,4.28,4.28,000,4.28
2015-05-20,4.71,4.71,4.28,4.28,100,4.28
2015-05-19,4.50,4.50,4.50,4.50,6000,4.50
2015-05-18,4.30,4.30,4.29,4.29,300,4.29
2015-05-15,4.49,4.51,4.49,4.51,2400,4.51
2015-05-14,4.30,4.30,4.30,4.30,3500,4.30
2015-05-13,4.24,4.24,3.88,4.10,1600,4.10
2015-05-12,4.04,4.04,4.04,4.04,000,4.04
2015-05-11,4.04,4.04,4.04,4.04,000,4.04
2015-05-08,4.25,4.25,4.25,4.25,000,4.25
2015-05-07,4.05,4.05,4.05,4.05,300,4.05
2015-05-06,4.01,4.01,4.00,4.00,1000,4.00
2015-05-05,4.10,4.15,4.10,4.15,300,4.15
2015-05-04,4.05,4.25,4.05,4.25,300,4.25
2015-05-01,4.05,4.05,4.05,4.05,000,4.05
2015-04-30,4.05,4.05,4.05,4.05,000,4.05
2015-04-29,4.05,4.05,4.05,4.05,000,4.05
2015-04-28,4.05,4.05,4.05,4.05,000,4.05
2015-04-27,4.26,4.26,4.25,4.25,500,4.25
2015-04-24,4.46,4.46,4.46,4.46,000,4.46
2015-04-23,5.13,5.13,4.66,4.66,1000,4.66
2015-04-22,4.90,4.90,4.90,4.90,000,4.90
2015-04-21,4.90,4.90,4.75,4.90,2400,4.90
2015-04-20,4.68,4.68,4.46,4.68,2900,4.68
2015-04-17,4.46,4.46,4.46,4.46,000,4.46
2015-04-16,4.45,4.46,4.26,4.46,1500,4.46
2015-04-15,4.25,4.25,4.25,4.25,200,4.25
2015-04-14,4.05,4.05,4.05,4.05,000,4.05
2015-04-13,3.75,4.05,3.75,4.05,2100,4.05
2015-04-10,3.77,4.13,3.77,3.86,3400,3.86
2015-04-09,3.95,3.95,3.95,3.95,000,3.95
2015-04-08,3.95,3.95,3.95,3.95,000,3.95
2015-04-07,3.95,3.95,3.95,3.95,100,3.95
2015-04-06,4.10,4.10,4.10,4.10,000,4.10
2015-04-03,4.10,4.10,4.10,4.10,000,4.10
2015-04-02,4.10,4.10,4.10,4.10,000,4.10
2015-04-01,4.10,4.10,4.10,4.10,000,4.10
2015-03-31,4.10,4.10,4.10,4.10,000,4.10
2015-03-30,4.29,4.29,4.29,4.29,300,4.29
2015-03-27,3.74,4.10,3.73,4.10,1800,4.10
2015-03-26,3.91,3.91,3.91,3.91,000,3.91
2015-03-25,4.34,4.34,4.11,4.11,1000,4.11
2015-03-24,3.96,4.32,3.96,4.32,2500,4.32
2015-03-23,4.11,4.12,4.11,4.12,700,4.12
2015-03-20,4.27,4.30,4.27,4.30,14100,4.30
2015-03-19,4.42,4.45,4.41,4.45,36200,4.45
2015-03-18,4.85,4.85,4.64,4.64,2300,4.64
2015-03-17,4.64,4.64,4.64,4.64,000,4.64
2015-03-16,4.88,4.88,4.64,4.64,1400,4.64
2015-03-13,5.13,5.13,4.88,4.88,4600,4.88
2015-03-12,5.39,5.39,5.13,5.13,1300,5.13
2015-03-11,5.95,5.95,5.39,5.39,000,5.39
2015-03-10,6.25,6.25,5.67,5.67,500,5.67
2015-03-09,6.58,6.58,5.96,5.96,300,5.96
2015-03-06,6.27,6.27,6.27,6.27,000,6.27
2015-03-05,6.89,6.89,6.27,6.27,100,6.27
2015-03-04,6.59,6.59,6.59,6.59,000,6.59
2015-03-03,6.64,6.64,6.25,6.30,1800,6.30
2015-03-02,6.46,6.46,6.35,6.35,500,6.35
2015-02-27,5.88,5.88,5.88,5.88,000,5.88
2015-02-26,5.88,5.88,5.88,5.88,000,5.88
2015-02-25,6.18,6.18,6.18,6.18,000,6.18
2015-02-24,6.18,6.18,6.18,6.18,000,6.18
2015-02-23,6.18,6.18,6.18,6.18,000,6.18
2015-02-20,6.18,6.18,6.18,6.18,000,6.18
2015-02-19,5.51,5.97,5.51,5.97,000,5.97
2015-02-18,5.47,5.79,5.47,5.79,000,5.79
2015-02-17,5.75,5.75,5.75,5.75,000,5.75
2015-02-16,5.50,5.75,5.50,5.75,400,5.75
2015-02-13,5.24,5.50,5.24,5.50,300,5.50
2015-02-12,5.51,5.51,5.51,5.51,000,5.51
2015-02-11,5.80,5.80,5.80,5.80,000,5.80
2015-02-10,5.02,5.53,5.02,5.53,300,5.53
2015-02-09,5.27,5.27,5.27,5.27,000,5.27
