Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,26.10,28.35,25.55,27.55,530600,27.55
2015-07-16,26.00,26.35,25.70,25.85,95800,25.85
2015-07-15,25.80,26.40,25.70,25.85,122800,25.85
2015-07-14,26.00,26.00,25.25,25.45,93900,25.45
2015-07-13,25.95,26.30,25.60,25.75,43200,25.75
2015-07-10,26.20,26.70,25.45,25.65,85600,25.65
2015-07-09,25.80,26.35,25.55,26.00,103400,26.00
2015-07-08,25.95,26.25,25.20,25.55,124000,25.55
2015-07-07,25.90,27.20,25.65,26.20,243800,26.20
2015-07-06,24.80,26.20,24.60,25.55,149900,25.55
2015-07-03,25.00,26.80,25.00,25.25,143600,25.25
2015-07-02,25.20,25.95,24.80,24.90,63600,24.90
2015-07-01,25.00,26.00,24.95,25.30,127100,25.30
2015-06-30,24.00,24.80,23.90,24.40,83700,24.40
2015-06-29,23.45,24.00,23.25,23.95,64900,23.95
2015-06-26,25.35,25.75,24.75,24.90,70800,24.90
2015-06-25,25.00,26.15,24.30,25.35,86900,25.35
2015-06-24,25.10,25.45,24.60,24.90,126100,24.90
2015-06-23,26.30,26.65,24.45,24.70,179800,24.70
2015-06-22,27.70,28.25,24.45,26.30,183700,26.30
2015-06-19,24.90,28.00,24.70,27.20,590500,27.20
2015-06-18,22.45,24.85,0.01,24.55,486400,24.55
2015-06-17,22.15,23.00,21.90,22.25,162200,22.25
2015-06-16,21.70,22.45,21.50,21.90,37900,21.90
2015-06-15,21.45,22.50,21.00,21.80,47100,21.80
2015-06-12,21.65,21.80,21.05,21.15,32000,21.15
2015-06-11,23.45,23.60,21.60,21.90,45300,21.90
2015-06-10,24.25,24.25,22.85,23.05,117000,23.05
2015-06-09,21.50,25.60,21.10,23.35,247400,23.35
2015-06-08,22.50,22.50,21.30,21.50,56000,21.50
2015-06-05,22.90,22.90,22.30,22.50,34000,22.50
2015-06-04,23.20,23.60,21.80,22.65,63000,22.65
2015-06-03,23.90,24.20,21.30,23.15,62300,23.15
2015-06-02,24.25,25.35,23.80,24.00,34400,24.00
2015-06-01,24.55,25.15,24.35,24.50,65100,24.50
2015-05-29,25.25,25.95,24.95,25.60,57700,25.60
2015-05-28,25.20,25.50,24.70,24.95,37300,24.95
2015-05-27,25.30,25.40,25.10,25.25,28400,25.25
2015-05-26,26.25,26.25,25.40,25.50,31400,25.50
2015-05-25,26.05,26.05,25.65,25.70,36600,25.70
2015-05-22,26.05,26.40,26.05,26.15,44200,26.15
2015-05-21,27.45,27.45,26.15,26.30,31900,26.30
2015-05-20,27.50,27.70,26.95,27.05,49900,27.05
2015-05-19,27.35,27.80,26.80,27.30,62400,27.30
2015-05-18,26.85,27.45,26.30,27.05,58400,27.05
2015-05-15,26.50,26.80,26.25,26.40,39400,26.40
2015-05-14,26.05,26.75,25.65,26.35,69000,26.35
2015-05-13,26.40,26.75,26.05,26.35,30100,26.35
2015-05-12,27.55,27.55,26.00,26.15,30800,26.15
2015-05-11,27.50,27.50,27.10,27.35,33800,27.35
2015-05-08,28.10,28.10,26.55,27.00,30300,27.00
2015-05-07,27.05,27.05,26.05,26.15,43000,26.15
2015-05-06,28.15,28.15,26.85,27.15,66900,27.15
2015-05-05,28.55,28.80,27.90,28.15,55100,28.15
2015-05-04,27.45,28.95,27.45,28.65,116000,28.65
2015-05-01,27.10,27.10,27.10,27.10,000,27.10
2015-04-30,27.45,27.70,27.00,27.10,75500,27.10
2015-04-29,27.35,28.00,26.85,27.60,137900,27.60
2015-04-28,26.80,27.95,26.80,27.25,106800,27.25
2015-04-27,28.00,28.55,26.50,27.05,118700,27.05
2015-04-24,29.05,29.80,27.95,28.05,95000,28.05
2015-04-23,29.55,30.55,28.70,28.95,226700,28.95
2015-04-22,29.50,30.35,28.60,29.15,79700,29.15
2015-04-21,29.25,29.55,28.65,28.95,72300,28.95
2015-04-20,31.90,31.90,29.05,29.45,94600,29.45
2015-04-17,31.00,31.85,30.80,30.95,109000,30.95
2015-04-16,32.15,32.45,30.35,31.20,135200,31.20
2015-04-15,32.75,33.50,31.45,31.80,116300,31.80
2015-04-14,32.65,32.65,32.65,32.65,000,32.65
2015-04-13,32.55,33.40,32.05,32.65,198500,32.65
2015-04-10,28.80,32.50,28.40,32.20,435600,32.20
2015-04-09,29.10,29.40,28.60,28.90,52100,28.90
2015-04-08,29.40,30.20,28.85,29.10,71800,29.10
2015-04-07,29.25,30.05,27.85,29.10,131800,29.10
2015-04-06,27.55,29.30,27.55,29.00,115000,29.00
2015-04-03,27.45,27.45,27.45,27.45,000,27.45
2015-04-02,27.45,27.45,27.45,27.45,000,27.45
2015-04-01,25.40,27.60,25.30,27.45,98600,27.45
2015-03-31,26.35,26.85,25.45,25.70,76100,25.70
2015-03-30,25.75,26.70,25.30,26.10,72900,26.10
2015-03-27,26.20,27.20,24.55,25.10,213200,25.10
2015-03-26,23.70,27.70,23.30,25.55,240500,25.55
2015-03-25,25.00,25.00,24.05,24.20,142300,24.20
2015-03-24,25.50,25.60,24.85,24.95,65500,24.95
2015-03-23,27.00,27.05,25.50,25.60,91800,25.60
2015-03-20,27.30,27.30,26.30,26.40,69200,26.40
2015-03-19,28.60,28.60,27.35,27.45,171500,27.45
2015-03-18,29.00,29.00,27.55,28.00,364800,28.00
2015-03-17,29.60,30.00,28.60,28.80,109900,28.80
2015-03-16,30.00,30.00,29.10,29.20,78700,29.20
2015-03-13,31.00,31.40,29.75,29.85,79400,29.85
2015-03-12,30.85,31.05,30.25,30.70,78200,30.70
2015-03-11,31.10,31.45,30.55,30.65,57100,30.65
2015-03-10,32.00,32.10,31.00,31.05,47500,31.05
2015-03-09,32.15,32.25,31.55,31.80,103900,31.80
