Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,98.00,99.00,94.10,95.10,17300,95.10
2015-07-16,98.45,99.85,96.50,96.60,20100,96.60
2015-07-15,90.05,101.55,90.05,98.45,133400,98.45
2015-07-14,90.00,92.75,90.00,90.60,14500,90.60
2015-07-13,90.00,92.00,89.70,90.15,9900,90.15
2015-07-10,93.10,93.50,87.25,87.70,6600,87.70
2015-07-09,89.00,90.00,87.00,88.05,4500,88.05
2015-07-08,89.00,92.50,87.10,89.10,17600,89.10
2015-07-07,93.30,97.00,90.05,90.05,38900,90.05
2015-07-06,86.00,92.60,84.85,91.75,40100,91.75
2015-07-03,87.00,88.70,85.45,85.80,15800,85.80
2015-07-02,80.00,89.50,79.80,85.65,87100,85.65
2015-07-01,78.70,81.50,76.50,79.20,9500,79.20
2015-06-30,79.00,80.00,76.65,77.65,13200,77.65
2015-06-29,74.75,75.75,73.45,75.20,10500,75.20
2015-06-26,76.50,76.80,74.20,74.90,10400,74.90
2015-06-25,77.15,79.00,76.20,77.35,10100,77.35
2015-06-24,76.00,78.20,75.25,76.10,9900,76.10
2015-06-23,78.10,78.10,72.15,73.90,39900,73.90
2015-06-22,76.50,80.40,76.45,77.55,23600,77.55
2015-06-19,75.65,76.00,75.00,75.30,2600,75.30
2015-06-18,77.90,77.90,75.30,75.65,3500,75.65
2015-06-17,72.60,76.60,72.60,76.10,4700,76.10
2015-06-16,72.00,72.70,70.05,71.65,2600,71.65
2015-06-15,71.10,72.15,71.10,71.65,600,71.65
2015-06-12,69.20,70.00,69.20,70.00,2900,70.00
2015-06-11,73.10,73.10,70.00,70.65,1800,70.65
2015-06-10,72.80,74.60,72.00,73.25,2800,73.25
2015-06-09,73.00,75.00,70.60,70.90,7900,70.90
2015-06-08,76.00,76.00,71.60,72.00,7300,72.00
2015-06-05,73.00,77.80,73.00,75.30,6300,75.30
2015-06-04,74.50,74.75,71.70,73.05,5700,73.05
2015-06-03,76.90,76.90,72.00,73.15,9900,73.15
2015-06-02,80.40,80.40,76.70,77.25,14500,77.25
2015-06-01,79.20,84.60,79.05,79.10,9800,79.10
2015-05-29,81.70,82.50,79.10,81.00,10000,81.00
2015-05-28,86.95,88.80,80.30,80.30,62400,80.30
2015-05-27,79.80,83.40,79.00,83.40,78600,83.40
2015-05-26,68.00,70.00,67.25,69.50,2700,69.50
2015-05-25,67.95,71.00,67.35,69.80,3800,69.80
2015-05-22,67.00,71.40,66.25,68.15,3400,68.15
2015-05-21,66.50,67.20,66.00,66.60,100,66.60
2015-05-20,68.50,69.00,66.85,66.90,300,66.90
2015-05-19,68.00,69.15,65.60,68.55,2700,68.55
2015-05-18,66.50,67.00,66.50,66.60,400,66.60
2015-05-15,66.35,66.55,64.85,66.55,100,66.55
2015-05-14,65.30,65.30,65.30,65.30,000,65.30
2015-05-13,64.10,65.70,63.65,65.30,3400,65.30
2015-05-12,67.45,67.45,63.00,65.75,10300,65.75
2015-05-11,65.50,68.25,65.50,67.45,400,67.45
2015-05-08,67.20,68.75,64.00,64.90,13100,64.90
2015-05-07,69.00,70.50,64.90,67.50,29600,67.50
2015-05-06,70.20,70.60,69.30,69.40,30700,69.40
2015-05-05,70.60,70.60,69.50,69.50,5900,69.50
2015-05-04,69.05,75.00,69.05,71.00,1300,71.00
2015-05-01,73.75,73.75,73.75,73.75,000,73.75
2015-04-30,70.00,73.75,70.00,73.75,5000,73.75
2015-04-29,68.55,72.00,68.00,70.05,1500,70.05
2015-04-28,69.95,70.00,67.60,69.15,2600,69.15
2015-04-27,71.05,71.05,67.60,69.40,2300,69.40
2015-04-24,73.80,74.70,71.50,71.95,5700,71.95
2015-04-23,76.65,76.70,74.95,75.10,3100,75.10
2015-04-22,77.00,77.00,72.95,74.95,46800,74.95
2015-04-21,80.15,80.15,75.10,77.00,12400,77.00
2015-04-20,79.50,81.40,76.10,77.60,4400,77.60
2015-04-17,82.50,83.00,81.00,82.75,1100,82.75
2015-04-16,80.30,83.40,78.50,82.55,5700,82.55
2015-04-15,78.90,82.30,78.00,80.00,9700,80.00
2015-04-14,79.00,79.00,79.00,79.00,000,79.00
2015-04-13,75.10,79.50,75.10,79.00,2700,79.00
2015-04-10,77.15,78.00,74.65,76.50,2500,76.50
2015-04-09,76.85,78.90,75.50,76.60,3200,76.60
