Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,270.00,272.00,265.50,268.75,169700,268.75
2015-07-16,269.50,273.25,267.00,268.60,28400,268.60
2015-07-15,260.40,273.50,260.40,269.20,34700,269.20
2015-07-14,273.25,274.00,262.20,263.85,34900,263.85
2015-07-13,274.90,274.90,267.95,272.30,24300,272.30
2015-07-10,272.00,274.80,268.85,271.50,20200,271.50
2015-07-09,260.05,273.90,260.05,267.70,43700,267.70
2015-07-08,265.50,271.95,257.25,261.80,24500,261.80
2015-07-07,262.50,272.00,260.00,269.05,56100,269.05
2015-07-06,253.90,265.00,252.65,261.40,34400,261.40
2015-07-03,256.00,265.00,256.00,257.95,50400,257.95
2015-07-02,259.00,263.00,255.50,256.05,17800,256.05
2015-07-01,263.50,263.50,255.30,257.50,22600,257.50
2015-06-30,255.25,265.00,250.90,261.50,54600,261.50
2015-06-29,256.00,257.00,247.05,254.10,7500,254.10
2015-06-26,258.00,260.50,256.00,258.20,15500,258.20
2015-06-25,251.55,260.40,241.50,258.25,32400,258.25
2015-06-24,261.60,261.80,251.00,252.85,151600,252.85
2015-06-23,265.00,267.50,258.55,262.00,34900,262.00
2015-06-22,254.40,264.40,254.40,262.05,55500,262.05
2015-06-19,251.00,257.40,251.00,253.90,62300,253.90
2015-06-18,233.30,248.35,233.30,248.35,101200,248.35
2015-06-17,236.85,239.45,230.10,231.35,11600,231.35
2015-06-16,234.50,238.05,232.50,237.10,7800,237.10
2015-06-15,235.00,240.65,232.10,236.75,15400,236.75
2015-06-12,227.70,242.00,227.25,232.40,31000,232.40
2015-06-11,233.00,234.70,225.30,228.05,20400,228.05
2015-06-10,222.75,231.85,221.00,229.20,13300,229.20
2015-06-09,220.55,223.00,217.50,218.55,5800,218.55
2015-06-08,220.00,227.40,219.30,219.50,8800,219.50
2015-06-05,218.35,224.00,216.40,222.35,17600,222.35
2015-06-04,219.20,223.20,217.45,219.95,23800,219.95
2015-06-03,221.85,221.85,214.25,216.05,4400,216.05
2015-06-02,221.00,225.10,218.05,223.80,19700,223.80
2015-06-01,228.00,228.00,220.00,220.85,15300,220.85
2015-05-29,222.00,235.00,220.75,224.70,43400,224.70
2015-05-28,227.50,227.60,218.50,219.35,4100,219.35
2015-05-27,225.45,227.50,225.00,226.55,2700,226.55
2015-05-26,227.35,228.80,225.50,227.65,6300,227.65
2015-05-25,226.90,228.10,224.80,227.35,3400,227.35
2015-05-22,227.10,228.55,224.30,227.65,7900,227.65
2015-05-21,223.65,225.45,221.45,223.45,4900,223.45
2015-05-20,226.10,229.00,223.10,223.85,8800,223.85
2015-05-19,228.30,228.95,225.95,228.00,5400,228.00
2015-05-18,228.45,228.45,226.05,226.85,7800,226.85
2015-05-15,225.05,228.65,223.80,226.40,11800,226.40
2015-05-14,222.25,229.25,222.00,226.35,35800,226.35
2015-05-13,219.35,228.95,218.65,222.45,29200,222.45
2015-05-12,225.25,227.55,216.55,218.65,28400,218.65
2015-05-11,228.10,230.80,226.00,226.65,10000,226.65
2015-05-08,226.95,229.55,225.60,227.35,24800,227.35
2015-05-07,228.55,228.55,220.00,223.15,10900,223.15
